dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.700000,3.840000,0.000196,0.019608,0.980392,49.019608,3.140249
0.020000,4.700000,3.840000,0.000980,0.058824,1.960784,49.019608,3.140612
0.020000,4.700000,3.840000,0.002745,0.117647,2.941176,49.019608,3.141430
0.020000,4.697409,3.839998,0.005686,0.176471,2.941176,-0.000000,3.142796
0.020000,4.693291,3.839990,0.009804,0.235294,2.941176,0.000000,3.144715
0.020000,4.687997,3.839966,0.015098,0.294118,2.941176,-0.000000,3.147192
0.020000,4.681527,3.839920,0.021569,0.352941,2.941176,0.000000,3.150238
0.020000,4.673880,3.839840,0.029216,0.411765,2.941176,0.000000,3.153862
0.020000,4.665057,3.839714,0.038039,0.470588,2.941176,0.000000,3.158077
0.020000,4.655059,3.839525,0.048039,0.529412,2.941176,-0.000000,3.162896
0.020000,4.643886,3.839256,0.059216,0.588235,2.941176,0.000000,3.168337
0.020000,4.631538,3.838888,0.071569,0.647059,2.941176,0.000000,3.174419
0.020000,4.618018,3.838399,0.085098,0.705882,2.941176,0.000000,3.181162
0.020000,4.603326,3.837763,0.099804,0.764706,2.941176,-0.000000,3.188589
0.020000,4.587464,3.836952,0.115686,0.823529,2.941176,0.000000,3.196727
0.020000,4.570436,3.835937,0.132745,0.882353,2.941176,-0.000000,3.205603
0.020000,4.552243,3.834683,0.150980,0.941176,2.941176,0.000000,3.215246
0.020000,4.533088,3.833170,0.170196,0.980392,1.960784,-49.019608,3.225584
0.020000,4.513363,3.831402,0.190000,1.000000,0.980392,-49.019608,3.236429
0.020000,4.493464,3.829398,0.210000,1.000000,0.000000,-49.019608,3.247578
0.020000,4.473588,3.827169,0.230000,1.000000,0.000000,0.000000,3.258926
0.020000,4.453740,3.824714,0.250000,1.000000,0.000000,0.000000,3.270473
0.020000,4.433921,3.822027,0.270000,1.000000,0.000000,0.000000,3.282219
0.020000,4.414136,3.819106,0.290000,1.000000,0.000000,0.000000,3.294165
