dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.277000,2.599730,0.000196,0.019608,0.980392,49.019608,4.713225
0.020000,6.277000,2.599941,0.000407,0.010545,-0.453152,-71.677218,4.712572
0.020000,6.276999,2.598872,0.001476,0.053470,2.146245,129.969842,4.711099
0.020000,6.276994,2.596728,0.003620,0.107175,2.685267,26.951137,4.708629
0.020000,6.276977,2.593737,0.006611,0.149548,2.118638,-28.331454,4.705141
0.020000,6.276941,2.589909,0.010439,0.191414,2.093326,-1.265631,4.700603
0.020000,6.276873,2.585257,0.015091,0.232603,2.059441,-1.694213,4.694973
0.020000,6.276760,2.579800,0.020550,0.272954,2.017540,-2.095089,4.688199
0.020000,6.276584,2.573557,0.026795,0.312254,1.965010,-2.626493,4.680216
0.020000,6.276326,2.566556,0.033801,0.350305,1.902560,-3.122496,4.670947
0.020000,6.275965,2.558827,0.041539,0.386861,1.827759,-3.740029,4.660299
0.020000,6.275475,2.550408,0.049972,0.421644,1.739197,-4.428096,4.648163
0.020000,6.274830,2.541344,0.059059,0.454355,1.635530,-5.183353,4.634410
0.020000,6.274001,2.531687,0.068751,0.484639,1.514189,-6.067081,4.618890
0.020000,6.272956,2.521498,0.078993,0.512101,1.373090,-7.054932,4.601428
0.020000,6.271666,2.510850,0.089719,0.536285,1.209217,-8.193666,4.581822
0.020000,6.270096,2.499828,0.100853,0.556693,1.020419,-9.439899,4.559836
0.020000,6.268238,2.488639,0.112194,0.567074,0.519043,-25.068772,4.535459
0.020000,6.266115,2.477595,0.123441,0.562310,-0.238232,-37.863745,4.508966
0.020000,6.263769,2.466973,0.134319,0.543923,-0.919339,-34.055388,4.480727
0.020000,6.261240,2.456911,0.144694,0.518724,-1.259924,-17.029236,4.450927
0.020000,6.258547,2.447436,0.154544,0.492526,-1.309934,-2.500512,4.419506
0.020000,6.255715,2.438567,0.163854,0.465502,-1.351162,-2.061403,4.386412
0.020000,6.252769,2.430320,0.172612,0.437910,-1.379640,-1.423899,4.351609
0.020000,6.249737,2.422699,0.180814,0.410085,-1.391242,-0.580108,4.315083
0.020000,6.246645,2.415703,0.188463,0.382440,-1.382248,0.449744,4.276845
0.020000,6.243520,2.409317,0.195573,0.355487,-1.347624,1.731155,4.236939
0.020000,6.240382,2.403515,0.202169,0.329817,-1.283521,3.205173,4.195443
0.020000,6.237245,2.398258,0.208290,0.306077,-1.186970,4.827564,4.152477
0.020000,6.234113,2.393496,0.213990,0.284960,-1.055883,6.554328,4.108204
0.020000,6.230981,2.389168,0.219333,0.267147,-0.890649,8.261687,4.062827
0.020000,6.227825,2.385205,0.224398,0.253271,-0.693799,9.842502,4.016592
0.020000,6.224613,2.381536,0.229275,0.243861,-0.470499,11.164996,3.969773
0.020000,6.221295,2.378087,0.234061,0.239293,-0.228394,12.105294,3.922672
0.020000,6.217811,2.374792,0.238856,0.239756,0.023167,12.578016,3.875600
0.020000,6.214093,2.371593,0.243761,0.245231,0.273755,12.529440,3.828866
0.020000,6.210068,2.368444,0.248871,0.255493,0.513084,11.966410,3.782768
0.020000,6.205666,2.365313,0.254273,0.270134,0.732044,10.948007,3.737576
0.020000,6.200818,2.362181,0.260045,0.288602,0.923396,9.567598,3.693529
0.020000,6.195464,2.359043,0.266250,0.310251,1.082474,7.953926,3.650821
0.020000,6.189558,2.355906,0.272938,0.334396,1.207212,6.236873,3.609609
0.020000,6.183062,2.352785,0.280145,0.360349,1.297649,4.521850,3.570003
0.020000,6.175952,2.349703,0.287895,0.387469,1.356041,2.919629,3.532077
0.020000,6.168216,2.346684,0.296198,0.415184,1.385723,1.484083,3.495867
0.020000,6.159854,2.343757,0.305058,0.442994,1.390504,0.239031,3.461379
0.020000,6.150872,2.340948,0.314468,0.470505,1.375576,-0.746373,3.428594
0.020000,6.141288,2.338284,0.324416,0.497391,1.344299,-1.563855,3.397474
0.020000,6.131122,2.335786,0.334885,0.523422,1.301505,-2.139688,3.367966
0.020000,6.120400,2.333477,0.345853,0.548418,1.249823,-2.584118,3.340005
0.020000,6.109149,2.331372,0.357299,0.572279,1.193050,-2.838624,3.313522
0.020000,6.097401,2.329486,0.369197,0.594928,1.132439,-3.030576,3.288441
0.020000,6.085186,2.327829,0.381524,0.616351,1.071164,-3.063751,3.264687
0.020000,6.072534,2.326410,0.394255,0.636541,1.009506,-3.082912,3.242183
0.020000,6.059477,2.325235,0.407366,0.655531,0.949479,-3.001337,3.220854
0.020000,6.046042,2.324306,0.420833,0.673354,0.891186,-2.914672,3.200629
0.020000,6.032257,2.323626,0.434634,0.690056,0.835067,-2.805945,3.181438
0.020000,6.018150,2.323193,0.448748,0.705701,0.782270,-2.639854,3.163216
0.020000,6.003744,2.323008,0.463155,0.720337,0.731809,-2.523034,3.145900
0.020000,5.985635,2.323000,0.481264,0.905445,9.255360,426.177580,3.141593
0.020000,5.965635,2.323000,0.501264,1.000000,4.727770,-226.379508,3.141593
0.020000,5.945635,2.323000,0.521264,1.000000,-0.000000,-236.388515,3.141593
0.020000,5.925635,2.323000,0.541264,1.000000,0.000000,0.000000,3.141593
0.020000,5.905635,2.323000,0.561264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.885635,2.323000,0.581264,1.000000,0.000000,0.000000,3.141593
0.020000,5.865635,2.323000,0.601264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.845635,2.323000,0.621264,1.000000,0.000000,0.000000,3.141593
0.020000,5.825635,2.323000,0.641264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.805635,2.323000,0.661264,1.000000,0.000000,0.000000,3.141593
0.020000,5.785635,2.323000,0.681264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.765635,2.323000,0.701264,1.000000,0.000000,0.000000,3.141593
0.020000,5.745635,2.323000,0.721264,1.000000,0.000000,0.000000,3.141593
0.020000,5.725635,2.323000,0.741264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.705635,2.323000,0.761264,1.000000,0.000000,0.000000,3.141593
0.020000,5.685635,2.323000,0.781264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.665635,2.323000,0.801264,1.000000,0.000000,0.000000,3.141593
0.020000,5.645635,2.323000,0.821264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.625635,2.323000,0.841264,1.000000,0.000000,0.000000,3.141593
0.020000,5.605635,2.323000,0.861264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.585635,2.323000,0.881264,1.000000,0.000000,0.000000,3.141593
0.020000,5.565635,2.323000,0.901264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.545635,2.323000,0.921264,1.000000,0.000000,0.000000,3.141593
0.020000,5.525635,2.323000,0.941264,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.505635,2.323000,0.961264,1.000000,0.000000,0.000000,3.141593
0.020000,5.489646,2.322984,0.977253,0.799469,-10.026565,-501.328268,3.144590
0.020000,5.467588,2.322848,0.999312,1.102932,15.173162,1259.986375,3.150963
0.020000,5.445537,2.322571,1.021364,1.102637,-0.014744,-759.395320,3.157319
0.020000,5.423494,2.322155,1.043411,1.102320,-0.015865,-0.056057,3.163655
0.020000,5.401462,2.321599,1.065450,1.101983,-0.016848,-0.049106,3.169970
0.020000,5.379440,2.320904,1.087483,1.101624,-0.017950,-0.055104,3.176262
0.020000,5.357431,2.320072,1.109508,1.101241,-0.019164,-0.060742,3.182531
0.020000,5.335436,2.319102,1.131524,1.100835,-0.020252,-0.054378,3.188775
0.020000,5.313455,2.317996,1.153532,1.100409,-0.021327,-0.053753,3.194992
0.020000,5.291491,2.316754,1.175532,1.099961,-0.022389,-0.053075,3.201181
0.020000,5.269545,2.315376,1.197522,1.099492,-0.023435,-0.052346,3.207342
0.020000,5.247617,2.313865,1.219502,1.099003,-0.024467,-0.051570,3.213472
0.020000,5.225708,2.312220,1.241471,1.098493,-0.025482,-0.050748,3.219571
0.020000,5.203821,2.310443,1.263431,1.097964,-0.026479,-0.049883,3.225637
0.020000,5.181956,2.308535,1.285379,1.097415,-0.027459,-0.048979,3.231669
0.020000,5.160114,2.306496,1.307316,1.096846,-0.028420,-0.048038,3.237666
0.020000,5.138296,2.304328,1.329241,1.096260,-0.029291,-0.043544,3.243627
0.020000,5.116504,2.302031,1.351154,1.095661,-0.029973,-0.034103,3.249550
0.020000,5.094737,2.299607,1.373055,1.095037,-0.031202,-0.061453,3.255435
0.020000,5.072999,2.297057,1.394943,1.094395,-0.032082,-0.044023,3.261280
0.020000,5.051288,2.294382,1.416818,1.093737,-0.032941,-0.042931,3.267084
0.020000,5.029607,2.291583,1.438679,1.093061,-0.033777,-0.041818,3.272847
0.020000,5.007956,2.288662,1.460526,1.092369,-0.034591,-0.040688,3.278566
0.020000,4.986335,2.285619,1.482360,1.091662,-0.035382,-0.039543,3.284242
0.020000,4.964747,2.282457,1.504178,1.090941,-0.036021,-0.031949,3.289873
0.020000,4.943191,2.279175,1.525983,1.090207,-0.036706,-0.034269,3.295459
0.020000,4.921669,2.275776,1.547772,1.089454,-0.037643,-0.046817,3.300998
0.020000,4.900181,2.272261,1.569545,1.088687,-0.038340,-0.034870,3.306489
0.020000,4.878728,2.268631,1.591304,1.087907,-0.039014,-0.033683,3.311933
0.020000,4.857310,2.264887,1.613046,1.087114,-0.039664,-0.032495,3.317327
0.020000,4.835929,2.261031,1.634772,1.086308,-0.040290,-0.031310,3.322671
0.020000,4.814584,2.257065,1.656482,1.085494,-0.040701,-0.020548,3.327965
