dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.281656
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.281907
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.282471
0.020000,0.900708,0.680000,0.005686,0.176471,2.941176,-0.000000,0.000226
0.020000,0.904825,0.680004,0.009804,0.235294,2.941176,0.000000,0.001541
0.020000,0.910119,0.680016,0.015098,0.294118,2.941176,-0.000000,0.003231
0.020000,0.916590,0.680044,0.021569,0.352941,2.941176,0.000000,0.005295
0.020000,0.924237,0.680094,0.029216,0.411765,2.941176,0.000000,0.007732
0.020000,0.933060,0.680174,0.038039,0.470588,2.941176,0.000000,0.010540
0.020000,0.943059,0.680296,0.048039,0.529412,2.941176,-0.000000,0.013718
0.020000,0.954234,0.680469,0.059216,0.588235,2.941176,0.000000,0.017265
0.020000,0.966585,0.680706,0.071569,0.647059,2.941176,0.000000,0.021178
0.020000,0.980111,0.681022,0.085098,0.705882,2.941176,0.000000,0.025454
0.020000,0.994811,0.681430,0.099804,0.764706,2.941176,-0.000000,0.030091
0.020000,1.010685,0.681948,0.115686,0.823529,2.941176,0.000000,0.035084
0.020000,1.027731,0.682591,0.132745,0.882353,2.941176,-0.000000,0.040431
0.020000,1.045950,0.683380,0.150980,0.941176,2.941176,0.000000,0.046127
0.020000,1.065142,0.684324,0.170196,0.980392,1.960784,-49.019608,0.052106
0.020000,1.084916,0.685416,0.190000,1.000000,0.980392,-49.019608,0.058240
0.020000,1.104878,0.686642,0.210000,1.000000,0.000000,-49.019608,0.064408
0.020000,1.124833,0.687990,0.230000,1.000000,0.000000,0.000000,0.070545
0.020000,1.144778,0.689461,0.250000,1.000000,0.000000,0.000000,0.076650
0.020000,1.164715,0.691053,0.270000,1.000000,0.000000,0.000000,0.082724
0.020000,1.184641,0.692766,0.290000,1.000000,0.000000,0.000000,0.088763
0.020000,1.204557,0.694599,0.310000,1.000000,0.000000,0.000000,0.094768
0.020000,1.224462,0.696551,0.330000,1.000000,0.000000,0.000000,0.100737
0.020000,1.244354,0.698621,0.350000,1.000000,0.000000,0.000000,0.106668
0.020000,1.264234,0.700809,0.370000,1.000000,0.000000,0.000000,0.112561
0.020000,1.284101,0.703114,0.390000,1.000000,0.000000,0.000000,0.118415
0.020000,1.303954,0.705534,0.410000,1.000000,0.000000,0.000000,0.124228
0.020000,1.323792,0.708070,0.430000,1.000000,0.000000,0.000000,0.130000
0.020000,1.343616,0.710719,0.450000,1.000000,0.000000,0.000000,0.135729
0.020000,1.363424,0.713482,0.470000,1.000000,0.000000,0.000000,0.141415
0.020000,1.383217,0.716357,0.490000,1.000000,0.000000,0.000000,0.147056
0.020000,1.402992,0.719343,0.510000,1.000000,0.000000,0.000000,0.152651
0.020000,1.422751,0.722439,0.530000,1.000000,0.000000,0.000000,0.158200
0.020000,1.442493,0.725644,0.550000,1.000000,0.000000,0.000000,0.163702
0.020000,1.462216,0.728957,0.570000,1.000000,0.000000,0.000000,0.169156
0.020000,1.481922,0.732378,0.590000,1.000000,0.000000,0.000000,0.174561
0.020000,1.501608,0.735904,0.610000,1.000000,0.000000,0.000000,0.179917
0.020000,1.521276,0.739535,0.630000,1.000000,0.000000,0.000000,0.185221
0.020000,1.540924,0.743270,0.650000,1.000000,0.000000,0.000000,0.190475
0.020000,1.560552,0.747108,0.670000,1.000000,0.000000,0.000000,0.195677
0.020000,1.580161,0.751047,0.690000,1.000000,0.000000,0.000000,0.200826
0.020000,1.599748,0.755087,0.710000,1.000000,0.000000,0.000000,0.205922
0.020000,1.619315,0.759226,0.730000,1.000000,0.000000,0.000000,0.210965
0.020000,1.638861,0.763462,0.750000,1.000000,0.000000,0.000000,0.215952
0.020000,1.658386,0.767796,0.770000,1.000000,0.000000,0.000000,0.220885
0.020000,1.677889,0.772226,0.790000,1.000000,0.000000,0.000000,0.225763
0.020000,1.697371,0.776750,0.810000,1.000000,0.000000,0.000000,0.230584
0.020000,1.716831,0.781367,0.830000,1.000000,0.000000,0.000000,0.235349
0.020000,1.736268,0.786077,0.850000,1.000000,0.000000,0.000000,0.240057
0.020000,1.755684,0.790877,0.870000,1.000000,0.000000,0.000000,0.244708
0.020000,1.775077,0.795767,0.890000,1.000000,0.000000,0.000000,0.249300
0.020000,1.794447,0.800746,0.910000,1.000000,0.000000,0.000000,0.253835
0.020000,1.813795,0.805812,0.930000,1.000000,0.000000,0.000000,0.258311
0.020000,1.833120,0.810963,0.950000,1.000000,0.000000,0.000000,0.262729
0.020000,1.852422,0.816200,0.970000,1.000000,0.000000,0.000000,0.267087
0.020000,1.871702,0.821520,0.990000,1.000000,0.000000,0.000000,0.271386
0.020000,1.890958,0.826922,1.010000,1.000000,0.000000,0.000000,0.275625
0.020000,1.910192,0.832405,1.030000,1.000000,0.000000,0.000000,0.279804
0.020000,1.929403,0.837968,1.050000,1.000000,0.000000,0.000000,0.283923
0.020000,1.948590,0.843610,1.070000,1.000000,0.000000,0.000000,0.287982
0.020000,1.967755,0.849329,1.090000,1.000000,0.000000,0.000000,0.291980
0.020000,1.986897,0.855123,1.110000,1.000000,0.000000,0.000000,0.295917
0.020000,2.006017,0.860993,1.130000,1.000000,0.000000,0.000000,0.299794
