dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.023000,2.600270,0.000196,0.019608,0.980392,49.019608,4.713225
0.020000,8.023000,2.600059,0.000407,0.010545,-0.453152,-71.677218,4.712572
0.020000,8.022999,2.598038,0.002428,0.101052,4.525379,248.926580,4.711099
0.020000,8.022989,2.594299,0.006167,0.186942,4.294458,-11.546071,4.708629
0.020000,8.022960,2.589055,0.011411,0.262215,3.763657,-26.540025,4.705141
0.020000,8.022896,2.582295,0.018171,0.338001,3.789318,1.283051,4.700603
0.020000,8.022775,2.574007,0.026460,0.414447,3.822320,1.650080,4.694973
0.020000,8.022571,2.564174,0.036295,0.491758,3.865524,2.160196,4.688199
0.020000,8.022250,2.552777,0.047697,0.570091,3.916663,2.556959,4.680216
0.020000,8.021772,2.539792,0.060691,0.649691,3.979994,3.166549,4.670947
0.020000,8.021089,2.525192,0.075307,0.730787,4.054770,3.738805,4.660299
0.020000,8.020143,2.508947,0.091579,0.813642,4.142756,4.399273,4.648163
0.020000,8.018867,2.491021,0.109551,0.898575,4.246686,5.196492,4.634410
0.020000,8.017179,2.471374,0.129270,0.985931,4.367799,6.055676,4.618890
0.020000,8.014984,2.449964,0.150792,1.076114,4.509114,7.065723,4.601428
0.020000,8.012167,2.426743,0.174183,1.169563,4.672491,8.168855,4.581822
0.020000,8.008594,2.401660,0.199519,1.266805,4.862092,9.480086,4.559836
0.020000,8.004154,2.374938,0.226608,1.354447,4.382112,-23.999014,4.535459
0.020000,7.998795,2.347088,0.254968,1.418014,3.178321,-60.189566,4.508966
0.020000,7.992512,2.318654,0.284089,1.456015,1.900069,-63.912569,4.480727
0.020000,7.985284,2.289925,0.313713,1.481200,1.259242,-32.041383,4.450927
0.020000,7.977038,2.260927,0.343861,1.507397,1.309819,2.528885,4.419506
0.020000,7.967695,2.231696,0.374549,1.534406,1.350476,2.032822,4.386412
0.020000,7.957180,2.202279,0.405788,1.561982,1.378816,1.417006,4.351609
