dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900334,1.003000,0.000196,0.019608,0.980392,49.019608,6.282150
0.020000,0.900259,1.003000,0.000271,0.003765,-0.792138,-88.626508,6.282383
0.020000,0.900090,1.003000,0.000441,0.008476,0.235554,51.384614,6.282908
0.020000,0.901816,1.003001,0.002167,0.086323,3.892319,182.838226,0.000598
0.020000,0.905537,1.003005,0.005888,0.186031,4.985406,54.654384,0.001828
0.020000,0.910318,1.003018,0.010670,0.239091,2.653039,-116.618398,0.003413
0.020000,0.916161,1.003043,0.016512,0.292107,2.650782,-0.112827,0.005359
0.020000,0.923061,1.003088,0.023412,0.345027,2.646017,-0.238228,0.007669
0.020000,0.931018,1.003160,0.031370,0.397884,2.642806,-0.160582,0.010351
0.020000,0.940029,1.003267,0.040382,0.450584,2.635019,-0.389322,0.013410
0.020000,0.950092,1.003419,0.050446,0.503199,2.630746,-0.213689,0.016855
0.020000,0.961203,1.003628,0.061559,0.555661,2.623101,-0.382213,0.020693
0.020000,0.973359,1.003905,0.073718,0.607959,2.614903,-0.409930,0.024935
0.020000,0.986556,1.004265,0.086920,0.660088,2.606447,-0.422780,0.029592
0.020000,1.000789,1.004722,0.101160,0.712009,2.596049,-0.519881,0.034675
0.020000,1.016053,1.005294,0.116435,0.763752,2.587148,-0.445092,0.040199
0.020000,1.032343,1.005998,0.132740,0.815226,2.573688,-0.672965,0.046176
0.020000,1.049476,1.006844,0.149894,0.857725,2.124970,-22.435893,0.052557
0.020000,1.067099,1.007830,0.167544,0.882512,1.239350,-44.281010,0.059224
0.020000,1.084859,1.008944,0.185339,0.889748,0.361808,-43.877090,0.066052
0.020000,1.102580,1.010177,0.203103,0.888190,-0.077916,-21.986224,0.072975
0.020000,1.120261,1.011532,0.220836,0.886615,-0.078723,-0.040342,0.079995
0.020000,1.137899,1.013009,0.238536,0.885027,-0.079425,-0.035087,0.087113
0.020000,1.155495,1.014610,0.256205,0.883438,-0.079435,-0.000501,0.094331
0.020000,1.173047,1.016335,0.273841,0.881810,-0.081418,-0.099167,0.101650
0.020000,1.190553,1.018186,0.291444,0.880165,-0.082237,-0.040934,0.109070
0.020000,1.208011,1.020164,0.309014,0.878504,-0.083051,-0.040711,0.116593
0.020000,1.225421,1.022270,0.326551,0.876827,-0.083857,-0.040285,0.124219
0.020000,1.242780,1.024506,0.344054,0.875134,-0.084649,-0.039643,0.131951
0.020000,1.260088,1.026872,0.361522,0.873425,-0.085425,-0.038772,0.139788
0.020000,1.277342,1.029369,0.378956,0.871702,-0.086178,-0.037662,0.147732
0.020000,1.294541,1.032000,0.396355,0.869964,-0.086904,-0.036300,0.155784
0.020000,1.311684,1.034764,0.413720,0.868212,-0.087598,-0.034674,0.163943
0.020000,1.328769,1.037662,0.431049,0.866447,-0.088253,-0.032775,0.172212
0.020000,1.345794,1.040697,0.448342,0.864684,-0.088159,0.004714,0.180591
0.020000,1.362758,1.043869,0.465600,0.862904,-0.088978,-0.040944,0.189080
0.020000,1.379659,1.047178,0.482823,0.861108,-0.089810,-0.041633,0.197680
0.020000,1.396496,1.050627,0.500009,0.859303,-0.090265,-0.022740,0.206392
0.020000,1.413267,1.054215,0.517159,0.857506,-0.089822,0.022154,0.215215
0.020000,1.429969,1.057944,0.534273,0.855704,-0.090105,-0.014172,0.224149
0.020000,1.446602,1.061815,0.551350,0.853882,-0.091112,-0.050331,0.233196
0.020000,1.463165,1.065829,0.568392,0.852081,-0.090016,0.054796,0.242355
0.020000,1.479654,1.069987,0.585397,0.850270,-0.090570,-0.027672,0.251627
0.020000,1.496069,1.074288,0.602367,0.848458,-0.090587,-0.000847,0.261009
0.020000,1.512408,1.078736,0.619300,0.846668,-0.089541,0.052277,0.270504
0.020000,1.528669,1.083329,0.636197,0.844864,-0.090189,-0.032408,0.280109
0.020000,1.544851,1.088069,0.653059,0.843089,-0.088719,0.073531,0.289825
0.020000,1.560951,1.092957,0.669885,0.841312,-0.088858,-0.006985,0.299651
0.020000,1.576969,1.097993,0.686676,0.839553,-0.087964,0.044712,0.309585
0.020000,1.592903,1.103177,0.703433,0.837820,-0.086631,0.066673,0.319627
0.020000,1.608751,1.108512,0.720155,0.836089,-0.086569,0.003096,0.329776
0.020000,1.624512,1.113997,0.736842,0.834395,-0.084691,0.093903,0.340030
0.020000,1.640184,1.119632,0.753497,0.832724,-0.083550,0.057015,0.350388
0.020000,1.655766,1.125419,0.770118,0.831072,-0.082628,0.046124,0.360847
0.020000,1.671255,1.131358,0.786707,0.829451,-0.081011,0.080850,0.371407
0.020000,1.686652,1.137449,0.803265,0.827876,-0.078749,0.113068,0.382064
