dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899666,0.357000,0.000196,0.019608,0.980392,49.019608,6.282150
0.020000,0.899741,0.357000,0.000271,0.003765,-0.792138,-88.626508,6.282383
0.020000,0.899910,0.357000,0.000441,0.008476,0.235554,51.384614,6.282908
0.020000,0.902203,0.357001,0.002733,0.114615,5.306928,253.568705,0.000598
0.020000,0.906717,0.357006,0.007248,0.225729,5.555732,12.440196,0.001828
0.020000,0.912523,0.357021,0.013054,0.290299,3.228461,-116.363547,0.003413
0.020000,0.919622,0.357052,0.020153,0.354953,3.232732,0.213552,0.005359
0.020000,0.928015,0.357107,0.028546,0.419665,3.235579,0.142326,0.007669
0.020000,0.937705,0.357194,0.038236,0.484504,3.241976,0.319851,0.010351
0.020000,0.948692,0.357325,0.049224,0.549395,3.244510,0.126692,0.013410
0.020000,0.960980,0.357511,0.061513,0.614456,3.253083,0.428654,0.016855
0.020000,0.974570,0.357766,0.075106,0.679644,3.259369,0.314311,0.020693
0.020000,0.989466,0.358106,0.090006,0.744981,3.266863,0.374704,0.024935
0.020000,1.005670,0.358548,0.106216,0.810501,3.276006,0.457150,0.029592
0.020000,1.023185,0.359111,0.123740,0.876197,3.284810,0.440188,0.034675
0.020000,1.042015,0.359816,0.142583,0.942149,3.297591,0.639063,0.040199
0.020000,1.062162,0.360686,0.162748,1.008289,3.306984,0.469622,0.046176
0.020000,1.083413,0.361736,0.184025,1.063849,2.778029,-26.447708,0.052557
0.020000,1.105336,0.362963,0.205983,1.097857,1.700393,-53.881826,0.059224
0.020000,1.127498,0.364352,0.228188,1.110271,0.620714,-53.983951,0.066052
0.020000,1.149680,0.365897,0.250424,1.111806,0.076745,-27.198464,0.072975
0.020000,1.171882,0.367598,0.272691,1.113365,0.077932,0.059371,0.079995
0.020000,1.194103,0.369459,0.294990,1.114949,0.079220,0.064403,0.087113
0.020000,1.216343,0.371482,0.317322,1.116576,0.081348,0.106382,0.094331
0.020000,1.238600,0.373670,0.339686,1.118195,0.080938,-0.020474,0.101650
0.020000,1.260872,0.376025,0.362082,1.119834,0.081943,0.050215,0.109070
0.020000,1.283159,0.378550,0.384512,1.121492,0.082894,0.047589,0.116593
0.020000,1.305460,0.381248,0.406976,1.123168,0.083791,0.044851,0.124219
0.020000,1.327773,0.384122,0.429473,1.124860,0.084631,0.041998,0.131951
0.020000,1.350097,0.387173,0.452004,1.126568,0.085412,0.039029,0.139788
0.020000,1.372430,0.390406,0.474570,1.128291,0.086131,0.035942,0.147732
0.020000,1.394771,0.393823,0.497171,1.130027,0.086785,0.032736,0.155784
0.020000,1.417118,0.397426,0.519806,1.131774,0.087374,0.029410,0.163943
0.020000,1.439469,0.401218,0.542477,1.133532,0.087893,0.025961,0.172212
0.020000,1.461823,0.405202,0.565183,1.135318,0.089269,0.068829,0.180591
0.020000,1.484178,0.409382,0.587925,1.137104,0.089315,0.002265,0.189080
0.020000,1.506531,0.413759,0.610703,1.138888,0.089187,-0.006391,0.197680
0.020000,1.528880,0.418337,0.633516,1.140675,0.089394,0.010365,0.206392
0.020000,1.551224,0.423118,0.656366,1.142488,0.090627,0.061662,0.215215
0.020000,1.573560,0.428105,0.679252,1.144302,0.090720,0.004610,0.224149
0.020000,1.595886,0.433301,0.702174,1.146095,0.089644,-0.053764,0.233196
0.020000,1.618198,0.438708,0.725133,1.147919,0.091184,0.076979,0.242355
0.020000,1.640495,0.444330,0.748127,1.149725,0.090295,-0.044471,0.251627
0.020000,1.662773,0.450168,0.771157,1.151523,0.089893,-0.020064,0.261009
0.020000,1.685030,0.456226,0.794224,1.153337,0.090697,0.040208,0.270504
0.020000,1.707262,0.462506,0.817327,1.155116,0.088945,-0.087645,0.280109
0.020000,1.729467,0.469011,0.840465,1.156912,0.089819,0.043745,0.289825
0.020000,1.751642,0.475743,0.863638,1.158676,0.088216,-0.080161,0.299651
0.020000,1.773782,0.482703,0.886847,1.160431,0.087743,-0.023679,0.309585
0.020000,1.795885,0.489896,0.910091,1.162183,0.087585,-0.007893,0.319627
0.020000,1.817946,0.497322,0.933368,1.163890,0.085355,-0.111494,0.329776
0.020000,1.839963,0.504984,0.956680,1.165597,0.085330,-0.001222,0.340030
0.020000,1.861931,0.512883,0.980026,1.167276,0.083958,-0.068631,0.350388
0.020000,1.883847,0.521023,1.003404,1.168915,0.081941,-0.100849,0.360847
0.020000,1.905706,0.529404,1.026815,1.170526,0.080554,-0.069332,0.371407
0.020000,1.927504,0.538028,1.050257,1.172120,0.079734,-0.041004,0.382064
0.020000,1.949238,0.546896,1.073730,1.173667,0.077348,-0.119288,0.392818
