dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.700000,4.400000,0.000196,0.019608,0.980392,49.019608,3.140206
0.020000,4.700000,4.400000,0.000980,0.058824,1.960784,49.019608,3.140505
0.020000,4.700000,4.400000,0.002745,0.117647,2.941176,49.019608,3.141180
0.020000,4.698136,4.399999,0.005686,0.176471,2.941176,-0.000000,3.142307
0.020000,4.694019,4.399993,0.009804,0.235294,2.941176,0.000000,3.143889
0.020000,4.688725,4.399976,0.015098,0.294118,2.941176,-0.000000,3.145934
0.020000,4.682254,4.399939,0.021569,0.352941,2.941176,0.000000,3.148449
0.020000,4.674608,4.399875,0.029216,0.411765,2.941176,0.000000,3.151442
0.020000,4.665785,4.399773,0.038039,0.470588,2.941176,0.000000,3.154925
0.020000,4.655786,4.399620,0.048039,0.529412,2.941176,-0.000000,3.158912
0.020000,4.644612,4.399401,0.059216,0.588235,2.941176,0.000000,3.163417
0.020000,4.632263,4.399101,0.071569,0.647059,2.941176,0.000000,3.168457
0.020000,4.618739,4.398700,0.085098,0.705882,2.941176,0.000000,3.174052
0.020000,4.604042,4.398177,0.099804,0.764706,2.941176,-0.000000,3.180224
0.020000,4.588175,4.397510,0.115686,0.823529,2.941176,0.000000,3.186997
0.020000,4.571136,4.396673,0.132745,0.882353,2.941176,-0.000000,3.194398
0.020000,4.552930,4.395637,0.150980,0.941176,2.941176,0.000000,3.202456
0.020000,4.533755,4.394386,0.170196,0.980392,1.960784,-49.019608,3.211116
0.020000,4.514006,4.392920,0.190000,1.000000,0.980392,-49.019608,3.220224
0.020000,4.494075,4.391256,0.210000,1.000000,0.000000,-49.019608,3.229616
0.020000,4.474161,4.389403,0.230000,1.000000,0.000000,0.000000,3.239205
0.020000,4.454267,4.387357,0.250000,1.000000,0.000000,0.000000,3.248996
0.020000,4.434393,4.385114,0.270000,1.000000,0.000000,0.000000,3.258992
0.020000,4.414543,4.382670,0.290000,1.000000,0.000000,0.000000,3.269197
0.020000,4.394719,4.380022,0.310000,1.000000,0.000000,0.000000,3.279614
0.020000,4.374924,4.377165,0.330000,1.000000,0.000000,0.000000,3.290246
0.020000,4.355161,4.374096,0.350000,1.000000,0.000000,0.000000,3.301097
0.020000,4.335433,4.370811,0.370000,1.000000,0.000000,0.000000,3.312169
0.020000,4.315743,4.367305,0.390000,1.000000,0.000000,0.000000,3.323465
0.020000,4.296094,4.363575,0.410000,1.000000,0.000000,0.000000,3.334987
0.020000,4.276489,4.359616,0.430000,1.000000,0.000000,0.000000,3.346738
