dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899517,0.357000,0.000196,0.019608,0.980392,49.019608,6.281691
0.020000,0.899625,0.357000,0.000304,0.005379,-0.711419,-84.590558,6.282024
0.020000,0.899867,0.357000,0.000546,0.012093,0.335697,52.355814,6.282773
0.020000,0.902237,0.357001,0.002916,0.118527,5.321687,249.299473,0.000834
0.020000,0.906917,0.357009,0.007596,0.233991,5.773201,22.575694,0.002574
0.020000,0.912932,0.357031,0.013611,0.300733,3.337101,-121.804993,0.004805
0.020000,0.920279,0.357076,0.020958,0.367396,3.333126,-0.198745,0.007521
0.020000,0.928958,0.357156,0.029637,0.433950,3.327699,-0.271326,0.010716
0.020000,0.938965,0.357281,0.039645,0.500382,3.321599,-0.305021,0.014382
0.020000,0.950297,0.357468,0.050978,0.566666,3.314206,-0.369644,0.018510
0.020000,0.962950,0.357731,0.063634,0.632785,3.305965,-0.412075,0.023090
0.020000,0.976919,0.358089,0.077608,0.698715,3.296477,-0.474380,0.028109
0.020000,0.992201,0.358560,0.092897,0.764429,3.285697,-0.539009,0.033556
0.020000,1.008788,0.359165,0.109495,0.829908,3.273970,-0.586329,0.039414
0.020000,1.026674,0.359927,0.127398,0.895125,3.260838,-0.656616,0.045669
0.020000,1.045852,0.360867,0.146599,0.960055,3.246505,-0.716648,0.052301
0.020000,1.066314,0.362010,0.167092,1.024672,3.230861,-0.782214,0.059292
0.020000,1.087830,0.363366,0.188651,1.077961,2.664434,-28.321347,0.066548
0.020000,1.109956,0.364923,0.210831,1.109006,1.552243,-55.609541,0.073905
0.020000,1.132248,0.366655,0.233191,1.117953,0.447386,-55.242841,0.081209
0.020000,1.154485,0.368546,0.255508,1.115894,-0.102975,-27.518056,0.088385
0.020000,1.176668,0.370590,0.277785,1.113817,-0.103843,-0.043376,0.095433
0.020000,1.198793,0.372786,0.300019,1.111728,-0.104448,-0.030275,0.102351
0.020000,1.220862,0.375128,0.322212,1.109627,-0.105071,-0.031134,0.109139
0.020000,1.242872,0.377615,0.344362,1.107514,-0.105640,-0.028469,0.115796
0.020000,1.264824,0.380241,0.366470,1.105395,-0.105925,-0.014257,0.122323
0.020000,1.286715,0.383003,0.388535,1.103266,-0.106448,-0.026143,0.128717
0.020000,1.308547,0.385899,0.410558,1.101135,-0.106584,-0.006787,0.134979
0.020000,1.330318,0.388924,0.432538,1.099000,-0.106743,-0.007974,0.141109
0.020000,1.352027,0.392074,0.454475,1.096858,-0.107088,-0.017220,0.147107
0.020000,1.373676,0.395347,0.476370,1.094720,-0.106882,0.010266,0.152972
0.020000,1.395263,0.398739,0.498221,1.092579,-0.107042,-0.007960,0.158705
0.020000,1.416788,0.402246,0.520030,1.090439,-0.107004,0.001871,0.164305
0.020000,1.438251,0.405865,0.541796,1.088305,-0.106713,0.014572,0.169773
0.020000,1.459652,0.409593,0.563519,1.086168,-0.106846,-0.006669,0.175108
0.020000,1.480991,0.413426,0.585200,1.084039,-0.106450,0.019820,0.180312
0.020000,1.502269,0.417360,0.606839,1.081917,-0.106123,0.016318,0.185384
0.020000,1.523485,0.421394,0.628434,1.079792,-0.106241,-0.005866,0.190325
0.020000,1.544639,0.425522,0.649988,1.077681,-0.105549,0.034604,0.195135
0.020000,1.565732,0.429743,0.671500,1.075575,-0.105274,0.013711,0.199815
0.020000,1.586765,0.434052,0.692969,1.073472,-0.105184,0.004508,0.204364
0.020000,1.607737,0.438448,0.714397,1.071382,-0.104471,0.035649,0.208784
0.020000,1.628649,0.442925,0.735783,1.069299,-0.104162,0.015470,0.213075
0.020000,1.649501,0.447483,0.757127,1.067220,-0.103943,0.010940,0.217237
0.020000,1.670294,0.452116,0.778430,1.065156,-0.103217,0.036313,0.221272
0.020000,1.691029,0.456823,0.799692,1.063099,-0.102862,0.017748,0.225179
0.020000,1.711705,0.461601,0.820913,1.061047,-0.102600,0.013084,0.228959
0.020000,1.732323,0.466446,0.842093,1.059010,-0.101858,0.037114,0.232613
