dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.442618,0.657937,0.000196,0.019608,0.980392,49.019608,2.632652
0.020000,4.442714,0.657883,0.000306,0.005512,-0.704771,-84.258163,2.632994
0.020000,4.442931,0.657762,0.000554,0.012406,0.344695,52.473281,2.633762
0.020000,4.442190,0.658173,0.001401,0.042331,1.496257,57.578136,2.635043
0.020000,4.439096,0.659886,0.004938,0.176867,6.726766,261.525451,2.636840
0.020000,4.435114,0.662080,0.009485,0.227328,2.523049,-210.185864,2.639155
0.020000,4.430242,0.664748,0.015039,0.277687,2.517952,-0.254870,2.641992
0.020000,4.424479,0.667881,0.021599,0.328025,2.516892,-0.052970,2.645357
0.020000,4.417819,0.671470,0.029164,0.378224,2.509973,-0.345941,2.649255
0.020000,4.410262,0.675502,0.037730,0.428318,2.504713,-0.263022,2.653692
0.020000,4.401800,0.679966,0.047297,0.478351,2.501639,-0.153711,2.658676
0.020000,4.392430,0.684846,0.057861,0.528197,2.492298,-0.467035,2.664215
0.020000,4.382148,0.690125,0.069420,0.577937,2.486977,-0.266065,2.670316
0.020000,4.370947,0.695786,0.081970,0.627508,2.478582,-0.419758,2.676989
0.020000,4.358821,0.701809,0.095509,0.676966,2.472870,-0.285601,2.684244
0.020000,4.345764,0.708171,0.110034,0.726229,2.463162,-0.485385,2.692090
0.020000,4.331769,0.714850,0.125540,0.775334,2.455245,-0.395849,2.700536
0.020000,4.316980,0.721751,0.141860,0.815977,2.032176,-21.153420,2.709503
0.020000,4.301695,0.728714,0.158657,0.839836,1.192913,-41.963175,2.718812
0.020000,4.286212,0.735592,0.175599,0.847100,0.363199,-41.485695,2.728280
0.020000,4.270684,0.742314,0.192520,0.846043,-0.052809,-20.800388,2.737813
0.020000,4.255110,0.748880,0.209420,0.845037,-0.050343,0.123288,2.747408
0.020000,4.239492,0.755288,0.226302,0.844083,-0.047677,0.133290,2.757062
0.020000,4.223830,0.761538,0.243166,0.843185,-0.044916,0.138044,2.766771
0.020000,4.208122,0.767629,0.260013,0.842354,-0.041543,0.168672,2.776532
0.020000,4.192371,0.773561,0.276844,0.841576,-0.038868,0.133720,2.786341
0.020000,4.176575,0.779333,0.293661,0.840851,-0.036274,0.129728,2.796196
0.020000,4.160736,0.784944,0.310465,0.840189,-0.033114,0.157988,2.806091
0.020000,4.144853,0.790394,0.327257,0.839591,-0.029864,0.162510,2.816023
0.020000,4.128927,0.795682,0.344038,0.839061,-0.026526,0.166884,2.825988
0.020000,4.112957,0.800808,0.360810,0.838599,-0.023105,0.171075,2.835982
0.020000,4.096945,0.805772,0.377574,0.838207,-0.019604,0.175047,2.846000
0.020000,4.080890,0.810573,0.394332,0.837886,-0.016028,0.178768,2.856037
0.020000,4.064792,0.815211,0.411085,0.837638,-0.012384,0.182204,2.866090
0.020000,4.048652,0.819687,0.427834,0.837465,-0.008678,0.185324,2.876154
0.020000,4.032469,0.823999,0.444581,0.837367,-0.004916,0.188101,2.886224
0.020000,4.016244,0.828147,0.461328,0.837354,-0.000616,0.214988,2.896294
0.020000,3.999977,0.832133,0.478077,0.837412,0.002912,0.176394,2.906362
