dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900440,1.003000,0.000196,0.019608,0.980392,49.019608,6.281823
0.020000,0.900381,1.003000,0.000255,0.002948,-0.832981,-90.668664,6.282005
0.020000,0.900249,1.003000,0.000388,0.006632,0.184174,50.857737,6.282416
0.020000,0.900028,1.003000,0.000609,0.011047,0.220778,1.830243,6.283100
0.020000,0.903469,1.003002,0.004050,0.172064,8.050829,391.502547,0.000872
0.020000,0.908366,1.003009,0.008947,0.244849,3.639269,-220.578029,0.002101
0.020000,0.914351,1.003026,0.014933,0.299282,2.721634,-45.881724,0.003603
0.020000,0.921426,1.003058,0.022007,0.353725,2.722144,0.025488,0.005375
0.020000,0.929590,1.003110,0.030171,0.408197,2.723628,0.074220,0.007417
0.020000,0.938843,1.003189,0.039424,0.462672,2.723731,0.005150,0.009728
0.020000,0.949186,1.003303,0.049768,0.517192,2.726013,0.114079,0.012306
0.020000,0.960619,1.003460,0.061203,0.571721,2.726422,0.020471,0.015150
0.020000,0.973143,1.003669,0.073728,0.626285,2.728227,0.090242,0.018257
0.020000,0.986758,1.003941,0.087346,0.680895,2.730508,0.114037,0.021626
0.020000,1.001465,1.004286,0.102057,0.735522,2.731348,0.041978,0.025254
0.020000,1.017263,1.004715,0.117861,0.790204,2.734106,0.137918,0.029138
0.020000,1.034154,1.005243,0.134760,0.844943,2.736936,0.141480,0.033275
0.020000,1.051955,1.005874,0.152573,0.890644,2.285015,-22.596014,0.037619
0.020000,1.070305,1.006606,0.170937,0.918201,1.377884,-45.356559,0.042077
0.020000,1.088839,1.007428,0.189489,0.927598,0.469841,-45.402148,0.046559
0.020000,1.107375,1.008333,0.208047,0.927929,0.016533,-22.665410,0.051022
0.020000,1.125914,1.009321,0.226612,0.928261,0.016600,0.003375,0.055464
0.020000,1.144455,1.010391,0.245184,0.928592,0.016550,-0.002519,0.059885
0.020000,1.162998,1.011544,0.263763,0.928948,0.017794,0.062204,0.064285
0.020000,1.181543,1.012779,0.282349,0.929301,0.017652,-0.007116,0.068663
0.020000,1.200090,1.014095,0.300942,0.929655,0.017721,0.003474,0.073018
0.020000,1.218638,1.015492,0.319543,0.930036,0.019056,0.066728,0.077350
0.020000,1.237187,1.016970,0.338151,0.930408,0.018592,-0.023200,0.081660
0.020000,1.255738,1.018528,0.356767,0.930786,0.018925,0.016652,0.085945
0.020000,1.274289,1.020166,0.375391,0.931189,0.020114,0.059466,0.090206
0.020000,1.292841,1.021884,0.394022,0.931579,0.019531,-0.029180,0.094442
0.020000,1.311394,1.023681,0.412662,0.931984,0.020218,0.034366,0.098654
0.020000,1.329948,1.025557,0.431310,0.932400,0.020824,0.030306,0.102839
0.020000,1.348501,1.027510,0.449966,0.932811,0.020548,-0.013826,0.107000
0.020000,1.367055,1.029542,0.468631,0.933240,0.021441,0.044674,0.111133
0.020000,1.385609,1.031651,0.487304,0.933670,0.021479,0.001909,0.115240
0.020000,1.404163,1.033837,0.505986,0.934100,0.021502,0.001114,0.119321
0.020000,1.422716,1.036100,0.524677,0.934551,0.022578,0.053823,0.123373
0.020000,1.441269,1.038439,0.543377,0.934993,0.022093,-0.024253,0.127398
0.020000,1.459822,1.040853,0.562086,0.935446,0.022645,0.027627,0.131396
0.020000,1.478374,1.043342,0.580804,0.935908,0.023107,0.023084,0.135364
0.020000,1.496925,1.045906,0.599532,0.936367,0.022930,-0.008846,0.139304
0.020000,1.515475,1.048544,0.618268,0.936840,0.023690,0.037963,0.143215
0.020000,1.534024,1.051255,0.637015,0.937312,0.023598,-0.004588,0.147096
0.020000,1.552572,1.054040,0.655770,0.937789,0.023815,0.010837,0.150948
0.020000,1.571119,1.056898,0.674536,0.938277,0.024410,0.029791,0.154770
0.020000,1.589664,1.059827,0.693311,0.938760,0.024178,-0.011623,0.158562
0.020000,1.608208,1.062828,0.712096,0.939255,0.024734,0.027808,0.162323
0.020000,1.626750,1.065900,0.730891,0.939751,0.024811,0.003830,0.166054
