dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900570,1.002999,0.000196,0.019608,0.980392,49.019608,6.281420
0.020000,0.900488,1.003000,0.000278,0.004119,-0.774465,-87.742844,6.281675
0.020000,0.900303,1.003000,0.000464,0.009264,0.257272,51.586832,6.282248
0.020000,0.900051,1.003000,0.000715,0.012555,0.164547,-4.636227,0.000019
0.020000,0.903738,1.003003,0.004401,0.184303,8.587389,421.142064,0.001356
0.020000,0.908477,1.003013,0.009140,0.236969,2.633316,-297.703656,0.003073
0.020000,0.914270,1.003037,0.014933,0.289654,2.634270,0.047720,0.005170
0.020000,0.921117,1.003081,0.021781,0.342371,2.635826,0.077818,0.007646
0.020000,0.929019,1.003152,0.029683,0.395107,2.636800,0.048705,0.010499
0.020000,0.937976,1.003261,0.038640,0.447874,2.638376,0.078770,0.013727
0.020000,0.947988,1.003416,0.048654,0.500671,2.639824,0.072386,0.017327
0.020000,0.959056,1.003630,0.059724,0.553509,2.641905,0.104051,0.021298
0.020000,0.971181,1.003915,0.071852,0.606398,2.644451,0.127321,0.025637
0.020000,0.984363,1.004284,0.085039,0.659346,2.647393,0.147091,0.030340
0.020000,0.998602,1.004752,0.099286,0.712354,2.650411,0.150884,0.035403
0.020000,1.013899,1.005335,0.114595,0.765428,2.653706,0.164792,0.040821
0.020000,1.030255,1.006051,0.130966,0.818581,2.657625,0.195909,0.046590
0.020000,1.047495,1.006907,0.148227,0.863040,2.222965,-21.732981,0.052643
0.020000,1.065266,1.007899,0.166025,0.889924,1.344212,-43.937648,0.058851
0.020000,1.083217,1.009013,0.184011,0.899271,0.467336,-43.843818,0.065089
0.020000,1.101171,1.010239,0.202007,0.899798,0.026364,-22.048554,0.071293
0.020000,1.119128,1.011577,0.220014,0.900362,0.028174,0.090485,0.077462
0.020000,1.137089,1.013027,0.238033,0.900942,0.029021,0.042325,0.083596
0.020000,1.155052,1.014587,0.256063,0.901529,0.029356,0.016787,0.089693
0.020000,1.173017,1.016258,0.274107,0.902158,0.031459,0.105113,0.095751
0.020000,1.190985,1.018038,0.292162,0.902784,0.031260,-0.009948,0.101771
0.020000,1.208955,1.019927,0.310231,0.903432,0.032437,0.058872,0.107750
0.020000,1.226926,1.021925,0.328313,0.904107,0.033711,0.063694,0.113688
0.020000,1.244899,1.024031,0.346409,0.904783,0.033820,0.005432,0.119583
0.020000,1.262873,1.026244,0.364518,0.905487,0.035191,0.068557,0.125435
0.020000,1.280848,1.028564,0.382643,0.906203,0.035796,0.030241,0.131243
0.020000,1.298823,1.030990,0.400781,0.906927,0.036224,0.021433,0.137006
0.020000,1.316800,1.033521,0.418935,0.907679,0.037589,0.068250,0.142722
0.020000,1.334776,1.036156,0.437103,0.908435,0.037800,0.010514,0.148392
0.020000,1.352753,1.038895,0.455287,0.909203,0.038404,0.030213,0.154014
0.020000,1.370729,1.041737,0.473487,0.909996,0.039657,0.062652,0.159587
0.020000,1.388706,1.044682,0.491703,0.910790,0.039685,0.001401,0.165110
0.020000,1.406681,1.047728,0.509935,0.911598,0.040414,0.036462,0.170584
0.020000,1.424657,1.050874,0.528184,0.912424,0.041313,0.044959,0.176007
0.020000,1.442631,1.054121,0.546449,0.913254,0.041476,0.008122,0.181378
0.020000,1.460604,1.057466,0.564731,0.914097,0.042148,0.033593,0.186697
0.020000,1.478576,1.060910,0.583030,0.914953,0.042807,0.032945,0.191963
0.020000,1.496547,1.064452,0.601346,0.915814,0.043041,0.011727,0.197175
0.020000,1.514516,1.068090,0.619680,0.916686,0.043629,0.029379,0.202334
0.020000,1.532483,1.071824,0.638031,0.917569,0.044123,0.024691,0.207438
0.020000,1.550449,1.075652,0.656400,0.918457,0.044388,0.013297,0.212487
0.020000,1.568413,1.079575,0.674787,0.919354,0.044878,0.024490,0.217481
0.020000,1.586375,1.083591,0.693192,0.920259,0.045256,0.018872,0.222418
0.020000,1.604334,1.087699,0.711616,0.921170,0.045528,0.013600,0.227299
0.020000,1.622291,1.091898,0.730058,0.922088,0.045915,0.019360,0.232123
0.020000,1.640246,1.096187,0.748518,0.923012,0.046208,0.014635,0.236890
0.020000,1.658199,1.100566,0.766997,0.923942,0.046471,0.013146,0.241600
0.020000,1.676149,1.105034,0.785494,0.924877,0.046755,0.014236,0.246251
0.020000,1.694096,1.109589,0.804011,0.925817,0.046985,0.011500,0.250845
0.020000,1.712041,1.114231,0.822546,0.926761,0.047230,0.012243,0.255379
0.020000,1.729983,1.118958,0.841100,0.927710,0.047415,0.009223,0.259855
0.020000,1.747922,1.123770,0.859673,0.928662,0.047600,0.009259,0.264273
0.020000,1.765858,1.128666,0.878266,0.929618,0.047821,0.011042,0.268631
0.020000,1.783791,1.133644,0.896877,0.930576,0.047907,0.004328,0.272929
0.020000,1.801722,1.138704,0.915508,0.931537,0.048065,0.007895,0.277168
0.020000,1.819649,1.143845,0.934158,0.932502,0.048257,0.009585,0.281348
0.020000,1.837574,1.149065,0.952827,0.933467,0.048247,-0.000503,0.285467
0.020000,1.855495,1.154365,0.971516,0.934435,0.048397,0.007514,0.289527
0.020000,1.873414,1.159742,0.990224,0.935406,0.048554,0.007839,0.293527
0.020000,1.891330,1.165196,1.008952,0.936375,0.048447,-0.005362,0.297466
0.020000,1.909243,1.170725,1.027699,0.937348,0.048612,0.008281,0.301345
0.020000,1.927153,1.176330,1.046465,0.938322,0.048727,0.005731,0.305165
0.020000,1.945060,1.182007,1.065251,0.939293,0.048520,-0.010347,0.308923
0.020000,1.962965,1.187758,1.084056,0.940267,0.048727,0.010370,0.312622
0.020000,1.980867,1.193580,1.102881,0.941243,0.048791,0.003169,0.316260
0.020000,1.998766,1.199473,1.121725,0.942212,0.048480,-0.015545,0.319838
0.020000,2.016662,1.205436,1.140589,0.943188,0.048758,0.013933,0.323356
0.020000,2.034556,1.211467,1.159472,0.944162,0.048726,-0.001607,0.326814
0.020000,2.052448,1.217566,1.178375,0.945130,0.048406,-0.015987,0.330211
0.020000,2.070338,1.223731,1.197297,0.946104,0.048687,0.014030,0.333548
0.020000,2.088225,1.229962,1.216239,0.947075,0.048551,-0.006818,0.336825
0.020000,2.106110,1.236257,1.235199,0.948041,0.048307,-0.012193,0.340042
0.020000,2.123994,1.242616,1.254180,0.949012,0.048530,0.011174,0.343200
0.020000,2.141875,1.249037,1.273179,0.949978,0.048291,-0.011961,0.346297
0.020000,2.159755,1.255520,1.292198,0.950941,0.048166,-0.006238,0.349335
0.020000,2.177634,1.262063,1.311236,0.951907,0.048314,0.007385,0.352313
0.020000,2.195511,1.268665,1.330293,0.952866,0.047961,-0.017646,0.355231
0.020000,2.213387,1.275326,1.349370,0.953826,0.047996,0.001722,0.358090
0.020000,2.231262,1.282044,1.368466,0.954787,0.048050,0.002721,0.360890
0.020000,2.249136,1.288818,1.387580,0.955739,0.047575,-0.023770,0.363630
0.020000,2.267010,1.295647,1.406714,0.956695,0.047803,0.011435,0.366311
0.020000,2.284883,1.302531,1.425867,0.957649,0.047685,-0.005899,0.368934
0.020000,2.302756,1.309468,1.445039,0.958594,0.047273,-0.020633,0.371498
0.020000,2.320629,1.316457,1.464230,0.959545,0.047533,0.013008,0.374003
0.020000,2.338502,1.323497,1.483440,0.960489,0.047234,-0.014953,0.376449
0.020000,2.356376,1.330587,1.502669,0.961431,0.047061,-0.008619,0.378837
0.020000,2.374250,1.337726,1.521916,0.962375,0.047193,0.006592,0.381167
0.020000,2.392125,1.344914,1.541182,0.963310,0.046757,-0.021789,0.383439
0.020000,2.410002,1.352149,1.560467,0.964247,0.046848,0.004539,0.385653
0.020000,2.427880,1.359429,1.579771,0.965183,0.046812,-0.001792,0.387809
0.020000,2.445759,1.366755,1.599093,0.966109,0.046328,-0.024236,0.389907
0.020000,2.463641,1.374125,1.618434,0.967042,0.046607,0.013956,0.391948
0.020000,2.481525,1.381538,1.637793,0.967968,0.046312,-0.014750,0.393931
0.020000,2.499411,1.388993,1.657171,0.968890,0.046130,-0.009084,0.395857
0.020000,2.517301,1.396489,1.676567,0.969815,0.046252,0.006091,0.397727
0.020000,2.535193,1.404025,1.695982,0.970732,0.045818,-0.021697,0.399539
0.020000,2.553089,1.411600,1.715415,0.971651,0.045938,0.006014,0.401294
0.020000,2.570988,1.419213,1.734866,0.972567,0.045836,-0.005130,0.402993
0.020000,2.588892,1.426863,1.754336,0.973477,0.045479,-0.017827,0.404635
0.020000,2.606800,1.434550,1.773824,0.974391,0.045683,0.010221,0.406221
0.020000,2.624712,1.442271,1.793330,0.975298,0.045358,-0.016266,0.407750
0.020000,2.642630,1.450026,1.812854,0.976204,0.045318,-0.001999,0.409224
0.020000,2.660553,1.457815,1.832396,0.977111,0.045357,0.001960,0.410641
0.020000,2.678482,1.465636,1.851956,0.978010,0.044920,-0.021894,0.412003
0.020000,2.696417,1.473487,1.871534,0.978913,0.045161,0.012070,0.413308
0.020000,2.714358,1.481369,1.891131,0.979811,0.044918,-0.012142,0.414559
0.020000,2.732306,1.489281,1.910745,0.980707,0.044794,-0.006192,0.415753
