dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.281420
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.281675
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.282248
0.020000,0.900058,0.680000,0.005686,0.176471,2.941176,-0.000000,0.000019
0.020000,0.904175,0.680003,0.009804,0.235294,2.941176,0.000000,0.001356
0.020000,0.909470,0.680015,0.015098,0.294118,2.941176,-0.000000,0.003073
0.020000,0.915940,0.680041,0.021569,0.352941,2.941176,0.000000,0.005170
0.020000,0.923587,0.680090,0.029216,0.411765,2.941176,0.000000,0.007646
0.020000,0.932410,0.680170,0.038039,0.470588,2.941176,0.000000,0.010499
0.020000,0.942409,0.680291,0.048039,0.529412,2.941176,-0.000000,0.013727
0.020000,0.953585,0.680465,0.059216,0.588235,2.941176,0.000000,0.017327
0.020000,0.965935,0.680704,0.071569,0.647059,2.941176,0.000000,0.021298
0.020000,0.979461,0.681021,0.085098,0.705882,2.941176,0.000000,0.025637
0.020000,0.994161,0.681433,0.099804,0.764706,2.941176,-0.000000,0.030340
0.020000,1.010035,0.681955,0.115686,0.823529,2.941176,0.000000,0.035403
0.020000,1.027081,0.682605,0.132745,0.882353,2.941176,-0.000000,0.040821
0.020000,1.045299,0.683401,0.150980,0.941176,2.941176,0.000000,0.046590
0.020000,1.064491,0.684354,0.170196,0.980392,1.960784,-49.019608,0.052643
0.020000,1.084264,0.685458,0.190000,1.000000,0.980392,-49.019608,0.058851
0.020000,1.104226,0.686697,0.210000,1.000000,0.000000,-49.019608,0.065089
0.020000,1.124179,0.688059,0.230000,1.000000,0.000000,0.000000,0.071293
0.020000,1.144124,0.689546,0.250000,1.000000,0.000000,0.000000,0.077462
0.020000,1.164059,0.691155,0.270000,1.000000,0.000000,0.000000,0.083596
0.020000,1.183984,0.692885,0.290000,1.000000,0.000000,0.000000,0.089693
0.020000,1.203898,0.694737,0.310000,1.000000,0.000000,0.000000,0.095751
0.020000,1.223800,0.696709,0.330000,1.000000,0.000000,0.000000,0.101771
0.020000,1.243690,0.698801,0.350000,1.000000,0.000000,0.000000,0.107750
0.020000,1.263568,0.701011,0.370000,1.000000,0.000000,0.000000,0.113688
0.020000,1.283432,0.703338,0.390000,1.000000,0.000000,0.000000,0.119583
0.020000,1.303282,0.705782,0.410000,1.000000,0.000000,0.000000,0.125435
0.020000,1.323118,0.708342,0.430000,1.000000,0.000000,0.000000,0.131243
0.020000,1.342938,0.711017,0.450000,1.000000,0.000000,0.000000,0.137006
0.020000,1.362743,0.713805,0.470000,1.000000,0.000000,0.000000,0.142722
0.020000,1.382531,0.716706,0.490000,1.000000,0.000000,0.000000,0.148392
0.020000,1.402303,0.719718,0.510000,1.000000,0.000000,0.000000,0.154014
0.020000,1.422057,0.722842,0.530000,1.000000,0.000000,0.000000,0.159587
0.020000,1.441794,0.726074,0.550000,1.000000,0.000000,0.000000,0.165110
0.020000,1.461513,0.729416,0.570000,1.000000,0.000000,0.000000,0.170584
0.020000,1.481214,0.732864,0.590000,1.000000,0.000000,0.000000,0.176007
0.020000,1.500895,0.736419,0.610000,1.000000,0.000000,0.000000,0.181378
0.020000,1.520557,0.740079,0.630000,1.000000,0.000000,0.000000,0.186697
0.020000,1.540200,0.743843,0.650000,1.000000,0.000000,0.000000,0.191963
0.020000,1.559822,0.747710,0.670000,1.000000,0.000000,0.000000,0.197175
0.020000,1.579425,0.751679,0.690000,1.000000,0.000000,0.000000,0.202334
0.020000,1.599006,0.755748,0.710000,1.000000,0.000000,0.000000,0.207438
0.020000,1.618567,0.759917,0.730000,1.000000,0.000000,0.000000,0.212487
0.020000,1.638107,0.764184,0.750000,1.000000,0.000000,0.000000,0.217481
0.020000,1.657625,0.768547,0.770000,1.000000,0.000000,0.000000,0.222418
0.020000,1.677121,0.773007,0.790000,1.000000,0.000000,0.000000,0.227299
0.020000,1.696596,0.777561,0.810000,1.000000,0.000000,0.000000,0.232123
0.020000,1.716048,0.782208,0.830000,1.000000,0.000000,0.000000,0.236890
0.020000,1.735479,0.786948,0.850000,1.000000,0.000000,0.000000,0.241600
0.020000,1.754887,0.791778,0.870000,1.000000,0.000000,0.000000,0.246251
0.020000,1.774272,0.796698,0.890000,1.000000,0.000000,0.000000,0.250845
0.020000,1.793635,0.801706,0.910000,1.000000,0.000000,0.000000,0.255379
0.020000,1.812975,0.806802,0.930000,1.000000,0.000000,0.000000,0.259855
0.020000,1.832292,0.811984,0.950000,1.000000,0.000000,0.000000,0.264273
0.020000,1.851586,0.817250,0.970000,1.000000,0.000000,0.000000,0.268631
0.020000,1.870857,0.822600,0.990000,1.000000,0.000000,0.000000,0.272929
0.020000,1.890105,0.828032,1.010000,1.000000,0.000000,0.000000,0.277168
0.020000,1.909330,0.833545,1.030000,1.000000,0.000000,0.000000,0.281348
0.020000,1.928533,0.839137,1.050000,1.000000,0.000000,0.000000,0.285467
0.020000,1.947712,0.844808,1.070000,1.000000,0.000000,0.000000,0.289527
0.020000,1.966868,0.850557,1.090000,1.000000,0.000000,0.000000,0.293527
0.020000,1.986001,0.856381,1.110000,1.000000,0.000000,0.000000,0.297466
0.020000,2.005111,0.862280,1.130000,1.000000,0.000000,0.000000,0.301345
0.020000,2.024198,0.868253,1.150000,1.000000,0.000000,0.000000,0.305165
0.020000,2.043263,0.874298,1.170000,1.000000,0.000000,0.000000,0.308923
0.020000,2.062305,0.880414,1.190000,1.000000,0.000000,0.000000,0.312622
0.020000,2.081324,0.886600,1.210000,1.000000,0.000000,0.000000,0.316260
0.020000,2.100321,0.892854,1.230000,1.000000,0.000000,0.000000,0.319838
0.020000,2.119296,0.899176,1.250000,1.000000,0.000000,0.000000,0.323356
0.020000,2.138248,0.905564,1.270000,1.000000,0.000000,0.000000,0.326814
0.020000,2.157179,0.912016,1.290000,1.000000,0.000000,0.000000,0.330211
0.020000,2.176087,0.918533,1.310000,1.000000,0.000000,0.000000,0.333548
0.020000,2.194974,0.925112,1.330000,1.000000,0.000000,0.000000,0.336825
0.020000,2.213839,0.931752,1.350000,1.000000,0.000000,0.000000,0.340042
0.020000,2.232684,0.938453,1.370000,1.000000,0.000000,0.000000,0.343200
0.020000,2.251507,0.945212,1.390000,1.000000,0.000000,0.000000,0.346297
0.020000,2.270309,0.952029,1.410000,1.000000,0.000000,0.000000,0.349335
0.020000,2.289091,0.958902,1.430000,1.000000,0.000000,0.000000,0.352313
0.020000,2.307852,0.965831,1.450000,1.000000,0.000000,0.000000,0.355231
0.020000,2.326594,0.972814,1.470000,1.000000,0.000000,0.000000,0.358090
0.020000,2.345315,0.979850,1.490000,1.000000,0.000000,0.000000,0.360890
0.020000,2.364017,0.986938,1.510000,1.000000,0.000000,0.000000,0.363630
0.020000,2.382700,0.994077,1.530000,1.000000,0.000000,0.000000,0.366311
0.020000,2.401363,1.001265,1.550000,1.000000,0.000000,0.000000,0.368934
0.020000,2.420008,1.008501,1.570000,1.000000,0.000000,0.000000,0.371498
0.020000,2.438635,1.015785,1.590000,1.000000,0.000000,0.000000,0.374003
0.020000,2.457243,1.023115,1.610000,1.000000,0.000000,0.000000,0.376449
0.020000,2.475834,1.030489,1.630000,1.000000,0.000000,0.000000,0.378837
0.020000,2.494407,1.037908,1.650000,1.000000,0.000000,0.000000,0.381167
0.020000,2.512963,1.045369,1.670000,1.000000,0.000000,0.000000,0.383439
0.020000,2.531503,1.052872,1.690000,1.000000,0.000000,0.000000,0.385653
0.020000,2.550026,1.060415,1.710000,1.000000,0.000000,0.000000,0.387809
0.020000,2.568532,1.067998,1.730000,1.000000,0.000000,0.000000,0.389907
0.020000,2.587024,1.075619,1.750000,1.000000,0.000000,0.000000,0.391948
0.020000,2.605499,1.083277,1.770000,1.000000,0.000000,0.000000,0.393931
0.020000,2.623960,1.090971,1.790000,1.000000,0.000000,0.000000,0.395857
0.020000,2.642406,1.098701,1.810000,1.000000,0.000000,0.000000,0.397727
0.020000,2.660838,1.106464,1.830000,1.000000,0.000000,0.000000,0.399539
0.020000,2.679256,1.114260,1.850000,1.000000,0.000000,0.000000,0.401294
0.020000,2.697660,1.122088,1.870000,1.000000,0.000000,0.000000,0.402993
0.020000,2.716052,1.129947,1.890000,1.000000,0.000000,0.000000,0.404635
0.020000,2.734430,1.137835,1.910000,1.000000,0.000000,0.000000,0.406221
0.020000,2.752797,1.145752,1.930000,1.000000,0.000000,0.000000,0.407750
0.020000,2.771151,1.153697,1.950000,1.000000,0.000000,0.000000,0.409224
0.020000,2.789494,1.161668,1.970000,1.000000,0.000000,0.000000,0.410641
0.020000,2.807826,1.169664,1.990000,1.000000,0.000000,0.000000,0.412003
0.020000,2.826147,1.177685,2.010000,1.000000,0.000000,0.000000,0.413308
0.020000,2.844458,1.185729,2.030000,1.000000,0.000000,0.000000,0.414559
0.020000,2.862759,1.193796,2.050000,1.000000,0.000000,0.000000,0.415753
0.020000,2.881050,1.201884,2.070000,1.000000,0.000000,0.000000,0.416892
0.020000,2.899333,1.209993,2.090000,1.000000,0.000000,0.000000,0.417976
0.020000,2.917607,1.218120,2.110000,1.000000,0.000000,0.000000,0.419005
0.020000,2.935873,1.226266,2.130000,1.000000,0.000000,0.000000,0.419978
0.020000,2.954131,1.234430,2.150000,1.000000,0.000000,0.000000,0.420897
0.020000,2.972382,1.242609,2.170000,1.000000,0.000000,0.000000,0.421760
0.020000,2.990626,1.250804,2.190000,1.000000,0.000000,0.000000,0.422569
0.020000,3.008864,1.259013,2.210000,1.000000,0.000000,0.000000,0.423322
0.020000,3.027095,1.267235,2.230000,1.000000,0.000000,0.000000,0.424022
0.020000,3.045321,1.275470,2.250000,1.000000,0.000000,0.000000,0.424666
0.020000,3.063543,1.283716,2.270000,1.000000,0.000000,0.000000,0.425256
0.020000,3.081759,1.291972,2.290000,1.000000,0.000000,0.000000,0.425791
0.020000,3.099971,1.300237,2.310000,1.000000,0.000000,0.000000,0.426272
0.020000,3.118180,1.308511,2.330000,1.000000,0.000000,0.000000,0.426699
0.020000,3.136385,1.316791,2.350000,1.000000,0.000000,0.000000,0.427071
0.020000,3.154587,1.325078,2.370000,1.000000,0.000000,0.000000,0.427389
0.020000,3.172787,1.333371,2.390000,1.000000,0.000000,0.000000,0.427652
0.020000,3.190985,1.341668,2.410000,1.000000,0.000000,0.000000,0.427861
0.020000,3.209181,1.349968,2.430000,1.000000,0.000000,0.000000,0.428016
0.020000,3.227377,1.358270,2.450000,1.000000,0.000000,0.000000,0.428117
0.020000,3.245572,1.366574,2.470000,1.000000,0.000000,0.000000,0.428163
