dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899430,0.357001,0.000196,0.019608,0.980392,49.019608,6.281420
0.020000,0.899512,0.357000,0.000278,0.004119,-0.774465,-87.742844,6.281675
0.020000,0.899697,0.357000,0.000464,0.009264,0.257272,51.586832,6.282248
0.020000,0.900064,0.357000,0.000830,0.018308,0.452211,9.746945,0.000019
0.020000,0.904613,0.357003,0.005380,0.227485,10.458836,500.331253,0.001356
0.020000,0.910462,0.357016,0.011229,0.292445,3.248025,-360.540553,0.003073
0.020000,0.917610,0.357046,0.018376,0.357394,3.247431,-0.029676,0.005170
0.020000,0.926057,0.357100,0.026823,0.422336,3.247116,-0.015742,0.007646
0.020000,0.935801,0.357188,0.036568,0.487248,3.245578,-0.076942,0.010499
0.020000,0.946843,0.357322,0.047611,0.552132,3.244226,-0.067570,0.013727
0.020000,0.959181,0.357513,0.059950,0.616975,3.242108,-0.105929,0.017327
0.020000,0.972814,0.357777,0.073586,0.681777,3.240098,-0.100495,0.021298
0.020000,0.987741,0.358127,0.088516,0.746535,3.237920,-0.108866,0.025637
0.020000,1.003959,0.358581,0.104741,0.811243,3.235415,-0.125284,0.030340
0.020000,1.021467,0.359157,0.122259,0.875885,3.232108,-0.165329,0.035403
0.020000,1.040263,0.359874,0.141068,0.940449,3.228167,-0.197082,0.040821
0.020000,1.060342,0.360752,0.161167,1.004927,3.223926,-0.212052,0.046590
0.020000,1.081487,0.361802,0.182337,1.058545,2.680863,-27.153148,0.052643
0.020000,1.103262,0.363017,0.204146,1.090443,1.594932,-54.296513,0.058851
0.020000,1.125234,0.364381,0.226161,1.100744,0.515057,-53.993764,0.065089
0.020000,1.147187,0.365880,0.248165,1.100189,-0.027756,-27.140670,0.071293
0.020000,1.169119,0.367514,0.270158,1.099635,-0.027705,0.002565,0.077462
0.020000,1.191029,0.369282,0.292139,1.099059,-0.028789,-0.054188,0.083596
0.020000,1.212915,0.371184,0.314108,1.098450,-0.030449,-0.082986,0.089693
0.020000,1.234778,0.373217,0.336065,1.097852,-0.029910,0.026950,0.095751
0.020000,1.256615,0.375380,0.358009,1.097210,-0.032125,-0.110769,0.101771
0.020000,1.278426,0.377674,0.379940,1.096557,-0.032615,-0.024495,0.107750
0.020000,1.300210,0.380096,0.401858,1.095899,-0.032940,-0.016246,0.113688
0.020000,1.321965,0.382645,0.423762,1.095206,-0.034626,-0.084316,0.119583
0.020000,1.343692,0.385320,0.445653,1.094511,-0.034731,-0.005239,0.125435
0.020000,1.365388,0.388120,0.467528,1.093797,-0.035711,-0.049031,0.131243
0.020000,1.387052,0.391043,0.489390,1.093060,-0.036850,-0.056934,0.137006
0.020000,1.408686,0.394089,0.511236,1.092324,-0.036807,0.002148,0.142722
0.020000,1.430286,0.397255,0.533067,1.091562,-0.038102,-0.064726,0.148392
0.020000,1.451853,0.400542,0.554883,1.090785,-0.038866,-0.038236,0.154014
0.020000,1.473385,0.403946,0.576683,1.090009,-0.038800,0.003315,0.159587
0.020000,1.494883,0.407467,0.598467,1.089206,-0.040148,-0.067409,0.165110
0.020000,1.516345,0.411104,0.620235,1.088394,-0.040601,-0.022659,0.170584
0.020000,1.537771,0.414854,0.641987,1.087578,-0.040800,-0.009906,0.176007
0.020000,1.559159,0.418718,0.663722,1.086741,-0.041823,-0.051163,0.181378
0.020000,1.580511,0.422692,0.685440,1.085898,-0.042185,-0.018125,0.186697
0.020000,1.601824,0.426776,0.707141,1.085047,-0.042512,-0.016325,0.191963
0.020000,1.623098,0.430969,0.728824,1.084182,-0.043290,-0.038886,0.197175
0.020000,1.644334,0.435268,0.750490,1.083310,-0.043597,-0.015372,0.202334
0.020000,1.665529,0.439673,0.772139,1.082430,-0.043965,-0.018417,0.207438
0.020000,1.686685,0.444181,0.793770,1.081539,-0.044552,-0.029350,0.212487
0.020000,1.707800,0.448792,0.815383,1.080643,-0.044826,-0.013686,0.217481
0.020000,1.728875,0.453504,0.836977,1.079739,-0.045184,-0.017901,0.222418
0.020000,1.749908,0.458315,0.858554,1.078827,-0.045618,-0.021705,0.227299
0.020000,1.770900,0.463223,0.880112,1.077909,-0.045871,-0.012626,0.232123
0.020000,1.791850,0.468229,0.901652,1.076985,-0.046188,-0.015892,0.236890
0.020000,1.812758,0.473329,0.923173,1.076056,-0.046497,-0.015402,0.241600
0.020000,1.833624,0.478522,0.944675,1.075121,-0.046736,-0.011965,0.246251
0.020000,1.854448,0.483807,0.966159,1.074181,-0.046997,-0.013038,0.250845
0.020000,1.875228,0.489182,0.987624,1.073237,-0.047199,-0.010121,0.255379
0.020000,1.895966,0.494646,1.009069,1.072288,-0.047432,-0.011625,0.259855
0.020000,1.916662,0.500197,1.030496,1.071336,-0.047624,-0.009639,0.264273
0.020000,1.937314,0.505834,1.051904,1.070381,-0.047739,-0.005712,0.268631
0.020000,1.957923,0.511555,1.073292,1.069422,-0.047971,-0.011628,0.272929
0.020000,1.978489,0.517359,1.094661,1.068460,-0.048086,-0.005757,0.277168
0.020000,1.999012,0.523244,1.116011,1.067497,-0.048129,-0.002141,0.281348
0.020000,2.019491,0.529209,1.137342,1.066530,-0.048370,-0.012056,0.285467
0.020000,2.039928,0.535252,1.158653,1.065562,-0.048396,-0.001300,0.289527
0.020000,2.060321,0.541372,1.179945,1.064594,-0.048385,0.000552,0.293527
0.020000,2.080672,0.547567,1.201218,1.063621,-0.048645,-0.013016,0.297466
0.020000,2.100979,0.553835,1.222471,1.062650,-0.048567,0.003898,0.301345
0.020000,2.121244,0.560176,1.243704,1.061680,-0.048522,0.002293,0.305165
0.020000,2.141466,0.566588,1.264918,1.060703,-0.048814,-0.014611,0.308923
0.020000,2.161645,0.573069,1.286113,1.059731,-0.048613,0.010027,0.312622
0.020000,2.181782,0.579619,1.307288,1.058760,-0.048553,0.003000,0.316260
0.020000,2.201876,0.586235,1.328444,1.057782,-0.048892,-0.016922,0.319838
0.020000,2.221929,0.592915,1.349580,1.056811,-0.048547,0.017245,0.323356
0.020000,2.241940,0.599660,1.370697,1.055841,-0.048532,0.000736,0.326814
0.020000,2.261909,0.606467,1.391794,1.054864,-0.048819,-0.014369,0.330211
0.020000,2.281837,0.613335,1.412872,1.053896,-0.048419,0.020032,0.333548
0.020000,2.301723,0.620262,1.433930,1.052926,-0.048468,-0.002443,0.336825
0.020000,2.321569,0.627247,1.454969,1.051954,-0.048620,-0.007596,0.340042
0.020000,2.341374,0.634289,1.475989,1.050989,-0.048239,0.019055,0.343200
0.020000,2.361139,0.641386,1.496990,1.050022,-0.048357,-0.005945,0.346297
0.020000,2.380863,0.648538,1.517971,1.049055,-0.048336,0.001056,0.349335
0.020000,2.400548,0.655742,1.538933,1.048095,-0.048004,0.016635,0.352313
0.020000,2.420194,0.662997,1.559875,1.047131,-0.048212,-0.010415,0.355231
0.020000,2.439801,0.670303,1.580799,1.046171,-0.047984,0.011406,0.358090
0.020000,2.459369,0.677657,1.601703,1.045217,-0.047726,0.012887,0.360890
0.020000,2.478898,0.685059,1.622588,1.044256,-0.048040,-0.015694,0.363630
0.020000,2.498390,0.692506,1.643454,1.043305,-0.047576,0.023177,0.366311
0.020000,2.517844,0.699999,1.664301,1.042355,-0.047486,0.004510,0.368934
0.020000,2.537261,0.707535,1.685129,1.041401,-0.047710,-0.011195,0.371498
0.020000,2.556641,0.715113,1.705939,1.040457,-0.047198,0.025619,0.374003
0.020000,2.575985,0.722732,1.726729,1.039511,-0.047289,-0.004558,0.376449
0.020000,2.595293,0.730391,1.747500,1.038566,-0.047238,0.002529,0.378837
0.020000,2.614565,0.738089,1.768253,1.037629,-0.046857,0.019079,0.381167
0.020000,2.633802,0.745824,1.788986,1.036687,-0.047085,-0.011426,0.383439
0.020000,2.653004,0.753595,1.809701,1.035752,-0.046745,0.017035,0.385653
0.020000,2.672172,0.761401,1.830398,1.034822,-0.046540,0.010218,0.387809
0.020000,2.691306,0.769241,1.851076,1.033885,-0.046816,-0.013790,0.389907
0.020000,2.710406,0.777113,1.871735,1.032960,-0.046274,0.027106,0.391948
0.020000,2.729474,0.785017,1.892375,1.032033,-0.046347,-0.003663,0.393931
0.020000,2.748509,0.792950,1.912998,1.031107,-0.046300,0.002373,0.395857
0.020000,2.767512,0.800913,1.933601,1.030188,-0.045931,0.018419,0.397727
0.020000,2.786483,0.808903,1.954187,1.029265,-0.046156,-0.011217,0.399539
0.020000,2.805423,0.816920,1.974754,1.028349,-0.045794,0.018079,0.401294
0.020000,2.824332,0.824963,1.995302,1.027436,-0.045673,0.006076,0.402993
0.020000,2.843211,0.833030,2.015833,1.026519,-0.045822,-0.007476,0.404635
0.020000,2.862061,0.841121,2.036345,1.025612,-0.045384,0.021924,0.406221
0.020000,2.880881,0.849233,2.056839,1.024702,-0.045508,-0.006209,0.407750
0.020000,2.899672,0.857367,2.077315,1.023795,-0.045336,0.008597,0.409224
0.020000,2.918435,0.865520,2.097773,1.022893,-0.045086,0.012469,0.410641
0.020000,2.937170,0.873692,2.118213,1.021986,-0.045341,-0.012747,0.412003
0.020000,2.955877,0.881883,2.138634,1.021088,-0.044891,0.022500,0.413308
0.020000,2.974558,0.890089,2.159038,1.020189,-0.044953,-0.003102,0.414559
0.020000,2.993212,0.898312,2.179424,1.019291,-0.044897,0.002829,0.415753
0.020000,3.011840,0.906549,2.199792,1.018399,-0.044637,0.013013,0.416892
0.020000,3.030442,0.914799,2.220142,1.017502,-0.044820,-0.009188,0.417976
0.020000,3.049020,0.923062,2.240474,1.016612,-0.044507,0.015642,0.419005
0.020000,3.067573,0.931336,2.260789,1.015722,-0.044503,0.000206,0.419978
0.020000,3.086102,0.939620,2.281085,1.014832,-0.044504,-0.000035,0.420897
0.020000,3.104608,0.947914,2.301364,1.013947,-0.044273,0.011574,0.421760
0.020000,3.123090,0.956215,2.321625,1.013059,-0.044401,-0.006417,0.422569
0.020000,3.141549,0.964524,2.341869,1.012175,-0.044189,0.010590,0.423322
0.020000,3.159987,0.972840,2.362095,1.011292,-0.044163,0.001327,0.424022
0.020000,3.178403,0.981160,2.382303,1.010408,-0.044181,-0.000930,0.424666
0.020000,3.196798,0.989484,2.402493,1.009528,-0.044005,0.008804,0.425256
0.020000,3.215171,0.997812,2.422666,1.008646,-0.044090,-0.004228,0.425791
0.020000,3.233525,1.006141,2.442822,1.007767,-0.043955,0.006739,0.426272
0.020000,3.251859,1.014472,2.462959,1.006888,-0.043933,0.001113,0.426699
0.020000,3.270174,1.022802,2.483080,1.006009,-0.043947,-0.000728,0.427071
0.020000,3.288469,1.031132,2.503182,1.005132,-0.043842,0.005249,0.427389
0.020000,3.306747,1.039460,2.523267,1.004255,-0.043888,-0.002281,0.427652
0.020000,3.325006,1.047784,2.543335,1.003378,-0.043820,0.003409,0.427861
0.020000,3.343248,1.056105,2.563385,1.002502,-0.043813,0.000310,0.428016
0.020000,3.361473,1.064421,2.583417,1.001626,-0.043815,-0.000104,0.428117
0.020000,3.379681,1.072731,2.603432,1.000750,-0.043788,0.001357,0.428163
0.020000,3.397874,1.081034,2.623430,0.999874,-0.043796,-0.000378,0.428156
0.020000,3.416050,1.089329,2.643410,0.998998,-0.043792,0.000188,0.428093
0.020000,3.434212,1.097615,2.663372,0.998122,-0.043805,-0.000622,0.427977
0.020000,3.452358,1.105891,2.683317,0.997246,-0.043793,0.000567,0.427807
