dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.000000,0.940000,0.000196,0.019608,0.980392,49.019608,0.505460
0.020000,7.000000,0.940000,0.000980,0.058824,1.960784,49.019608,0.506639
0.020000,7.001274,0.940710,0.002745,0.117647,2.941176,49.019608,0.509288
0.020000,7.003839,0.942149,0.005686,0.176471,2.941176,-0.000000,0.513698
0.020000,7.007419,0.944184,0.009804,0.235294,2.941176,0.000000,0.519857
0.020000,7.012003,0.946832,0.015098,0.294118,2.941176,-0.000000,0.527752
0.020000,7.017578,0.950117,0.021569,0.352941,2.941176,0.000000,0.537360
0.020000,7.024125,0.954069,0.029216,0.411765,2.941176,0.000000,0.548651
0.020000,7.031623,0.958719,0.038039,0.470588,2.941176,0.000000,0.561583
0.020000,7.040048,0.964106,0.048039,0.529412,2.941176,-0.000000,0.576103
0.020000,7.049371,0.970269,0.059216,0.588235,2.941176,0.000000,0.592140
0.020000,7.059560,0.977253,0.071569,0.647059,2.941176,0.000000,0.609608
0.020000,7.070579,0.985103,0.085098,0.705882,2.941176,0.000000,0.628401
0.020000,7.082388,0.993867,0.099804,0.764706,2.941176,-0.000000,0.648388
0.020000,7.094945,1.003592,0.115686,0.823529,2.941176,0.000000,0.669418
0.020000,7.108205,1.014323,0.132745,0.882353,2.941176,-0.000000,0.691315
0.020000,7.122120,1.026108,0.150980,0.941176,2.941176,0.000000,0.713881
0.020000,7.136498,1.038855,0.170196,0.980392,1.960784,-49.019608,0.736669
0.020000,7.151016,1.052325,0.190000,1.000000,0.980392,-49.019608,0.759045
0.020000,7.165376,1.066245,0.210000,1.000000,0.000000,-49.019608,0.780460
0.020000,7.179443,1.080461,0.230000,1.000000,0.000000,0.000000,0.800660
0.020000,7.193229,1.094950,0.250000,1.000000,0.000000,0.000000,0.819626
0.020000,7.206747,1.109689,0.270000,1.000000,0.000000,0.000000,0.837349
0.020000,7.220011,1.124658,0.290000,1.000000,0.000000,0.000000,0.853827
0.020000,7.233036,1.139835,0.310000,1.000000,0.000000,0.000000,0.869062
0.020000,7.245838,1.155200,0.330000,1.000000,0.000000,0.000000,0.883061
0.020000,7.258433,1.170736,0.350000,1.000000,0.000000,0.000000,0.895837
0.020000,7.270839,1.186424,0.370000,1.000000,0.000000,0.000000,0.907401
0.020000,7.283071,1.202247,0.390000,1.000000,0.000000,0.000000,0.917767
0.020000,7.295148,1.218188,0.410000,1.000000,0.000000,0.000000,0.926952
0.020000,7.307088,1.234233,0.430000,1.000000,0.000000,0.000000,0.934968
0.020000,7.318908,1.250367,0.450000,1.000000,0.000000,0.000000,0.941832
0.020000,7.330626,1.266574,0.470000,1.000000,0.000000,0.000000,0.947554
0.020000,7.342261,1.282842,0.490000,1.000000,0.000000,0.000000,0.952147
0.020000,7.353830,1.299156,0.510000,1.000000,0.000000,0.000000,0.955619
0.020000,7.365351,1.315504,0.530000,1.000000,0.000000,0.000000,0.957979
0.020000,7.376843,1.331873,0.550000,1.000000,0.000000,0.000000,0.959232
0.020000,7.388323,1.348250,0.570000,1.000000,0.000000,0.000000,0.959379
0.020000,7.399810,1.364622,0.590000,1.000000,0.000000,0.000000,0.958421
0.020000,7.411322,1.380977,0.610000,1.000000,0.000000,0.000000,0.956357
0.020000,7.422876,1.397302,0.630000,1.000000,0.000000,0.000000,0.953182
0.020000,7.434491,1.413583,0.650000,1.000000,0.000000,0.000000,0.948889
0.020000,7.446185,1.429808,0.670000,1.000000,0.000000,0.000000,0.943469
0.020000,7.457977,1.445963,0.690000,1.000000,0.000000,0.000000,0.936911
0.020000,7.469883,1.462033,0.710000,1.000000,0.000000,0.000000,0.929203
0.020000,7.481921,1.478003,0.730000,1.000000,0.000000,0.000000,0.920331
0.020000,7.494111,1.493860,0.750000,1.000000,0.000000,0.000000,0.910281
0.020000,7.506468,1.509585,0.770000,1.000000,0.000000,0.000000,0.899038
0.020000,7.519011,1.525163,0.790000,1.000000,0.000000,0.000000,0.886587
0.020000,7.531756,1.540576,0.810000,1.000000,0.000000,0.000000,0.872915
0.020000,7.544720,1.555805,0.830000,1.000000,0.000000,0.000000,0.858011
0.020000,7.557919,1.570831,0.850000,1.000000,0.000000,0.000000,0.841865
0.020000,7.571368,1.585633,0.870000,1.000000,0.000000,0.000000,0.824474
0.020000,7.585082,1.600191,0.890000,1.000000,0.000000,0.000000,0.805838
0.020000,7.599073,1.614482,0.910000,1.000000,0.000000,0.000000,0.785966
0.020000,7.613354,1.628484,0.930000,1.000000,0.000000,0.000000,0.764873
0.020000,7.627935,1.642172,0.950000,1.000000,0.000000,0.000000,0.742584
0.020000,7.642825,1.655524,0.970000,1.000000,0.000000,0.000000,0.719134
0.020000,7.658032,1.668513,0.990000,1.000000,0.000000,0.000000,0.694572
0.020000,7.673560,1.681118,1.010000,1.000000,0.000000,0.000000,0.668957
0.020000,7.689411,1.693312,1.030000,1.000000,0.000000,0.000000,0.642362
0.020000,7.705586,1.705074,1.050000,1.000000,0.000000,0.000000,0.614874
0.020000,7.722084,1.716379,1.070000,1.000000,0.000000,0.000000,0.586593
0.020000,7.738898,1.727208,1.090000,1.000000,0.000000,0.000000,0.557629
0.020000,7.756021,1.737540,1.110000,1.000000,0.000000,0.000000,0.528102
0.020000,7.773445,1.747358,1.130000,1.000000,0.000000,0.000000,0.498144
0.020000,7.791156,1.756647,1.150000,1.000000,0.000000,0.000000,0.467886
0.020000,7.809141,1.765394,1.170000,1.000000,0.000000,0.000000,0.437468
0.020000,7.827383,1.773590,1.190000,1.000000,0.000000,0.000000,0.407025
0.020000,7.845867,1.781228,1.210000,1.000000,0.000000,0.000000,0.376690
0.020000,7.864572,1.788303,1.230000,1.000000,0.000000,0.000000,0.346590
0.020000,7.883482,1.794816,1.250000,1.000000,0.000000,0.000000,0.316842
0.020000,7.899213,1.799764,1.270000,1.000000,0.000000,0.000000,3.432467
0.020000,7.880013,1.794165,1.290000,1.000000,0.000000,0.000000,3.418254
0.020000,7.860735,1.788839,1.310000,1.000000,0.000000,0.000000,3.404000
0.020000,7.841384,1.783789,1.330000,1.000000,0.000000,0.000000,3.389716
0.020000,7.821962,1.779016,1.350000,1.000000,0.000000,0.000000,3.375418
0.020000,7.802473,1.774521,1.370000,1.000000,0.000000,0.000000,3.361119
0.020000,7.782923,1.770305,1.390000,1.000000,0.000000,0.000000,3.346836
0.020000,7.763314,1.766369,1.410000,1.000000,0.000000,0.000000,3.332582
0.020000,7.743652,1.762712,1.430000,1.000000,0.000000,0.000000,3.318372
0.020000,7.723939,1.759335,1.450000,1.000000,0.000000,0.000000,3.304222
0.020000,7.704181,1.756235,1.470000,1.000000,0.000000,0.000000,3.290147
0.020000,7.684381,1.753414,1.490000,1.000000,0.000000,0.000000,3.276162
0.020000,7.664544,1.750868,1.510000,1.000000,0.000000,0.000000,3.262280
0.020000,7.644673,1.748597,1.530000,1.000000,0.000000,0.000000,3.248517
0.020000,7.624774,1.746599,1.550000,1.000000,0.000000,0.000000,3.234887
0.020000,7.604849,1.744870,1.570000,1.000000,0.000000,0.000000,3.221403
0.020000,7.584902,1.743409,1.590000,1.000000,0.000000,0.000000,3.208079
0.020000,7.564938,1.742212,1.610000,1.000000,0.000000,0.000000,3.194926
0.020000,7.544960,1.741275,1.630000,1.000000,0.000000,0.000000,3.181958
0.020000,7.524972,1.740596,1.650000,1.000000,0.000000,0.000000,3.169185
0.020000,7.504977,1.740170,1.670000,1.000000,0.000000,0.000000,3.156619
0.020000,7.484978,1.739994,1.690000,1.000000,0.000000,0.000000,3.144270
0.020000,7.464978,1.740062,1.710000,1.000000,0.000000,0.000000,3.132147
0.020000,7.444980,1.740370,1.730000,1.000000,0.000000,0.000000,3.120259
0.020000,7.424988,1.740913,1.750000,1.000000,0.000000,0.000000,3.108615
0.020000,7.405003,1.741687,1.770000,1.000000,0.000000,0.000000,3.097222
0.020000,7.385028,1.742686,1.790000,1.000000,0.000000,0.000000,3.086087
0.020000,7.365065,1.743904,1.810000,1.000000,0.000000,0.000000,3.075216
0.020000,7.345117,1.745337,1.830000,1.000000,0.000000,0.000000,3.064615
0.020000,7.325184,1.746979,1.850000,1.000000,0.000000,0.000000,3.054288
0.020000,7.305270,1.748823,1.870000,1.000000,0.000000,0.000000,3.044239
0.020000,7.285374,1.750865,1.890000,1.000000,0.000000,0.000000,3.034474
0.020000,7.265499,1.753098,1.910000,1.000000,0.000000,0.000000,3.024994
0.020000,7.245646,1.755516,1.930000,1.000000,0.000000,0.000000,3.015803
0.020000,7.225816,1.758114,1.950000,1.000000,0.000000,0.000000,3.006903
0.020000,7.206009,1.760885,1.970000,1.000000,0.000000,0.000000,2.998295
0.020000,7.186226,1.763824,1.990000,1.000000,0.000000,0.000000,2.989981
0.020000,7.166468,1.766925,2.010000,1.000000,0.000000,0.000000,2.981962
0.020000,7.146734,1.770180,2.030000,1.000000,0.000000,0.000000,2.974239
0.020000,7.127027,1.773586,2.050000,1.000000,0.000000,0.000000,2.966811
0.020000,7.107344,1.777134,2.070000,1.000000,0.000000,0.000000,2.959680
0.020000,7.087687,1.780820,2.090000,1.000000,0.000000,0.000000,2.952844
0.020000,7.068054,1.784637,2.110000,1.000000,0.000000,0.000000,2.946303
0.020000,7.048447,1.788580,2.130000,1.000000,0.000000,0.000000,2.940058
0.020000,7.028864,1.792642,2.150000,1.000000,0.000000,0.000000,2.934106
0.020000,7.009304,1.796818,2.170000,1.000000,0.000000,0.000000,2.928448
0.020000,6.989769,1.801102,2.190000,1.000000,0.000000,0.000000,2.923081
0.020000,6.970255,1.805487,2.210000,1.000000,0.000000,0.000000,2.918006
0.020000,6.950764,1.809969,2.230000,1.000000,0.000000,0.000000,2.913221
0.020000,6.931294,1.814541,2.250000,1.000000,0.000000,0.000000,2.908725
0.020000,6.911843,1.819198,2.270000,1.000000,0.000000,0.000000,2.904516
0.020000,6.892412,1.823934,2.290000,1.000000,0.000000,0.000000,2.900594
0.020000,6.872999,1.828743,2.310000,1.000000,0.000000,0.000000,2.896958
0.020000,6.853603,1.833620,2.330000,1.000000,0.000000,0.000000,2.893605
0.020000,6.834222,1.838559,2.350000,1.000000,0.000000,0.000000,2.890535
0.020000,6.814856,1.843555,2.370000,1.000000,0.000000,0.000000,2.887748
0.020000,6.795504,1.848602,2.390000,1.000000,0.000000,0.000000,2.885241
0.020000,6.776163,1.853695,2.410000,1.000000,0.000000,0.000000,2.883014
0.020000,6.756833,1.858829,2.430000,1.000000,0.000000,0.000000,2.881067
0.020000,6.737512,1.863997,2.450000,1.000000,0.000000,0.000000,2.879398
0.020000,6.718200,1.869195,2.470000,1.000000,0.000000,0.000000,2.878007
0.020000,6.698893,1.874417,2.490000,1.000000,0.000000,0.000000,2.876893
0.020000,6.679592,1.879658,2.510000,1.000000,0.000000,0.000000,2.876056
0.020000,6.660295,1.884912,2.530000,1.000000,0.000000,0.000000,2.875495
0.020000,6.641000,1.890175,2.550000,1.000000,0.000000,0.000000,2.875211
0.020000,6.621705,1.895440,2.570000,1.000000,0.000000,0.000000,2.875203
0.020000,6.602410,1.900703,2.590000,1.000000,0.000000,0.000000,2.875470
0.020000,6.583113,1.905958,2.610000,1.000000,0.000000,0.000000,2.876014
0.020000,6.563812,1.911200,2.630000,1.000000,0.000000,0.000000,2.876835
0.020000,6.544506,1.916423,2.650000,1.000000,0.000000,0.000000,2.877932
0.020000,6.525194,1.921623,2.670000,1.000000,0.000000,0.000000,2.879306
0.020000,6.505874,1.926793,2.690000,1.000000,0.000000,0.000000,2.880959
0.020000,6.486544,1.931929,2.710000,1.000000,0.000000,0.000000,2.882889
0.020000,6.467204,1.937025,2.730000,1.000000,0.000000,0.000000,2.885099
0.020000,6.447852,1.942075,2.750000,1.000000,0.000000,0.000000,2.887589
0.020000,6.428487,1.947074,2.770000,1.000000,0.000000,0.000000,2.890359
0.020000,6.409108,1.952017,2.790000,1.000000,0.000000,0.000000,2.893412
0.020000,6.389712,1.956898,2.810000,1.000000,0.000000,0.000000,2.896747
0.020000,6.370300,1.961711,2.830000,1.000000,0.000000,0.000000,2.900367
0.020000,6.350870,1.966452,2.850000,1.000000,0.000000,0.000000,2.904272
0.020000,6.331421,1.971113,2.870000,1.000000,0.000000,0.000000,2.908463
0.020000,6.311952,1.975691,2.890000,1.000000,0.000000,0.000000,2.912942
0.020000,6.292462,1.980178,2.910000,1.000000,0.000000,0.000000,2.917710
0.020000,6.272950,1.984569,2.930000,1.000000,0.000000,0.000000,2.922767
0.020000,6.253416,1.988859,2.950000,1.000000,0.000000,0.000000,2.928116
0.020000,6.233858,1.993042,2.970000,1.000000,0.000000,0.000000,2.933757
0.020000,6.214276,1.997111,2.990000,1.000000,0.000000,0.000000,2.939691
0.020000,6.200000,2.000000,3.010000,1.000000,0.000000,0.000000,2.944001
0.020000,6.180971,2.003744,3.030000,1.000000,0.000000,0.000000,2.950474
0.020000,6.161323,2.007479,3.050000,1.000000,0.000000,0.000000,2.956967
0.020000,6.141651,2.011087,3.070000,1.000000,0.000000,0.000000,2.963478
