dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.156400,0.657391,0.000196,0.019608,0.980392,49.019608,0.505460
0.020000,7.156733,0.657575,0.000577,0.019035,-0.028623,-50.450743,0.506639
0.020000,7.158755,0.658701,0.002891,0.115714,4.833932,243.127719,0.509288
0.020000,7.162561,0.660838,0.007257,0.218275,5.128052,14.706033,0.513698
0.020000,7.167871,0.663855,0.013364,0.305362,4.354371,-38.684076,0.519857
0.020000,7.174664,0.667779,0.021208,0.392206,4.342198,-0.608625,0.527752
0.020000,7.182912,0.672640,0.030782,0.478696,4.324496,-0.885135,0.537360
0.020000,7.192581,0.678476,0.042076,0.564693,4.299849,-1.232322,0.548651
0.020000,7.203629,0.685327,0.055076,0.650025,4.266603,-1.662324,0.561583
0.020000,7.216006,0.693240,0.069766,0.734484,4.222914,-2.184429,0.576103
0.020000,7.229650,0.702260,0.086122,0.817820,4.166838,-2.803795,0.592140
0.020000,7.244493,0.712434,0.104117,0.899749,4.096438,-3.520010,0.609608
0.020000,7.260455,0.723807,0.123716,0.979948,4.009924,-4.325679,0.628401
0.020000,7.277448,0.736417,0.144878,1.058068,3.906038,-5.194324,0.648388
0.020000,7.295376,0.750300,0.167552,1.133730,3.783062,-6.148776,0.669418
0.020000,7.314133,0.765482,0.191683,1.206557,3.641386,-7.083813,0.691315
0.020000,7.333611,0.781976,0.217207,1.276184,3.481307,-8.003960,0.713881
0.020000,7.353497,0.799606,0.243783,1.328786,2.630139,-42.558392,0.736669
0.020000,7.373313,0.817990,0.270813,1.351529,1.137156,-74.649145,0.759045
0.020000,7.392640,0.836724,0.297730,1.345827,-0.285133,-71.114472,0.780460
0.020000,7.411297,0.855578,0.324254,1.326202,-0.981225,-34.804569,0.800660
0.020000,7.429307,0.874504,0.350380,1.306286,-0.995805,-0.729036,0.819626
0.020000,7.446695,0.893462,0.376104,1.286214,-1.003620,-0.390725,0.837349
0.020000,7.463489,0.912413,0.401426,1.266098,-1.005769,-0.107443,0.853827
0.020000,7.479719,0.931324,0.426347,1.246032,-1.003326,0.122146,0.869062
0.020000,7.495416,0.950164,0.450868,1.226086,-0.997305,0.301036,0.883061
0.020000,7.510610,0.968904,0.474995,1.206313,-0.988639,0.433316,0.895837
0.020000,7.525332,0.987522,0.498730,1.186750,-0.978165,0.523701,0.907401
0.020000,7.539613,1.005994,0.522078,1.167417,-0.966640,0.576258,0.917767
0.020000,7.553482,1.024300,0.545044,1.148323,-0.954674,0.598295,0.926952
0.020000,7.566967,1.042422,0.567634,1.129468,-0.942788,0.594299,0.934968
0.020000,7.580098,1.060343,0.589850,1.110838,-0.931497,0.564529,0.941832
0.020000,7.592899,1.078048,0.611699,1.092415,-0.921156,0.517064,0.947554
0.020000,7.605397,1.095523,0.633182,1.074173,-0.912069,0.454339,0.952147
0.020000,7.617615,1.112752,0.654304,1.056083,-0.904499,0.378526,0.955619
0.020000,7.629575,1.129723,0.675066,1.038112,-0.898555,0.297152,0.957979
0.020000,7.641299,1.146423,0.695471,1.020223,-0.894448,0.205380,0.959232
0.020000,7.652807,1.162839,0.715518,1.002378,-0.892252,0.109796,0.959379
0.020000,7.664116,1.178958,0.735209,0.984538,-0.891996,0.012809,0.958421
0.020000,7.675244,1.194768,0.754542,0.966665,-0.893686,-0.084524,0.956357
0.020000,7.686206,1.210255,0.773517,0.948718,-0.897311,-0.181231,0.953182
0.020000,7.697016,1.225408,0.792130,0.930663,-0.902773,-0.273099,0.948889
0.020000,7.707686,1.240213,0.810379,0.912464,-0.909947,-0.358705,0.943469
0.020000,7.718228,1.254656,0.828261,0.894091,-0.918638,-0.434569,0.936911
0.020000,7.728652,1.268726,0.845771,0.875517,-0.928718,-0.503987,0.929203
0.020000,7.738966,1.282409,0.862906,0.856721,-0.939801,-0.554127,0.920331
