dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900636,1.002999,0.000196,0.019608,0.980392,49.019608,6.281218
0.020000,0.900603,1.002999,0.000228,0.001620,-0.899410,-93.990094,6.281318
0.020000,0.900530,1.003000,0.000301,0.003646,0.101309,50.035943,6.281544
0.020000,0.900409,1.003000,0.000423,0.006081,0.121777,1.023413,6.281920
0.020000,0.900238,1.003000,0.000594,0.008524,0.122152,0.018755,6.282448
0.020000,0.900019,1.003000,0.000813,0.010978,0.122679,0.026315,6.283128
0.020000,0.905780,1.003002,0.006574,0.288071,13.854672,686.599659,0.000777
0.020000,0.913104,1.003012,0.013899,0.366211,3.906971,-497.385067,0.001765
0.020000,0.921561,1.003031,0.022356,0.422855,2.832218,-53.737645,0.002911
0.020000,0.931135,1.003065,0.031930,0.478696,2.792017,-2.010030,0.004217
0.020000,0.941838,1.003118,0.042633,0.535176,2.824035,1.600890,0.005686
0.020000,0.953666,1.003195,0.054461,0.591363,2.809343,-0.734613,0.007321
0.020000,0.966612,1.003302,0.067408,0.647356,2.799639,-0.485162,0.009125
0.020000,0.980679,1.003444,0.081475,0.703359,2.800148,0.025437,0.011102
0.020000,0.995864,1.003629,0.096661,0.759315,2.797801,-0.117339,0.013257
0.020000,1.012165,1.003864,0.112964,0.815165,2.792530,-0.263566,0.015594
0.020000,1.029580,1.004158,0.130381,0.870851,2.784267,-0.413141,0.018119
0.020000,1.047923,1.004515,0.148728,0.917310,2.322945,-23.066133,0.020809
0.020000,1.066819,1.004934,0.167629,0.945049,1.386964,-46.799012,0.023616
0.020000,1.085884,1.005412,0.186700,0.953564,0.425738,-48.061291,0.026484
0.020000,1.104938,1.005944,0.205761,0.953065,-0.024955,-22.534672,0.029387
0.020000,1.123983,1.006532,0.224815,0.952684,-0.019030,0.296256,0.032327
0.020000,1.143007,1.007176,0.243850,0.951767,-0.045858,-1.341386,0.035302
0.020000,1.162023,1.007876,0.262879,0.951428,-0.016952,1.445260,0.038315
0.020000,1.181024,1.008633,0.281895,0.950796,-0.031571,-0.730925,0.041366
0.020000,1.200003,1.009448,0.300891,0.949819,-0.048891,-0.866006,0.044454
0.020000,1.218978,1.010322,0.319886,0.949770,-0.002455,2.321789,0.047583
0.020000,1.237930,1.011254,0.338861,0.948742,-0.051354,-2.444944,0.050751
0.020000,1.256867,1.012247,0.357825,0.948169,-0.028655,1.134953,0.053960
0.020000,1.275790,1.013299,0.376777,0.947608,-0.028086,0.028473,0.057210
0.020000,1.294689,1.014413,0.395708,0.946577,-0.051508,-1.171146,0.060501
0.020000,1.313580,1.015589,0.414636,0.946404,-0.008665,2.142157,0.063837
0.020000,1.332445,1.016827,0.433542,0.945254,-0.057499,-2.441686,0.067215
0.020000,1.351297,1.018128,0.452439,0.944866,-0.019407,1.904622,0.070638
0.020000,1.370126,1.019493,0.471317,0.943925,-0.047062,-1.382781,0.074106
0.020000,1.388937,1.020923,0.490183,0.943257,-0.033392,0.683498,0.077621
0.020000,1.407728,1.022418,0.509033,0.942514,-0.037152,-0.187976,0.081182
0.020000,1.426496,1.023979,0.527866,0.941641,-0.043650,-0.324902,0.084791
0.020000,1.445246,1.025607,0.546686,0.941016,-0.031241,0.620443,0.088449
0.020000,1.463970,1.027302,0.565486,0.940012,-0.050222,-0.949051,0.092156
0.020000,1.482675,1.029066,0.584275,0.939426,-0.029291,1.046558,0.095914
0.020000,1.501353,1.030899,0.603042,0.938363,-0.053159,-1.193409,0.099723
0.020000,1.520011,1.032802,0.621797,0.937738,-0.031254,1.095263,0.103585
0.020000,1.538640,1.034776,0.640530,0.936687,-0.052519,-1.063265,0.107500
0.020000,1.557247,1.036821,0.659249,0.935946,-0.037073,0.772298,0.111469
0.020000,1.575826,1.038938,0.677949,0.934978,-0.048368,-0.564764,0.115494
0.020000,1.594378,1.041129,0.696630,0.934045,-0.046683,0.084285,0.119576
0.020000,1.612905,1.043394,0.715294,0.933229,-0.040781,0.295061,0.123715
0.020000,1.631398,1.045733,0.733935,0.932029,-0.060006,-0.961250,0.127912
0.020000,1.649870,1.048148,0.752564,0.931432,-0.029841,1.508258,0.132171
0.020000,1.668303,1.050639,0.771165,0.930069,-0.068179,-1.916890,0.136488
0.020000,1.686713,1.053209,0.789753,0.929405,-0.033197,1.749086,0.140869
0.020000,1.705088,1.055856,0.808317,0.928211,-0.059679,-1.324100,0.145313
0.020000,1.723428,1.058582,0.826859,0.927086,-0.056240,0.171951,0.149821
0.020000,1.741740,1.061389,0.845385,0.926287,-0.039961,0.813960,0.154395
0.020000,1.760011,1.064276,0.863883,0.924917,-0.068486,-1.426235,0.159035
0.020000,1.778251,1.067245,0.882363,0.924005,-0.045592,1.144692,0.163744
0.020000,1.796455,1.070298,0.900821,0.922903,-0.055111,-0.475965,0.168522
0.020000,1.814617,1.073433,0.919252,0.921523,-0.068999,-0.694404,0.173370
0.020000,1.832746,1.076654,0.937664,0.920629,-0.044712,1.214364,0.178292
0.020000,1.850834,1.079960,0.956052,0.919401,-0.061399,-0.834350,0.183286
0.020000,1.868878,1.083352,0.974412,0.918001,-0.070011,-0.430617,0.188354
0.020000,1.886884,1.086832,0.992751,0.916936,-0.053225,0.839322,0.193500
0.020000,1.904848,1.090400,1.011066,0.915752,-0.059192,-0.298336,0.198723
0.020000,1.922765,1.094058,1.029353,0.914322,-0.071526,-0.616701,0.204024
0.020000,1.940634,1.097805,1.047611,0.912908,-0.070677,0.042462,0.209405
0.020000,1.958464,1.101645,1.065849,0.911930,-0.048914,1.088111,0.214870
0.020000,1.976244,1.105577,1.084059,0.910459,-0.073535,-1.231040,0.220417
0.020000,1.993972,1.109601,1.102238,0.908983,-0.073830,-0.014724,0.226049
0.020000,2.011649,1.113720,1.120388,0.907499,-0.074185,-0.017777,0.231766
0.020000,2.029279,1.117935,1.138515,0.906342,-0.057851,0.816709,0.237573
0.020000,2.046855,1.122245,1.156612,0.904858,-0.074216,-0.818244,0.243469
0.020000,2.064375,1.126653,1.174679,0.903318,-0.077005,-0.139447,0.249455
0.020000,2.081839,1.131158,1.192714,0.901766,-0.077585,-0.029017,0.255534
0.020000,2.099244,1.135763,1.210718,0.900202,-0.078223,-0.031873,0.261706
0.020000,2.116593,1.140468,1.228693,0.898763,-0.071925,0.314872,0.267975
0.020000,2.133883,1.145274,1.246638,0.897267,-0.074782,-0.142831,0.274342
0.020000,2.151110,1.150182,1.264551,0.895633,-0.081741,-0.347945,0.280807
0.020000,2.168273,1.155194,1.282431,0.893981,-0.082568,-0.041358,0.287372
0.020000,2.185370,1.160309,1.300277,0.892312,-0.083442,-0.043685,0.294040
0.020000,2.202401,1.165529,1.318090,0.890625,-0.084359,-0.045874,0.300810
0.020000,2.219363,1.170854,1.335868,0.888919,-0.085317,-0.047907,0.307686
0.020000,2.236254,1.176287,1.353612,0.887193,-0.086312,-0.049764,0.314668
0.020000,2.253074,1.181827,1.371321,0.885446,-0.087341,-0.051429,0.321759
0.020000,2.269821,1.187477,1.388994,0.883678,-0.088399,-0.052880,0.328959
0.020000,2.286492,1.193235,1.406632,0.881888,-0.089481,-0.054098,0.336271
0.020000,2.303086,1.199105,1.424233,0.880077,-0.090582,-0.055062,0.343695
0.020000,2.319601,1.205086,1.441798,0.878243,-0.091697,-0.055752,0.351234
0.020000,2.336036,1.211179,1.459326,0.876386,-0.092820,-0.056146,0.358888
0.020000,2.352387,1.217386,1.476816,0.874507,-0.093944,-0.056222,0.366659
