dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.444346,7.583021,0.000196,0.019608,0.980392,49.019608,3.644416
0.020000,4.444237,7.582961,0.000320,0.006200,-0.670391,-82.539141,3.644800
0.020000,4.443993,7.582826,0.000599,0.013956,0.387808,52.909910,3.645664
0.020000,4.443585,7.582601,0.001065,0.023279,0.466144,3.916846,3.647106
0.020000,4.442239,7.581853,0.002605,0.076996,2.685823,110.983909,3.649127
0.020000,4.436879,7.578864,0.008742,0.306855,11.492998,440.358748,3.651732
0.020000,4.430337,7.575189,0.016245,0.375156,3.415002,-403.899773,3.654928
0.020000,4.422617,7.570818,0.025117,0.443586,3.421539,0.326846,3.658721
0.020000,4.413724,7.565734,0.035361,0.512230,3.432208,0.533454,3.663121
0.020000,4.403662,7.559919,0.046982,0.581032,3.440089,0.394029,3.668137
0.020000,4.392443,7.553355,0.059981,0.649937,3.445228,0.256958,3.673780
0.020000,4.380074,7.546019,0.074361,0.719011,3.453722,0.424709,3.680061
0.020000,4.366563,7.537885,0.090132,0.788553,3.477098,1.168793,3.686996
0.020000,4.351926,7.528927,0.107293,0.858040,3.474323,-0.138736,3.694597
0.020000,4.336176,7.519115,0.125849,0.927828,3.489421,0.754904,3.702880
0.020000,4.319326,7.508415,0.145809,0.997968,3.506977,0.877802,3.711861
0.020000,4.301396,7.496793,0.167176,1.068388,3.521018,0.702044,3.721557
0.020000,4.282597,7.484338,0.189727,1.127508,2.955993,-28.251279,3.731879
0.020000,4.263331,7.471280,0.213001,1.163708,1.809986,-57.300316,3.742628
0.020000,4.243987,7.457861,0.236543,1.177135,0.671354,-56.931639,3.753595
0.020000,4.224764,7.444208,0.260122,1.178909,0.088713,-29.132050,3.764672
0.020000,4.205668,7.430325,0.283731,1.180468,0.077968,-0.537244,3.775853
0.020000,4.186699,7.416204,0.307379,1.182386,0.095868,0.895017,3.787141
0.020000,4.167868,7.401852,0.331055,1.183822,0.071830,-1.201910,3.798526
0.020000,4.149177,7.387266,0.354764,1.185444,0.081090,0.463009,3.810008
0.020000,4.130633,7.372447,0.378502,1.186915,0.073542,-0.377374,3.821582
0.020000,4.112241,7.357396,0.402268,1.188285,0.068499,-0.252171,3.833243
0.020000,4.094004,7.342113,0.426062,1.189711,0.071319,0.141011,3.844988
0.020000,4.075931,7.326600,0.449880,1.190866,0.057752,-0.678369,3.856811
0.020000,4.058023,7.310857,0.473723,1.192180,0.065692,0.396989,3.868708
0.020000,4.040290,7.294889,0.497586,1.193148,0.048405,-0.864348,3.880672
0.020000,4.022734,7.278694,0.521472,1.194293,0.057259,0.442705,3.892700
0.020000,4.005362,7.262277,0.545374,1.195094,0.040048,-0.860542,3.904783
0.020000,3.988177,7.245637,0.569294,1.196027,0.046615,0.328338,3.916919
0.020000,3.971186,7.228782,0.593228,1.196673,0.032313,-0.715091,3.929100
0.020000,3.954392,7.211710,0.617175,1.197360,0.034339,0.101286,3.941320
0.020000,3.937802,7.194427,0.641132,1.197857,0.024877,-0.473101,3.953572
0.020000,3.921419,7.176935,0.665098,1.198277,0.020986,-0.194553,3.965850
0.020000,3.905248,7.159238,0.689070,1.198626,0.017466,-0.175989,3.978149
0.020000,3.889294,7.141342,0.713046,1.198768,0.007077,-0.519423,3.990460
0.020000,3.873559,7.123248,0.737025,1.198965,0.009859,0.139062,4.002778
0.020000,3.858049,7.104962,0.761002,1.198879,-0.004291,-0.707463,4.015094
0.020000,3.842766,7.086488,0.784979,1.198812,-0.003345,0.047298,4.027405
0.020000,3.827714,7.067831,0.808950,1.198569,-0.012170,-0.441277,4.039700
0.020000,3.812898,7.048996,0.832914,1.198207,-0.018066,-0.294794,4.051975
0.020000,3.798318,7.029987,0.856871,1.197816,-0.019554,-0.074375,4.064223
0.020000,3.783979,7.010811,0.880815,1.197220,-0.029837,-0.514164,4.076437
0.020000,3.769883,6.991471,0.904747,1.196589,-0.031547,-0.085501,4.088610
0.020000,3.756031,6.971974,0.928663,1.195826,-0.038127,-0.329018,4.100736
0.020000,3.742426,6.952326,0.952562,1.194936,-0.044533,-0.320284,4.112808
0.020000,3.729069,6.932530,0.976442,1.194015,-0.046033,-0.074993,4.124821
0.020000,3.715962,6.912594,1.000301,1.192932,-0.054148,-0.405779,4.136768
0.020000,3.703107,6.892523,1.024136,1.191775,-0.057840,-0.184586,4.148643
