dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899362,0.357001,0.000196,0.019608,0.980392,49.019608,6.281211
0.020000,0.899422,0.357001,0.000256,0.002979,-0.831453,-90.592246,6.281396
0.020000,0.899556,0.357000,0.000390,0.006706,0.186364,50.890836,6.281811
0.020000,0.899780,0.357000,0.000614,0.011188,0.224120,1.887782,6.282504
0.020000,0.901324,0.357000,0.002157,0.077181,3.299619,153.774982,0.000290
0.020000,0.907023,0.357005,0.007857,0.284980,10.389937,354.515896,0.001544
0.020000,0.913991,0.357022,0.014825,0.348416,3.171837,-360.904990,0.003082
0.020000,0.922229,0.357054,0.023062,0.411869,3.172608,0.038556,0.004910
0.020000,0.931738,0.357111,0.032572,0.475455,3.179319,0.335506,0.007032
0.020000,0.942520,0.357200,0.043354,0.539116,3.183052,0.186676,0.009455
0.020000,0.954575,0.357330,0.055410,0.602792,3.183789,0.036830,0.012184
0.020000,0.967912,0.357513,0.068748,0.666932,3.207003,1.160709,0.015229
0.020000,0.982525,0.357760,0.083363,0.730725,3.189654,-0.867466,0.018596
0.020000,0.998424,0.358085,0.099265,0.795132,3.220365,1.535576,0.022297
0.020000,1.015608,0.358503,0.116454,0.859448,3.215772,-0.229639,0.026340
0.020000,1.034079,0.359031,0.134934,0.923963,3.225765,0.499613,0.030739
0.020000,1.053842,0.359685,0.154707,0.988652,3.234479,0.435731,0.035506
0.020000,1.074691,0.360479,0.175571,1.043224,2.728602,-25.293859,0.040603
0.020000,1.096197,0.361410,0.197097,1.076302,1.653877,-53.736248,0.045937
0.020000,1.117938,0.362469,0.218865,1.088367,0.603260,-52.530858,0.051408
0.020000,1.139702,0.363649,0.240660,1.089749,0.069112,-26.707374,0.056966
0.020000,1.161486,0.364953,0.262483,1.091186,0.071814,0.135101,0.062612
0.020000,1.183292,0.366383,0.284335,1.092609,0.071169,-0.032259,0.068347
0.020000,1.205119,0.367941,0.306218,1.094145,0.076788,0.280932,0.074175
0.020000,1.226964,0.369629,0.328129,1.095532,0.069339,-0.372456,0.080095
0.020000,1.248834,0.371450,0.350074,1.097238,0.085328,0.799450,0.086111
0.020000,1.270718,0.373407,0.372046,1.098612,0.068688,-0.831982,0.092222
0.020000,1.292626,0.375501,0.394053,1.100360,0.087375,0.934361,0.098433
0.020000,1.314550,0.377736,0.416092,1.101916,0.077803,-0.478595,0.104743
0.020000,1.336491,0.380114,0.438160,1.103431,0.075789,-0.100718,0.111154
0.020000,1.358453,0.382637,0.460267,1.105335,0.095173,0.969192,0.117670
0.020000,1.380429,0.385309,0.482405,1.106920,0.079275,-0.794902,0.124291
0.020000,1.402420,0.388131,0.504576,1.108555,0.081720,0.122232,0.131018
0.020000,1.424429,0.391108,0.526785,1.110454,0.094956,0.661799,0.137854
0.020000,1.446452,0.394241,0.549030,1.112221,0.088338,-0.330887,0.144801
0.020000,1.468486,0.397533,0.571309,1.113967,0.087334,-0.050206,0.151859
0.020000,1.490532,0.400988,0.593624,1.115756,0.089459,0.106255,0.159030
0.020000,1.512591,0.404608,0.615978,1.117699,0.097112,0.382672,0.166318
0.020000,1.534661,0.408397,0.638371,1.119626,0.096367,-0.037248,0.173722
0.020000,1.556739,0.412357,0.660801,1.121508,0.094108,-0.112973,0.181245
0.020000,1.578824,0.416491,0.683269,1.123425,0.095859,0.087567,0.188888
0.020000,1.600914,0.420803,0.705777,1.125375,0.097502,0.082165,0.196653
0.020000,1.623009,0.425295,0.728324,1.127356,0.099033,0.076547,0.204540
0.020000,1.645107,0.429971,0.750911,1.129365,0.100448,0.070714,0.212552
0.020000,1.667206,0.434835,0.773539,1.131400,0.101741,0.064664,0.220689
0.020000,1.689305,0.439888,0.796209,1.133458,0.102909,0.058399,0.228954
0.020000,1.711402,0.445135,0.818919,1.135537,0.103947,0.051918,0.237347
0.020000,1.733493,0.450579,0.841672,1.137634,0.104852,0.045224,0.245869
0.020000,1.755579,0.456222,0.864467,1.139746,0.105618,0.038318,0.254522
0.020000,1.777655,0.462069,0.887304,1.141871,0.106242,0.031203,0.263306
0.020000,1.799720,0.468123,0.910184,1.144006,0.106720,0.023881,0.272222
0.020000,1.821770,0.474386,0.933107,1.146147,0.107047,0.016357,0.281271
0.020000,1.843804,0.480861,0.956073,1.148291,0.107220,0.008635,0.290452
0.020000,1.865819,0.487553,0.979082,1.150436,0.107234,0.000721,0.299767
0.020000,1.887810,0.494464,1.002133,1.152577,0.107086,-0.007378,0.309216
0.020000,1.909775,0.501597,1.025228,1.154713,0.106773,-0.015655,0.318798
0.020000,1.931711,0.508955,1.048365,1.156860,0.107348,0.028718,0.328513
0.020000,1.953616,0.516542,1.071547,1.159111,0.112582,0.261695,0.338362
0.020000,1.975485,0.524360,1.094771,1.161217,0.105277,-0.365222,0.348344
0.020000,1.997313,0.532412,1.118037,1.163301,0.104222,-0.052748,0.358457
0.020000,2.019098,0.540701,1.141345,1.165381,0.103974,-0.012406,0.368701
0.020000,2.040836,0.549230,1.164697,1.167597,0.110820,0.342301,0.379075
0.020000,2.062522,0.558000,1.188089,1.169602,0.100237,-0.529181,0.389577
0.020000,2.084150,0.567014,1.211521,1.171571,0.098428,-0.090415,0.400205
0.020000,2.105720,0.576276,1.234995,1.173728,0.107895,0.473347,0.410959
0.020000,2.127224,0.585786,1.258507,1.175614,0.094277,-0.680895,0.421834
0.020000,2.148657,0.595546,1.282058,1.177547,0.096639,0.118071,0.432829
0.020000,2.170016,0.605559,1.305648,1.179482,0.096777,0.006932,0.443942
0.020000,2.191293,0.615825,1.329273,1.181229,0.087334,-0.472166,0.455167
0.020000,2.212487,0.626348,1.352935,1.183133,0.095193,0.392958,0.466504
0.020000,2.233589,0.637126,1.376630,1.184731,0.079919,-0.763715,0.477946
0.020000,2.254597,0.648162,1.400360,1.186519,0.089373,0.472716,0.489493
0.020000,2.275501,0.659455,1.424120,1.187987,0.073411,-0.798115,0.501136
0.020000,2.296301,0.671007,1.447912,1.189618,0.081542,0.406561,0.512875
0.020000,2.316986,0.682818,1.471732,1.190966,0.067428,-0.705695,0.524702
0.020000,2.337554,0.694887,1.495579,1.192375,0.070456,0.151394,0.536613
0.020000,2.357997,0.707214,1.519451,1.193619,0.062197,-0.412965,0.548602
0.020000,2.378311,0.719798,1.543347,1.194763,0.057204,-0.249648,0.560664
0.020000,2.398490,0.732639,1.567265,1.195906,0.057105,-0.004942,0.572793
0.020000,2.418526,0.745734,1.591201,1.196829,0.046155,-0.547476,0.584982
0.020000,2.438416,0.759083,1.615156,1.197712,0.044149,-0.100307,0.597225
0.020000,2.458154,0.772684,1.639126,1.198507,0.039770,-0.218970,0.609516
0.020000,2.477733,0.786534,1.663108,1.199125,0.030903,-0.443350,0.621847
0.020000,2.497148,0.800632,1.687101,1.199657,0.026586,-0.215821,0.634212
0.020000,2.516394,0.814974,1.711104,1.200128,0.023549,-0.151858,0.646603
0.020000,2.535466,0.829557,1.735112,1.200408,0.014009,-0.477006,0.659012
0.020000,2.554358,0.844377,1.759124,1.200575,0.008325,-0.284202,0.671433
0.020000,2.573065,0.859432,1.783137,1.200648,0.003694,-0.231538,0.683858
0.020000,2.591583,0.874718,1.807149,1.200611,-0.001854,-0.277427,0.696280
0.020000,2.609907,0.890231,1.831157,1.200415,-0.009835,-0.399034,0.708690
0.020000,2.628033,0.905965,1.855159,1.200099,-0.015802,-0.298365,0.721081
0.020000,2.645956,0.921916,1.879152,1.199663,-0.021787,-0.299261,0.733445
0.020000,2.663672,0.938080,1.903135,1.199131,-0.026584,-0.239837,0.745775
0.020000,2.681179,0.954452,1.927104,1.198462,-0.033471,-0.344325,0.758064
0.020000,2.698472,0.971027,1.951058,1.197663,-0.039921,-0.322499,0.770304
0.020000,2.715548,0.987799,1.974992,1.196749,-0.045700,-0.288949,0.782487
0.020000,2.732405,1.004762,1.998907,1.195722,-0.051379,-0.283990,0.794607
0.020000,2.749039,1.021911,2.022799,1.194583,-0.056939,-0.278001,0.806656
0.020000,2.765450,1.039241,2.046666,1.193346,-0.061856,-0.245811,0.818629
0.020000,2.781634,1.056746,2.070505,1.191995,-0.067562,-0.285310,0.830517
0.020000,2.797590,1.074420,2.094316,1.190536,-0.072908,-0.267321,0.842315
0.020000,2.813317,1.092256,2.118096,1.188981,-0.077795,-0.244334,0.854017
0.020000,2.828813,1.110249,2.141842,1.187331,-0.082484,-0.234431,0.865617
0.020000,2.844078,1.128394,2.165554,1.185592,-0.086963,-0.223973,0.877110
0.020000,2.859112,1.146684,2.189230,1.183767,-0.091224,-0.213048,0.888489
0.020000,2.873913,1.165113,2.212867,1.181862,-0.095245,-0.201028,0.899750
0.020000,2.888483,1.183675,2.236464,1.179882,-0.099005,-0.188048,0.910889
0.020000,2.902821,1.202366,2.260021,1.177827,-0.102748,-0.187117,0.921900
0.020000,2.916929,1.221178,2.283535,1.175706,-0.106067,-0.165943,0.932781
0.020000,2.930806,1.240106,2.307006,1.173523,-0.109146,-0.153961,0.943525
0.020000,2.944455,1.259145,2.330431,1.171283,-0.111985,-0.141978,0.954132
0.020000,2.957875,1.278289,2.353811,1.168991,-0.114587,-0.130061,0.964596
0.020000,2.971070,1.297533,2.377144,1.166652,-0.116952,-0.118269,0.974915
0.020000,2.984040,1.316872,2.400429,1.164271,-0.119085,-0.106659,0.985087
0.020000,2.996788,1.336300,2.423666,1.161844,-0.121324,-0.111939,0.995109
