dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.280246
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.280462
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.280949
0.020000,0.900000,0.680000,0.005686,0.176471,2.941176,-0.000000,6.281760
0.020000,0.900000,0.680000,0.009804,0.235294,2.941176,0.000000,6.282898
0.020000,0.904258,0.680003,0.015098,0.294118,2.941176,-0.000000,0.001179
0.020000,0.910725,0.680016,0.021569,0.352941,2.941176,0.000000,0.002976
0.020000,0.918375,0.680047,0.029216,0.411765,2.941176,0.000000,0.005111
0.020000,0.927199,0.680103,0.038039,0.470588,2.941176,0.000000,0.007586
0.020000,0.937198,0.680193,0.048039,0.529412,2.941176,-0.000000,0.010407
0.020000,0.948374,0.680327,0.059216,0.588235,2.941176,0.000000,0.013581
0.020000,0.960725,0.680516,0.071569,0.647059,2.941176,0.000000,0.017115
0.020000,0.974250,0.680774,0.085098,0.705882,2.941176,0.000000,0.021017
0.020000,0.988954,0.681115,0.099804,0.764706,2.941176,-0.000000,0.025296
0.020000,1.004829,0.681553,0.115686,0.823529,2.941176,0.000000,0.029960
0.020000,1.021880,0.682108,0.132745,0.882353,2.941176,-0.000000,0.035022
0.020000,1.040101,0.682796,0.150980,0.941176,2.941176,0.000000,0.040491
0.020000,1.059296,0.683629,0.170196,0.980392,1.960784,-49.019608,0.046321
0.020000,1.079077,0.684606,0.190000,1.000000,0.980392,-49.019608,0.052402
0.020000,1.099047,0.685716,0.210000,1.000000,0.000000,-49.019608,0.058619
0.020000,1.119009,0.686950,0.230000,1.000000,0.000000,0.000000,0.064912
0.020000,1.138963,0.688311,0.250000,1.000000,0.000000,0.000000,0.071282
0.020000,1.158908,0.689800,0.270000,1.000000,0.000000,0.000000,0.077730
0.020000,1.178842,0.691418,0.290000,1.000000,0.000000,0.000000,0.084255
0.020000,1.198765,0.693166,0.310000,1.000000,0.000000,0.000000,0.090859
0.020000,1.218677,0.695048,0.330000,1.000000,0.000000,0.000000,0.097542
0.020000,1.238575,0.697062,0.350000,1.000000,0.000000,0.000000,0.104304
0.020000,1.258458,0.699213,0.370000,1.000000,0.000000,0.000000,0.111146
0.020000,1.278327,0.701500,0.390000,1.000000,0.000000,0.000000,0.118069
0.020000,1.298179,0.703925,0.410000,1.000000,0.000000,0.000000,0.125072
0.020000,1.318013,0.706490,0.430000,1.000000,0.000000,0.000000,0.132156
0.020000,1.337828,0.709196,0.450000,1.000000,0.000000,0.000000,0.139322
0.020000,1.357625,0.712045,0.470000,1.000000,0.000000,0.000000,0.146569
0.020000,1.377400,0.715039,0.490000,1.000000,0.000000,0.000000,0.153898
0.020000,1.397153,0.718177,0.510000,1.000000,0.000000,0.000000,0.161309
0.020000,1.416882,0.721464,0.530000,1.000000,0.000000,0.000000,0.168801
0.020000,1.436584,0.724898,0.550000,1.000000,0.000000,0.000000,0.176375
0.020000,1.456260,0.728482,0.570000,1.000000,0.000000,0.000000,0.184030
0.020000,1.475907,0.732218,0.590000,1.000000,0.000000,0.000000,0.191766
0.020000,1.495524,0.736106,0.610000,1.000000,0.000000,0.000000,0.199583
0.020000,1.515112,0.740149,0.630000,1.000000,0.000000,0.000000,0.207481
0.020000,1.534668,0.744347,0.650000,1.000000,0.000000,0.000000,0.215460
0.020000,1.554188,0.748701,0.670000,1.000000,0.000000,0.000000,0.223518
0.020000,1.573672,0.753214,0.690000,1.000000,0.000000,0.000000,0.231655
0.020000,1.593117,0.757885,0.710000,1.000000,0.000000,0.000000,0.239870
0.020000,1.612525,0.762717,0.730000,1.000000,0.000000,0.000000,0.248163
0.020000,1.631893,0.767711,0.750000,1.000000,0.000000,0.000000,0.256533
0.020000,1.651217,0.772867,0.770000,1.000000,0.000000,0.000000,0.264979
0.020000,1.670495,0.778186,0.790000,1.000000,0.000000,0.000000,0.273499
0.020000,1.689728,0.783671,0.810000,1.000000,0.000000,0.000000,0.282092
0.020000,1.708914,0.789321,0.830000,1.000000,0.000000,0.000000,0.290758
0.020000,1.728049,0.795138,0.850000,1.000000,0.000000,0.000000,0.299495
0.020000,1.747131,0.801123,0.870000,1.000000,0.000000,0.000000,0.308300
0.020000,1.766162,0.807276,0.890000,1.000000,0.000000,0.000000,0.317174
0.020000,1.785137,0.813599,0.910000,1.000000,0.000000,0.000000,0.326114
0.020000,1.804052,0.820091,0.930000,1.000000,0.000000,0.000000,0.335116
0.020000,1.822911,0.826754,0.950000,1.000000,0.000000,0.000000,0.344183
0.020000,1.841707,0.833588,0.970000,1.000000,0.000000,0.000000,0.353308
0.020000,1.860438,0.840594,0.990000,1.000000,0.000000,0.000000,0.362491
0.020000,1.879107,0.847772,1.010000,1.000000,0.000000,0.000000,0.371731
0.020000,1.897706,0.855123,1.030000,1.000000,0.000000,0.000000,0.381023
0.020000,1.916236,0.862647,1.050000,1.000000,0.000000,0.000000,0.390366
0.020000,1.934697,0.870345,1.070000,1.000000,0.000000,0.000000,0.399758
0.020000,1.953082,0.878215,1.090000,1.000000,0.000000,0.000000,0.409195
0.020000,1.971393,0.886259,1.110000,1.000000,0.000000,0.000000,0.418675
0.020000,1.989627,0.894477,1.130000,1.000000,0.000000,0.000000,0.428194
0.020000,2.007781,0.902868,1.150000,1.000000,0.000000,0.000000,0.437750
0.020000,2.025855,0.911433,1.170000,1.000000,0.000000,0.000000,0.447341
0.020000,2.043844,0.920171,1.190000,1.000000,0.000000,0.000000,0.456961
0.020000,2.061750,0.929082,1.210000,1.000000,0.000000,0.000000,0.466610
0.020000,2.079567,0.938165,1.230000,1.000000,0.000000,0.000000,0.476281
0.020000,2.097297,0.947421,1.250000,1.000000,0.000000,0.000000,0.485975
0.020000,2.114935,0.956848,1.270000,1.000000,0.000000,0.000000,0.495686
0.020000,2.132482,0.966446,1.290000,1.000000,0.000000,0.000000,0.505411
0.020000,2.149934,0.976214,1.310000,1.000000,0.000000,0.000000,0.515146
0.020000,2.167290,0.986152,1.330000,1.000000,0.000000,0.000000,0.524888
0.020000,2.184548,0.996258,1.350000,1.000000,0.000000,0.000000,0.534633
0.020000,2.201708,1.006533,1.370000,1.000000,0.000000,0.000000,0.544379
0.020000,2.218766,1.016973,1.390000,1.000000,0.000000,0.000000,0.554121
0.020000,2.235722,1.027580,1.410000,1.000000,0.000000,0.000000,0.563855
0.020000,2.252573,1.038351,1.430000,1.000000,0.000000,0.000000,0.573578
0.020000,2.269320,1.049285,1.450000,1.000000,0.000000,0.000000,0.583287
0.020000,2.285959,1.060381,1.470000,1.000000,0.000000,0.000000,0.592978
0.020000,2.302490,1.071638,1.490000,1.000000,0.000000,0.000000,0.602647
0.020000,2.318912,1.083053,1.510000,1.000000,0.000000,0.000000,0.612290
0.020000,2.335223,1.094627,1.530000,1.000000,0.000000,0.000000,0.621905
0.020000,2.351422,1.106356,1.550000,1.000000,0.000000,0.000000,0.631488
0.020000,2.367509,1.118240,1.570000,1.000000,0.000000,0.000000,0.641035
0.020000,2.383481,1.130277,1.590000,1.000000,0.000000,0.000000,0.650544
0.020000,2.399338,1.142464,1.610000,1.000000,0.000000,0.000000,0.660010
0.020000,2.415080,1.154801,1.630000,1.000000,0.000000,0.000000,0.669430
0.020000,2.430705,1.167285,1.650000,1.000000,0.000000,0.000000,0.678802
0.020000,2.446213,1.179915,1.670000,1.000000,0.000000,0.000000,0.688123
0.020000,2.461602,1.192688,1.690000,1.000000,0.000000,0.000000,0.697389
0.020000,2.476873,1.205603,1.710000,1.000000,0.000000,0.000000,0.706598
0.020000,2.492025,1.218657,1.730000,1.000000,0.000000,0.000000,0.715746
0.020000,2.507057,1.231849,1.750000,1.000000,0.000000,0.000000,0.724832
0.020000,2.521969,1.245177,1.770000,1.000000,0.000000,0.000000,0.733852
0.020000,2.536761,1.258638,1.790000,1.000000,0.000000,0.000000,0.742805
0.020000,2.551432,1.272231,1.810000,1.000000,0.000000,0.000000,0.751687
0.020000,2.565982,1.285952,1.830000,1.000000,0.000000,0.000000,0.760496
0.020000,2.580412,1.299801,1.850000,1.000000,0.000000,0.000000,0.769231
0.020000,2.594720,1.313775,1.870000,1.000000,0.000000,0.000000,0.777889
0.020000,2.608908,1.327871,1.890000,1.000000,0.000000,0.000000,0.786469
0.020000,2.622974,1.342089,1.910000,1.000000,0.000000,0.000000,0.794967
0.020000,2.636920,1.356424,1.930000,1.000000,0.000000,0.000000,0.803384
0.020000,2.650745,1.370876,1.950000,1.000000,0.000000,0.000000,0.811717
0.020000,2.664450,1.385442,1.970000,1.000000,0.000000,0.000000,0.819965
0.020000,2.678035,1.400120,1.990000,1.000000,0.000000,0.000000,0.828125
0.020000,2.691501,1.414908,2.010000,1.000000,0.000000,0.000000,0.836198
0.020000,2.704847,1.429803,2.030000,1.000000,0.000000,0.000000,0.844182
0.020000,2.718074,1.444804,2.050000,1.000000,0.000000,0.000000,0.852075
0.020000,2.731184,1.459909,2.070000,1.000000,0.000000,0.000000,0.859878
0.020000,2.744176,1.475114,2.090000,1.000000,0.000000,0.000000,0.867588
0.020000,2.757051,1.490419,2.110000,1.000000,0.000000,0.000000,0.875205
0.020000,2.769810,1.505820,2.130000,1.000000,0.000000,0.000000,0.882729
0.020000,2.782453,1.521317,2.150000,1.000000,0.000000,0.000000,0.890159
0.020000,2.794981,1.536906,2.170000,1.000000,0.000000,0.000000,0.897493
0.020000,2.807396,1.552587,2.190000,1.000000,0.000000,0.000000,0.904734
0.020000,2.819697,1.568356,2.210000,1.000000,0.000000,0.000000,0.911878
0.020000,2.831887,1.584212,2.230000,1.000000,0.000000,0.000000,0.918927
0.020000,2.843965,1.600154,2.250000,1.000000,0.000000,0.000000,0.925880
0.020000,2.855932,1.616178,2.270000,1.000000,0.000000,0.000000,0.932737
0.020000,2.867791,1.632283,2.290000,1.000000,0.000000,0.000000,0.939499
0.020000,2.879540,1.648468,2.310000,1.000000,0.000000,0.000000,0.946164
0.020000,2.891183,1.664730,2.330000,1.000000,0.000000,0.000000,0.952733
0.020000,2.902719,1.681067,2.350000,1.000000,0.000000,0.000000,0.959207
0.020000,2.914150,1.697479,2.370000,1.000000,0.000000,0.000000,0.965585
0.020000,2.925477,1.713962,2.390000,1.000000,0.000000,0.000000,0.971868
0.020000,2.936701,1.730516,2.410000,1.000000,0.000000,0.000000,0.978055
0.020000,2.947823,1.747138,2.430000,1.000000,0.000000,0.000000,0.984148
0.020000,2.958844,1.763827,2.450000,1.000000,0.000000,0.000000,0.990147
0.020000,2.969766,1.780581,2.470000,1.000000,0.000000,0.000000,0.996052
