dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899054,0.357001,0.000196,0.019608,0.980392,49.019608,6.280257
0.020000,0.899115,0.357001,0.000257,0.003056,-0.827598,-90.399523,6.280446
0.020000,0.899253,0.357001,0.000395,0.006879,0.191158,50.937809,6.280872
0.020000,0.899482,0.357000,0.000624,0.011475,0.229811,1.932641,6.281582
0.020000,0.899804,0.357000,0.000946,0.016087,0.230575,0.038240,6.282578
0.020000,0.903010,0.357001,0.004152,0.160324,7.211856,349.064014,0.000677
0.020000,0.909990,0.357011,0.011132,0.348962,9.431897,111.002079,0.002251
0.020000,0.918241,0.357038,0.019383,0.412586,3.181233,-312.533210,0.004120
0.020000,0.927762,0.357087,0.028904,0.476025,3.171942,-0.464555,0.006287
0.020000,0.938560,0.357168,0.039702,0.539908,3.194126,1.109188,0.008759
0.020000,0.950635,0.357291,0.051778,0.603814,3.195327,0.060063,0.011541
0.020000,0.963987,0.357466,0.065132,0.667667,3.192629,-0.134890,0.014639
0.020000,0.978618,0.357705,0.079764,0.731626,3.197964,0.266728,0.018061
0.020000,0.994536,0.358022,0.095685,0.796051,3.221253,1.164483,0.021815
0.020000,1.011738,0.358433,0.112892,0.860342,3.214534,-0.335968,0.025910
0.020000,1.030221,0.358953,0.131383,0.924520,3.208886,-0.282403,0.030354
0.020000,1.050002,0.359601,0.151175,0.989600,3.253990,2.255197,0.035162
0.020000,1.070856,0.360388,0.172043,1.043427,2.691371,-28.130946,0.040289
0.020000,1.092370,0.361313,0.193577,1.076705,1.663893,-51.373883,0.045641
0.020000,1.114115,0.362365,0.215347,1.088517,0.590588,-53.665247,0.051118
0.020000,1.135874,0.363539,0.237138,1.089512,0.049795,-27.039689,0.056665
0.020000,1.157648,0.364835,0.258951,1.090648,0.056767,0.348595,0.062285
0.020000,1.179444,0.366257,0.280793,1.092131,0.074170,0.870176,0.067981
0.020000,1.201254,0.367805,0.302657,1.093203,0.053576,-1.029716,0.073750
0.020000,1.223075,0.369481,0.324544,1.094307,0.055223,0.082380,0.079595
0.020000,1.244911,0.371288,0.346454,1.095516,0.060459,0.261786,0.085516
0.020000,1.266766,0.373227,0.368395,1.097039,0.076111,0.782582,0.091517
0.020000,1.288632,0.375301,0.390359,1.098209,0.058503,-0.880372,0.097595
0.020000,1.310509,0.377511,0.412347,1.099408,0.059955,0.072594,0.103752
0.020000,1.332396,0.379859,0.434360,1.100635,0.061351,0.069790,0.109989
0.020000,1.354295,0.382347,0.456399,1.101974,0.066983,0.281624,0.116307
0.020000,1.376207,0.384978,0.478469,1.103482,0.075387,0.420154,0.122709
0.020000,1.398127,0.387753,0.500564,1.104760,0.063914,-0.573629,0.129192
0.020000,1.420055,0.390675,0.522685,1.106062,0.065084,0.058507,0.135759
0.020000,1.441988,0.393746,0.544833,1.107386,0.066189,0.055260,0.142411
0.020000,1.463928,0.396967,0.567008,1.108730,0.067228,0.051914,0.149146
0.020000,1.485872,0.400340,0.589209,1.110094,0.068197,0.048470,0.155968
0.020000,1.507820,0.403869,0.611440,1.111525,0.071514,0.165840,0.162876
0.020000,1.529774,0.407556,0.633701,1.113042,0.075850,0.216803,0.169872
