dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.156901,7.582332,0.000196,0.019608,0.980392,49.019608,5.775952
0.020000,7.157043,7.582253,0.000358,0.008108,-0.574998,-77.769522,5.776140
0.020000,7.158469,7.581461,0.001989,0.081556,3.672386,212.369197,5.776554
0.020000,7.160855,7.580138,0.004718,0.136422,2.743313,-46.453627,5.777212
0.020000,7.164215,7.578278,0.008558,0.192030,2.780385,1.853601,5.778070
0.020000,7.168568,7.575874,0.013532,0.248670,2.832021,2.581787,5.779063
0.020000,7.173940,7.572914,0.019664,0.306632,2.898098,3.303875,5.780109
0.020000,7.180358,7.569386,0.026988,0.366201,2.978436,4.016903,5.781109
0.020000,7.187858,7.565274,0.035542,0.427659,3.072914,4.723879,5.781946
0.020000,7.196476,7.560555,0.045367,0.491291,3.181591,5.433871,5.782486
0.020000,7.206256,7.555204,0.056515,0.557385,3.304736,6.157205,5.782575
0.020000,7.217243,7.549191,0.069040,0.626243,3.442881,6.907250,5.782042
0.020000,7.229485,7.542475,0.083004,0.698183,3.596973,7.704644,5.780698
0.020000,7.243036,7.535009,0.098475,0.773552,3.768492,8.575937,5.778329
0.020000,7.257948,7.526734,0.115530,0.852742,3.959468,9.548780,5.774699
0.020000,7.274281,7.517577,0.134253,0.936197,4.172738,10.663513,5.769544
0.020000,7.292092,7.507450,0.154742,1.024437,4.412036,11.964901,5.762567
0.020000,7.311243,7.496357,0.176875,1.106635,4.109898,-15.106885,5.753536
0.020000,7.331381,7.484419,0.200285,1.170512,3.193837,-45.803083,5.742371
0.020000,7.352116,7.471783,0.224567,1.214093,2.179033,-50.740200,5.729113
0.020000,7.373234,7.458497,0.249517,1.247490,1.669869,-25.458192,5.713788
0.020000,7.394714,7.444486,0.275162,1.282257,1.738356,3.424368,5.696310
0.020000,7.416528,7.429670,0.301532,1.318479,1.811075,3.635958,5.676589
0.020000,7.438643,7.413966,0.328655,1.356187,1.885420,3.717221,5.654532
0.020000,7.461014,7.397284,0.356562,1.395340,1.957669,3.612441,5.630051
0.020000,7.483586,7.379531,0.385278,1.435814,2.023690,3.301091,5.603063
0.020000,7.506284,7.360615,0.414825,1.477355,2.077059,2.668415,5.573502
0.020000,7.529019,7.340447,0.445217,1.519577,2.111073,1.700734,5.541326
0.020000,7.551681,7.318946,0.476455,1.561921,2.117224,0.307511,5.506527
0.020000,7.574136,7.296045,0.508528,1.603651,2.086475,-1.537439,5.469143
0.020000,7.596230,7.271699,0.541405,1.643847,2.009805,-3.833502,5.429270
0.020000,7.617789,7.245889,0.575034,1.681433,1.879318,-6.524320,5.387068
0.020000,7.638621,7.218635,0.609339,1.715227,1.689676,-9.482124,5.342773
0.020000,7.658529,7.189994,0.644219,1.744020,1.439643,-12.501660,5.296694
0.020000,7.677316,7.160069,0.679553,1.766688,1.133426,-15.310851,5.249211
0.020000,7.694800,7.129004,0.715199,1.782316,0.781375,-17.602534,5.200759
0.020000,7.710821,7.096983,0.751005,1.790306,0.399515,-19.093005,5.151813
0.020000,7.725257,7.064212,0.786814,1.790442,0.006827,-19.634374,5.102858
0.020000,7.738025,7.030918,0.822473,1.782946,-0.374831,-19.082936,5.054367
0.020000,7.749088,6.997324,0.857842,1.768436,-0.725484,-17.532645,5.006776
0.020000,7.758451,6.963644,0.892798,1.747829,-1.030380,-15.244802,4.960461
0.020000,7.766157,6.930073,0.927243,1.722244,-1.279247,-12.443360,4.915731
0.020000,7.772278,6.896773,0.961101,1.692895,-1.467432,-9.409247,4.872819
0.020000,7.776909,6.863878,0.994321,1.660976,-1.595963,-6.426541,4.831885
0.020000,7.780157,6.831489,1.026872,1.627556,-1.670964,-3.750027,4.793020
0.020000,7.782137,6.799679,1.058743,1.593577,-1.698953,-1.399478,4.756261
0.020000,7.782961,6.768494,1.089939,1.559775,-1.690120,0.441686,4.721595
0.020000,7.782937,6.744957,1.113476,1.176881,-19.144707,-872.729347,4.704002
0.020000,7.782558,6.720382,1.138054,1.228874,2.599641,1087.217362,4.689830
0.020000,7.781814,6.695573,1.162874,1.241022,0.607411,-99.611467,4.674904
0.020000,7.780679,6.670516,1.187956,1.254108,0.654303,2.344596,4.659169
0.020000,7.779121,6.645201,1.213320,1.268165,0.702873,2.428503,4.642564
0.020000,7.777107,6.619615,1.238984,1.283227,0.753092,2.510949,4.625026
0.020000,7.774602,6.593749,1.264972,1.299376,0.807432,2.716976,4.606487
0.020000,7.771563,6.567590,1.291306,1.316728,0.867599,3.008361,4.586874
0.020000,7.767947,6.541129,1.318013,1.335352,0.931187,3.179376,4.566108
0.020000,7.763703,6.514358,1.345119,1.355259,0.995365,3.208916,4.544109
0.020000,7.758779,6.487272,1.372649,1.376515,1.062797,3.371584,4.520794
0.020000,7.753113,6.459868,1.400632,1.399182,1.133356,3.527991,4.496074
0.020000,7.746642,6.432148,1.429098,1.423258,1.203788,3.521573,4.469864
0.020000,7.739297,6.404121,1.458071,1.448667,1.270450,3.333091,4.442079
0.020000,7.731002,6.375803,1.487579,1.475425,1.337932,3.374131,4.412637
0.020000,7.721680,6.347218,1.517646,1.503329,1.395189,2.862843,4.381468
