dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.972897,0.973241,0.000196,0.019608,0.980392,49.019608,0.008230
0.020000,0.972872,0.973240,0.000222,0.001274,-0.916675,-94.853382,0.008309
0.020000,0.972815,0.973240,0.000279,0.002870,0.079765,49.822047,0.008487
0.020000,0.975063,0.973259,0.002528,0.112439,5.478478,269.935639,0.008783
0.020000,0.979046,0.973295,0.006511,0.199159,4.335970,-57.125425,0.009200
0.020000,0.984167,0.973344,0.011632,0.256036,2.843890,-74.603978,0.009736
0.020000,0.990424,0.973407,0.017889,0.312889,2.842626,-0.063206,0.010395
0.020000,0.997818,0.973486,0.025284,0.369717,2.841401,-0.061275,0.011178
0.020000,1.006348,0.973586,0.033814,0.426516,2.839951,-0.072471,0.012085
0.020000,1.016013,0.973707,0.043480,0.483279,2.838129,-0.091111,0.013121
0.020000,1.026812,0.973855,0.054280,0.540001,2.836133,-0.099789,0.014286
0.020000,1.038744,0.974034,0.066213,0.596680,2.833946,-0.109364,0.015585
0.020000,1.051808,0.974247,0.079279,0.653308,2.831395,-0.127541,0.017019
0.020000,1.066004,0.974499,0.093477,0.709880,2.828599,-0.139791,0.018592
0.020000,1.081329,0.974797,0.108805,0.766396,2.825802,-0.139851,0.020309
0.020000,1.097782,0.975147,0.125262,0.822843,2.822332,-0.173498,0.022173
0.020000,1.115362,0.975554,0.142846,0.879221,2.818937,-0.169755,0.024188
0.020000,1.133877,0.976022,0.161368,0.926074,2.342644,-23.814680,0.026337
0.020000,1.152950,0.976546,0.180447,0.953976,1.395102,-47.377098,0.028579
0.020000,1.172200,0.977118,0.199706,0.962958,0.449099,-47.300124,0.030873
0.020000,1.191440,0.977735,0.218956,0.962490,-0.023415,-23.625687,0.033196
0.020000,1.210669,0.978396,0.238197,0.962020,-0.023525,-0.005533,0.035547
0.020000,1.229887,0.979102,0.257428,0.961547,-0.023636,-0.005528,0.037928
0.020000,1.249094,0.979854,0.276649,0.961072,-0.023746,-0.005520,0.040339
0.020000,1.268289,0.980652,0.295861,0.960595,-0.023856,-0.005508,0.042779
0.020000,1.287473,0.981497,0.315063,0.960115,-0.023966,-0.005492,0.045248
0.020000,1.306645,0.982389,0.334256,0.959634,-0.024076,-0.005473,0.047748
0.020000,1.325805,0.983329,0.353439,0.959150,-0.024185,-0.005449,0.050277
0.020000,1.344953,0.984317,0.372612,0.958664,-0.024293,-0.005422,0.052837
0.020000,1.364088,0.985354,0.391776,0.958176,-0.024401,-0.005390,0.055426
0.020000,1.383211,0.986440,0.410929,0.957686,-0.024508,-0.005353,0.058046
0.020000,1.402321,0.987576,0.430073,0.957194,-0.024614,-0.005313,0.060697
0.020000,1.421418,0.988762,0.449207,0.956700,-0.024720,-0.005267,0.063378
0.020000,1.440502,0.989999,0.468331,0.956203,-0.024824,-0.005217,0.066090
0.020000,1.459573,0.991288,0.487445,0.955704,-0.024927,-0.005161,0.068833
0.020000,1.478630,0.992628,0.506550,0.955204,-0.025029,-0.005101,0.071606
0.020000,1.497673,0.994021,0.525644,0.954702,-0.025103,-0.003710,0.074411
0.020000,1.516702,0.995466,0.544728,0.954198,-0.025176,-0.003615,0.077247
0.020000,1.535717,0.996966,0.563801,0.953692,-0.025324,-0.007422,0.080115
0.020000,1.554717,0.998519,0.582865,0.953183,-0.025420,-0.004811,0.083013
0.020000,1.573703,1.000126,0.601918,0.952673,-0.025515,-0.004723,0.085944
0.020000,1.592673,1.001789,0.620962,0.952161,-0.025607,-0.004629,0.088906
0.020000,1.611629,1.003507,0.639995,0.951647,-0.025698,-0.004529,0.091900
0.020000,1.630568,1.005282,0.659017,0.951131,-0.025786,-0.004422,0.094926
0.020000,1.649492,1.007112,0.678030,0.950614,-0.025873,-0.004309,0.097984
0.020000,1.668400,1.009001,0.697031,0.950095,-0.025936,-0.003191,0.101074
0.020000,1.687292,1.010946,0.716023,0.949576,-0.025953,-0.000811,0.104196
0.020000,1.706167,1.012950,0.735004,0.949054,-0.026115,-0.008102,0.107351
0.020000,1.725025,1.015013,0.753975,0.948530,-0.026191,-0.003799,0.110538
0.020000,1.743866,1.017135,0.772935,0.948005,-0.026264,-0.003651,0.113757
0.020000,1.762689,1.019316,0.791884,0.947478,-0.026334,-0.003496,0.117009
0.020000,1.781495,1.021558,0.810823,0.946950,-0.026400,-0.003334,0.120294
0.020000,1.800283,1.023861,0.829752,0.946421,-0.026450,-0.002478,0.123611
0.020000,1.819053,1.026224,0.848670,0.945893,-0.026418,0.001577,0.126962
0.020000,1.837804,1.028650,0.867577,0.945361,-0.026579,-0.008041,0.130345
0.020000,1.856536,1.031138,0.886473,0.944828,-0.026631,-0.002619,0.133761
0.020000,1.875248,1.033689,0.905359,0.944295,-0.026680,-0.002417,0.137210
0.020000,1.893942,1.036303,0.924234,0.943760,-0.026724,-0.002207,0.140693
0.020000,1.912615,1.038981,0.943099,0.943225,-0.026752,-0.001408,0.144208
0.020000,1.931268,1.041724,0.961953,0.942692,-0.026686,0.003318,0.147757
0.020000,1.949901,1.044531,0.980796,0.942155,-0.026831,-0.007254,0.151338
0.020000,1.968513,1.047404,0.999628,0.941618,-0.026857,-0.001297,0.154953
0.020000,1.987104,1.050343,1.018450,0.941080,-0.026878,-0.001044,0.158601
0.020000,2.005673,1.053348,1.037261,0.940542,-0.026893,-0.000782,0.162283
0.020000,2.024221,1.056420,1.056061,0.940006,-0.026813,0.004030,0.165998
0.020000,2.042746,1.059559,1.074850,0.939469,-0.026876,-0.003157,0.169746
0.020000,2.061249,1.062766,1.093629,0.938930,-0.026910,-0.001719,0.173527
0.020000,2.079728,1.066042,1.112397,0.938392,-0.026903,0.000337,0.177342
0.020000,2.098185,1.069387,1.131154,0.937855,-0.026891,0.000643,0.181190
0.020000,2.116618,1.072800,1.149900,0.937319,-0.026775,0.005798,0.185071
0.020000,2.135027,1.076284,1.168636,0.936783,-0.026826,-0.002547,0.188985
0.020000,2.153411,1.079838,1.187361,0.936246,-0.026818,0.000366,0.192933
0.020000,2.171771,1.083463,1.206075,0.935711,-0.026779,0.001940,0.196913
0.020000,2.190106,1.087159,1.224778,0.935176,-0.026711,0.003420,0.200927
0.020000,2.208415,1.090926,1.243471,0.934645,-0.026593,0.005912,0.204974
0.020000,2.226699,1.094766,1.262154,0.934112,-0.026626,-0.001677,0.209054
0.020000,2.244956,1.098679,1.280825,0.933581,-0.026559,0.003377,0.213166
0.020000,2.263186,1.102664,1.299486,0.933051,-0.026484,0.003763,0.217312
0.020000,2.281390,1.106723,1.318137,0.932525,-0.026318,0.008297,0.221490
0.020000,2.299565,1.110856,1.336777,0.931999,-0.026300,0.000897,0.225700
0.020000,2.317714,1.115064,1.355406,0.931475,-0.026218,0.004097,0.229943
0.020000,2.335833,1.119346,1.374025,0.930952,-0.026110,0.005369,0.234219
0.020000,2.353925,1.123704,1.392634,0.930434,-0.025940,0.008511,0.238526
0.020000,2.371987,1.128137,1.411232,0.929917,-0.025848,0.004624,0.242866
0.020000,2.390020,1.132647,1.429820,0.929402,-0.025746,0.005094,0.247237
0.020000,2.408023,1.137233,1.448398,0.928890,-0.025604,0.007098,0.251640
0.020000,2.425995,1.141896,1.466966,0.928381,-0.025414,0.009474,0.256075
0.020000,2.443937,1.146636,1.485523,0.927876,-0.025274,0.007010,0.260540
0.020000,2.461848,1.151455,1.504071,0.927373,-0.025133,0.007029,0.265037
0.020000,2.479727,1.156351,1.522608,0.926874,-0.024955,0.008934,0.269565
0.020000,2.497574,1.161326,1.541136,0.926379,-0.024740,0.010757,0.274124
0.020000,2.515389,1.166379,1.559654,0.925888,-0.024562,0.008878,0.278713
0.020000,2.533171,1.171512,1.578162,0.925401,-0.024373,0.009459,0.283332
0.020000,2.550920,1.176725,1.596660,0.924917,-0.024156,0.010856,0.287981
0.020000,2.568635,1.182017,1.615149,0.924439,-0.023916,0.011998,0.292659
0.020000,2.586316,1.187390,1.633628,0.923965,-0.023698,0.010905,0.297367
0.020000,2.603962,1.192844,1.652098,0.923496,-0.023458,0.011998,0.302104
