dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.975556,0.650251,0.000196,0.019608,0.980392,49.019608,0.008230
0.020000,0.975556,0.650251,0.000980,0.058824,1.960784,49.019608,0.008309
0.020000,0.975556,0.650251,0.002745,0.117647,2.941176,49.019608,0.008487
0.020000,0.977900,0.650272,0.005686,0.176471,2.941176,-0.000000,0.008783
0.020000,0.982018,0.650309,0.009804,0.235294,2.941176,0.000000,0.009200
0.020000,0.987312,0.650359,0.015098,0.294118,2.941176,-0.000000,0.009736
0.020000,0.993782,0.650424,0.021569,0.352941,2.941176,0.000000,0.010395
0.020000,1.001428,0.650507,0.029216,0.411765,2.941176,0.000000,0.011178
0.020000,1.010251,0.650609,0.038039,0.470588,2.941176,0.000000,0.012085
0.020000,1.020251,0.650735,0.048039,0.529412,2.941176,-0.000000,0.013121
0.020000,1.031426,0.650888,0.059216,0.588235,2.941176,0.000000,0.014286
0.020000,1.043778,0.651073,0.071569,0.647059,2.941176,0.000000,0.015585
0.020000,1.057305,0.651293,0.085098,0.705882,2.941176,0.000000,0.017019
0.020000,1.072009,0.651555,0.099804,0.764706,2.941176,-0.000000,0.018592
0.020000,1.087888,0.651864,0.115686,0.823529,2.941176,0.000000,0.020309
0.020000,1.104943,0.652226,0.132745,0.882353,2.941176,-0.000000,0.022173
0.020000,1.123173,0.652649,0.150980,0.941176,2.941176,0.000000,0.024188
0.020000,1.142383,0.653134,0.170196,0.980392,1.960784,-49.019608,0.026337
0.020000,1.162179,0.653678,0.190000,1.000000,0.980392,-49.019608,0.028579
0.020000,1.182171,0.654272,0.210000,1.000000,0.000000,-49.019608,0.030873
0.020000,1.202160,0.654913,0.230000,1.000000,0.000000,0.000000,0.033196
0.020000,1.222149,0.655600,0.250000,1.000000,0.000000,0.000000,0.035547
0.020000,1.242135,0.656335,0.270000,1.000000,0.000000,0.000000,0.037928
0.020000,1.262120,0.657117,0.290000,1.000000,0.000000,0.000000,0.040339
0.020000,1.282102,0.657948,0.310000,1.000000,0.000000,0.000000,0.042779
0.020000,1.302083,0.658828,0.330000,1.000000,0.000000,0.000000,0.045248
0.020000,1.322061,0.659757,0.350000,1.000000,0.000000,0.000000,0.047748
0.020000,1.342037,0.660737,0.370000,1.000000,0.000000,0.000000,0.050277
0.020000,1.362011,0.661768,0.390000,1.000000,0.000000,0.000000,0.052837
0.020000,1.381982,0.662850,0.410000,1.000000,0.000000,0.000000,0.055426
0.020000,1.401949,0.663984,0.430000,1.000000,0.000000,0.000000,0.058046
0.020000,1.421914,0.665171,0.450000,1.000000,0.000000,0.000000,0.060697
0.020000,1.441876,0.666411,0.470000,1.000000,0.000000,0.000000,0.063378
0.020000,1.461834,0.667704,0.490000,1.000000,0.000000,0.000000,0.066090
0.020000,1.481788,0.669052,0.510000,1.000000,0.000000,0.000000,0.068833
0.020000,1.501739,0.670456,0.530000,1.000000,0.000000,0.000000,0.071606
0.020000,1.521686,0.671914,0.550000,1.000000,0.000000,0.000000,0.074411
0.020000,1.541628,0.673430,0.570000,1.000000,0.000000,0.000000,0.077247
0.020000,1.561566,0.675002,0.590000,1.000000,0.000000,0.000000,0.080115
0.020000,1.581500,0.676631,0.610000,1.000000,0.000000,0.000000,0.083013
0.020000,1.601429,0.678318,0.630000,1.000000,0.000000,0.000000,0.085944
0.020000,1.621352,0.680065,0.650000,1.000000,0.000000,0.000000,0.088906
0.020000,1.641270,0.681870,0.670000,1.000000,0.000000,0.000000,0.091900
0.020000,1.661183,0.683736,0.690000,1.000000,0.000000,0.000000,0.094926
0.020000,1.681090,0.685662,0.710000,1.000000,0.000000,0.000000,0.097984
0.020000,1.700991,0.687649,0.730000,1.000000,0.000000,0.000000,0.101074
0.020000,1.720886,0.689698,0.750000,1.000000,0.000000,0.000000,0.104196
0.020000,1.740774,0.691809,0.770000,1.000000,0.000000,0.000000,0.107351
0.020000,1.760656,0.693984,0.790000,1.000000,0.000000,0.000000,0.110538
0.020000,1.780530,0.696222,0.810000,1.000000,0.000000,0.000000,0.113757
0.020000,1.800397,0.698525,0.830000,1.000000,0.000000,0.000000,0.117009
0.020000,1.820256,0.700892,0.850000,1.000000,0.000000,0.000000,0.120294
0.020000,1.840108,0.703325,0.870000,1.000000,0.000000,0.000000,0.123611
0.020000,1.859951,0.705824,0.890000,1.000000,0.000000,0.000000,0.126962
0.020000,1.879786,0.708390,0.910000,1.000000,0.000000,0.000000,0.130345
0.020000,1.899612,0.711023,0.930000,1.000000,0.000000,0.000000,0.133761
0.020000,1.919428,0.713725,0.950000,1.000000,0.000000,0.000000,0.137210
0.020000,1.939236,0.716495,0.970000,1.000000,0.000000,0.000000,0.140693
0.020000,1.959033,0.719334,0.990000,1.000000,0.000000,0.000000,0.144208
0.020000,1.978820,0.722243,1.010000,1.000000,0.000000,0.000000,0.147757
0.020000,1.998597,0.725223,1.030000,1.000000,0.000000,0.000000,0.151338
0.020000,2.018363,0.728274,1.050000,1.000000,0.000000,0.000000,0.154953
0.020000,2.038118,0.731397,1.070000,1.000000,0.000000,0.000000,0.158601
0.020000,2.057861,0.734592,1.090000,1.000000,0.000000,0.000000,0.162283
0.020000,2.077592,0.737860,1.110000,1.000000,0.000000,0.000000,0.165998
0.020000,2.097311,0.741201,1.130000,1.000000,0.000000,0.000000,0.169746
0.020000,2.117017,0.744617,1.150000,1.000000,0.000000,0.000000,0.173527
0.020000,2.136710,0.748108,1.170000,1.000000,0.000000,0.000000,0.177342
0.020000,2.156390,0.751674,1.190000,1.000000,0.000000,0.000000,0.181190
0.020000,2.176055,0.755316,1.210000,1.000000,0.000000,0.000000,0.185071
0.020000,2.195706,0.759035,1.230000,1.000000,0.000000,0.000000,0.188985
0.020000,2.215343,0.762831,1.250000,1.000000,0.000000,0.000000,0.192933
0.020000,2.234964,0.766705,1.270000,1.000000,0.000000,0.000000,0.196913
0.020000,2.254570,0.770657,1.290000,1.000000,0.000000,0.000000,0.200927
0.020000,2.274159,0.774688,1.310000,1.000000,0.000000,0.000000,0.204974
0.020000,2.293732,0.778799,1.330000,1.000000,0.000000,0.000000,0.209054
0.020000,2.313288,0.782989,1.350000,1.000000,0.000000,0.000000,0.213166
0.020000,2.332827,0.787261,1.370000,1.000000,0.000000,0.000000,0.217312
0.020000,2.352347,0.791614,1.390000,1.000000,0.000000,0.000000,0.221490
0.020000,2.371849,0.796049,1.410000,1.000000,0.000000,0.000000,0.225700
0.020000,2.391333,0.800566,1.430000,1.000000,0.000000,0.000000,0.229943
0.020000,2.410796,0.805166,1.450000,1.000000,0.000000,0.000000,0.234219
0.020000,2.430240,0.809849,1.470000,1.000000,0.000000,0.000000,0.238526
0.020000,2.449664,0.814617,1.490000,1.000000,0.000000,0.000000,0.242866
0.020000,2.469066,0.819469,1.510000,1.000000,0.000000,0.000000,0.247237
0.020000,2.488447,0.824406,1.530000,1.000000,0.000000,0.000000,0.251640
0.020000,2.507806,0.829429,1.550000,1.000000,0.000000,0.000000,0.256075
0.020000,2.527143,0.834537,1.570000,1.000000,0.000000,0.000000,0.260540
0.020000,2.546456,0.839733,1.590000,1.000000,0.000000,0.000000,0.265037
0.020000,2.565746,0.845015,1.610000,1.000000,0.000000,0.000000,0.269565
0.020000,2.585011,0.850385,1.630000,1.000000,0.000000,0.000000,0.274124
0.020000,2.604252,0.855844,1.650000,1.000000,0.000000,0.000000,0.278713
0.020000,2.623468,0.861390,1.670000,1.000000,0.000000,0.000000,0.283332
0.020000,2.642657,0.867026,1.690000,1.000000,0.000000,0.000000,0.287981
0.020000,2.661820,0.872751,1.710000,1.000000,0.000000,0.000000,0.292659
0.020000,2.680956,0.878566,1.730000,1.000000,0.000000,0.000000,0.297367
0.020000,2.700064,0.884471,1.750000,1.000000,0.000000,0.000000,0.302104
0.020000,2.719144,0.890468,1.770000,1.000000,0.000000,0.000000,0.306870
0.020000,2.738195,0.896555,1.790000,1.000000,0.000000,0.000000,0.311664
0.020000,2.757217,0.902733,1.810000,1.000000,0.000000,0.000000,0.316487
0.020000,2.776209,0.909004,1.830000,1.000000,0.000000,0.000000,0.321337
0.020000,2.795169,0.915367,1.850000,1.000000,0.000000,0.000000,0.326214
0.020000,2.814099,0.921822,1.870000,1.000000,0.000000,0.000000,0.331118
0.020000,2.832996,0.928371,1.890000,1.000000,0.000000,0.000000,0.336049
0.020000,2.851861,0.935013,1.910000,1.000000,0.000000,0.000000,0.341006
0.020000,2.870693,0.941749,1.930000,1.000000,0.000000,0.000000,0.345989
0.020000,2.889491,0.948578,1.950000,1.000000,0.000000,0.000000,0.350998
0.020000,2.908254,0.955502,1.970000,1.000000,0.000000,0.000000,0.356031
0.020000,2.926982,0.962521,1.990000,1.000000,0.000000,0.000000,0.361088
0.020000,2.945674,0.969634,2.010000,1.000000,0.000000,0.000000,0.366170
0.020000,2.964330,0.976842,2.030000,1.000000,0.000000,0.000000,0.371276
0.020000,2.982949,0.984146,2.050000,1.000000,0.000000,0.000000,0.376404
0.020000,3.001529,0.991546,2.070000,1.000000,0.000000,0.000000,0.381555
0.020000,3.020072,0.999041,2.090000,1.000000,0.000000,0.000000,0.386728
0.020000,3.038575,1.006632,2.110000,1.000000,0.000000,0.000000,0.391923
0.020000,3.057039,1.014319,2.130000,1.000000,0.000000,0.000000,0.397138
0.020000,3.075462,1.022103,2.150000,1.000000,0.000000,0.000000,0.402374
0.020000,3.093844,1.029984,2.170000,1.000000,0.000000,0.000000,0.407630
0.020000,3.112184,1.037961,2.190000,1.000000,0.000000,0.000000,0.412906
0.020000,3.130482,1.046035,2.210000,1.000000,0.000000,0.000000,0.418200
0.020000,3.148737,1.054205,2.230000,1.000000,0.000000,0.000000,0.423513
0.020000,3.166948,1.062473,2.250000,1.000000,0.000000,0.000000,0.428843
0.020000,3.185114,1.070838,2.270000,1.000000,0.000000,0.000000,0.434190
0.020000,3.203236,1.079300,2.290000,1.000000,0.000000,0.000000,0.439553
0.020000,3.221312,1.087860,2.310000,1.000000,0.000000,0.000000,0.444933
0.020000,3.239341,1.096516,2.330000,1.000000,0.000000,0.000000,0.450327
0.020000,3.257324,1.105270,2.350000,1.000000,0.000000,0.000000,0.455736
0.020000,3.275259,1.114121,2.370000,1.000000,0.000000,0.000000,0.461159
0.020000,3.293145,1.123069,2.390000,1.000000,0.000000,0.000000,0.466596
0.020000,3.310983,1.132115,2.410000,1.000000,0.000000,0.000000,0.472044
0.020000,3.328770,1.141258,2.430000,1.000000,0.000000,0.000000,0.477505
0.020000,3.346508,1.150498,2.450000,1.000000,0.000000,0.000000,0.482977
0.020000,3.364195,1.159834,2.470000,1.000000,0.000000,0.000000,0.488460
0.020000,3.381830,1.169268,2.490000,1.000000,0.000000,0.000000,0.493952
0.020000,3.399413,1.178799,2.510000,1.000000,0.000000,0.000000,0.499454
0.020000,3.416944,1.188426,2.530000,1.000000,0.000000,0.000000,0.504964
0.020000,3.434421,1.198150,2.550000,1.000000,0.000000,0.000000,0.510483
0.020000,3.451844,1.207970,2.570000,1.000000,0.000000,0.000000,0.516008
0.020000,3.469212,1.217886,2.590000,1.000000,0.000000,0.000000,0.521540
0.020000,3.486526,1.227898,2.610000,1.000000,0.000000,0.000000,0.527077
0.020000,3.503783,1.238006,2.630000,1.000000,0.000000,0.000000,0.532620
0.020000,3.520985,1.248210,2.650000,1.000000,0.000000,0.000000,0.538167
0.020000,3.538129,1.258509,2.670000,1.000000,0.000000,0.000000,0.543717
0.020000,3.555216,1.268903,2.690000,1.000000,0.000000,0.000000,0.549271
0.020000,3.572245,1.279391,2.710000,1.000000,0.000000,0.000000,0.554826
0.020000,3.589216,1.289974,2.730000,1.000000,0.000000,0.000000,0.560383
0.020000,3.606127,1.300652,2.750000,1.000000,0.000000,0.000000,0.565942
0.020000,3.622979,1.311423,2.770000,1.000000,0.000000,0.000000,0.571500
0.020000,3.639771,1.322287,2.790000,1.000000,0.000000,0.000000,0.577057
0.020000,3.656502,1.333245,2.810000,1.000000,0.000000,0.000000,0.582614
0.020000,3.673172,1.344296,2.830000,1.000000,0.000000,0.000000,0.588168
0.020000,3.689780,1.355438,2.850000,1.000000,0.000000,0.000000,0.593720
0.020000,3.706326,1.366673,2.870000,1.000000,0.000000,0.000000,0.599268
0.020000,3.722810,1.378000,2.890000,1.000000,0.000000,0.000000,0.604812
0.020000,3.739230,1.389417,2.910000,1.000000,0.000000,0.000000,0.610352
0.020000,3.755587,1.400926,2.930000,1.000000,0.000000,0.000000,0.615886
0.020000,3.771881,1.412525,2.950000,1.000000,0.000000,0.000000,0.621415
