dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.978214,0.327262,0.000196,0.019608,0.980392,49.019608,0.008230
0.020000,0.978239,0.327263,0.000222,0.001274,-0.916675,-94.853382,0.008309
0.020000,0.978297,0.327263,0.000279,0.002870,0.079765,49.822047,0.008487
0.020000,0.980737,0.327284,0.002719,0.122020,5.957508,293.887125,0.008783
0.020000,0.984989,0.327322,0.006971,0.212604,4.529188,-71.415991,0.009200
0.020000,0.990456,0.327374,0.012439,0.273379,3.038752,-74.521815,0.009736
0.020000,0.997139,0.327442,0.019122,0.334170,3.039563,0.040581,0.010395
0.020000,1.005039,0.327527,0.027022,0.394988,3.040903,0.066969,0.011178
0.020000,1.014155,0.327633,0.036139,0.455838,3.042494,0.079537,0.012085
0.020000,1.024489,0.327763,0.046473,0.516721,3.044181,0.084373,0.013121
0.020000,1.036040,0.327921,0.058026,0.577645,3.046183,0.100111,0.014286
0.020000,1.048811,0.328112,0.070799,0.638615,3.048487,0.115193,0.015585
0.020000,1.062802,0.328340,0.084791,0.699633,3.050915,0.121401,0.017019
0.020000,1.078014,0.328611,0.100005,0.760705,3.053601,0.134311,0.018592
0.020000,1.094447,0.328931,0.116442,0.821841,3.056815,0.160701,0.020309
0.020000,1.112104,0.329306,0.134103,0.883038,3.059846,0.151525,0.022173
0.020000,1.130985,0.329743,0.152989,0.944308,3.063504,0.182912,0.024188
0.020000,1.150889,0.330246,0.172899,0.995491,2.559146,-25.217897,0.026337
0.020000,1.171409,0.330810,0.193427,1.026415,1.546168,-50.648904,0.028579
0.020000,1.192141,0.331426,0.214168,1.037042,0.531344,-50.741223,0.030873
0.020000,1.212881,0.332091,0.234918,1.037510,0.023416,-25.396371,0.033196
0.020000,1.233628,0.332804,0.255678,1.037980,0.023526,0.005506,0.035547
0.020000,1.254383,0.333567,0.276447,1.038453,0.023636,0.005496,0.037928
0.020000,1.275146,0.334380,0.297225,1.038928,0.023746,0.005483,0.040339
0.020000,1.295916,0.335243,0.318014,1.039405,0.023855,0.005466,0.042779
0.020000,1.316693,0.336158,0.338811,1.039885,0.023964,0.005446,0.045248
0.020000,1.337478,0.337126,0.359619,1.040366,0.024073,0.005422,0.047748
0.020000,1.358270,0.338145,0.380436,1.040850,0.024180,0.005394,0.050277
0.020000,1.379069,0.339219,0.401262,1.041335,0.024288,0.005362,0.052837
0.020000,1.399875,0.340346,0.422099,1.041823,0.024394,0.005326,0.055426
0.020000,1.420688,0.341528,0.442945,1.042313,0.024500,0.005285,0.058046
0.020000,1.441507,0.342766,0.463801,1.042805,0.024605,0.005241,0.060697
0.020000,1.462333,0.344059,0.484667,1.043299,0.024709,0.005192,0.063378
0.020000,1.483165,0.345409,0.505543,1.043796,0.024811,0.005138,0.066090
0.020000,1.504004,0.346817,0.526429,1.044294,0.024913,0.005080,0.068833
0.020000,1.524848,0.348283,0.547325,1.044794,0.025013,0.005017,0.071606
0.020000,1.545698,0.349808,0.568231,1.045297,0.025141,0.006401,0.074411
0.020000,1.566554,0.351393,0.589147,1.045802,0.025269,0.006360,0.077247
0.020000,1.587416,0.353038,0.610073,1.046309,0.025309,0.002025,0.080115
0.020000,1.608282,0.354743,0.631009,1.046817,0.025403,0.004709,0.083013
0.020000,1.629154,0.356511,0.651956,1.047327,0.025496,0.004621,0.085944
0.020000,1.650031,0.358340,0.672913,1.047838,0.025586,0.004526,0.088906
0.020000,1.670912,0.360233,0.693880,1.048352,0.025675,0.004426,0.091900
0.020000,1.691798,0.362190,0.714857,1.048867,0.025761,0.004321,0.094926
0.020000,1.712688,0.364211,0.735845,1.049384,0.025845,0.004209,0.097984
0.020000,1.733583,0.366297,0.756843,1.049903,0.025949,0.005196,0.101074
0.020000,1.754480,0.368450,0.777851,1.050425,0.026101,0.007571,0.104196
