dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.958694,0.360934,0.000196,0.019608,0.980392,49.019608,6.283121
0.020000,0.958704,0.360934,0.000206,0.000510,-0.954867,-96.762970,6.283153
0.020000,0.959687,0.360934,0.001189,0.049135,2.431204,169.303577,0.000039
0.020000,0.962666,0.360934,0.004168,0.148965,4.991501,128.014834,0.000157
0.020000,0.966837,0.360935,0.008339,0.208539,2.978708,-100.639661,0.000321
0.020000,0.972199,0.360938,0.013701,0.268101,2.978123,-0.029257,0.000531
0.020000,0.978752,0.360942,0.020254,0.327649,2.977371,-0.037594,0.000786
0.020000,0.986495,0.360949,0.027998,0.387178,2.976452,-0.045912,0.001085
0.020000,0.995429,0.360961,0.036931,0.446685,2.975366,-0.054339,0.001426
0.020000,1.005552,0.360977,0.047055,0.506167,2.974113,-0.062659,0.001808
0.020000,1.016865,0.361000,0.058367,0.565621,2.972692,-0.071009,0.002229
0.020000,1.029365,0.361031,0.070868,0.625043,2.971104,-0.079408,0.002687
0.020000,1.043054,0.361071,0.084557,0.684430,2.969349,-0.087740,0.003180
0.020000,1.057929,0.361122,0.099432,0.743779,2.967426,-0.096146,0.003705
0.020000,1.073991,0.361186,0.115494,0.803085,2.965337,-0.104470,0.004260
0.020000,1.091238,0.361264,0.132741,0.862347,2.963080,-0.112871,0.004843
0.020000,1.109669,0.361359,0.151172,0.921560,2.960655,-0.121233,0.005449
0.020000,1.129085,0.361471,0.170588,0.970817,2.462825,-24.891499,0.006071
0.020000,1.149089,0.361599,0.190593,1.000224,1.470387,-49.621904,0.006692
0.020000,1.169285,0.361740,0.210789,1.009807,0.479133,-49.562697,0.007299
0.020000,1.189474,0.361893,0.230979,1.009485,-0.016107,-24.762015,0.007886
0.020000,1.209656,0.362058,0.251162,1.009163,-0.016108,-0.000032,0.008453
0.020000,1.229832,0.362234,0.271339,1.008841,-0.016109,-0.000027,0.009001
0.020000,1.250002,0.362421,0.291509,1.008518,-0.016109,-0.000025,0.009528
0.020000,1.270165,0.362619,0.311673,1.008196,-0.016109,-0.000018,0.010036
0.020000,1.290321,0.362826,0.331830,1.007874,-0.016110,-0.000014,0.010523
0.020000,1.310471,0.363043,0.351981,1.007552,-0.016110,-0.000011,0.010991
0.020000,1.330614,0.363269,0.372126,1.007230,-0.016110,-0.000010,0.011439
0.020000,1.350751,0.363503,0.392264,1.006907,-0.016110,-0.000002,0.011866
0.020000,1.370881,0.363746,0.412396,1.006585,-0.016110,-0.000002,0.012274
0.020000,1.391005,0.363997,0.432521,1.006263,-0.016110,0.000001,0.012662
0.020000,1.411122,0.364256,0.452640,1.005941,-0.016110,0.000001,0.013030
0.020000,1.431233,0.364521,0.472752,1.005619,-0.016110,0.000002,0.013378
0.020000,1.451337,0.364794,0.492858,1.005296,-0.016110,0.000009,0.013706
0.020000,1.471434,0.365072,0.512958,1.004974,-0.016110,0.000007,0.014014
0.020000,1.491525,0.365357,0.533051,1.004652,-0.016110,0.000007,0.014302
0.020000,1.511610,0.365647,0.553137,1.004330,-0.016110,0.000006,0.014570
0.020000,1.531688,0.365942,0.573218,1.004008,-0.016109,0.000007,0.014818
0.020000,1.551759,0.366242,0.593291,1.003685,-0.016109,0.000012,0.015046
0.020000,1.571824,0.366546,0.613359,1.003363,-0.016109,0.000008,0.015254
0.020000,1.591883,0.366854,0.633419,1.003041,-0.016109,0.000008,0.015443
0.020000,1.611935,0.367165,0.653474,1.002719,-0.016109,0.000006,0.015611
0.020000,1.631980,0.367479,0.673522,1.002397,-0.016109,0.000007,0.015759
0.020000,1.652019,0.367797,0.693563,1.002075,-0.016108,0.000009,0.015888
0.020000,1.672052,0.368116,0.713598,1.001752,-0.016108,0.000006,0.015996
0.020000,1.692078,0.368437,0.733627,1.001430,-0.016108,0.000005,0.016085
0.020000,1.712097,0.368760,0.753649,1.001108,-0.016108,0.000003,0.016153
0.020000,1.732110,0.369084,0.773665,1.000786,-0.016108,0.000004,0.016202
0.020000,1.752117,0.369408,0.793674,1.000464,-0.016108,0.000003,0.016231
0.020000,1.772117,0.369733,0.813677,1.000142,-0.016108,0.000001,0.016240
0.020000,1.792111,0.370058,0.833673,0.999819,-0.016108,0.000000,0.016228
0.020000,1.812098,0.370382,0.853663,0.999497,-0.016108,-0.000000,0.016197
0.020000,1.832079,0.370705,0.873647,0.999175,-0.016108,-0.000001,0.016146
0.020000,1.852054,0.371027,0.893624,0.998853,-0.016108,-0.000003,0.016075
0.020000,1.872022,0.371347,0.913594,0.998531,-0.016108,-0.000004,0.015984
0.020000,1.891983,0.371665,0.933558,0.998209,-0.016108,-0.000005,0.015873
0.020000,1.911939,0.371981,0.953516,0.997886,-0.016108,-0.000004,0.015742
0.020000,1.931887,0.372293,0.973468,0.997564,-0.016108,-0.000007,0.015592
0.020000,1.951830,0.372602,0.993412,0.997242,-0.016109,-0.000009,0.015421
0.020000,1.971766,0.372908,1.013351,0.996920,-0.016109,-0.000008,0.015230
0.020000,1.991696,0.373210,1.033283,0.996598,-0.016109,-0.000008,0.015020
0.020000,2.011619,0.373507,1.053208,0.996276,-0.016109,-0.000005,0.014789
0.020000,2.031536,0.373799,1.073127,0.995953,-0.016109,-0.000010,0.014538
0.020000,2.051446,0.374085,1.093040,0.995631,-0.016109,-0.000010,0.014268
0.020000,2.071351,0.374367,1.112946,0.995309,-0.016110,-0.000009,0.013977
