dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.959214,1.006934,0.000196,0.019608,0.980392,49.019608,6.281638
0.020000,0.959142,1.006934,0.000268,0.003617,-0.799563,-88.997774,6.281862
0.020000,0.958979,1.006934,0.000431,0.008135,0.225923,51.274297,6.282366
0.020000,0.958777,1.006934,0.000633,0.010110,0.098740,-6.359141,0.000020
0.020000,0.962515,1.006936,0.004372,0.186932,8.841088,437.117389,0.001194
0.020000,0.967322,1.006946,0.009179,0.240347,2.670747,-308.517026,0.002702
0.020000,0.973198,1.006967,0.015054,0.293777,2.671534,0.039371,0.004544
0.020000,0.980143,1.007006,0.021999,0.347236,2.672923,0.069445,0.006719
0.020000,0.988156,1.007070,0.030013,0.400707,2.673588,0.033217,0.009224
0.020000,0.997240,1.007167,0.039097,0.454207,2.674994,0.070335,0.012060
0.020000,1.007394,1.007305,0.049252,0.507729,2.676062,0.053396,0.015224
0.020000,1.018618,1.007496,0.060478,0.561283,2.677730,0.083375,0.018714
0.020000,1.030913,1.007749,0.072775,0.614881,2.679913,0.109173,0.022527
0.020000,1.044279,1.008078,0.086146,0.668522,2.682030,0.105843,0.026661
0.020000,1.058717,1.008495,0.100590,0.722215,2.684671,0.132046,0.031114
0.020000,1.074228,1.009015,0.116109,0.775957,2.687077,0.120273,0.035880
0.020000,1.090811,1.009653,0.132704,0.829760,2.690153,0.153838,0.040957
0.020000,1.108289,1.010416,0.150199,0.874732,2.248612,-22.077065,0.046286
0.020000,1.126305,1.011299,0.168236,0.901872,1.357004,-44.580415,0.051755
0.020000,1.144502,1.012292,0.186461,0.911226,0.467706,-44.464908,0.057252
0.020000,1.162702,1.013385,0.204694,0.911641,0.020729,-22.348841,0.062723
0.020000,1.180905,1.014578,0.222935,0.912079,0.021887,0.057911,0.068167
0.020000,1.199110,1.015871,0.241186,0.912538,0.022979,0.054612,0.073582
0.020000,1.217316,1.017262,0.259446,0.912995,0.022807,-0.008600,0.078969
0.020000,1.235525,1.018752,0.277716,0.913483,0.024436,0.081462,0.084326
0.020000,1.253735,1.020341,0.295995,0.913973,0.024512,0.003758,0.089653
0.020000,1.271947,1.022026,0.314285,0.914472,0.024926,0.020733,0.094948
0.020000,1.290160,1.023809,0.332585,0.915004,0.026583,0.082832,0.100212
0.020000,1.308374,1.025689,0.350895,0.915527,0.026158,-0.021239,0.105442
0.020000,1.326588,1.027665,0.369217,0.916069,0.027090,0.046604,0.110639
0.020000,1.344804,1.029736,0.387549,0.916630,0.028086,0.049774,0.115801
0.020000,1.363019,1.031902,0.405893,0.917190,0.028005,-0.004029,0.120928
0.020000,1.381235,1.034163,0.424248,0.917770,0.028995,0.049516,0.126020
0.020000,1.399450,1.036517,0.442616,0.918362,0.029581,0.029255,0.131075
0.020000,1.417666,1.038965,0.460995,0.918956,0.029707,0.006341,0.136093
0.020000,1.435881,1.041506,0.479386,0.919570,0.030674,0.048359,0.141073
0.020000,1.454095,1.044139,0.497790,0.920190,0.031028,0.017676,0.146015
0.020000,1.472309,1.046863,0.516206,0.920815,0.031263,0.011774,0.150918
0.020000,1.490522,1.049678,0.534635,0.921459,0.032155,0.044565,0.155781
0.020000,1.508734,1.052583,0.553078,0.922106,0.032397,0.012134,0.160604
0.020000,1.526944,1.055578,0.571533,0.922760,0.032674,0.013819,0.165387
0.020000,1.545154,1.058662,0.590001,0.923429,0.033459,0.039264,0.170128
0.020000,1.563361,1.061834,0.608483,0.924102,0.033666,0.010346,0.174827
0.020000,1.581568,1.065094,0.626979,0.924781,0.033940,0.013707,0.179485
0.020000,1.599772,1.068440,0.645489,0.925473,0.034607,0.033319,0.184099
0.020000,1.617975,1.071873,0.664012,0.926170,0.034818,0.010567,0.188671
0.020000,1.636175,1.075391,0.682549,0.926871,0.035066,0.012389,0.193199
0.020000,1.654374,1.078994,0.701101,0.927583,0.035613,0.027365,0.197683
0.020000,1.672570,1.082680,0.719667,0.928300,0.035843,0.011513,0.202122
0.020000,1.690764,1.086450,0.738247,0.929021,0.036055,0.010579,0.206517
0.020000,1.708955,1.090303,0.756842,0.929751,0.036492,0.021842,0.210867
0.020000,1.727144,1.094237,0.775452,0.930486,0.036737,0.012291,0.215171
0.020000,1.745331,1.098253,0.794077,0.931224,0.036913,0.008781,0.219430
0.020000,1.763515,1.102348,0.812716,0.931969,0.037254,0.017032,0.223642
0.020000,1.781696,1.106524,0.831370,0.932719,0.037500,0.012335,0.227808
0.020000,1.799874,1.110778,0.850040,0.933472,0.037647,0.007331,0.231927
0.020000,1.818050,1.115109,0.868724,0.934230,0.037909,0.013083,0.236000
0.020000,1.836222,1.119518,0.887424,0.934993,0.038135,0.011337,0.240025
0.020000,1.854392,1.124004,0.906139,0.935758,0.038264,0.006423,0.244003
0.020000,1.872559,1.128565,0.924870,0.936528,0.038465,0.010042,0.247933
0.020000,1.890723,1.133200,0.943616,0.937301,0.038649,0.009198,0.251815
0.020000,1.908884,1.137910,0.962378,0.938076,0.038772,0.006140,0.255649
0.020000,1.927041,1.142692,0.981155,0.938855,0.038929,0.007876,0.259435
0.020000,1.945196,1.147547,0.999947,0.939636,0.039049,0.005974,0.263173
0.020000,1.963348,1.152474,1.018756,0.940419,0.039178,0.006478,0.266862
0.020000,1.981497,1.157471,1.037580,0.941205,0.039303,0.006248,0.270503
0.020000,1.999642,1.162538,1.056420,0.941992,0.039355,0.002579,0.274094
0.020000,2.017785,1.167674,1.075275,0.942782,0.039487,0.006623,0.277637
0.020000,2.035925,1.172878,1.094147,0.943574,0.039587,0.004992,0.281131
0.020000,2.054061,1.178150,1.113034,0.944366,0.039589,0.000119,0.284576
0.020000,2.072195,1.183488,1.131937,0.945160,0.039701,0.005602,0.287972
0.020000,2.090326,1.188891,1.150856,0.945955,0.039790,0.004419,0.291318
0.020000,2.108454,1.194360,1.169791,0.946751,0.039757,-0.001633,0.294615
0.020000,2.126580,1.199892,1.188742,0.947547,0.039833,0.003787,0.297863
0.020000,2.144703,1.205487,1.207709,0.948346,0.039920,0.004356,0.301061
0.020000,2.162823,1.211145,1.226692,0.949143,0.039863,-0.002841,0.304210
0.020000,2.180940,1.216864,1.245691,0.949941,0.039893,0.001491,0.307310
0.020000,2.199056,1.222644,1.264706,0.950740,0.039986,0.004647,0.310360
0.020000,2.217168,1.228483,1.283737,0.951539,0.039913,-0.003663,0.313361
0.020000,2.235279,1.234381,1.302783,0.952337,0.039893,-0.000987,0.316312
0.020000,2.253387,1.240337,1.321846,0.953136,0.039996,0.005138,0.319214
0.020000,2.271493,1.246350,1.340925,0.953935,0.039911,-0.004243,0.322066
0.020000,2.289598,1.252420,1.360019,0.954732,0.039843,-0.003379,0.324869
0.020000,2.307700,1.258545,1.379130,0.955531,0.039957,0.005688,0.327623
0.020000,2.325801,1.264724,1.398257,0.956328,0.039863,-0.004705,0.330327
0.020000,2.343900,1.270957,1.417399,0.957123,0.039754,-0.005455,0.332982
0.020000,2.361998,1.277243,1.436557,0.957921,0.039877,0.006174,0.335587
0.020000,2.380095,1.283581,1.455732,0.958716,0.039774,-0.005149,0.338143
0.020000,2.398190,1.289969,1.474922,0.959509,0.039634,-0.007036,0.340651
0.020000,2.416285,1.296408,1.494128,0.960304,0.039764,0.006496,0.343109
0.020000,2.434379,1.302897,1.513350,0.961097,0.039651,-0.005650,0.345517
0.020000,2.452472,1.309434,1.532588,0.961887,0.039491,-0.007996,0.347877
0.020000,2.470564,1.316018,1.551841,0.962679,0.039622,0.006579,0.350188
0.020000,2.488657,1.322650,1.571111,0.963469,0.039497,-0.006256,0.352450
0.020000,2.506749,1.329327,1.590396,0.964256,0.039332,-0.008261,0.354663
0.020000,2.524841,1.336050,1.609697,0.965045,0.039459,0.006378,0.356828
0.020000,2.542934,1.342816,1.629013,0.965831,0.039320,-0.006988,0.358943
0.020000,2.561027,1.349626,1.648346,0.966615,0.039163,-0.007813,0.361011
0.020000,2.579121,1.356478,1.667694,0.967400,0.039281,0.005870,0.363029
0.020000,2.597216,1.363373,1.687057,0.968183,0.039124,-0.007843,0.364999
0.020000,2.615312,1.370307,1.706436,0.968963,0.038990,-0.006681,0.366921
0.020000,2.633409,1.377282,1.725831,0.969744,0.039092,0.005062,0.368795
0.020000,2.651508,1.384296,1.745242,0.970523,0.038916,-0.008796,0.370620
0.020000,2.669609,1.391348,1.764668,0.971299,0.038817,-0.004943,0.372397
0.020000,2.687712,1.398438,1.784109,0.972077,0.038896,0.003981,0.374126
0.020000,2.705817,1.405564,1.803566,0.972851,0.038700,-0.009802,0.375807
0.020000,2.723925,1.412726,1.823039,0.973624,0.038646,-0.002712,0.377440
0.020000,2.742035,1.419922,1.842527,0.974398,0.038700,0.002677,0.379025
0.020000,2.760149,1.427153,1.862030,0.975168,0.038484,-0.010800,0.380563
0.020000,2.778265,1.434416,1.881549,0.975937,0.038481,-0.000137,0.382053
0.020000,2.796386,1.441712,1.901083,0.976707,0.038505,0.001216,0.383495
0.020000,2.814510,1.449040,1.920632,0.977473,0.038271,-0.011718,0.384890
0.020000,2.832639,1.456398,1.940197,0.978239,0.038323,0.002610,0.386237
0.020000,2.850771,1.463786,1.959777,0.979006,0.038317,-0.000322,0.387537
0.020000,2.868909,1.471202,1.979373,0.979767,0.038067,-0.012475,0.388790
0.020000,2.887052,1.478647,1.998983,0.980530,0.038174,0.005340,0.389996
0.020000,2.905199,1.486119,2.018609,0.981293,0.038131,-0.002153,0.391154
0.020000,2.923353,1.493617,2.038250,0.982051,0.037890,-0.012067,0.392266
0.020000,2.941512,1.501141,2.057906,0.982811,0.038028,0.006939,0.393330
0.020000,2.959677,1.508690,2.077578,0.983570,0.037934,-0.004706,0.394347
0.020000,2.977849,1.516263,2.097264,0.984326,0.037776,-0.007926,0.395318
0.020000,2.996028,1.523858,2.116966,0.985083,0.037870,0.004723,0.396241
0.020000,3.014213,1.531476,2.136683,0.985838,0.037757,-0.005660,0.397118
0.020000,3.032406,1.539115,2.156415,0.986592,0.037674,-0.004155,0.397949
0.020000,3.050607,1.546775,2.176162,0.987346,0.037728,0.002686,0.398732
0.020000,3.068816,1.554454,2.195923,0.988098,0.037603,-0.006225,0.399469
0.020000,3.087033,1.562153,2.215700,0.988850,0.037584,-0.000957,0.400159
0.020000,3.105259,1.569869,2.235493,0.989602,0.037602,0.000928,0.400803
0.020000,3.123494,1.577602,2.255300,0.990351,0.037476,-0.006322,0.401401
0.020000,3.141739,1.585352,2.275122,0.991102,0.037506,0.001483,0.401952
0.020000,3.159993,1.593117,2.294959,0.991851,0.037497,-0.000458,0.402456
0.020000,3.178257,1.600897,2.314811,0.992599,0.037379,-0.005885,0.402915
0.020000,3.196531,1.608691,2.334678,0.993348,0.037439,0.003003,0.403326
0.020000,3.214816,1.616497,2.354559,0.994096,0.037401,-0.001919,0.403692
0.020000,3.233112,1.624316,2.374456,0.994843,0.037335,-0.003278,0.404011
0.020000,3.251420,1.632146,2.394368,0.995590,0.037373,0.001886,0.404284
0.020000,3.269739,1.639987,2.414295,0.996337,0.037332,-0.002016,0.404511
0.020000,3.288071,1.647837,2.434236,0.997083,0.037312,-0.001005,0.404692
0.020000,3.306415,1.655696,2.454193,0.997829,0.037324,0.000574,0.404826
0.020000,3.324772,1.663563,2.474165,0.998575,0.037298,-0.001269,0.404915
0.020000,3.343142,1.671437,2.494151,0.999321,0.037301,0.000128,0.404957
0.020000,3.361525,1.679317,2.514152,1.000067,0.037297,-0.000172,0.404952
0.020000,3.379923,1.687202,2.534169,1.000813,0.037299,0.000093,0.404902
0.020000,3.398335,1.695092,2.554200,1.001559,0.037301,0.000066,0.404806
0.020000,3.416761,1.702986,2.574246,1.002305,0.037294,-0.000309,0.404663
0.020000,3.435203,1.710883,2.594307,1.003052,0.037335,0.002024,0.404474
0.020000,3.453660,1.718781,2.614383,1.003798,0.037312,-0.001165,0.404239
0.020000,3.472132,1.726681,2.634474,1.004545,0.037328,0.000793,0.403957
0.020000,3.490621,1.734580,2.654580,1.005292,0.037379,0.002587,0.403630
0.020000,3.509127,1.742480,2.674700,1.006039,0.037347,-0.001628,0.403256
0.020000,3.527649,1.750377,2.694836,1.006787,0.037395,0.002406,0.402835
0.020000,3.546188,1.758273,2.714987,1.007536,0.037434,0.001978,0.402369
0.020000,3.564746,1.766165,2.735153,1.008284,0.037404,-0.001504,0.401856
0.020000,3.583321,1.774053,2.755333,1.009034,0.037495,0.004530,0.401297
0.020000,3.601914,1.781936,2.775529,1.009784,0.037500,0.000272,0.400691
0.020000,3.620527,1.789813,2.795740,1.010533,0.037484,-0.000827,0.400038
0.020000,3.639158,1.797684,2.815965,1.011286,0.037626,0.007095,0.399340
0.020000,3.657809,1.805547,2.836206,1.012037,0.037577,-0.002423,0.398594
0.020000,3.676480,1.813401,2.856462,1.012789,0.037587,0.000487,0.397802
0.020000,3.695172,1.821246,2.876733,1.013545,0.037779,0.009602,0.396964
0.020000,3.713884,1.829081,2.897019,1.014298,0.037668,-0.005552,0.396078
0.020000,3.732617,1.836905,2.917320,1.015053,0.037740,0.003591,0.395146
0.020000,3.751371,1.844716,2.937636,1.015811,0.037897,0.007865,0.394167
0.020000,3.770147,1.852515,2.957967,1.016567,0.037800,-0.004857,0.393142
0.020000,3.788946,1.860299,2.978314,1.017325,0.037916,0.005811,0.392069
0.020000,3.807767,1.868069,2.998676,1.018086,0.038025,0.005444,0.390949
0.020000,3.826611,1.875823,3.019052,1.018845,0.037949,-0.003817,0.389782
0.020000,3.845478,1.883560,3.039445,1.019607,0.038112,0.008170,0.388568
0.020000,3.864369,1.891280,3.059852,1.020370,0.038163,0.002524,0.387307
0.020000,3.883284,1.898981,3.080275,1.021132,0.038112,-0.002524,0.385998
0.020000,3.902223,1.906663,3.100713,1.021899,0.038323,0.010553,0.384642
0.020000,3.921187,1.914325,3.121166,1.022665,0.038309,-0.000698,0.383239
0.020000,3.940177,1.921965,3.141635,1.023431,0.038288,-0.001081,0.381788
0.020000,3.959191,1.929582,3.162119,1.024202,0.038544,0.012844,0.380289
0.020000,3.978232,1.937177,3.182618,1.024971,0.038464,-0.004019,0.378743
0.020000,3.997299,1.944747,3.203133,1.025740,0.038472,0.000408,0.377149
0.020000,4.016393,1.952292,3.223663,1.026516,0.038771,0.014926,0.375508
0.020000,4.035513,1.959811,3.244209,1.027288,0.038626,-0.007239,0.373818
0.020000,4.054661,1.967303,3.264770,1.028062,0.038663,0.001838,0.372080
0.020000,4.073836,1.974767,3.285347,1.028842,0.038997,0.016691,0.370294
0.020000,4.093040,1.982202,3.305939,1.029617,0.038793,-0.010174,0.368461
0.020000,4.112272,1.989606,3.326547,1.030395,0.038876,0.004157,0.366578
0.020000,4.131532,1.996980,3.347171,1.031178,0.039174,0.014905,0.364648
0.020000,4.150821,2.004321,3.367810,1.031958,0.038984,-0.009519,0.362669
0.020000,4.170140,2.011629,3.388465,1.032740,0.039083,0.004939,0.360642
0.020000,4.189488,2.018903,3.409135,1.033527,0.039350,0.013353,0.358566
0.020000,4.208867,2.026142,3.429821,1.034310,0.039170,-0.009009,0.356441
0.020000,4.228275,2.033345,3.450523,1.035096,0.039277,0.005348,0.354268
0.020000,4.247714,2.040511,3.471241,1.035886,0.039519,0.012123,0.352046
0.020000,4.267184,2.047638,3.491975,1.036673,0.039345,-0.008697,0.349775
0.020000,4.286685,2.054726,3.512724,1.037462,0.039452,0.005350,0.347456
0.020000,4.306218,2.061773,3.533489,1.038256,0.039677,0.011258,0.345087
0.020000,4.325782,2.068780,3.554270,1.039046,0.039505,-0.008613,0.342669
0.020000,4.345378,2.075743,3.575067,1.039838,0.039604,0.004934,0.340202
0.020000,4.365007,2.082663,3.595879,1.040634,0.039819,0.010748,0.337686
0.020000,4.384668,2.089539,3.616708,1.041427,0.039643,-0.008762,0.335121
0.020000,4.404362,2.096369,3.637552,1.042221,0.039726,0.004121,0.332507
0.020000,4.424088,2.103151,3.658413,1.043020,0.039936,0.010529,0.329843
0.020000,4.443848,2.109886,3.679289,1.043815,0.039754,-0.009122,0.327130
0.020000,4.463642,2.116572,3.700181,1.044612,0.039813,0.002958,0.324368
0.020000,4.483469,2.123208,3.721089,1.045412,0.040023,0.010478,0.321556
0.020000,4.503330,2.129793,3.742014,1.046209,0.039830,-0.009639,0.318695
0.020000,4.523226,2.136325,3.762954,1.047006,0.039860,0.001525,0.315784
0.020000,4.543155,2.142804,3.783910,1.047807,0.040068,0.010410,0.312824
0.020000,4.563119,2.149228,3.804882,1.048604,0.039864,-0.010231,0.309814
0.020000,4.583118,2.155596,3.825870,1.049402,0.039871,0.000343,0.306755
0.020000,4.603151,2.161908,3.846874,1.050203,0.040048,0.008853,0.303647
0.020000,4.623219,2.168161,3.867894,1.051000,0.039857,-0.009554,0.300489
0.020000,4.643322,2.174356,3.888930,1.051797,0.039838,-0.000919,0.297281
0.020000,4.663461,2.180489,3.909982,1.052596,0.039952,0.005683,0.294025
0.020000,4.683635,2.186562,3.931050,1.053392,0.039799,-0.007636,0.290719
