dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.958714,0.683934,0.000196,0.019608,0.980392,49.019608,6.281638
0.020000,0.958714,0.683934,0.000980,0.058824,1.960784,49.019608,6.281862
0.020000,0.958714,0.683934,0.002745,0.117647,2.941176,49.019608,6.282366
0.020000,0.958783,0.683934,0.005686,0.176471,2.941176,-0.000000,0.000020
0.020000,0.962901,0.683937,0.009804,0.235294,2.941176,0.000000,0.001194
0.020000,0.968195,0.683947,0.015098,0.294118,2.941176,-0.000000,0.002702
0.020000,0.974666,0.683970,0.021569,0.352941,2.941176,0.000000,0.004544
0.020000,0.982313,0.684013,0.029216,0.411765,2.941176,0.000000,0.006719
0.020000,0.991136,0.684084,0.038039,0.470588,2.941176,0.000000,0.009224
0.020000,1.001135,0.684190,0.048039,0.529412,2.941176,-0.000000,0.012060
0.020000,1.012311,0.684343,0.059216,0.588235,2.941176,0.000000,0.015224
0.020000,1.024662,0.684552,0.071569,0.647059,2.941176,0.000000,0.018714
0.020000,1.038188,0.684831,0.085098,0.705882,2.941176,0.000000,0.022527
0.020000,1.052890,0.685193,0.099804,0.764706,2.941176,-0.000000,0.026661
0.020000,1.068766,0.685652,0.115686,0.823529,2.941176,0.000000,0.031114
0.020000,1.085815,0.686223,0.132745,0.882353,2.941176,-0.000000,0.035880
0.020000,1.104036,0.686923,0.150980,0.941176,2.941176,0.000000,0.040957
0.020000,1.123234,0.687761,0.170196,0.980392,1.960784,-49.019608,0.046286
0.020000,1.143014,0.688732,0.190000,1.000000,0.980392,-49.019608,0.051755
0.020000,1.162984,0.689822,0.210000,1.000000,0.000000,-49.019608,0.057252
0.020000,1.182948,0.691021,0.230000,1.000000,0.000000,0.000000,0.062723
0.020000,1.202905,0.692329,0.250000,1.000000,0.000000,0.000000,0.068167
0.020000,1.222855,0.693745,0.270000,1.000000,0.000000,0.000000,0.073582
0.020000,1.242797,0.695269,0.290000,1.000000,0.000000,0.000000,0.078969
0.020000,1.262730,0.696900,0.310000,1.000000,0.000000,0.000000,0.084326
0.020000,1.282655,0.698638,0.330000,1.000000,0.000000,0.000000,0.089653
0.020000,1.302569,0.700481,0.350000,1.000000,0.000000,0.000000,0.094948
0.020000,1.322474,0.702430,0.370000,1.000000,0.000000,0.000000,0.100212
0.020000,1.342369,0.704483,0.390000,1.000000,0.000000,0.000000,0.105442
0.020000,1.362252,0.706639,0.410000,1.000000,0.000000,0.000000,0.110639
0.020000,1.382124,0.708899,0.430000,1.000000,0.000000,0.000000,0.115801
0.020000,1.401984,0.711261,0.450000,1.000000,0.000000,0.000000,0.120928
0.020000,1.421832,0.713724,0.470000,1.000000,0.000000,0.000000,0.126020
0.020000,1.441667,0.716288,0.490000,1.000000,0.000000,0.000000,0.131075
0.020000,1.461488,0.718952,0.510000,1.000000,0.000000,0.000000,0.136093
0.020000,1.481296,0.721715,0.530000,1.000000,0.000000,0.000000,0.141073
0.020000,1.501091,0.724576,0.550000,1.000000,0.000000,0.000000,0.146015
0.020000,1.520871,0.727534,0.570000,1.000000,0.000000,0.000000,0.150918
0.020000,1.540636,0.730589,0.590000,1.000000,0.000000,0.000000,0.155781
0.020000,1.560386,0.733740,0.610000,1.000000,0.000000,0.000000,0.160604
0.020000,1.580121,0.736986,0.630000,1.000000,0.000000,0.000000,0.165387
0.020000,1.599840,0.740325,0.650000,1.000000,0.000000,0.000000,0.170128
0.020000,1.619544,0.743758,0.670000,1.000000,0.000000,0.000000,0.174827
0.020000,1.639230,0.747282,0.690000,1.000000,0.000000,0.000000,0.179485
0.020000,1.658901,0.750898,0.710000,1.000000,0.000000,0.000000,0.184099
0.020000,1.678554,0.754605,0.730000,1.000000,0.000000,0.000000,0.188671
0.020000,1.698191,0.758400,0.750000,1.000000,0.000000,0.000000,0.193199
0.020000,1.717810,0.762284,0.770000,1.000000,0.000000,0.000000,0.197683
0.020000,1.737412,0.766256,0.790000,1.000000,0.000000,0.000000,0.202122
0.020000,1.756996,0.770314,0.810000,1.000000,0.000000,0.000000,0.206517
0.020000,1.776562,0.774458,0.830000,1.000000,0.000000,0.000000,0.210867
0.020000,1.796110,0.778686,0.850000,1.000000,0.000000,0.000000,0.215171
0.020000,1.815639,0.782998,0.870000,1.000000,0.000000,0.000000,0.219430
0.020000,1.835150,0.787392,0.890000,1.000000,0.000000,0.000000,0.223642
0.020000,1.854643,0.791869,0.910000,1.000000,0.000000,0.000000,0.227808
0.020000,1.874117,0.796426,0.930000,1.000000,0.000000,0.000000,0.231927
0.020000,1.893572,0.801063,0.950000,1.000000,0.000000,0.000000,0.236000
0.020000,1.913008,0.805778,0.970000,1.000000,0.000000,0.000000,0.240025
0.020000,1.932425,0.810571,0.990000,1.000000,0.000000,0.000000,0.244003
0.020000,1.951823,0.815441,1.010000,1.000000,0.000000,0.000000,0.247933
0.020000,1.971202,0.820387,1.030000,1.000000,0.000000,0.000000,0.251815
0.020000,1.990562,0.825407,1.050000,1.000000,0.000000,0.000000,0.255649
0.020000,2.009902,0.830502,1.070000,1.000000,0.000000,0.000000,0.259435
0.020000,2.029223,0.835668,1.090000,1.000000,0.000000,0.000000,0.263173
