dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900356,1.003000,0.000196,0.019608,0.980392,49.019608,6.282083
0.020000,0.900268,1.003000,0.000285,0.004426,-0.759092,-86.974211,6.282357
0.020000,0.900068,1.003000,0.000484,0.009963,0.276869,51.798041,6.282974
0.020000,0.902073,1.003001,0.002488,0.100217,4.512699,211.791489,0.000818
0.020000,0.905724,1.003006,0.006139,0.182545,4.116363,-19.816778,0.002262
0.020000,0.910416,1.003021,0.010832,0.234633,2.604401,-75.598079,0.004125
0.020000,0.916148,1.003052,0.016564,0.286617,2.599210,-0.259572,0.006411
0.020000,0.922919,1.003104,0.023335,0.338524,2.595374,-0.191821,0.009125
0.020000,0.930725,1.003188,0.031141,0.390342,2.590865,-0.225412,0.012272
0.020000,0.939565,1.003312,0.039982,0.442031,2.584449,-0.320829,0.015862
0.020000,0.949435,1.003489,0.049854,0.493583,2.577616,-0.341623,0.019901
0.020000,0.960332,1.003730,0.060754,0.545001,2.570923,-0.334679,0.024400
0.020000,0.972253,1.004050,0.072678,0.596233,2.561576,-0.467323,0.029368
0.020000,0.985192,1.004466,0.085624,0.647283,2.552529,-0.452380,0.034817
0.020000,0.999144,1.004993,0.099587,0.698133,2.542475,-0.502668,0.040760
0.020000,1.014105,1.005652,0.114562,0.748779,2.532300,-0.508775,0.047210
0.020000,1.030068,1.006461,0.130545,0.799149,2.518505,-0.689726,0.054182
0.020000,1.046854,1.007434,0.147360,0.840723,2.078704,-21.990059,0.061616
0.020000,1.064116,1.008566,0.164659,0.864949,1.211281,-43.371128,0.069372
0.020000,1.081508,1.009844,0.182098,0.871950,0.350070,-43.060560,0.077301
0.020000,1.098858,1.011258,0.199505,0.870360,-0.079496,-21.478302,0.085328
0.020000,1.116164,1.012809,0.216880,0.868775,-0.079246,0.012479,0.093453
0.020000,1.133426,1.014498,0.234224,0.867201,-0.078714,0.026630,0.101676
0.020000,1.150641,1.016327,0.251536,0.865594,-0.080354,-0.082001,0.109997
0.020000,1.167809,1.018296,0.268817,0.864023,-0.078546,0.090391,0.118417
0.020000,1.184927,1.020406,0.286065,0.862419,-0.080221,-0.083765,0.126936
0.020000,1.201996,1.022659,0.303282,0.860845,-0.078673,0.077379,0.135552
0.020000,1.219013,1.025055,0.320467,0.859247,-0.079932,-0.062947,0.144267
0.020000,1.235978,1.027596,0.337621,0.857689,-0.077882,0.102507,0.153079
0.020000,1.252888,1.030282,0.354743,0.856104,-0.079248,-0.068304,0.161989
0.020000,1.269743,1.033114,0.371834,0.854550,-0.077690,0.077906,0.170995
0.020000,1.286540,1.036094,0.388894,0.853004,-0.077307,0.019166,0.180097
0.020000,1.303280,1.039221,0.405923,0.851460,-0.077223,0.004200,0.189294
0.020000,1.319960,1.042497,0.422922,0.849937,-0.076125,0.054873,0.198585
0.020000,1.336580,1.045922,0.439891,0.848444,-0.074629,0.074812,0.207969
0.020000,1.353137,1.049498,0.456830,0.846955,-0.074466,0.008178,0.217446
0.020000,1.369631,1.053225,0.473740,0.845489,-0.073307,0.057914,0.227013
0.020000,1.386060,1.057104,0.490621,0.844048,-0.072057,0.062535,0.236669
0.020000,1.402424,1.061135,0.507473,0.842634,-0.070710,0.067356,0.246413
0.020000,1.418720,1.065319,0.524298,0.841248,-0.069262,0.072360,0.256242
0.020000,1.434948,1.069656,0.541096,0.839894,-0.067712,0.077531,0.266155
0.020000,1.451107,1.074148,0.557868,0.838573,-0.066055,0.082847,0.276151
0.020000,1.467195,1.078795,0.574613,0.837287,-0.064289,0.088288,0.286225
0.020000,1.483212,1.083597,0.591334,0.836039,-0.062412,0.093828,0.296378
0.020000,1.499155,1.088555,0.608031,0.834831,-0.060424,0.099443,0.306605
0.020000,1.515025,1.093669,0.624704,0.833664,-0.058322,0.105105,0.316904
0.020000,1.530819,1.098940,0.641355,0.832542,-0.056106,0.110785,0.327273
0.020000,1.546538,1.104368,0.657984,0.831466,-0.053777,0.116455,0.337708
0.020000,1.562180,1.109953,0.674593,0.830440,-0.051335,0.122082,0.348207
0.020000,1.577743,1.115695,0.691182,0.829464,-0.048782,0.127635,0.358766
0.020000,1.593228,1.121596,0.707753,0.828546,-0.045885,0.144872,0.369382
0.020000,1.608633,1.127654,0.724307,0.827686,-0.043018,0.143335,0.380052
0.020000,1.623958,1.133872,0.740844,0.826876,-0.040480,0.126924,0.390771
0.020000,1.639201,1.140247,0.757367,0.826126,-0.037518,0.148082,0.401537
0.020000,1.654361,1.146781,0.773876,0.825445,-0.034061,0.172872,0.412345
0.020000,1.669439,1.153474,0.790372,0.824823,-0.031089,0.148586,0.423192
0.020000,1.684433,1.160326,0.806858,0.824261,-0.028116,0.148665,0.434073
0.020000,1.699342,1.167336,0.823333,0.823773,-0.024413,0.185115,0.444985
0.020000,1.714167,1.174506,0.839800,0.823348,-0.021230,0.159157,0.455923
0.020000,1.728905,1.181833,0.856260,0.822987,-0.018057,0.158677,0.466883
0.020000,1.743558,1.189320,0.872714,0.822707,-0.013971,0.204281,0.477860
0.020000,1.758123,1.196965,0.889164,0.822485,-0.011109,0.143127,0.488852
0.020000,1.772601,1.204768,0.905610,0.822342,-0.007179,0.196491,0.499852
0.020000,1.786990,1.212730,0.922056,0.822266,-0.003802,0.168822,0.510857
0.020000,1.801292,1.220849,0.938501,0.822262,-0.000186,0.180795,0.521862
0.020000,1.815504,1.229126,0.954948,0.822331,0.003448,0.181734,0.532863
0.020000,1.829626,1.237560,0.971397,0.822469,0.006910,0.173069,0.543855
0.020000,1.843659,1.246151,0.987851,0.822681,0.010608,0.184930,0.554835
0.020000,1.857601,1.254898,1.004310,0.822961,0.014008,0.169965,0.565796
0.020000,1.871453,1.263802,1.020776,0.823314,0.017641,0.181656,0.576736
0.020000,1.885214,1.272861,1.037251,0.823734,0.021012,0.168563,0.587650
0.020000,1.898883,1.282074,1.053735,0.824224,0.024503,0.174575,0.598534
0.020000,1.912460,1.291442,1.070231,0.824781,0.027836,0.166617,0.609383
0.020000,1.925946,1.300964,1.086739,0.825404,0.031151,0.165778,0.620194
0.020000,1.939339,1.310639,1.103261,0.826092,0.034402,0.162522,0.630962
0.020000,1.952639,1.320466,1.119798,0.826843,0.037538,0.156814,0.641683
