dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899644,0.357000,0.000196,0.019608,0.980392,49.019608,6.282083
0.020000,0.899732,0.357000,0.000285,0.004426,-0.759092,-86.974211,6.282357
0.020000,0.899932,0.357000,0.000484,0.009963,0.276869,51.798041,6.282974
0.020000,0.902601,0.357001,0.003153,0.133471,6.175357,294.924410,0.000818
0.020000,0.907185,0.357008,0.007737,0.229198,4.786381,-69.448807,0.002262
0.020000,0.913081,0.357027,0.013633,0.294807,3.280419,-75.298107,0.004125
0.020000,0.920290,0.357065,0.020842,0.360441,3.281739,0.066006,0.006411
0.020000,0.928813,0.357131,0.029366,0.426172,3.286544,0.240269,0.009125
0.020000,0.938653,0.357236,0.039206,0.492018,3.292316,0.288606,0.012272
0.020000,0.949811,0.357393,0.050365,0.557969,3.297522,0.260306,0.015862
0.020000,0.962290,0.357616,0.062846,0.624050,3.304070,0.327391,0.019901
0.020000,0.976093,0.357922,0.076652,0.690304,3.312698,0.431388,0.024400
0.020000,0.991221,0.358329,0.091787,0.756702,3.319904,0.360274,0.029368
0.020000,1.007679,0.358857,0.108252,0.823291,3.329453,0.477452,0.034817
0.020000,1.025468,0.359530,0.126054,0.890086,3.339725,0.513606,0.040760
0.020000,1.044592,0.360371,0.145197,0.957123,3.351874,0.607452,0.047210
0.020000,1.065053,0.361409,0.165684,1.024352,3.361443,0.478462,0.054182
0.020000,1.086633,0.362660,0.187300,1.080843,2.824524,-26.845936,0.061616
0.020000,1.108894,0.364120,0.209609,1.115446,1.730187,-54.716884,0.069372
0.020000,1.131395,0.365773,0.232171,1.128061,0.630702,-54.974227,0.077301
0.020000,1.153913,0.367608,0.254763,1.129626,0.078259,-27.622130,0.085328
0.020000,1.176447,0.369627,0.277387,1.131208,0.079103,0.042176,0.093453
0.020000,1.198995,0.371834,0.300043,1.132811,0.080182,0.053963,0.101676
0.020000,1.221556,0.374231,0.322731,1.134377,0.078270,-0.095595,0.109997
0.020000,1.244127,0.376820,0.345451,1.135991,0.080713,0.122126,0.118417
0.020000,1.266708,0.379604,0.368202,1.137559,0.078416,-0.114833,0.126936
