dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.600000,2.600000,0.000196,0.019608,0.980392,49.019608,4.713225
0.020000,6.600000,2.600000,0.000980,0.058824,1.960784,49.019608,4.712572
0.020000,6.599999,2.598455,0.002745,0.117647,2.941176,49.019608,4.711099
0.020000,6.599992,2.595514,0.005686,0.176471,2.941176,-0.000000,4.708629
0.020000,6.599969,2.591396,0.009804,0.235294,2.941176,0.000000,4.705141
0.020000,6.599919,2.586102,0.015098,0.294118,2.941176,-0.000000,4.700603
0.020000,6.599824,2.579632,0.021569,0.352941,2.941176,0.000000,4.694973
0.020000,6.599665,2.571987,0.029216,0.411765,2.941176,0.000000,4.688199
0.020000,6.599417,2.563167,0.038039,0.470588,2.941176,0.000000,4.680216
0.020000,6.599049,2.553174,0.048039,0.529412,2.941176,-0.000000,4.670947
0.020000,6.598527,2.542009,0.059216,0.588235,2.941176,0.000000,4.660299
0.020000,6.597809,2.529677,0.071569,0.647059,2.941176,0.000000,4.648163
0.020000,6.596848,2.516182,0.085098,0.705882,2.941176,0.000000,4.634410
0.020000,6.595590,2.501531,0.099804,0.764706,2.941176,-0.000000,4.618890
0.020000,6.593970,2.485731,0.115686,0.823529,2.941176,0.000000,4.601428
0.020000,6.591916,2.468797,0.132745,0.882353,2.941176,-0.000000,4.581822
0.020000,6.589345,2.450744,0.150980,0.941176,2.941176,0.000000,4.559836
0.020000,6.586196,2.431789,0.170196,0.980392,1.960784,-49.019608,4.535459
0.020000,6.582455,2.412342,0.190000,1.000000,0.980392,-49.019608,4.508966
0.020000,6.578141,2.392813,0.210000,1.000000,0.000000,-49.019608,4.480727
0.020000,6.573262,2.373418,0.230000,1.000000,0.000000,0.000000,4.450927
0.020000,6.567792,2.354182,0.250000,1.000000,0.000000,0.000000,4.419506
0.020000,6.561705,2.335132,0.270000,1.000000,0.000000,0.000000,4.386412
0.020000,6.554975,2.316299,0.290000,1.000000,0.000000,0.000000,4.351609
0.020000,6.547577,2.297719,0.310000,1.000000,0.000000,0.000000,4.315083
0.020000,6.539490,2.279428,0.330000,1.000000,0.000000,0.000000,4.276845
0.020000,6.530695,2.261467,0.350000,1.000000,0.000000,0.000000,4.236939
0.020000,6.521176,2.243879,0.370000,1.000000,0.000000,0.000000,4.195443
0.020000,6.510923,2.226709,0.390000,1.000000,0.000000,0.000000,4.152477
0.020000,6.499931,2.210002,0.410000,1.000000,0.000000,0.000000,4.108204
0.020000,6.488201,2.193806,0.430000,1.000000,0.000000,0.000000,4.062827
0.020000,6.475742,2.178163,0.450000,1.000000,0.000000,0.000000,4.016592
0.020000,6.462568,2.163117,0.470000,1.000000,0.000000,0.000000,3.969773
0.020000,6.448702,2.148707,0.490000,1.000000,0.000000,0.000000,3.922672
0.020000,6.434172,2.134966,0.510000,1.000000,0.000000,0.000000,3.875600
0.020000,6.419014,2.121921,0.530000,1.000000,0.000000,0.000000,3.828866
0.020000,6.403267,2.109594,0.550000,1.000000,0.000000,0.000000,3.782768
0.020000,6.386973,2.097999,0.570000,1.000000,0.000000,0.000000,3.737576
0.020000,6.370178,2.087143,0.590000,1.000000,0.000000,0.000000,3.693529
0.020000,6.352928,2.077025,0.610000,1.000000,0.000000,0.000000,3.650821
0.020000,6.335269,2.067640,0.630000,1.000000,0.000000,0.000000,3.609609
0.020000,6.317244,2.058976,0.650000,1.000000,0.000000,0.000000,3.570003
0.020000,6.298897,2.051017,0.670000,1.000000,0.000000,0.000000,3.532077
0.020000,6.280268,2.043743,0.690000,1.000000,0.000000,0.000000,3.495867
0.020000,6.261393,2.037132,0.710000,1.000000,0.000000,0.000000,3.461379
0.020000,6.242307,2.031160,0.730000,1.000000,0.000000,0.000000,3.428594
0.020000,6.223039,2.025800,0.750000,1.000000,0.000000,0.000000,3.397474
0.020000,6.203618,2.021027,0.770000,1.000000,0.000000,0.000000,3.367966
0.020000,6.184067,2.016814,0.790000,1.000000,0.000000,0.000000,3.340005
