dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000196,0.019608,0.980392,49.019608,6.280293
0.020000,0.900000,0.680000,0.000980,0.058824,1.960784,49.019608,6.280498
0.020000,0.900000,0.680000,0.002745,0.117647,2.941176,49.019608,6.280960
0.020000,0.900000,0.680000,0.005686,0.176471,2.941176,-0.000000,6.281731
0.020000,0.900000,0.680000,0.009804,0.235294,2.941176,0.000000,6.282812
0.020000,0.903879,0.680002,0.015098,0.294118,2.941176,-0.000000,0.001021
0.020000,0.910346,0.680014,0.021569,0.352941,2.941176,0.000000,0.002731
0.020000,0.917996,0.680043,0.029216,0.411765,2.941176,0.000000,0.004764
0.020000,0.926820,0.680095,0.038039,0.470588,2.941176,0.000000,0.007124
0.020000,0.936819,0.680180,0.048039,0.529412,2.941176,-0.000000,0.009818
0.020000,0.947994,0.680307,0.059216,0.588235,2.941176,0.000000,0.012854
0.020000,0.960347,0.680486,0.071569,0.647059,2.941176,0.000000,0.016241
0.020000,0.973873,0.680731,0.085098,0.705882,2.941176,0.000000,0.019987
0.020000,0.988571,0.681055,0.099804,0.764706,2.941176,-0.000000,0.024103
0.020000,1.004453,0.681474,0.115686,0.823529,2.941176,0.000000,0.028604
0.020000,1.021499,0.682003,0.132745,0.882353,2.941176,-0.000000,0.033498
0.020000,1.039726,0.682662,0.150980,0.941176,2.941176,0.000000,0.038804
0.020000,1.058926,0.683462,0.170196,0.980392,1.960784,-49.019608,0.044479
0.020000,1.078707,0.684401,0.190000,1.000000,0.980392,-49.019608,0.050416
0.020000,1.098678,0.685470,0.210000,1.000000,0.000000,-49.019608,0.056507
0.020000,1.118641,0.686661,0.230000,1.000000,0.000000,0.000000,0.062695
0.020000,1.138597,0.687976,0.250000,1.000000,0.000000,0.000000,0.068982
0.020000,1.158544,0.689418,0.270000,1.000000,0.000000,0.000000,0.075368
0.020000,1.178481,0.690989,0.290000,1.000000,0.000000,0.000000,0.081857
0.020000,1.198410,0.692690,0.310000,1.000000,0.000000,0.000000,0.088450
0.020000,1.218326,0.694523,0.330000,1.000000,0.000000,0.000000,0.095148
0.020000,1.238229,0.696491,0.350000,1.000000,0.000000,0.000000,0.101954
0.020000,1.258118,0.698595,0.370000,1.000000,0.000000,0.000000,0.108868
0.020000,1.277991,0.700837,0.390000,1.000000,0.000000,0.000000,0.115892
0.020000,1.297848,0.703221,0.410000,1.000000,0.000000,0.000000,0.123029
0.020000,1.317688,0.705747,0.430000,1.000000,0.000000,0.000000,0.130280
0.020000,1.337508,0.708418,0.450000,1.000000,0.000000,0.000000,0.137646
0.020000,1.357309,0.711236,0.470000,1.000000,0.000000,0.000000,0.145129
0.020000,1.377089,0.714204,0.490000,1.000000,0.000000,0.000000,0.152732
0.020000,1.396845,0.717323,0.510000,1.000000,0.000000,0.000000,0.160455
0.020000,1.416576,0.720595,0.530000,1.000000,0.000000,0.000000,0.168299
0.020000,1.436280,0.724024,0.550000,1.000000,0.000000,0.000000,0.176267
0.020000,1.455955,0.727610,0.570000,1.000000,0.000000,0.000000,0.184359
0.020000,1.475600,0.731357,0.590000,1.000000,0.000000,0.000000,0.192576
0.020000,1.495213,0.735266,0.610000,1.000000,0.000000,0.000000,0.200921
0.020000,1.514794,0.739340,0.630000,1.000000,0.000000,0.000000,0.209395
0.020000,1.534340,0.743582,0.650000,1.000000,0.000000,0.000000,0.217999
0.020000,1.553848,0.747992,0.670000,1.000000,0.000000,0.000000,0.226732
0.020000,1.573315,0.752574,0.690000,1.000000,0.000000,0.000000,0.235597
0.020000,1.592739,0.757329,0.710000,1.000000,0.000000,0.000000,0.244594
0.020000,1.612124,0.762261,0.730000,1.000000,0.000000,0.000000,0.253725
0.020000,1.631461,0.767371,0.750000,1.000000,0.000000,0.000000,0.262989
0.020000,1.650747,0.772661,0.770000,1.000000,0.000000,0.000000,0.272386
0.020000,1.669983,0.778133,0.790000,1.000000,0.000000,0.000000,0.281917
0.020000,1.689168,0.783790,0.810000,1.000000,0.000000,0.000000,0.291583
0.020000,1.708295,0.789632,0.830000,1.000000,0.000000,0.000000,0.301383
0.020000,1.727362,0.795663,0.850000,1.000000,0.000000,0.000000,0.311315
0.020000,1.746372,0.801886,0.870000,1.000000,0.000000,0.000000,0.321383
0.020000,1.765314,0.808299,0.890000,1.000000,0.000000,0.000000,0.331582
0.020000,1.784191,0.814907,0.910000,1.000000,0.000000,0.000000,0.341912
0.020000,1.802998,0.821712,0.930000,1.000000,0.000000,0.000000,0.352374
0.020000,1.821731,0.828712,0.950000,1.000000,0.000000,0.000000,0.362964
0.020000,1.840391,0.835914,0.970000,1.000000,0.000000,0.000000,0.373683
0.020000,1.858970,0.843315,0.990000,1.000000,0.000000,0.000000,0.384526
0.020000,1.877469,0.850919,1.010000,1.000000,0.000000,0.000000,0.395494
0.020000,1.895881,0.858726,1.030000,1.000000,0.000000,0.000000,0.406583
0.020000,1.914207,0.866738,1.050000,1.000000,0.000000,0.000000,0.417790
0.020000,1.932439,0.874956,1.070000,1.000000,0.000000,0.000000,0.429113
0.020000,1.950579,0.883381,1.090000,1.000000,0.000000,0.000000,0.440549
0.020000,1.968619,0.892014,1.110000,1.000000,0.000000,0.000000,0.452092
0.020000,1.986559,0.900855,1.130000,1.000000,0.000000,0.000000,0.463742
0.020000,2.004392,0.909905,1.150000,1.000000,0.000000,0.000000,0.475492
0.020000,2.022120,0.919166,1.170000,1.000000,0.000000,0.000000,0.487340
0.020000,2.039735,0.928637,1.190000,1.000000,0.000000,0.000000,0.499278
0.020000,2.057236,0.938318,1.210000,1.000000,0.000000,0.000000,0.511304
0.020000,2.074619,0.948210,1.230000,1.000000,0.000000,0.000000,0.523412
0.020000,2.091879,0.958311,1.250000,1.000000,0.000000,0.000000,0.535596
0.020000,2.109016,0.968624,1.270000,1.000000,0.000000,0.000000,0.547851
0.020000,2.126024,0.979145,1.290000,1.000000,0.000000,0.000000,0.560170
0.020000,2.142901,0.989876,1.310000,1.000000,0.000000,0.000000,0.572548
0.020000,2.159644,1.000816,1.330000,1.000000,0.000000,0.000000,0.584979
0.020000,2.176249,1.011963,1.350000,1.000000,0.000000,0.000000,0.597454
0.020000,2.192713,1.023317,1.370000,1.000000,0.000000,0.000000,0.609967
0.020000,2.209035,1.034876,1.390000,1.000000,0.000000,0.000000,0.622514
0.020000,2.225209,1.046640,1.410000,1.000000,0.000000,0.000000,0.635084
0.020000,2.241234,1.058605,1.430000,1.000000,0.000000,0.000000,0.647671
0.020000,2.257108,1.070772,1.450000,1.000000,0.000000,0.000000,0.660270
0.020000,2.272826,1.083138,1.470000,1.000000,0.000000,0.000000,0.672871
0.020000,2.288388,1.095701,1.490000,1.000000,0.000000,0.000000,0.685467
0.020000,2.303790,1.108458,1.510000,1.000000,0.000000,0.000000,0.698051
0.020000,2.319031,1.121409,1.530000,1.000000,0.000000,0.000000,0.710617
0.020000,2.334108,1.134550,1.550000,1.000000,0.000000,0.000000,0.723155
0.020000,2.349019,1.147878,1.570000,1.000000,0.000000,0.000000,0.735659
0.020000,2.363763,1.161391,1.590000,1.000000,0.000000,0.000000,0.748123
0.020000,2.378337,1.175088,1.610000,1.000000,0.000000,0.000000,0.760538
0.020000,2.392741,1.188963,1.630000,1.000000,0.000000,0.000000,0.772898
0.020000,2.406972,1.203015,1.650000,1.000000,0.000000,0.000000,0.785196
0.020000,2.421030,1.217240,1.670000,1.000000,0.000000,0.000000,0.797425
0.020000,2.434914,1.231636,1.690000,1.000000,0.000000,0.000000,0.809580
0.020000,2.448622,1.246199,1.710000,1.000000,0.000000,0.000000,0.821653
0.020000,2.462154,1.260926,1.730000,1.000000,0.000000,0.000000,0.833639
0.020000,2.475509,1.275813,1.750000,1.000000,0.000000,0.000000,0.845532
0.020000,2.488687,1.290858,1.770000,1.000000,0.000000,0.000000,0.857326
0.020000,2.501687,1.306056,1.790000,1.000000,0.000000,0.000000,0.869017
0.020000,2.514510,1.321404,1.810000,1.000000,0.000000,0.000000,0.880599
0.020000,2.527155,1.336899,1.830000,1.000000,0.000000,0.000000,0.892068
0.020000,2.539622,1.352538,1.850000,1.000000,0.000000,0.000000,0.903419
0.020000,2.551912,1.368316,1.870000,1.000000,0.000000,0.000000,0.914648
0.020000,2.564025,1.384230,1.890000,1.000000,0.000000,0.000000,0.925752
0.020000,2.575962,1.400278,1.910000,1.000000,0.000000,0.000000,0.936726
0.020000,2.587722,1.416454,1.930000,1.000000,0.000000,0.000000,0.947568
0.020000,2.599308,1.432756,1.950000,1.000000,0.000000,0.000000,0.958275
0.020000,2.610720,1.449181,1.970000,1.000000,0.000000,0.000000,0.968843
0.020000,2.621959,1.465724,1.990000,1.000000,0.000000,0.000000,0.979271
0.020000,2.633025,1.482383,2.010000,1.000000,0.000000,0.000000,0.989557
0.020000,2.643922,1.499155,2.030000,1.000000,0.000000,0.000000,0.999698
0.020000,2.654648,1.516034,2.050000,1.000000,0.000000,0.000000,1.009693
0.020000,2.665207,1.533020,2.070000,1.000000,0.000000,0.000000,1.019541
0.020000,2.675599,1.550108,2.090000,1.000000,0.000000,0.000000,1.029241
0.020000,2.685826,1.567296,2.110000,1.000000,0.000000,0.000000,1.038791
0.020000,2.695890,1.584579,2.130000,1.000000,0.000000,0.000000,1.048192
0.020000,2.705792,1.601955,2.150000,1.000000,0.000000,0.000000,1.057441
0.020000,2.715535,1.619422,2.170000,1.000000,0.000000,0.000000,1.066541
0.020000,2.725119,1.636976,2.190000,1.000000,0.000000,0.000000,1.075489
0.020000,2.734547,1.654614,2.210000,1.000000,0.000000,0.000000,1.084286
0.020000,2.743821,1.672333,2.230000,1.000000,0.000000,0.000000,1.092934
0.020000,2.752943,1.690132,2.250000,1.000000,0.000000,0.000000,1.101431
0.020000,2.761915,1.708007,2.270000,1.000000,0.000000,0.000000,1.109778
0.020000,2.770738,1.725955,2.290000,1.000000,0.000000,0.000000,1.117977
0.020000,2.779416,1.743975,2.310000,1.000000,0.000000,0.000000,1.126028
0.020000,2.787949,1.762063,2.330000,1.000000,0.000000,0.000000,1.133932
0.020000,2.796340,1.780217,2.350000,1.000000,0.000000,0.000000,1.141690
0.020000,2.804592,1.798435,2.370000,1.000000,0.000000,0.000000,1.149303
0.020000,2.812706,1.816716,2.390000,1.000000,0.000000,0.000000,1.156772
0.020000,2.820684,1.835055,2.410000,1.000000,0.000000,0.000000,1.164099
0.020000,2.828530,1.853452,2.430000,1.000000,0.000000,0.000000,1.171284
0.020000,2.836244,1.871905,2.450000,1.000000,0.000000,0.000000,1.178331
0.020000,2.843829,1.890410,2.470000,1.000000,0.000000,0.000000,1.185238
0.020000,2.851288,1.908967,2.490000,1.000000,0.000000,0.000000,1.192009
0.020000,2.858622,1.927574,2.510000,1.000000,0.000000,0.000000,1.198646
0.020000,2.865833,1.946228,2.530000,1.000000,0.000000,0.000000,1.205148
