dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.473000,5.649735,0.000196,0.019608,0.980392,49.019608,1.569975
0.020000,7.473000,5.649965,0.000426,0.011504,-0.405170,-69.278109,1.570688
0.020000,7.472998,5.652129,0.002591,0.108227,4.836126,262.064802,1.572295
0.020000,7.472988,5.655942,0.006403,0.190606,4.118954,-35.858579,1.574992
0.020000,7.472955,5.661290,0.011752,0.267443,3.841836,-13.855899,1.578804
0.020000,7.472883,5.668188,0.018650,0.344894,3.872557,1.536015,1.583769
0.020000,7.472747,5.676649,0.027112,0.423139,3.912243,1.984317,1.589937
0.020000,7.472517,5.686695,0.037160,0.502401,3.963125,2.544113,1.597370
0.020000,7.472156,5.698348,0.048819,0.582925,4.026170,3.152242,1.606147
0.020000,7.471619,5.711636,0.062118,0.664965,4.102014,3.792190,1.616362
0.020000,7.470849,5.726593,0.077094,0.748815,4.192493,4.523945,1.628126
0.020000,7.469781,5.743255,0.093791,0.834826,4.300574,5.404042,1.641574
0.020000,7.468335,5.761666,0.112259,0.923387,4.428013,6.371960,1.656864
0.020000,7.466416,5.781874,0.132557,1.014920,4.576656,7.432131,1.674179
0.020000,7.463910,5.803931,0.154756,1.109968,4.752414,8.787915,1.693738
0.020000,7.460682,5.827896,0.178938,1.209083,4.955733,10.165949,1.715791
0.020000,7.456567,5.853830,0.205196,1.312896,5.190650,11.745860,1.740631
0.020000,7.451428,5.881509,0.233349,1.407637,4.737052,-22.679877,1.768303
0.020000,7.445193,5.910407,0.262911,1.478109,3.523614,-60.671928,1.798518
0.020000,7.437843,5.939954,0.293359,1.522403,2.214697,-65.445868,1.830869
0.020000,7.429343,5.969839,0.324429,1.553521,1.555887,-32.940473,1.865147
0.020000,7.419597,6.000019,0.356143,1.585698,1.608867,2.648978,1.901418
0.020000,7.408507,6.030431,0.388515,1.618575,1.643852,1.749266,1.939727
0.020000,7.395978,6.060997,0.421548,1.651673,1.654908,0.552825,1.980085
0.020000,7.381923,6.091612,0.455235,1.684352,1.633940,-1.048447,2.022467
0.020000,7.366267,6.122149,0.489553,1.715865,1.575651,-2.914431,2.066802
0.020000,7.348953,6.152459,0.524459,1.745341,1.473823,-5.091371,2.112963
0.020000,7.329949,6.182370,0.559896,1.771823,1.324069,-7.487717,2.160764
0.020000,7.309259,6.211691,0.595783,1.794337,1.125732,-9.916879,2.209961
0.020000,7.286918,6.240225,0.632022,1.811953,0.880756,-12.248799,2.260248
0.020000,7.263004,6.267770,0.668500,1.823895,0.597108,-14.182387,2.311276
0.020000,7.237632,6.294138,0.705091,1.829591,0.284835,-15.613653,2.362656
0.020000,7.210952,6.319156,0.741667,1.828768,-0.041159,-16.299712,2.413985
0.020000,7.183140,6.342684,0.778096,1.821462,-0.365309,-16.207466,2.464862
0.020000,7.154389,6.364616,0.814257,1.808035,-0.671364,-15.302769,2.514907
0.020000,7.124901,6.384884,0.850039,1.789101,-0.946674,-13.765499,2.563779
0.020000,7.094873,6.403462,0.885349,1.765504,-1.179884,-11.660498,2.611189
0.020000,7.064490,6.420355,0.920113,1.738182,-1.366101,-9.310869,2.656906
0.020000,7.033920,6.435603,0.954274,1.708100,-1.504091,-6.899469,2.700760
0.020000,7.003306,6.449267,0.987799,1.676217,-1.594116,-4.501272,2.742638
0.020000,6.972771,6.461425,1.020666,1.643371,-1.642321,-2.410215,2.782482
0.020000,6.942410,6.472168,1.052872,1.610270,-1.655041,-0.636043,2.820276
0.020000,6.912300,6.481593,1.084422,1.577533,-1.636859,0.909133,2.856041
0.020000,6.882496,6.489795,1.115334,1.545581,-1.597587,1.963584,2.889828
0.020000,6.853038,6.496870,1.145630,1.514783,-1.539927,2.883000,2.921707
0.020000,6.823952,6.502910,1.175337,1.485345,-1.471872,3.402768,2.951763
0.020000,6.795252,6.508002,1.204485,1.457412,-1.396644,3.761410,2.980089
0.020000,6.766944,6.512224,1.233106,1.431052,-1.317997,3.932331,3.006782
0.020000,6.739027,6.515651,1.261232,1.406307,-1.237256,4.037060,3.031943
0.020000,6.711497,6.518349,1.288895,1.383128,-1.158983,3.913660,3.055668
0.020000,6.684343,6.520380,1.316124,1.361492,-1.081804,3.858907,3.078053
0.020000,6.657554,6.521798,1.342951,1.341315,-1.008845,3.647952,3.099189
0.020000,6.631117,6.522654,1.369401,1.322541,-0.938673,3.508623,3.119161
0.020000,6.605018,6.522991,1.395503,1.305057,-0.874232,3.222033,3.138052
0.020000,6.584974,6.523000,1.415546,1.002189,-15.143400,-713.458365,3.141593
0.020000,6.564974,6.523000,1.435546,1.000000,-0.109431,751.698410,3.141593
0.020000,6.544974,6.523000,1.455546,1.000000,-0.000000,5.471568,3.141593
0.020000,6.524974,6.523000,1.475546,1.000000,0.000000,0.000000,3.141593
0.020000,6.504974,6.523000,1.495546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.484974,6.523000,1.515546,1.000000,0.000000,0.000000,3.141593
0.020000,6.464974,6.523000,1.535546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.444974,6.523000,1.555546,1.000000,0.000000,0.000000,3.141593
0.020000,6.424974,6.523000,1.575546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.404974,6.523000,1.595546,1.000000,0.000000,0.000000,3.141593
0.020000,6.384974,6.523000,1.615546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.364974,6.523000,1.635546,1.000000,0.000000,0.000000,3.141593
0.020000,6.344974,6.523000,1.655546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.324974,6.523000,1.675546,1.000000,0.000000,0.000000,3.141593
0.020000,6.304974,6.523000,1.695546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.284974,6.523000,1.715546,1.000000,0.000000,0.000000,3.141593
0.020000,6.264974,6.523000,1.735546,1.000000,0.000000,0.000000,3.141593
0.020000,6.244974,6.523000,1.755546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.224974,6.523000,1.775546,1.000000,0.000000,0.000000,3.141593
0.020000,6.204974,6.523000,1.795546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.184974,6.523000,1.815546,1.000000,0.000000,0.000000,3.141593
0.020000,6.164974,6.523000,1.835546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.144974,6.523000,1.855546,1.000000,0.000000,0.000000,3.141593
0.020000,6.124974,6.523000,1.875546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.104974,6.523000,1.895546,1.000000,0.000000,0.000000,3.141593
0.020000,6.084974,6.523000,1.915546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.064974,6.523000,1.935546,1.000000,0.000000,0.000000,3.141593
0.020000,6.044974,6.523000,1.955546,1.000000,-0.000000,-0.000000,3.141593
0.020000,6.024974,6.523000,1.975546,1.000000,0.000000,0.000000,3.141593
0.020000,6.004974,6.523000,1.995546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.984974,6.523000,2.015546,1.000000,0.000000,0.000000,3.141593
0.020000,5.964974,6.523000,2.035546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.944974,6.523000,2.055546,1.000000,0.000000,0.000000,3.141593
0.020000,5.924974,6.523000,2.075546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.904974,6.523000,2.095546,1.000000,0.000000,0.000000,3.141593
0.020000,5.884974,6.523000,2.115546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.864974,6.523000,2.135546,1.000000,0.000000,0.000000,3.141593
0.020000,5.844974,6.523000,2.155546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.824974,6.523000,2.175546,1.000000,0.000000,0.000000,3.141593
0.020000,5.804974,6.523000,2.195546,1.000000,0.000000,0.000000,3.141593
0.020000,5.784974,6.523000,2.215546,1.000000,0.000000,-0.000000,3.141593
0.020000,5.764974,6.523000,2.235546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.744974,6.523000,2.255546,1.000000,0.000000,0.000000,3.141593
0.020000,5.724974,6.523000,2.275546,1.000000,0.000000,0.000000,3.141593
0.020000,5.704974,6.523000,2.295546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.684974,6.523000,2.315546,1.000000,0.000000,0.000000,3.141593
0.020000,5.664974,6.523000,2.335546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.644974,6.523000,2.355546,1.000000,0.000000,0.000000,3.141593
0.020000,5.624974,6.523000,2.375546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.604974,6.523000,2.395546,1.000000,0.000000,0.000000,3.141593
0.020000,5.584974,6.523000,2.415546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.564974,6.523000,2.435546,1.000000,0.000000,0.000000,3.141593
0.020000,5.544974,6.523000,2.455546,1.000000,0.000000,0.000000,3.141593
0.020000,5.524974,6.523000,2.475546,1.000000,0.000000,-0.000000,3.141593
0.020000,5.504974,6.523000,2.495546,1.000000,-0.000000,-0.000000,3.141593
0.020000,5.495870,6.522998,2.504651,0.455207,-27.239645,-1361.982250,3.142595
0.020000,5.474156,6.522919,2.526365,1.085701,31.524685,2938.216493,3.147908
0.020000,5.452415,6.522723,2.548107,1.087106,0.070257,-1572.721406,3.153305
0.020000,5.430644,6.522408,2.569880,1.088648,0.077108,0.342547,3.158787
0.020000,5.408849,6.521973,2.591679,1.089956,0.065399,-0.585426,3.164354
0.020000,5.387030,6.521415,2.613505,1.091304,0.067409,0.100474,3.170008
0.020000,5.365187,6.520731,2.635359,1.092692,0.069383,0.098704,3.175751
0.020000,5.343320,6.519920,2.657241,1.094118,0.071320,0.096843,3.181584
0.020000,5.321428,6.518979,2.679153,1.095618,0.075007,0.184385,3.187510
0.020000,5.299508,6.517906,2.701100,1.097317,0.084921,0.495670,3.193530
0.020000,5.277564,6.516698,2.723076,1.098826,0.075459,-0.473083,3.199646
0.020000,5.255598,6.515353,2.745084,1.100371,0.077242,0.089161,3.205859
0.020000,5.233609,6.513869,2.767123,1.101950,0.078980,0.086895,3.212171
0.020000,5.211598,6.512242,2.789194,1.103564,0.080671,0.084531,3.218583
0.020000,5.189565,6.510470,2.811298,1.105210,0.082312,0.082069,3.225098
0.020000,5.167510,6.508551,2.833436,1.106888,0.083902,0.079505,3.231717
0.020000,5.145435,6.506481,2.855608,1.108597,0.085439,0.076840,3.238442
0.020000,5.123340,6.504259,2.877815,1.110335,0.086920,0.074072,3.245274
0.020000,5.101226,6.501880,2.900057,1.112102,0.088344,0.071198,3.252216
0.020000,5.079093,6.499343,2.922335,1.113896,0.089709,0.068219,3.259269
0.020000,5.056942,6.496644,2.944649,1.115717,0.091011,0.065132,3.266434
0.020000,5.034775,6.493780,2.967000,1.117562,0.092250,0.061935,3.273714
0.020000,5.012593,6.490749,2.989389,1.119430,0.093423,0.058628,3.281109
0.020000,4.990396,6.487547,3.011815,1.121321,0.094527,0.055209,3.288622
0.020000,4.968186,6.484171,3.034280,1.123232,0.095560,0.051675,3.296254
0.020000,4.945965,6.480619,3.056783,1.125162,0.096521,0.048026,3.304007
0.020000,4.923734,6.476886,3.079325,1.127110,0.097406,0.044259,3.311881
0.020000,4.901494,6.472971,3.101907,1.129111,0.100029,0.131162,3.319880
0.020000,4.879244,6.468868,3.124533,1.131285,0.108718,0.434436,3.328004
0.020000,4.856988,6.464576,3.147199,1.133295,0.100478,-0.412010,3.336254
0.020000,4.834729,6.460090,3.169905,1.135315,0.100993,0.025776,3.344632
0.020000,4.812469,6.455409,3.192652,1.137343,0.101420,0.021320,3.353138
0.020000,4.790210,6.450528,3.215440,1.139378,0.101755,0.016737,3.361773
0.020000,4.767953,6.445444,3.238271,1.141543,0.108261,0.325317,3.370539
0.020000,4.745697,6.440154,3.261147,1.143807,0.113172,0.245565,3.379439
0.020000,4.723449,6.434654,3.284064,1.145863,0.102791,-0.519082,3.388469
0.020000,4.701213,6.428942,3.307022,1.147916,0.102680,-0.005517,3.397633
0.020000,4.678988,6.423013,3.330024,1.150086,0.108469,0.289446,3.406929
0.020000,4.656775,6.416865,3.353072,1.152418,0.116596,0.406324,3.416361
0.020000,4.634582,6.410494,3.376162,1.154459,0.102091,-0.725212,3.425927
0.020000,4.612413,6.403898,3.399291,1.156489,0.101486,-0.030292,3.435625
0.020000,4.590262,6.397072,3.422470,1.158942,0.122636,1.057522,3.445459
0.020000,4.568141,6.390015,3.445689,1.160957,0.100762,-1.093710,3.455426
0.020000,4.546054,6.382723,3.468949,1.162982,0.101268,0.025299,3.465525
0.020000,4.523997,6.375191,3.492257,1.165378,0.119799,0.926567,3.475758
0.020000,4.501982,6.367420,3.515603,1.167313,0.096707,-1.154583,3.486122
0.020000,4.480009,6.359405,3.538992,1.169473,0.108000,0.564634,3.496616
0.020000,4.458082,6.351144,3.562424,1.171589,0.105817,-0.109153,3.507239
0.020000,4.436209,6.342634,3.585894,1.173502,0.095629,-0.509408,3.517988
0.020000,4.414387,6.333872,3.609409,1.175732,0.111519,0.794514,3.528864
0.020000,4.392631,6.324859,3.632958,1.177482,0.087501,-1.200908,3.539861
0.020000,4.370935,6.315588,3.656552,1.179684,0.110112,1.130555,3.550981
0.020000,4.349313,6.306062,3.680179,1.181354,0.083484,-1.331418,3.562217
0.020000,4.327763,6.296275,3.703848,1.183421,0.103373,0.994441,3.573569
0.020000,4.306297,6.286230,3.727548,1.185003,0.079108,-1.213245,3.585031
0.020000,4.284913,6.275921,3.751287,1.186973,0.098492,0.969203,3.596603
0.020000,4.263624,6.265351,3.775056,1.188451,0.073884,-1.230386,3.608278
0.020000,4.242428,6.254515,3.798861,1.190238,0.089349,0.773244,3.620053
0.020000,4.221336,6.243417,3.822694,1.191662,0.071192,-0.907826,3.631924
0.020000,4.200352,6.232054,3.846558,1.193171,0.075467,0.213718,3.643885
0.020000,4.179481,6.220426,3.870449,1.194573,0.070079,-0.269382,3.655932
0.020000,4.158732,6.208534,3.894364,1.195762,0.059461,-0.530883,3.668059
0.020000,4.138105,6.196377,3.918307,1.197144,0.069083,0.481080,3.680262
0.020000,4.117611,6.183959,3.942270,1.198152,0.050443,-0.931977,3.692534
0.020000,4.097254,6.171278,3.966254,1.199168,0.050784,0.017011,3.704868
0.020000,4.077039,6.158336,3.990257,1.200160,0.049584,-0.059978,3.717260
0.020000,4.056974,6.145136,4.014275,1.200897,0.036837,-0.637360,3.729702
0.020000,4.037063,6.131678,4.038307,1.201619,0.036142,-0.034738,3.742187
0.020000,4.017311,6.117965,4.062352,1.202268,0.032413,-0.186457,3.754711
0.020000,3.997725,6.104001,4.086406,1.202695,0.021370,-0.552129,3.767263
0.020000,3.978311,6.089788,4.110467,1.203048,0.017628,-0.187118,3.779838
0.020000,3.959072,6.075327,4.134535,1.203378,0.016497,-0.056545,3.792430
0.020000,3.940015,6.060624,4.158604,1.203470,0.004617,-0.593993,3.805029
0.020000,3.921145,6.045683,4.182673,1.203454,-0.000791,-0.270428,3.817629
0.020000,3.902466,6.030505,4.206741,1.203394,-0.003022,-0.111523,3.830223
0.020000,3.883983,6.015097,4.230805,1.203178,-0.010774,-0.387638,3.842804
0.020000,3.865700,5.999462,4.254861,1.202811,-0.018339,-0.378235,3.855363
0.020000,3.847622,5.983605,4.278908,1.202334,-0.023891,-0.277594,3.867893
0.020000,3.829753,5.967531,4.302944,1.201795,-0.026933,-0.152103,3.880388
0.020000,3.812095,5.951244,4.326965,1.201099,-0.034800,-0.393321,3.892840
0.020000,3.794652,5.934751,4.350971,1.200277,-0.041107,-0.315382,3.905242
0.020000,3.777429,5.918056,4.374958,1.199348,-0.046427,-0.265992,3.917587
0.020000,3.760427,5.901164,4.398925,1.198336,-0.050625,-0.209907,3.929869
0.020000,3.743649,5.884081,4.422869,1.197209,-0.056350,-0.286245,3.942080
0.020000,3.727097,5.866814,4.446788,1.195963,-0.062308,-0.297921,3.954214
0.020000,3.710774,5.849367,4.470681,1.194621,-0.067081,-0.238650,3.966266
0.020000,3.694680,5.831746,4.494544,1.193188,-0.071642,-0.228034,3.978229
0.020000,3.678818,5.813958,4.518378,1.191675,-0.075644,-0.200102,3.990098
0.020000,3.663188,5.796008,4.542179,1.190058,-0.080852,-0.260413,4.001867
0.020000,3.647792,5.777901,4.565946,1.188361,-0.084853,-0.200041,4.013531
0.020000,3.632630,5.759645,4.589678,1.186588,-0.088644,-0.189540,4.025085
0.020000,3.617702,5.741244,4.613373,1.184741,-0.092382,-0.186906,4.036524
0.020000,3.603008,5.722704,4.637029,1.182819,-0.096094,-0.185569,4.047845
0.020000,3.588548,5.704032,4.660646,1.180836,-0.099125,-0.151563,4.059043
0.020000,3.574321,5.685232,4.684222,1.178796,-0.102002,-0.143833,4.070114
0.020000,3.560327,5.666311,4.707756,1.176703,-0.104650,-0.132430,4.081056
0.020000,3.546565,5.647273,4.731247,1.174537,-0.108287,-0.181819,4.091864
0.020000,3.533034,5.628125,4.754693,1.172342,-0.109794,-0.075352,4.102536
0.020000,3.519732,5.608871,4.778096,1.170109,-0.111616,-0.091101,4.113070
0.020000,3.506658,5.589516,4.801452,1.167842,-0.113351,-0.086779,4.123462
0.020000,3.493809,5.570067,4.824763,1.165524,-0.115922,-0.128541,4.133712
0.020000,3.481185,5.550527,4.848026,1.163173,-0.117537,-0.080730,4.143816
0.020000,3.468782,5.530901,4.871243,1.160820,-0.117650,-0.005693,4.153775
0.020000,3.456599,5.511194,4.894412,1.158449,-0.118551,-0.045013,4.163586
0.020000,3.444633,5.491410,4.917533,1.156044,-0.120249,-0.084916,4.173248
0.020000,3.432882,5.471554,4.940605,1.153606,-0.121911,-0.083093,4.182760
0.020000,3.421344,5.451630,4.963629,1.151196,-0.120488,0.071123,4.192123
0.020000,3.410015,5.431642,4.986604,1.148783,-0.120672,-0.009201,4.201335
0.020000,3.398892,5.411594,5.009531,1.146336,-0.122340,-0.083373,4.210396
0.020000,3.387974,5.391490,5.032409,1.143880,-0.122778,-0.021882,4.219306
0.020000,3.377256,5.371333,5.055238,1.141468,-0.120638,0.106976,4.228066
0.020000,3.366736,5.351126,5.078019,1.139063,-0.120244,0.019685,4.236676
0.020000,3.356411,5.330874,5.100751,1.136598,-0.123242,-0.149876,4.245135
0.020000,3.346278,5.310579,5.123435,1.134195,-0.120154,0.154393,4.253445
0.020000,3.336333,5.290245,5.146072,1.131822,-0.118655,0.074956,4.261607
0.020000,3.326574,5.269873,5.168660,1.129426,-0.119773,-0.055921,4.269621
0.020000,3.316997,5.249468,5.191201,1.127027,-0.119958,-0.009217,4.277488
0.020000,3.307599,5.229032,5.213695,1.124704,-0.116160,0.189905,4.285209
0.020000,3.298376,5.208566,5.236142,1.122382,-0.116097,0.003130,4.292786
0.020000,3.289327,5.188075,5.258543,1.120014,-0.118376,-0.113966,4.300219
0.020000,3.280446,5.167559,5.280898,1.117755,-0.112967,0.270451,4.307510
