dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899066,0.357001,0.000196,0.019608,0.980392,49.019608,6.280293
0.020000,0.899132,0.357001,0.000262,0.003314,-0.814688,-89.753998,6.280498
0.020000,0.899281,0.357001,0.000412,0.007461,0.207346,51.101693,6.280960
0.020000,0.899530,0.357000,0.000661,0.012448,0.249364,2.100898,6.281731
0.020000,0.899879,0.357000,0.001010,0.017456,0.250361,0.049836,6.282812
0.020000,0.904208,0.357002,0.005339,0.216446,9.949517,484.957809,0.001021
0.020000,0.911228,0.357015,0.012358,0.350986,6.726987,-161.126470,0.002731
0.020000,0.919535,0.357046,0.020665,0.415356,3.218515,-175.423602,0.004764
0.020000,0.929121,0.357103,0.030251,0.479292,3.196798,-1.085895,0.007124
0.020000,0.939990,0.357195,0.041121,0.543478,3.209332,0.626719,0.009818
0.020000,0.952146,0.357333,0.053278,0.607857,3.218907,0.478772,0.012854
0.020000,0.965592,0.357529,0.066725,0.672366,3.225493,0.329277,0.016241
0.020000,0.980329,0.357796,0.081464,0.736948,3.229069,0.178789,0.019987
0.020000,0.996356,0.358149,0.097495,0.801549,3.230052,0.049167,0.024103
0.020000,1.013691,0.358606,0.114836,0.867038,3.274440,2.219384,0.028604
0.020000,1.032317,0.359184,0.133472,0.931780,3.237135,-1.865219,0.033498
0.020000,1.052256,0.359905,0.153424,0.997613,3.291607,2.723598,0.038804
0.020000,1.073288,0.360782,0.174473,1.052466,2.742659,-27.447427,0.044479
0.020000,1.094985,0.361812,0.196195,1.086076,1.680493,-53.108302,0.050416
0.020000,1.116920,0.362985,0.218161,1.098335,0.612977,-53.375774,0.056507
0.020000,1.138879,0.364295,0.240159,1.099885,0.077509,-26.773393,0.062695
0.020000,1.160860,0.365745,0.262188,1.101470,0.079251,0.087093,0.068982
0.020000,1.182865,0.367335,0.284250,1.103089,0.080946,0.084717,0.075368
0.020000,1.204892,0.369070,0.306346,1.104768,0.083937,0.149549,0.081857
0.020000,1.226942,0.370952,0.328476,1.106506,0.086919,0.149117,0.088450
0.020000,1.249012,0.372984,0.350640,1.108194,0.084403,-0.125812,0.095148
0.020000,1.271103,0.375168,0.372838,1.109913,0.085909,0.075338,0.101954
0.020000,1.293213,0.377507,0.395071,1.111660,0.087360,0.072531,0.108868
0.020000,1.315341,0.380004,0.417340,1.113435,0.088752,0.069618,0.115892
0.020000,1.337487,0.382662,0.439645,1.115237,0.090084,0.066598,0.123029
0.020000,1.359649,0.385484,0.461986,1.117064,0.091354,0.063469,0.130280
0.020000,1.381827,0.388473,0.484365,1.118947,0.094160,0.140301,0.137646
0.020000,1.404022,0.391632,0.506783,1.120904,0.097854,0.184722,0.145129
0.020000,1.426230,0.394964,0.529239,1.122821,0.095858,-0.099784,0.152732
0.020000,1.448450,0.398472,0.551734,1.124757,0.096820,0.048057,0.160455
0.020000,1.470680,0.402159,0.574269,1.126712,0.097705,0.044279,0.168299
