dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.958714,0.683934,0.000196,0.019608,0.980392,49.019608,6.283121
0.020000,0.958714,0.683934,0.000980,0.058824,1.960784,49.019608,6.283153
0.020000,0.959674,0.683934,0.002745,0.117647,2.941176,49.019608,0.000039
0.020000,0.962615,0.683934,0.005686,0.176471,2.941176,-0.000000,0.000157
0.020000,0.966733,0.683935,0.009804,0.235294,2.941176,0.000000,0.000321
0.020000,0.972027,0.683938,0.015098,0.294118,2.941176,-0.000000,0.000531
0.020000,0.978498,0.683942,0.021569,0.352941,2.941176,0.000000,0.000786
0.020000,0.986145,0.683949,0.029216,0.411765,2.941176,0.000000,0.001085
0.020000,0.994968,0.683960,0.038039,0.470588,2.941176,0.000000,0.001426
0.020000,1.004968,0.683976,0.048039,0.529412,2.941176,-0.000000,0.001808
0.020000,1.016145,0.683999,0.059216,0.588235,2.941176,0.000000,0.002229
0.020000,1.028498,0.684029,0.071569,0.647059,2.941176,0.000000,0.002687
0.020000,1.042027,0.684069,0.085098,0.705882,2.941176,0.000000,0.003180
0.020000,1.056733,0.684120,0.099804,0.764706,2.941176,-0.000000,0.003705
0.020000,1.072615,0.684183,0.115686,0.823529,2.941176,0.000000,0.004260
0.020000,1.089674,0.684261,0.132745,0.882353,2.941176,-0.000000,0.004843
0.020000,1.107909,0.684354,0.150980,0.941176,2.941176,0.000000,0.005449
0.020000,1.127124,0.684465,0.170196,0.980392,1.960784,-49.019608,0.006071
0.020000,1.146928,0.684592,0.190000,1.000000,0.980392,-49.019608,0.006692
0.020000,1.166927,0.684732,0.210000,1.000000,0.000000,-49.019608,0.007299
0.020000,1.186926,0.684883,0.230000,1.000000,0.000000,0.000000,0.007886
0.020000,1.206926,0.685047,0.250000,1.000000,0.000000,0.000000,0.008453
0.020000,1.226925,0.685221,0.270000,1.000000,0.000000,0.000000,0.009001
0.020000,1.246924,0.685407,0.290000,1.000000,0.000000,0.000000,0.009528
0.020000,1.266923,0.685602,0.310000,1.000000,0.000000,0.000000,0.010036
0.020000,1.286922,0.685808,0.330000,1.000000,0.000000,0.000000,0.010523
0.020000,1.306921,0.686023,0.350000,1.000000,0.000000,0.000000,0.010991
0.020000,1.326920,0.686248,0.370000,1.000000,0.000000,0.000000,0.011439
0.020000,1.346918,0.686481,0.390000,1.000000,0.000000,0.000000,0.011866
0.020000,1.366917,0.686722,0.410000,1.000000,0.000000,0.000000,0.012274
0.020000,1.386915,0.686971,0.430000,1.000000,0.000000,0.000000,0.012662
0.020000,1.406914,0.687228,0.450000,1.000000,0.000000,0.000000,0.013030
0.020000,1.426912,0.687492,0.470000,1.000000,0.000000,0.000000,0.013378
0.020000,1.446910,0.687763,0.490000,1.000000,0.000000,0.000000,0.013706
0.020000,1.466908,0.688041,0.510000,1.000000,0.000000,0.000000,0.014014
0.020000,1.486906,0.688324,0.530000,1.000000,0.000000,0.000000,0.014302
0.020000,1.506904,0.688612,0.550000,1.000000,0.000000,0.000000,0.014570
0.020000,1.526902,0.688906,0.570000,1.000000,0.000000,0.000000,0.014818
0.020000,1.546900,0.689205,0.590000,1.000000,0.000000,0.000000,0.015046
0.020000,1.566897,0.689508,0.610000,1.000000,0.000000,0.000000,0.015254
0.020000,1.586895,0.689815,0.630000,1.000000,0.000000,0.000000,0.015443
0.020000,1.606893,0.690126,0.650000,1.000000,0.000000,0.000000,0.015611
0.020000,1.626890,0.690439,0.670000,1.000000,0.000000,0.000000,0.015759
0.020000,1.646888,0.690756,0.690000,1.000000,0.000000,0.000000,0.015888
0.020000,1.666885,0.691075,0.710000,1.000000,0.000000,0.000000,0.015996
0.020000,1.686883,0.691395,0.730000,1.000000,0.000000,0.000000,0.016085
0.020000,1.706880,0.691718,0.750000,1.000000,0.000000,0.000000,0.016153
0.020000,1.726877,0.692041,0.770000,1.000000,0.000000,0.000000,0.016202
0.020000,1.746875,0.692366,0.790000,1.000000,0.000000,0.000000,0.016231
0.020000,1.766872,0.692691,0.810000,1.000000,0.000000,0.000000,0.016240
0.020000,1.786869,0.693015,0.830000,1.000000,0.000000,0.000000,0.016228
0.020000,1.806867,0.693339,0.850000,1.000000,0.000000,0.000000,0.016197
0.020000,1.826864,0.693663,0.870000,1.000000,0.000000,0.000000,0.016146
0.020000,1.846862,0.693985,0.890000,1.000000,0.000000,0.000000,0.016075
0.020000,1.866859,0.694306,0.910000,1.000000,0.000000,0.000000,0.015984
0.020000,1.886857,0.694624,0.930000,1.000000,0.000000,0.000000,0.015873
0.020000,1.906854,0.694941,0.950000,1.000000,0.000000,0.000000,0.015742
0.020000,1.926852,0.695254,0.970000,1.000000,0.000000,0.000000,0.015592
0.020000,1.946849,0.695564,0.990000,1.000000,0.000000,0.000000,0.015421
0.020000,1.966847,0.695871,1.010000,1.000000,0.000000,0.000000,0.015230
0.020000,1.986845,0.696173,1.030000,1.000000,0.000000,0.000000,0.015020
0.020000,2.006842,0.696471,1.050000,1.000000,0.000000,0.000000,0.014789
0.020000,2.026840,0.696765,1.070000,1.000000,0.000000,0.000000,0.014538
0.020000,2.046838,0.697053,1.090000,1.000000,0.000000,0.000000,0.014268
0.020000,2.066836,0.697335,1.110000,1.000000,0.000000,0.000000,0.013977
0.020000,2.086834,0.697612,1.130000,1.000000,0.000000,0.000000,0.013667
0.020000,2.106832,0.697882,1.150000,1.000000,0.000000,0.000000,0.013337
0.020000,2.126831,0.698145,1.170000,1.000000,0.000000,0.000000,0.012986
0.020000,2.146829,0.698401,1.190000,1.000000,0.000000,0.000000,0.012616
0.020000,2.166827,0.698649,1.210000,1.000000,0.000000,0.000000,0.012226
0.020000,2.186826,0.698890,1.230000,1.000000,0.000000,0.000000,0.011816
0.020000,2.206825,0.699122,1.250000,1.000000,0.000000,0.000000,0.011386
0.020000,2.226823,0.699345,1.270000,1.000000,0.000000,0.000000,0.010935
0.020000,2.246822,0.699559,1.290000,1.000000,0.000000,0.000000,0.010465
0.020000,2.266821,0.699764,1.310000,1.000000,0.000000,0.000000,0.009975
0.020000,2.286820,0.699958,1.330000,1.000000,0.000000,0.000000,0.009466
0.020000,2.306819,0.700142,1.350000,1.000000,0.000000,0.000000,0.008936
0.020000,2.326819,0.700315,1.370000,1.000000,0.000000,0.000000,0.008386
0.020000,2.346818,0.700477,1.390000,1.000000,0.000000,0.000000,0.007816
0.020000,2.366817,0.700628,1.410000,1.000000,0.000000,0.000000,0.007226
0.020000,2.386817,0.700766,1.430000,1.000000,0.000000,0.000000,0.006617
0.020000,2.406817,0.700892,1.450000,1.000000,0.000000,0.000000,0.005987
0.020000,2.426816,0.701006,1.470000,1.000000,0.000000,0.000000,0.005338
0.020000,2.446816,0.701106,1.490000,1.000000,0.000000,0.000000,0.004668
0.020000,2.466816,0.701192,1.510000,1.000000,0.000000,0.000000,0.003979
0.020000,2.486816,0.701265,1.530000,1.000000,0.000000,0.000000,0.003269
0.020000,2.506816,0.701323,1.550000,1.000000,0.000000,0.000000,0.002540
0.020000,2.526816,0.701366,1.570000,1.000000,0.000000,0.000000,0.001791
0.020000,2.546816,0.701394,1.590000,1.000000,0.000000,0.000000,0.001022
0.020000,2.566815,0.701407,1.610000,1.000000,0.000000,0.000000,0.000232
0.020000,2.586815,0.701404,1.630000,1.000000,0.000000,0.000000,6.282609
0.020000,2.606815,0.701384,1.650000,1.000000,0.000000,0.000000,6.281780
0.020000,2.626815,0.701347,1.670000,1.000000,0.000000,0.000000,6.280931
0.020000,2.646815,0.701293,1.690000,1.000000,0.000000,0.000000,6.280062
0.020000,2.666815,0.701222,1.710000,1.000000,0.000000,0.000000,6.279173
0.020000,2.686815,0.701133,1.730000,1.000000,0.000000,0.000000,6.278265
0.020000,2.706815,0.701025,1.750000,1.000000,0.000000,0.000000,6.277336
0.020000,2.726814,0.700899,1.770000,1.000000,0.000000,0.000000,6.276388
0.020000,2.744370,0.700772,1.790000,1.000000,0.000000,0.000000,6.275737
0.020000,2.764369,0.700697,1.810000,1.000000,0.000000,0.000000,6.283055
0.020000,2.784369,0.700765,1.830000,1.000000,0.000000,0.000000,0.006990
0.020000,2.804368,0.700975,1.850000,1.000000,0.000000,0.000000,0.013912
0.020000,2.824365,0.701321,1.870000,1.000000,0.000000,0.000000,0.020635
0.020000,2.844359,0.701799,1.890000,1.000000,0.000000,0.000000,0.027158
0.020000,2.864350,0.702405,1.910000,1.000000,0.000000,0.000000,0.033482
0.020000,2.884337,0.703137,1.930000,1.000000,0.000000,0.000000,0.039607
0.020000,2.904318,0.703988,1.950000,1.000000,0.000000,0.000000,0.045532
0.020000,2.924295,0.704956,1.970000,1.000000,0.000000,0.000000,0.051259
0.020000,2.944266,0.706036,1.990000,1.000000,0.000000,0.000000,0.056787
0.020000,2.964230,0.707225,2.010000,1.000000,0.000000,0.000000,0.062116
0.020000,2.984189,0.708518,2.030000,1.000000,0.000000,0.000000,0.067248
0.020000,3.004140,0.709911,2.050000,1.000000,0.000000,0.000000,0.072184
0.020000,3.024084,0.711401,2.070000,1.000000,0.000000,0.000000,0.076922
0.020000,3.044022,0.712984,2.090000,1.000000,0.000000,0.000000,0.081465
0.020000,3.063952,0.714655,2.110000,1.000000,0.000000,0.000000,0.085813
0.020000,3.083874,0.716411,2.130000,1.000000,0.000000,0.000000,0.089967
0.020000,3.103790,0.718248,2.150000,1.000000,0.000000,0.000000,0.093927
0.020000,3.123698,0.720161,2.170000,1.000000,0.000000,0.000000,0.097695
0.020000,3.143599,0.722148,2.190000,1.000000,0.000000,0.000000,0.101270
0.020000,3.163493,0.724204,2.210000,1.000000,0.000000,0.000000,0.104654
0.020000,3.183380,0.726325,2.230000,1.000000,0.000000,0.000000,0.107848
0.020000,3.203261,0.728508,2.250000,1.000000,0.000000,0.000000,0.110852
0.020000,3.223135,0.730749,2.270000,1.000000,0.000000,0.000000,0.113668
0.020000,3.243003,0.733044,2.290000,1.000000,0.000000,0.000000,0.116295
0.020000,3.262865,0.735389,2.310000,1.000000,0.000000,0.000000,0.118734
0.020000,3.282721,0.737781,2.330000,1.000000,0.000000,0.000000,0.120986
0.020000,3.302573,0.740215,2.350000,1.000000,0.000000,0.000000,0.123053
0.020000,3.322419,0.742689,2.370000,1.000000,0.000000,0.000000,0.124933
0.020000,3.342261,0.745198,2.390000,1.000000,0.000000,0.000000,0.126629
0.020000,3.362099,0.747740,2.410000,1.000000,0.000000,0.000000,0.128139
0.020000,3.381933,0.750309,2.430000,1.000000,0.000000,0.000000,0.129466
0.020000,3.401764,0.752903,2.450000,1.000000,0.000000,0.000000,0.130608
0.020000,3.421593,0.755517,2.470000,1.000000,0.000000,0.000000,0.131567
0.020000,3.441419,0.758149,2.490000,1.000000,0.000000,0.000000,0.132343
0.020000,3.461243,0.760794,2.510000,1.000000,0.000000,0.000000,0.132936
0.020000,3.481066,0.763449,2.530000,1.000000,0.000000,0.000000,0.133346
0.020000,3.500888,0.766111,2.550000,1.000000,0.000000,0.000000,0.133574
0.020000,3.520710,0.768775,2.570000,1.000000,0.000000,0.000000,0.133619
0.020000,3.540532,0.771439,2.590000,1.000000,0.000000,0.000000,0.133481
0.020000,3.560354,0.774098,2.610000,1.000000,0.000000,0.000000,0.133160
0.020000,3.580178,0.776748,2.630000,1.000000,0.000000,0.000000,0.132657
0.020000,3.600003,0.779387,2.650000,1.000000,0.000000,0.000000,0.131971
0.020000,3.619830,0.782010,2.670000,1.000000,0.000000,0.000000,0.131102
0.020000,3.639660,0.784615,2.690000,1.000000,0.000000,0.000000,0.130050
0.020000,3.659492,0.787197,2.710000,1.000000,0.000000,0.000000,0.128814
0.020000,3.679329,0.789752,2.730000,1.000000,0.000000,0.000000,0.127393
0.020000,3.699169,0.792277,2.750000,1.000000,0.000000,0.000000,0.125789
0.020000,3.719013,0.794769,2.770000,1.000000,0.000000,0.000000,0.123999
0.020000,3.738862,0.797223,2.790000,1.000000,0.000000,0.000000,0.122024
0.020000,3.758715,0.799637,2.810000,1.000000,0.000000,0.000000,0.119863
0.020000,3.778575,0.802005,2.830000,1.000000,0.000000,0.000000,0.117516
0.020000,3.798440,0.804325,2.850000,1.000000,0.000000,0.000000,0.114981
0.020000,3.818311,0.806593,2.870000,1.000000,0.000000,0.000000,0.112258
0.020000,3.838188,0.808805,2.890000,1.000000,0.000000,0.000000,0.109347
0.020000,3.858072,0.810957,2.910000,1.000000,0.000000,0.000000,0.106246
0.020000,3.877962,0.813046,2.930000,1.000000,0.000000,0.000000,0.102956
0.020000,3.897860,0.815067,2.950000,1.000000,0.000000,0.000000,0.099474
0.020000,3.917765,0.817017,2.970000,1.000000,0.000000,0.000000,0.095801
0.020000,3.937677,0.818892,2.990000,1.000000,0.000000,0.000000,0.091936
0.020000,3.957596,0.820688,3.010000,1.000000,0.000000,0.000000,0.087877
0.020000,3.977522,0.822401,3.030000,1.000000,0.000000,0.000000,0.083624
0.020000,3.997456,0.824027,3.050000,1.000000,0.000000,0.000000,0.079177
0.020000,4.017397,0.825563,3.070000,1.000000,0.000000,0.000000,0.074535
0.020000,4.037345,0.827005,3.090000,1.000000,0.000000,0.000000,0.069696
0.020000,4.057300,0.828348,3.110000,1.000000,0.000000,0.000000,0.064661
0.020000,4.077261,0.829588,3.130000,1.000000,0.000000,0.000000,0.059428
0.020000,4.097229,0.830722,3.150000,1.000000,0.000000,0.000000,0.053998
0.020000,4.117203,0.831746,3.170000,1.000000,0.000000,0.000000,0.048369
0.020000,4.137182,0.832655,3.190000,1.000000,0.000000,0.000000,0.042541
0.020000,4.157166,0.833445,3.210000,1.000000,0.000000,0.000000,0.036514
0.020000,4.177155,0.834114,3.230000,1.000000,0.000000,0.000000,0.030288
0.020000,4.197148,0.834655,3.250000,1.000000,0.000000,0.000000,0.023863
0.020000,4.217144,0.835067,3.270000,1.000000,0.000000,0.000000,0.017238
0.020000,4.237142,0.835343,3.290000,1.000000,0.000000,0.000000,0.010414
0.020000,4.257141,0.835482,3.310000,1.000000,0.000000,0.000000,0.003391
0.020000,4.277141,0.835478,3.330000,1.000000,0.000000,0.000000,6.279355
0.020000,4.297140,0.835327,3.350000,1.000000,0.000000,0.000000,6.271936
0.020000,4.317138,0.835027,3.370000,1.000000,0.000000,0.000000,6.264319
0.020000,4.337133,0.834571,3.390000,1.000000,0.000000,0.000000,6.256507
0.020000,4.357123,0.833958,3.410000,1.000000,0.000000,0.000000,6.248501
0.020000,4.377108,0.833183,3.430000,1.000000,0.000000,0.000000,6.240301
0.020000,4.397086,0.832242,3.450000,1.000000,0.000000,0.000000,6.231909
0.020000,4.417055,0.831132,3.470000,1.000000,0.000000,0.000000,6.223328
0.020000,4.437014,0.829848,3.490000,1.000000,0.000000,0.000000,6.214560
0.020000,4.456960,0.828388,3.510000,1.000000,0.000000,0.000000,6.205607
0.020000,4.476893,0.826747,3.530000,1.000000,0.000000,0.000000,6.196473
0.020000,4.496810,0.824922,3.550000,1.000000,0.000000,0.000000,6.187159
0.020000,4.516708,0.822911,3.570000,1.000000,0.000000,0.000000,6.177670
0.020000,4.536586,0.820708,3.590000,1.000000,0.000000,0.000000,6.168009
0.020000,4.556442,0.818313,3.610000,1.000000,0.000000,0.000000,6.158181
0.020000,4.576273,0.815720,3.630000,1.000000,0.000000,0.000000,6.148189
0.020000,4.596077,0.812928,3.650000,1.000000,0.000000,0.000000,6.138039
0.020000,4.615852,0.809934,3.670000,1.000000,0.000000,0.000000,6.127735
0.020000,4.635594,0.806734,3.690000,1.000000,0.000000,0.000000,6.117283
0.020000,4.655302,0.803327,3.710000,1.000000,0.000000,0.000000,6.106688
0.020000,4.674972,0.799710,3.730000,1.000000,0.000000,0.000000,6.095956
0.020000,4.694602,0.795881,3.750000,1.000000,0.000000,0.000000,6.085093
0.020000,4.714189,0.791838,3.770000,1.000000,0.000000,0.000000,6.074107
0.020000,4.733730,0.787578,3.790000,1.000000,0.000000,0.000000,6.063004
0.020000,4.753222,0.783101,3.810000,1.000000,0.000000,0.000000,6.051790
0.020000,4.772663,0.778404,3.830000,1.000000,0.000000,0.000000,6.040474
0.020000,4.792049,0.773487,3.850000,1.000000,0.000000,0.000000,6.029062
0.020000,4.811377,0.768348,3.870000,1.000000,0.000000,0.000000,6.017563
0.020000,4.830645,0.762987,3.890000,1.000000,0.000000,0.000000,6.005985
0.020000,4.849849,0.757401,3.910000,1.000000,0.000000,0.000000,5.994335
