dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.959149,1.006934,0.000196,0.019608,0.980392,49.019608,6.281841
0.020000,0.959043,1.006934,0.000302,0.005306,-0.715082,-84.773685,6.282169
0.020000,0.958804,1.006934,0.000541,0.011937,0.331531,52.330642,6.282908
0.020000,0.960686,1.006935,0.002423,0.094104,4.108376,188.842240,0.000955
0.020000,0.964246,1.006942,0.005984,0.178029,4.196228,4.392616,0.002679
0.020000,0.968825,1.006959,0.010562,0.228904,2.543730,-82.624934,0.004896
0.020000,0.974420,1.006994,0.016157,0.279761,2.542870,-0.042989,0.007606
0.020000,0.981032,1.007055,0.022769,0.330627,2.543305,0.021753,0.010809
0.020000,0.988661,1.007151,0.030399,0.381490,2.543168,-0.006867,0.014505
0.020000,0.997307,1.007295,0.039047,0.432366,2.543765,0.029841,0.018692
0.020000,1.006970,1.007498,0.048712,0.483254,2.544439,0.033736,0.023372
0.020000,1.017649,1.007775,0.059395,0.534143,2.544435,-0.000231,0.028542
0.020000,1.029345,1.008142,0.071096,0.585070,2.546342,0.095374,0.034201
0.020000,1.042057,1.008617,0.083816,0.636026,2.547806,0.073186,0.040348
0.020000,1.055784,1.009216,0.097557,0.687012,2.549319,0.075639,0.046980
0.020000,1.070526,1.009962,0.112318,0.738063,2.552522,0.160170,0.054093
0.020000,1.086283,1.010875,0.128101,0.789174,2.555561,0.151949,0.061684
0.020000,1.102885,1.011967,0.144739,0.831888,2.135713,-20.992394,0.069665
0.020000,1.119993,1.013231,0.161893,0.857699,1.290521,-42.259590,0.077869
0.020000,1.137266,1.014651,0.179225,0.866597,0.444924,-42.279868,0.086129
0.020000,1.154537,1.016214,0.196566,0.867055,0.022907,-21.100872,0.094361
0.020000,1.171804,1.017920,0.213917,0.867563,0.025373,0.123337,0.102561
0.020000,1.189068,1.019768,0.231280,0.868119,0.027821,0.122377,0.110726
0.020000,1.206328,1.021758,0.248654,0.868724,0.030245,0.121228,0.118855
0.020000,1.223584,1.023889,0.266042,0.869377,0.032643,0.119892,0.126943
0.020000,1.240837,1.026162,0.283444,0.870081,0.035215,0.128583,0.134987
0.020000,1.258086,1.028575,0.300860,0.870829,0.037404,0.109479,0.142985
0.020000,1.275330,1.031128,0.318293,0.871622,0.039639,0.111747,0.150934
0.020000,1.292570,1.033820,0.335742,0.872460,0.041892,0.112618,0.158831
0.020000,1.309806,1.036650,0.353209,0.873342,0.044101,0.110442,0.166674
0.020000,1.327038,1.039618,0.370694,0.874267,0.046263,0.108117,0.174459
0.020000,1.344265,1.042723,0.388199,0.875236,0.048415,0.107603,0.182184
0.020000,1.361488,1.045964,0.405724,0.876250,0.050695,0.113998,0.189846
0.020000,1.378706,1.049341,0.423270,0.877298,0.052426,0.086548,0.197444
0.020000,1.395919,1.052852,0.440837,0.878386,0.054375,0.097432,0.204974
0.020000,1.413127,1.056497,0.458428,0.879511,0.056265,0.094516,0.212434
0.020000,1.430331,1.060274,0.476041,0.880674,0.058159,0.094713,0.219823
0.020000,1.447530,1.064183,0.493679,0.881875,0.060065,0.095298,0.227137
0.020000,1.464724,1.068223,0.511341,0.883106,0.061544,0.073958,0.234375
0.020000,1.481913,1.072392,0.529028,0.884370,0.063185,0.082055,0.241534
0.020000,1.499097,1.076690,0.546741,0.885665,0.064762,0.078816,0.248614
0.020000,1.516276,1.081115,0.564481,0.886995,0.066498,0.086810,0.255611
0.020000,1.533450,1.085667,0.582248,0.888349,0.067691,0.059647,0.262524
0.020000,1.550619,1.090344,0.600043,0.889730,0.069069,0.068925,0.269352
0.020000,1.567783,1.095144,0.617866,0.891138,0.070406,0.066813,0.276092
0.020000,1.584942,1.100068,0.635717,0.892574,0.071780,0.068703,0.282744
0.020000,1.602096,1.105113,0.653598,0.894030,0.072784,0.050236,0.289306
0.020000,1.619245,1.110278,0.671508,0.895508,0.073902,0.055886,0.295776
0.020000,1.636390,1.115562,0.689448,0.897008,0.075018,0.055774,0.302153
0.020000,1.653529,1.120964,0.707419,0.898528,0.075999,0.049089,0.308436
0.020000,1.670664,1.126482,0.725420,0.900065,0.076848,0.042459,0.314623
0.020000,1.687794,1.132114,0.743452,0.901619,0.077717,0.043404,0.320715
0.020000,1.704920,1.137860,0.761516,0.903191,0.078602,0.044255,0.326709
0.020000,1.722041,1.143718,0.779612,0.904777,0.079258,0.032808,0.332605
0.020000,1.739158,1.149687,0.797739,0.906375,0.079945,0.034376,0.338402
0.020000,1.756270,1.155765,0.815899,0.907988,0.080607,0.033063,0.344100
0.020000,1.773379,1.161950,0.834091,0.909611,0.081179,0.028608,0.349697
0.020000,1.790483,1.168241,0.852316,0.911245,0.081683,0.025227,0.355192
0.020000,1.807584,1.174637,0.870574,0.912888,0.082169,0.024290,0.360586
0.020000,1.824681,1.181136,0.888865,0.914540,0.082609,0.021993,0.365877
0.020000,1.841775,1.187736,0.907189,0.916200,0.082978,0.018445,0.371066
0.020000,1.858866,1.194436,0.925546,0.917866,0.083325,0.017372,0.376152
0.020000,1.875954,1.201235,0.943937,0.919539,0.083617,0.014570,0.381134
0.020000,1.893040,1.208130,0.962361,0.921216,0.083876,0.012950,0.386012
0.020000,1.910123,1.215120,0.980819,0.922898,0.084107,0.011592,0.390786
0.020000,1.927204,1.222204,0.999311,0.924584,0.084288,0.009028,0.395456
0.020000,1.944283,1.229380,1.017836,0.926273,0.084416,0.006381,0.400021
0.020000,1.961361,1.236646,1.036395,0.927964,0.084568,0.007602,0.404481
0.020000,1.978438,1.244000,1.054989,0.929657,0.084662,0.004716,0.408837
0.020000,1.995514,1.251442,1.073616,0.931351,0.084677,0.000740,0.413087
0.020000,2.012589,1.258968,1.092276,0.933046,0.084746,0.003479,0.417233
0.020000,2.029665,1.266579,1.110971,0.934741,0.084773,0.001319,0.421274
0.020000,2.046741,1.274271,1.129700,0.936436,0.084741,-0.001586,0.425210
0.020000,2.063818,1.282044,1.148463,0.938129,0.084680,-0.003059,0.429041
0.020000,2.080896,1.289895,1.167259,0.939823,0.084680,0.000002,0.432767
0.020000,2.097976,1.297823,1.186089,0.941515,0.084613,-0.003335,0.436388
0.020000,2.115058,1.305827,1.204953,0.943205,0.084467,-0.007314,0.439905
0.020000,2.132143,1.313904,1.223851,0.944893,0.084411,-0.002820,0.443317
0.020000,2.149231,1.322053,1.242783,0.946579,0.084319,-0.004571,0.446625
0.020000,2.166323,1.330272,1.261748,0.948263,0.084184,-0.006735,0.449828
0.020000,2.183419,1.338560,1.280747,0.949943,0.083992,-0.009614,0.452928
0.020000,2.200520,1.346914,1.299779,0.951621,0.083923,-0.003462,0.455923
0.020000,2.217626,1.355333,1.318845,0.953297,0.083775,-0.007419,0.458815
0.020000,2.234738,1.363816,1.337945,0.954968,0.083582,-0.009616,0.461604
0.020000,2.251857,1.372361,1.357077,0.956637,0.083416,-0.008331,0.464288
0.020000,2.268983,1.380965,1.376244,0.958303,0.083298,-0.005875,0.466870
0.020000,2.286117,1.389628,1.395443,0.959965,0.083132,-0.008305,0.469349
0.020000,2.303259,1.398348,1.414675,0.961624,0.082912,-0.010992,0.471726
0.020000,2.320410,1.407122,1.433941,0.963279,0.082773,-0.006953,0.473999
0.020000,2.337572,1.415950,1.453240,0.964932,0.082631,-0.007111,0.476171
0.020000,2.354744,1.424829,1.472571,0.966581,0.082464,-0.008341,0.478240
0.020000,2.371927,1.433758,1.491936,0.968226,0.082244,-0.010994,0.480207
0.020000,2.389122,1.442735,1.511333,0.969868,0.082129,-0.005780,0.482073
0.020000,2.406329,1.451758,1.530763,0.971508,0.081984,-0.007231,0.483837
0.020000,2.423551,1.460827,1.550226,0.973145,0.081830,-0.007687,0.485500
0.020000,2.440786,1.469938,1.569722,0.974777,0.081633,-0.009870,0.487062
0.020000,2.458037,1.479090,1.589250,0.976408,0.081536,-0.004833,0.488523
0.020000,2.475303,1.488283,1.608811,0.978036,0.081408,-0.006425,0.489883
0.020000,2.492586,1.497513,1.628404,0.979662,0.081278,-0.006492,0.491142
0.020000,2.509886,1.506779,1.648029,0.981284,0.081119,-0.007935,0.492301
0.020000,2.527205,1.516080,1.667688,0.982905,0.081040,-0.003958,0.493359
0.020000,2.544543,1.525413,1.687378,0.984524,0.080941,-0.004959,0.494318
0.020000,2.561901,1.534778,1.707101,0.986141,0.080843,-0.004892,0.495176
0.020000,2.579279,1.544172,1.726856,0.987755,0.080733,-0.005518,0.495934
0.020000,2.596679,1.553594,1.746643,0.989369,0.080674,-0.002925,0.496592
0.020000,2.614102,1.563042,1.766463,0.990981,0.080612,-0.003127,0.497151
0.020000,2.631549,1.572514,1.786315,0.992592,0.080551,-0.003016,0.497610
0.020000,2.649020,1.582008,1.806199,0.994202,0.080493,-0.002919,0.497969
0.020000,2.666516,1.591523,1.826115,0.995811,0.080462,-0.001525,0.498228
0.020000,2.684038,1.601058,1.846063,0.997420,0.080438,-0.001203,0.498388
0.020000,2.701588,1.610609,1.866044,0.999028,0.080419,-0.000980,0.498448
0.020000,2.719166,1.620176,1.886057,1.000636,0.080411,-0.000372,0.498408
0.020000,2.736773,1.629757,1.906102,1.002245,0.080418,0.000353,0.498269
0.020000,2.754410,1.639350,1.926179,1.003853,0.080430,0.000592,0.498031
0.020000,2.772078,1.648954,1.946288,1.005462,0.080452,0.001102,0.497693
0.020000,2.789778,1.658565,1.966429,1.007072,0.080491,0.001965,0.497255
0.020000,2.807511,1.668184,1.986603,1.008683,0.080545,0.002676,0.496717
0.020000,2.825278,1.677807,2.006809,1.010295,0.080587,0.002115,0.496080
0.020000,2.843080,1.687434,2.027047,1.011908,0.080650,0.003120,0.495342
0.020000,2.860918,1.697062,2.047318,1.013523,0.080730,0.004024,0.494505
0.020000,2.878793,1.706689,2.067620,1.015139,0.080835,0.005240,0.493568
0.020000,2.896706,1.716314,2.087955,1.016757,0.080901,0.003305,0.492530
0.020000,2.914658,1.725935,2.108323,1.018377,0.081000,0.004961,0.491392
0.020000,2.932650,1.735550,2.128723,1.020000,0.081116,0.005806,0.490154
0.020000,2.950683,1.745157,2.149155,1.021625,0.081270,0.007682,0.488815
0.020000,2.968758,1.754754,2.169621,1.023252,0.081354,0.004177,0.487375
0.020000,2.986877,1.764339,2.190118,1.024882,0.081484,0.006508,0.485834
0.020000,3.005039,1.773911,2.210648,1.026514,0.081631,0.007359,0.484192
0.020000,3.023247,1.783467,2.231211,1.028151,0.081821,0.009524,0.482449
0.020000,3.041500,1.793006,2.251807,1.029789,0.081917,0.004798,0.480605
0.020000,3.059801,1.802525,2.272436,1.031431,0.082070,0.007637,0.478659
0.020000,3.078150,1.812023,2.293097,1.033075,0.082245,0.008731,0.476611
0.020000,3.096549,1.821498,2.313792,1.034724,0.082450,0.010248,0.474461
0.020000,3.114997,1.830946,2.334519,1.036376,0.082555,0.005245,0.472208
0.020000,3.133497,1.840368,2.355280,1.038030,0.082719,0.008213,0.469853
0.020000,3.152049,1.849760,2.376074,1.039688,0.082917,0.009916,0.467396
0.020000,3.170654,1.859120,2.396901,1.041350,0.083105,0.009393,0.464835
0.020000,3.189313,1.868446,2.417761,1.043015,0.083216,0.005561,0.462172
0.020000,3.208028,1.877737,2.438655,1.044682,0.083378,0.008090,0.459405
0.020000,3.226798,1.886990,2.459582,1.046354,0.083594,0.010798,0.456535
0.020000,3.245626,1.896202,2.480542,1.048029,0.083728,0.006676,0.453561
0.020000,3.264511,1.905372,2.501536,1.049705,0.083841,0.005691,0.450483
0.020000,3.283456,1.914498,2.522564,1.051385,0.083984,0.007114,0.447302
0.020000,3.302460,1.923576,2.543626,1.053069,0.084205,0.011089,0.444016
0.020000,3.321525,1.932606,2.564721,1.054754,0.084248,0.002114,0.440625
0.020000,3.340651,1.941584,2.585849,1.056441,0.084356,0.005425,0.437130
0.020000,3.359840,1.950509,2.607012,1.058131,0.084489,0.006620,0.433531
0.020000,3.379092,1.959378,2.628209,1.059823,0.084604,0.005784,0.429827
0.020000,3.398407,1.968188,2.649439,1.061516,0.084617,0.000635,0.426017
0.020000,3.417788,1.976938,2.670703,1.063209,0.084674,0.002849,0.422104
0.020000,3.437234,1.985624,2.692001,1.064905,0.084775,0.005063,0.418085
0.020000,3.456747,1.994245,2.713333,1.066599,0.084741,-0.001728,0.413961
0.020000,3.476326,2.002798,2.734699,1.068294,0.084721,-0.000971,0.409732
0.020000,3.495973,2.011281,2.756099,1.069988,0.084715,-0.000292,0.405398
0.020000,3.515688,2.019690,2.777532,1.071682,0.084679,-0.001800,0.400960
0.020000,3.535471,2.028024,2.799000,1.073373,0.084554,-0.006280,0.396417
0.020000,3.555324,2.036280,2.820501,1.075062,0.084446,-0.005377,0.391769
0.020000,3.575247,2.044456,2.842036,1.076748,0.084340,-0.005326,0.387016
0.020000,3.595240,2.052548,2.863605,1.078431,0.084127,-0.010643,0.382160
0.020000,3.615304,2.060554,2.885207,1.080109,0.083916,-0.010547,0.377199
0.020000,3.635439,2.068472,2.906843,1.081783,0.083677,-0.011932,0.372135
0.020000,3.655645,2.076299,2.928512,1.083451,0.083383,-0.014741,0.366968
0.020000,3.675922,2.084032,2.950214,1.085112,0.083052,-0.016544,0.361698
0.020000,3.696272,2.091669,2.971949,1.086765,0.082686,-0.018302,0.356325
0.020000,3.716693,2.099207,2.993717,1.088410,0.082241,-0.022204,0.350851
0.020000,3.737187,2.106643,3.015518,1.090046,0.081800,-0.022071,0.345275
0.020000,3.757753,2.113974,3.037352,1.091672,0.081296,-0.025180,0.339599
0.020000,3.778390,2.121199,3.059217,1.093286,0.080690,-0.030321,0.333823
0.020000,3.799100,2.128313,3.081115,1.094888,0.080086,-0.030198,0.327947
0.020000,3.819882,2.135315,3.103045,1.096477,0.079449,-0.031838,0.321973
0.020000,3.839218,2.141725,3.123415,1.018539,-3.896856,-198.815263,0.318308
0.020000,3.859434,2.148343,3.144687,1.063588,2.252449,307.465225,0.314371
0.020000,3.879743,2.154900,3.166028,1.067051,0.173135,-103.965687,0.310219
0.020000,3.900146,2.161391,3.187439,1.070528,0.173850,0.035750,0.305852
0.020000,3.920644,2.167813,3.208919,1.074019,0.174527,0.033878,0.301269
