dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.958215,0.360935,0.000196,0.019608,0.980392,49.019608,6.281638
0.020000,0.958287,0.360934,0.000268,0.003617,-0.799563,-88.997774,6.281862
0.020000,0.958450,0.360934,0.000431,0.008135,0.225923,51.274297,6.282366
0.020000,0.958790,0.360934,0.000771,0.016993,0.442902,10.848990,0.000020
0.020000,0.963287,0.360937,0.005268,0.224854,10.393041,497.506929,0.001194
0.020000,0.969068,0.360948,0.011049,0.289068,3.210693,-359.117401,0.002702
0.020000,0.976133,0.360974,0.018115,0.353272,3.210200,-0.024671,0.004544
0.020000,0.984483,0.361021,0.026464,0.417473,3.210060,-0.006989,0.006719
0.020000,0.994115,0.361098,0.036097,0.481646,3.208650,-0.070495,0.009224
0.020000,1.005031,0.361214,0.047013,0.545800,3.207699,-0.047533,0.012060
0.020000,1.017228,0.361380,0.059212,0.609917,3.205869,-0.091513,0.015224
0.020000,1.030706,0.361609,0.072692,0.674002,3.204243,-0.081312,0.018714
0.020000,1.045464,0.361913,0.087453,0.738056,3.202671,-0.078600,0.022527
0.020000,1.061500,0.362308,0.103494,0.802064,3.200400,-0.113513,0.026661
0.020000,1.078814,0.362808,0.120814,0.866025,3.198084,-0.115816,0.031114
0.020000,1.097402,0.363431,0.139413,0.929920,3.194751,-0.166673,0.035880
0.020000,1.117262,0.364194,0.159288,0.993749,3.191424,-0.166312,0.040957
0.020000,1.138179,0.365107,0.180225,1.046855,2.655332,-26.804621,0.046286
0.020000,1.159723,0.366164,0.201795,1.078497,1.582074,-53.662900,0.051755
0.020000,1.181467,0.367351,0.223571,1.088787,0.514526,-53.377402,0.057252
0.020000,1.203194,0.368656,0.245338,1.088352,-0.021789,-26.815742,0.062723
0.020000,1.224906,0.370079,0.267096,1.087912,-0.021966,-0.008839,0.068167
0.020000,1.246601,0.371619,0.288845,1.087468,-0.022197,-0.011571,0.073582
0.020000,1.268277,0.373276,0.310585,1.086990,-0.023908,-0.085547,0.078969
0.020000,1.289935,0.375048,0.332316,1.086521,-0.023446,0.023097,0.084326
0.020000,1.311574,0.376935,0.354036,1.086025,-0.024806,-0.067995,0.089653
0.020000,1.333192,0.378936,0.375746,1.085511,-0.025731,-0.046263,0.094948
0.020000,1.354789,0.381050,0.397446,1.085007,-0.025154,0.028881,0.100212
0.020000,1.376363,0.383277,0.419136,1.084467,-0.027015,-0.093069,0.105442
0.020000,1.397915,0.385614,0.440814,1.083922,-0.027236,-0.011027,0.110639
0.020000,1.419444,0.388062,0.462482,1.083375,-0.027351,-0.005797,0.115801
0.020000,1.440949,0.390620,0.484138,1.082801,-0.028707,-0.067797,0.120928
0.020000,1.462428,0.393286,0.505782,1.082226,-0.028765,-0.002905,0.126020
0.020000,1.483883,0.396059,0.527415,1.081641,-0.029270,-0.025246,0.131075
0.020000,1.505311,0.398939,0.549036,1.081035,-0.030282,-0.050557,0.136093
0.020000,1.526712,0.401924,0.570644,1.080430,-0.030271,0.000547,0.141073
0.020000,1.548086,0.405013,0.592241,1.079811,-0.030949,-0.033909,0.146015
0.020000,1.569432,0.408206,0.613824,1.079176,-0.031731,-0.039115,0.150918
0.020000,1.590750,0.411501,0.635395,1.078542,-0.031711,0.000983,0.155781
0.020000,1.612039,0.414897,0.656953,1.077893,-0.032419,-0.035364,0.160604
0.020000,1.633298,0.418393,0.678497,1.077232,-0.033052,-0.031670,0.165387
0.020000,1.654527,0.421988,0.700029,1.076571,-0.033058,-0.000315,0.170128
0.020000,1.675726,0.425681,0.721547,1.075897,-0.033707,-0.032421,0.174827
0.020000,1.696893,0.429471,0.743051,1.075212,-0.034243,-0.026810,0.179485
0.020000,1.718030,0.433357,0.764542,1.074526,-0.034291,-0.002385,0.184099
0.020000,1.739134,0.437336,0.786018,1.073830,-0.034835,-0.027220,0.188671
0.020000,1.760207,0.441410,0.807481,1.073124,-0.035304,-0.023459,0.193199
0.020000,1.781247,0.445575,0.828929,1.072416,-0.035395,-0.004538,0.197683
0.020000,1.802254,0.449831,0.850363,1.071699,-0.035822,-0.021329,0.202122
0.020000,1.823228,0.454177,0.871782,1.070974,-0.036238,-0.020828,0.206517
0.020000,1.844168,0.458612,0.893187,1.070247,-0.036364,-0.006314,0.210867
0.020000,1.865075,0.463134,0.914578,1.069514,-0.036681,-0.015832,0.215171
0.020000,1.885948,0.467743,0.935953,1.068773,-0.037048,-0.018369,0.219430
0.020000,1.906786,0.472436,0.957314,1.068029,-0.037197,-0.007439,0.223642
0.020000,1.927590,0.477214,0.978659,1.067280,-0.037426,-0.011417,0.227808
0.020000,1.948360,0.482074,0.999990,1.066525,-0.037740,-0.015736,0.231927
0.020000,1.969094,0.487016,1.021305,1.065767,-0.037896,-0.007784,0.236000
0.020000,1.989794,0.492038,1.042605,1.065006,-0.038065,-0.008452,0.240025
0.020000,2.010458,0.497139,1.063890,1.064240,-0.038320,-0.012739,0.244003
0.020000,2.031088,0.502318,1.085159,1.063470,-0.038467,-0.007337,0.247933
0.020000,2.051682,0.507574,1.106413,1.062698,-0.038608,-0.007059,0.251815
0.020000,2.072240,0.512905,1.127652,1.061922,-0.038794,-0.009313,0.255649
0.020000,2.092763,0.518311,1.148875,1.061144,-0.038917,-0.006164,0.259435
0.020000,2.113250,0.523790,1.170082,1.060363,-0.039061,-0.007171,0.263173
0.020000,2.133702,0.529340,1.191274,1.059579,-0.039170,-0.005487,0.266862
0.020000,2.154118,0.534962,1.212449,1.058794,-0.039264,-0.004672,0.270503
0.020000,2.174498,0.540653,1.233610,1.058006,-0.039419,-0.007751,0.274094
0.020000,2.194843,0.546412,1.254754,1.057216,-0.039463,-0.002193,0.277637
0.020000,2.215153,0.552239,1.275882,1.056426,-0.039524,-0.003056,0.281131
0.020000,2.235426,0.558131,1.296995,1.055632,-0.039675,-0.007564,0.284576
0.020000,2.255664,0.564089,1.318092,1.054839,-0.039685,-0.000518,0.287972
0.020000,2.275867,0.570110,1.339173,1.054045,-0.039705,-0.000978,0.291318
0.020000,2.296035,0.576193,1.360238,1.053248,-0.039843,-0.006877,0.294615
0.020000,2.316167,0.582338,1.381287,1.052451,-0.039843,-0.000026,0.297863
0.020000,2.336264,0.588543,1.402320,1.051655,-0.039816,0.001365,0.301061
0.020000,2.356326,0.594807,1.423337,1.050856,-0.039933,-0.005875,0.304210
0.020000,2.376353,0.601129,1.444338,1.050057,-0.039940,-0.000352,0.307310
0.020000,2.396345,0.607507,1.465323,1.049260,-0.039864,0.003800,0.310360
0.020000,2.416303,0.613941,1.486292,1.048461,-0.039959,-0.004732,0.313361
0.020000,2.436226,0.620430,1.507246,1.047661,-0.039982,-0.001149,0.316312
0.020000,2.456115,0.626972,1.528183,1.046864,-0.039859,0.006163,0.319214
0.020000,2.475970,0.633565,1.549104,1.046065,-0.039931,-0.003601,0.322066
0.020000,2.495791,0.640210,1.570010,1.045266,-0.039973,-0.002107,0.324869
0.020000,2.515579,0.646905,1.590899,1.044470,-0.039807,0.008308,0.327623
0.020000,2.535333,0.653649,1.611772,1.043672,-0.039859,-0.002607,0.330327
0.020000,2.555054,0.660440,1.632630,1.042874,-0.039918,-0.002962,0.332982
0.020000,2.574741,0.667279,1.653471,1.042080,-0.039716,0.010116,0.335587
0.020000,2.594397,0.674162,1.674297,1.041285,-0.039753,-0.001844,0.338143
0.020000,2.614019,0.681090,1.695107,1.040488,-0.039823,-0.003510,0.340651
0.020000,2.633610,0.688062,1.715901,1.039696,-0.039593,0.011495,0.343109
0.020000,2.653168,0.695075,1.736679,1.038904,-0.039620,-0.001377,0.345517
0.020000,2.672695,0.702130,1.757441,1.038110,-0.039693,-0.003603,0.347877
0.020000,2.692191,0.709225,1.778188,1.037321,-0.039445,0.012385,0.350188
0.020000,2.711655,0.716360,1.798918,1.036532,-0.039470,-0.001240,0.352450
0.020000,2.731088,0.723532,1.819633,1.035741,-0.039533,-0.003157,0.354663
0.020000,2.750492,0.730741,1.840332,1.034956,-0.039278,0.012757,0.356828
0.020000,2.769864,0.737987,1.861016,1.034170,-0.039306,-0.001437,0.358943
0.020000,2.789207,0.745267,1.881683,1.033383,-0.039349,-0.002144,0.361011
0.020000,2.808521,0.752581,1.902335,1.032601,-0.039097,0.012610,0.363029
0.020000,2.827805,0.759928,1.922972,1.031818,-0.039136,-0.001945,0.364999
0.020000,2.847060,0.767308,1.943592,1.031035,-0.039148,-0.000590,0.366921
0.020000,2.866287,0.774718,1.964197,1.030257,-0.038908,0.011971,0.368795
0.020000,2.885485,0.782158,1.984787,1.029478,-0.038963,-0.002719,0.370620
0.020000,2.904655,0.789626,2.005361,1.028699,-0.038934,0.001432,0.372397
0.020000,2.923798,0.797123,2.025919,1.027924,-0.038716,0.010891,0.374126
0.020000,2.942914,0.804647,2.046462,1.027149,-0.038790,-0.003694,0.375807
0.020000,2.962003,0.812197,2.066990,1.026374,-0.038714,0.003806,0.377440
0.020000,2.981065,0.819771,2.087502,1.025604,-0.038525,0.009444,0.379025
0.020000,3.000101,0.827370,2.107999,1.024831,-0.038621,-0.004788,0.380563
0.020000,3.019111,0.834992,2.128480,1.024062,-0.038493,0.006387,0.382053
0.020000,3.038096,0.842636,2.148946,1.023295,-0.038339,0.007716,0.383495
0.020000,3.057056,0.850301,2.169396,1.022526,-0.038457,-0.005913,0.384890
0.020000,3.075990,0.857987,2.189831,1.021760,-0.038277,0.009004,0.386237
0.020000,3.094901,0.865691,2.210251,1.020997,-0.038161,0.005809,0.387537
0.020000,3.113788,0.873414,2.230656,1.020231,-0.038300,-0.006969,0.388790
0.020000,3.132651,0.881155,2.251045,1.019470,-0.038071,0.011474,0.389996
0.020000,3.151490,0.888912,2.271420,1.018710,-0.038001,0.003512,0.391154
0.020000,3.170307,0.896684,2.291779,1.017947,-0.038139,-0.006906,0.392266
0.020000,3.189102,0.904471,2.312122,1.017189,-0.037886,0.012654,0.393330
0.020000,3.207874,0.912272,2.332451,1.016431,-0.037878,0.000405,0.394347
0.020000,3.226625,0.920086,2.352764,1.015673,-0.037939,-0.003075,0.395318
0.020000,3.245354,0.927912,2.373063,1.014918,-0.037743,0.009802,0.396241
0.020000,3.264062,0.935748,2.393346,1.014163,-0.037765,-0.001104,0.397118
0.020000,3.282750,0.943595,2.413614,1.013407,-0.037760,0.000268,0.397949
0.020000,3.301417,0.951451,2.433867,1.012655,-0.037618,0.007089,0.398732
0.020000,3.320064,0.959315,2.454105,1.011902,-0.037663,-0.002266,0.399469
0.020000,3.338692,0.967187,2.474328,1.011150,-0.037605,0.002929,0.400159
0.020000,3.357301,0.975066,2.494536,1.010399,-0.037512,0.004628,0.400803
0.020000,3.375892,0.982950,2.514729,1.009648,-0.037572,-0.002998,0.401401
0.020000,3.394464,0.990839,2.534907,1.008898,-0.037477,0.004740,0.401952
0.020000,3.413018,0.998731,2.555070,1.008150,-0.037427,0.002518,0.402456
0.020000,3.431554,1.006627,2.575218,1.007400,-0.037491,-0.003229,0.402915
0.020000,3.450073,1.014525,2.595351,1.006652,-0.037380,0.005559,0.403326
0.020000,3.468575,1.022425,2.615469,1.005905,-0.037374,0.000313,0.403692
0.020000,3.487061,1.030325,2.635572,1.005157,-0.037400,-0.001300,0.404011
0.020000,3.505531,1.038224,2.655661,1.004410,-0.037327,0.003671,0.404284
0.020000,3.523985,1.046122,2.675734,1.003664,-0.037337,-0.000524,0.404511
0.020000,3.542424,1.054018,2.695792,1.002917,-0.037332,0.000247,0.404692
0.020000,3.560848,1.061911,2.715836,1.002171,-0.037301,0.001580,0.404826
0.020000,3.579257,1.069801,2.735864,1.001425,-0.037311,-0.000528,0.404915
0.020000,3.597652,1.077685,2.755878,1.000679,-0.037299,0.000619,0.404957
0.020000,3.616033,1.085564,2.775876,0.999933,-0.037297,0.000061,0.404952
0.020000,3.634401,1.093437,2.795860,0.999187,-0.037296,0.000070,0.404902
0.020000,3.652755,1.101303,2.815829,0.998441,-0.037300,-0.000214,0.404806
0.020000,3.671097,1.109160,2.835783,0.997695,-0.037317,-0.000842,0.404663
0.020000,3.689427,1.117009,2.855722,0.996949,-0.037293,0.001224,0.404474
0.020000,3.707744,1.124847,2.875646,0.996202,-0.037337,-0.002201,0.404239
0.020000,3.726049,1.132675,2.895555,0.995455,-0.037347,-0.000505,0.403957
0.020000,3.744344,1.140492,2.915449,0.994709,-0.037326,0.001018,0.403630
0.020000,3.762627,1.148296,2.935328,0.993961,-0.037395,-0.003402,0.403256
0.020000,3.780899,1.156088,2.955193,0.993213,-0.037388,0.000344,0.402835
0.020000,3.799161,1.163865,2.975042,0.992465,-0.037394,-0.000327,0.402369
0.020000,3.817414,1.171628,2.994876,0.991716,-0.037474,-0.003994,0.401856
0.020000,3.835656,1.179374,3.014696,0.990967,-0.037440,0.001708,0.401297
0.020000,3.853890,1.187105,3.034500,0.990217,-0.037494,-0.002715,0.400691
0.020000,3.872114,1.194818,3.054289,0.989465,-0.037574,-0.004010,0.400038
0.020000,3.890330,1.202513,3.074064,0.988715,-0.037504,0.003521,0.399340
0.020000,3.908537,1.210189,3.093823,0.987963,-0.037624,-0.006013,0.398594
0.020000,3.926736,1.217845,3.113567,0.987209,-0.037692,-0.003366,0.397802
0.020000,3.944928,1.225480,3.133296,0.986457,-0.037586,0.005301,0.396964
0.020000,3.963113,1.233094,3.153010,0.985702,-0.037779,-0.009661,0.396078
0.020000,3.981290,1.240685,3.172709,0.984946,-0.037798,-0.000945,0.395146
0.020000,3.999461,1.248254,3.192393,0.984191,-0.037738,0.002998,0.394167
0.020000,4.017625,1.255798,3.212062,0.983432,-0.037928,-0.009514,0.393142
0.020000,4.035783,1.263317,3.231715,0.982674,-0.037915,0.000653,0.392069
0.020000,4.053935,1.270811,3.251353,0.981916,-0.037913,0.000116,0.390949
0.020000,4.072082,1.278278,3.270976,0.981154,-0.038092,-0.008969,0.389782
0.020000,4.090224,1.285718,3.290584,0.980393,-0.038043,0.002438,0.388568
0.020000,4.108360,1.293130,3.310177,0.979631,-0.038106,-0.003148,0.387307
0.020000,4.126492,1.300512,3.329754,0.978866,-0.038268,-0.008111,0.385998
0.020000,4.144620,1.307865,3.349316,0.978102,-0.038182,0.004309,0.384642
0.020000,4.162744,1.315187,3.368863,0.977336,-0.038314,-0.006588,0.383239
0.020000,4.180863,1.322477,3.388394,0.976567,-0.038455,-0.007029,0.381788
0.020000,4.198980,1.329735,3.407910,0.975800,-0.038331,0.006165,0.380289
0.020000,4.217093,1.336959,3.427411,0.975029,-0.038531,-0.009995,0.378743
0.020000,4.235203,1.344149,3.446896,0.974256,-0.038647,-0.005814,0.377149
0.020000,4.253310,1.351305,3.466366,0.973487,-0.038489,0.007910,0.375508
0.020000,4.271414,1.358424,3.485820,0.972712,-0.038753,-0.013166,0.373818
0.020000,4.289517,1.365507,3.505259,0.971935,-0.038844,-0.004552,0.372080
0.020000,4.307617,1.372552,3.524682,0.971162,-0.038654,0.009457,0.370294
0.020000,4.325716,1.379559,3.544090,0.970382,-0.038973,-0.015916,0.368461
0.020000,4.343813,1.386527,3.563482,0.969602,-0.039020,-0.002341,0.366578
0.020000,4.361909,1.393455,3.582858,0.968825,-0.038864,0.007780,0.364648
0.020000,4.380003,1.400341,3.602219,0.968041,-0.039167,-0.015129,0.362669
0.020000,4.398097,1.407186,3.621564,0.967257,-0.039196,-0.001454,0.360642
0.020000,4.416190,1.413988,3.640894,0.966476,-0.039066,0.006484,0.358566
0.020000,4.434283,1.420747,3.660207,0.965689,-0.039353,-0.014334,0.356441
0.020000,4.452375,1.427461,3.679505,0.964902,-0.039368,-0.000768,0.354268
0.020000,4.470467,1.434130,3.698788,0.964116,-0.039255,0.005660,0.352046
0.020000,4.488560,1.440753,3.718054,0.963326,-0.039526,-0.013566,0.349775
0.020000,4.506652,1.447329,3.737305,0.962535,-0.039532,-0.000296,0.347456
0.020000,4.524746,1.453858,3.756540,0.961747,-0.039425,0.005357,0.345087
0.020000,4.542840,1.460337,3.775759,0.960953,-0.039682,-0.012836,0.342669
0.020000,4.560934,1.466767,3.794962,0.960160,-0.039682,-0.000029,0.340202
0.020000,4.579030,1.473147,3.814149,0.959368,-0.039571,0.005575,0.337686
0.020000,4.597127,1.479475,3.833321,0.958572,-0.039813,-0.012132,0.335121
0.020000,4.615225,1.485752,3.852476,0.957776,-0.039812,0.000070,0.332507
0.020000,4.633324,1.491975,3.871616,0.956982,-0.039687,0.006264,0.329843
0.020000,4.651425,1.498145,3.890740,0.956184,-0.039915,-0.011418,0.327130
0.020000,4.669528,1.504260,3.909847,0.955385,-0.039914,0.000064,0.324368
0.020000,4.687633,1.510319,3.928939,0.954590,-0.039767,0.007320,0.321556
0.020000,4.705740,1.516322,3.948015,0.953790,-0.039980,-0.010630,0.318695
0.020000,4.723848,1.522268,3.967075,0.952991,-0.039979,0.000041,0.315784
0.020000,4.741959,1.528155,3.986119,0.952195,-0.039807,0.008585,0.312824
0.020000,4.760073,1.533984,4.005147,0.951395,-0.040001,-0.009678,0.309814
0.020000,4.778188,1.539753,4.024159,0.950595,-0.039991,0.000488,0.306755
0.020000,4.796306,1.545461,4.043155,0.949798,-0.039816,0.008737,0.303647
0.020000,4.814427,1.551107,4.062135,0.948999,-0.039963,-0.007335,0.300489
0.020000,4.832550,1.556691,4.081099,0.948200,-0.039941,0.001111,0.297281
0.020000,4.850676,1.562212,4.100047,0.947405,-0.039787,0.007693,0.294025
0.020000,4.868805,1.567669,4.118979,0.946607,-0.039860,-0.003635,0.290719
