dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.700453,4.160000,0.000040,0.003968,0.198413,9.920635,3.140177
0.020000,4.700430,4.160000,0.000063,0.001176,-0.139608,-16.901010,3.140250
0.020000,4.700377,4.160000,0.000116,0.002647,0.073525,10.656628,3.140416
0.020000,4.700283,4.160000,0.000210,0.004706,0.102987,1.473098,3.140710
0.020000,4.700135,4.160000,0.000357,0.007357,0.132529,1.477081,3.141169
0.020000,4.699407,4.160000,0.001086,0.036420,1.453154,66.031277,3.141832
0.020000,4.697173,4.159998,0.003319,0.111676,3.762811,115.482822,3.142735
0.020000,4.694255,4.159993,0.006237,0.145908,1.711612,-102.559913,3.143918
0.020000,4.690561,4.159982,0.009932,0.184720,1.940563,11.447515,3.145418
0.020000,4.685998,4.159960,0.014495,0.228133,2.170676,11.505678,3.147277
0.020000,4.680474,4.159923,0.020019,0.276240,2.405342,11.733293,3.149536
0.020000,4.673895,4.159862,0.026598,0.328937,2.634847,11.475228,3.152237
0.020000,4.666169,4.159767,0.034325,0.386351,2.870693,11.792340,3.155427
0.020000,4.657200,4.159626,0.043294,0.448469,3.105883,11.759460,3.159151
0.020000,4.646895,4.159423,0.053602,0.515385,3.345828,11.997281,3.163462
0.020000,4.635201,4.159138,0.065299,0.584844,3.472961,6.356658,3.168391
0.020000,4.622117,4.158751,0.078389,0.654514,3.483488,0.526338,3.173957
0.020000,4.607635,4.158237,0.092880,0.724551,3.501858,0.918469,3.180178
0.020000,4.591751,4.157569,0.108778,0.794888,3.516823,0.748297,3.187077
0.020000,4.574459,4.156717,0.126091,0.865639,3.537585,1.038052,3.194677
0.020000,4.555754,4.155645,0.144827,0.936817,3.558882,1.064857,3.203004
0.020000,4.535629,4.154316,0.164996,1.008417,3.580002,1.056009,3.212087
0.020000,4.514080,4.152688,0.186606,1.080542,3.606255,1.312654,3.221957
0.020000,4.491101,4.150714,0.209670,1.153188,3.632313,1.302885,3.232648
0.020000,4.466687,4.148343,0.234198,1.226406,3.660885,1.428637,3.244195
0.020000,4.440836,4.145519,0.260203,1.300243,3.691835,1.547477,3.256636
0.020000,4.413546,4.142181,0.287697,1.374699,3.722812,1.548839,3.270011
0.020000,4.384815,4.138261,0.316694,1.449843,3.757214,1.720137,3.284362
0.020000,4.354647,4.133689,0.347207,1.525646,3.790141,1.646333,3.299731
0.020000,4.323045,4.128383,0.379251,1.602180,3.826708,1.828330,3.316163
0.020000,4.290021,4.122261,0.412838,1.679374,3.859702,1.649694,3.333700
0.020000,4.255585,4.115229,0.447984,1.757289,3.895738,1.801842,3.352387
0.020000,4.219759,4.107191,0.484701,1.835864,3.928758,1.650985,3.372263
0.020000,4.182567,4.098043,0.523001,1.914998,3.956662,1.395172,3.393367
0.020000,4.144045,4.087675,0.562894,1.994665,3.983394,1.336622,3.415729
0.020000,4.104235,4.075971,0.604389,2.074740,4.003706,1.015607,3.439377
0.020000,4.063191,4.062813,0.647490,2.155061,4.016085,0.618939,3.464325
0.020000,4.020980,4.048080,0.692199,2.235437,4.018790,0.135259,3.490577
0.020000,3.977680,4.031646,0.738512,2.315660,4.011159,-0.381530,3.518122
0.020000,3.933386,4.013392,0.786421,2.395412,3.987568,-1.179583,3.546933
0.020000,3.888206,3.993197,0.835909,2.474404,3.949616,-1.897602,3.576961
0.020000,3.842263,3.970951,0.886954,2.552264,3.892982,-2.831671,3.608136
0.020000,3.795739,3.946574,0.939477,2.626161,3.694878,-9.905199,3.640334
0.020000,3.748869,3.920032,0.993341,2.693206,3.352270,-17.130406,3.673374
0.020000,3.701889,3.891316,1.048403,2.753066,2.992964,-17.965297,3.707056
0.020000,3.655034,3.860448,1.104512,2.805451,2.619257,-18.685355,3.741161
0.020000,3.608533,3.827478,1.161515,2.850166,2.235743,-19.175731,3.775456
0.020000,3.562601,3.792485,1.219258,2.887137,1.848567,-19.358780,3.809705
0.020000,3.517436,3.755576,1.277586,2.916407,1.463487,-19.254009,3.843676
0.020000,3.473215,3.716878,1.336348,2.938124,1.085866,-18.881058,3.877144
0.020000,3.430089,3.676540,1.395399,2.952554,0.721484,-18.219084,3.909901
0.020000,3.388182,3.634724,1.454600,2.960042,0.374401,-17.354138,3.941762
0.020000,3.347594,3.591601,1.513820,2.960989,0.047378,-16.351169,3.972565
0.020000,3.308395,3.547349,1.572937,2.955849,-0.257006,-15.219173,4.002178
0.020000,3.270633,3.502145,1.631838,2.945058,-0.539577,-14.128565,4.030497
0.020000,3.234332,3.456167,1.690420,2.929073,-0.799260,-12.984158,4.057443
0.020000,3.199498,3.409585,1.748585,2.908283,-1.039464,-12.010211,4.082966
0.020000,3.166097,3.362527,1.806292,2.885359,-1.146190,-5.336287,4.107055
0.020000,3.134057,3.315075,1.863549,2.862807,-1.127629,0.928028,4.129735
0.020000,3.103306,3.267300,1.920364,2.840762,-1.102230,1.269992,4.151036
0.020000,3.073772,3.219267,1.976750,2.819328,-1.071716,1.525683,4.170997
0.020000,3.045382,3.171030,2.032722,2.798575,-1.037667,1.702433,4.189660
0.020000,3.018063,3.122638,2.088293,2.778546,-1.001430,1.811842,4.207071
0.020000,2.991745,3.074133,2.143478,2.759257,-0.964449,1.849061,4.223277
0.020000,2.966360,3.025551,2.198292,2.740710,-0.927337,1.855590,4.238323
0.020000,2.941842,2.976924,2.252750,2.722898,-0.890614,1.836183,4.252255
0.020000,2.918127,2.928281,2.306866,2.705797,-0.855041,1.778638,4.265119
