dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.150000,2.600000,0.000040,0.003968,0.198413,9.920635,4.713355
0.020000,7.150000,2.600000,0.000198,0.011905,0.396825,9.920635,4.713223
0.020000,7.150000,2.600000,0.000556,0.023810,0.595238,9.920635,4.712926
0.020000,7.150000,2.600000,0.001190,0.039683,0.793651,9.920635,4.712397
0.020000,7.150000,2.599017,0.002183,0.059524,0.992063,9.920635,4.711569
0.020000,7.149998,2.597589,0.003611,0.083333,1.190476,9.920635,4.710374
0.020000,7.149992,2.595644,0.005556,0.111111,1.388889,9.920635,4.708739
0.020000,7.149980,2.593105,0.008095,0.142857,1.587302,9.920635,4.706593
0.020000,7.149957,2.589890,0.011310,0.178571,1.785714,9.920635,4.703857
0.020000,7.149916,2.585922,0.015278,0.218254,1.984127,9.920635,4.700448
0.020000,7.149849,2.581121,0.020079,0.261905,2.182540,9.920635,4.696277
0.020000,7.149743,2.575408,0.025794,0.309524,2.380952,9.920635,4.691247
0.020000,7.149581,2.568704,0.032500,0.361111,2.579365,9.920635,4.685249
0.020000,7.149342,2.560930,0.040278,0.416667,2.777778,9.920635,4.678162
0.020000,7.149000,2.552008,0.049206,0.476190,2.976190,9.920635,4.669850
0.020000,7.148521,2.541900,0.059325,0.535714,2.976190,0.000000,4.660193
0.020000,7.147869,2.530609,0.070635,0.595238,2.976190,-0.000000,4.649094
0.020000,7.146999,2.518140,0.083135,0.654762,2.976190,0.000000,4.636436
0.020000,7.145863,2.504497,0.096825,0.714286,2.976190,-0.000000,4.622083
0.020000,7.144402,2.489688,0.111706,0.773810,2.976190,0.000000,4.605874
0.020000,7.142549,2.473724,0.127778,0.833333,2.976190,-0.000000,4.587624
0.020000,7.140227,2.456619,0.145040,0.892857,2.976190,0.000000,4.567119
0.020000,7.137347,2.438393,0.163492,0.952381,2.976190,0.000000,4.544109
0.020000,7.133810,2.419072,0.183135,1.011905,2.976190,-0.000000,4.518311
0.020000,7.129500,2.398690,0.203968,1.071429,2.976190,0.000000,4.489404
0.020000,7.124286,2.377293,0.225992,1.130952,2.976190,-0.000000,4.457027
0.020000,7.118021,2.354942,0.249206,1.190476,2.976190,0.000000,4.420785
0.020000,7.110538,2.331714,0.273611,1.250000,2.976190,0.000000,4.380255
0.020000,7.101654,2.307713,0.299206,1.309524,2.976190,0.000000,4.335009
0.020000,7.091167,2.283068,0.325992,1.369048,2.976190,-0.000000,4.284644
0.020000,7.078864,2.257946,0.353968,1.428571,2.976190,0.000000,4.228829
0.020000,7.064526,2.232553,0.383135,1.488095,2.976190,0.000000,4.167382
0.020000,7.047936,2.207136,0.413492,1.547619,2.976190,-0.000000,4.100354
0.020000,7.028899,2.181989,0.445040,1.607143,2.976190,-0.000000,4.028124
0.020000,7.007256,2.157436,0.477778,1.666667,2.976190,0.000000,3.951473
0.020000,6.982903,2.133825,0.511706,1.726190,2.976190,0.000000,3.871595
0.020000,6.955804,2.111503,0.546825,1.785714,2.976190,-0.000000,3.790031
0.020000,6.925997,2.090786,0.583135,1.845238,2.976190,0.000000,3.708506
0.020000,6.893586,2.071944,0.620635,1.904762,2.976190,0.000000,3.628712
0.020000,6.858727,2.055178,0.659325,1.964286,2.976190,-0.000000,3.552108
0.020000,6.821608,2.040619,0.699206,2.023810,2.976190,-0.000000,3.479778
0.020000,6.782426,2.028331,0.740278,2.083333,2.976190,0.000000,3.412397
0.020000,6.741412,2.018330,0.782500,2.138889,2.777778,-9.920635,3.350314
0.020000,6.698822,2.010588,0.825794,2.190476,2.579365,-9.920635,3.293603
0.020000,6.654891,2.005035,0.870079,2.238095,2.380952,-9.920635,3.242096
0.020000,6.609830,2.001571,0.915278,2.281746,2.182540,-9.920635,3.195467
0.020000,6.563826,2.000081,0.961310,2.321429,1.984127,-9.920635,3.153317
0.020000,6.518090,2.000000,1.008095,2.357143,1.785714,-9.920635,3.141593
0.020000,6.470630,2.000000,1.055556,2.388889,1.587302,-9.920635,3.141593
0.020000,6.422574,2.000000,1.103611,2.416667,1.388889,-9.920635,3.141593
0.020000,6.374003,2.000000,1.152183,2.440476,1.190476,-9.920635,3.141593
