dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000040,0.003968,0.198413,9.920635,6.281606
0.020000,0.900000,0.680000,0.000198,0.011905,0.396825,9.920635,6.281657
0.020000,0.900000,0.680000,0.000556,0.023810,0.595238,9.920635,6.281771
0.020000,0.900000,0.680000,0.001190,0.039683,0.793651,9.920635,6.281974
0.020000,0.900000,0.680000,0.002183,0.059524,0.992063,9.920635,6.282292
0.020000,0.900000,0.680000,0.003611,0.083333,1.190476,9.920635,6.282748
0.020000,0.900577,0.680000,0.005556,0.111111,1.388889,9.920635,0.000184
0.020000,0.903117,0.680002,0.008095,0.142857,1.587302,9.920635,0.000996
0.020000,0.906331,0.680006,0.011310,0.178571,1.785714,9.920635,0.002022
0.020000,0.910299,0.680017,0.015278,0.218254,1.984127,9.920635,0.003288
0.020000,0.915101,0.680036,0.020079,0.261905,2.182540,9.920635,0.004820
0.020000,0.920815,0.680069,0.025794,0.309524,2.380952,9.920635,0.006641
0.020000,0.927521,0.680121,0.032500,0.361111,2.579365,9.920635,0.008777
0.020000,0.935298,0.680199,0.040278,0.416667,2.777778,9.920635,0.011252
0.020000,0.944226,0.680312,0.049206,0.476190,2.976190,9.920635,0.014089
0.020000,0.954344,0.680471,0.059325,0.535714,2.976190,0.000000,0.017300
0.020000,0.965652,0.680687,0.070635,0.595238,2.976190,-0.000000,0.020882
0.020000,0.978148,0.680972,0.083135,0.654762,2.976190,0.000000,0.024834
0.020000,0.991834,0.681342,0.096825,0.714286,2.976190,-0.000000,0.029152
0.020000,1.006707,0.681810,0.111706,0.773810,2.976190,0.000000,0.033834
0.020000,1.022768,0.682395,0.127778,0.833333,2.976190,-0.000000,0.038876
0.020000,1.040015,0.683112,0.145040,0.892857,2.976190,0.000000,0.044274
0.020000,1.058447,0.683982,0.163492,0.952381,2.976190,0.000000,0.050023
0.020000,1.078062,0.685024,0.183135,1.011905,2.976190,-0.000000,0.056117
0.020000,1.098859,0.686259,0.203968,1.071429,2.976190,0.000000,0.062551
0.020000,1.120835,0.687710,0.225992,1.130952,2.976190,-0.000000,0.069317
0.020000,1.143987,0.689400,0.249206,1.190476,2.976190,0.000000,0.076409
0.020000,1.168314,0.691354,0.273611,1.250000,2.976190,0.000000,0.083817
0.020000,1.193810,0.693595,0.299206,1.309524,2.976190,0.000000,0.091532
0.020000,1.220474,0.696150,0.325992,1.369048,2.976190,-0.000000,0.099544
0.020000,1.248300,0.699046,0.353968,1.428571,2.976190,0.000000,0.107841
0.020000,1.277283,0.702310,0.383135,1.488095,2.976190,0.000000,0.116410
0.020000,1.307419,0.705969,0.413492,1.547619,2.976190,-0.000000,0.125239
0.020000,1.338701,0.710052,0.445040,1.607143,2.976190,-0.000000,0.134312
0.020000,1.371123,0.714587,0.477778,1.666667,2.976190,0.000000,0.143614
0.020000,1.404679,0.719603,0.511706,1.726190,2.976190,0.000000,0.153126
0.020000,1.439360,0.725128,0.546825,1.785714,2.976190,-0.000000,0.162832
