dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.699537,4.080000,0.000040,0.003968,0.198413,9.920635,3.140146
0.020000,4.699556,4.080000,0.000059,0.000970,-0.149911,-17.416171,3.140206
0.020000,4.699600,4.080000,0.000103,0.002183,0.060644,10.527761,3.140343
0.020000,4.699678,4.080000,0.000180,0.003882,0.084950,1.215270,3.140585
0.020000,4.699799,4.080000,0.000302,0.006068,0.109328,1.218923,3.140965
0.020000,4.699974,4.080000,0.000477,0.008745,0.133826,1.224907,3.141511
0.020000,4.698480,4.079999,0.001971,0.074716,3.298560,158.236689,3.142257
0.020000,4.696252,4.079997,0.004198,0.111361,1.832224,-73.316803,3.143232
0.020000,4.693434,4.079991,0.007016,0.140898,1.476861,-17.768161,3.144470
0.020000,4.689957,4.079978,0.010493,0.173864,1.648292,8.571561,3.146003
0.020000,4.685752,4.079955,0.014699,0.210272,1.820411,8.605954,3.147868
0.020000,4.680752,4.079918,0.019699,0.250014,1.987079,8.333372,3.150099
0.020000,4.674889,4.079861,0.025562,0.293161,2.157391,8.515612,3.152735
0.020000,4.668097,4.079775,0.032355,0.339617,2.322770,8.268963,3.155814
0.020000,4.660311,4.079650,0.040142,0.389346,2.486450,8.183976,3.159380
0.020000,4.651499,4.079475,0.048955,0.440676,2.566513,4.003141,3.163461
0.020000,4.641669,4.079238,0.058789,0.491671,2.549754,-0.837920,3.168074
0.020000,4.630825,4.078923,0.069637,0.542397,2.536309,-0.672267,3.173236
0.020000,4.618976,4.078514,0.081493,0.592834,2.521840,-0.723464,3.178967
0.020000,4.606129,4.077993,0.094351,0.642875,2.502026,-0.990676,3.185289
0.020000,4.592293,4.077340,0.108202,0.692544,2.483491,-0.926732,3.192229
0.020000,4.577481,4.076533,0.123036,0.741718,2.458693,-1.239936,3.199814
0.020000,4.561702,4.075548,0.138845,0.790458,2.436964,-1.086447,3.208075
0.020000,4.544972,4.074359,0.155617,0.838612,2.407732,-1.461570,3.217045
0.020000,4.527306,4.072938,0.173341,0.886190,2.378901,-1.441549,3.226763
0.020000,4.508720,4.071253,0.192003,0.933087,2.344823,-1.703899,3.237267
0.020000,4.489234,4.069272,0.211590,0.979350,2.313171,-1.582608,3.248604
0.020000,4.468869,4.066959,0.232085,1.024773,2.271121,-2.102508,3.260819
0.020000,4.447649,4.064276,0.253474,1.069426,2.232660,-1.923035,3.273966
0.020000,4.425602,4.061183,0.275737,1.113153,2.186340,-2.316027,3.288098
0.020000,4.402758,4.057635,0.298855,1.155927,2.138704,-2.381781,3.303276
0.020000,4.379147,4.053588,0.322810,1.197745,2.090935,-2.388475,3.319562
0.020000,4.354807,4.048991,0.347580,1.238495,2.037479,-2.672792,3.337022
0.020000,4.329779,4.043795,0.373143,1.278118,1.981133,-2.817282,3.355725
0.020000,4.304105,4.037944,0.399475,1.316626,1.925410,-2.786144,3.375741
0.020000,4.277832,4.031381,0.426555,1.354005,1.868943,-2.823372,3.397140
0.020000,4.251011,4.024048,0.454360,1.390262,1.812859,-2.804207,3.419995
0.020000,4.223697,4.015881,0.482869,1.425430,1.758427,-2.721608,3.444370
0.020000,4.195947,4.006819,0.512061,1.459616,1.709290,-2.456853,3.470329
0.020000,4.167821,3.996792,0.541921,1.492976,1.668017,-2.063633,3.497923
0.020000,4.139382,3.985733,0.572435,1.525697,1.636037,-1.599002,3.527191
0.020000,4.110693,3.973569,0.603596,1.558069,1.618610,-0.871320,3.558155
0.020000,4.081843,3.960241,0.635376,1.589002,1.546607,-3.600172,3.590783
0.020000,4.052946,3.945700,0.667726,1.617464,1.423121,-6.174298,3.624979
0.020000,4.024107,3.929902,0.700608,1.644103,1.331946,-4.558765,3.660610
0.020000,3.995424,3.912809,0.733998,1.669505,1.270104,-3.092067,3.697505
0.020000,3.966984,3.894385,0.767884,1.694312,1.240327,-1.488861,3.735453
0.020000,3.938867,3.874598,0.802266,1.719090,1.238931,-0.069806,3.774208
0.020000,3.911143,3.853422,0.837152,1.744294,1.260193,1.063110,3.813496
0.020000,3.883875,3.830839,0.872557,1.770272,1.298877,1.934182,3.853021
0.020000,3.857121,3.806837,0.908500,1.797155,1.344175,2.264899,3.892477
0.020000,3.830931,3.781415,0.944999,1.824923,1.388414,2.211940,3.931561
0.020000,3.805355,3.754586,0.982066,1.853352,1.421416,1.650106,3.969986
0.020000,3.780435,3.726375,1.019707,1.882051,1.434955,0.676951,4.007484
0.020000,3.756214,3.696823,1.057917,1.910501,1.422531,-0.621186,4.043825
0.020000,3.732728,3.665986,1.096679,1.938093,1.379594,-2.146843,4.078814
0.020000,3.710009,3.633938,1.135962,1.964185,1.304611,-3.749152,4.112297
0.020000,3.688069,3.600739,1.175756,1.989710,1.276211,-1.419995,4.144185
0.020000,3.666897,3.566431,1.216072,2.015761,1.302551,1.316971,4.174445
0.020000,3.646482,3.531060,1.256911,2.041944,1.309145,0.329705,4.203069
0.020000,3.626811,3.494679,1.298269,2.067935,1.299551,-0.479676,4.230069
0.020000,3.607869,3.457339,1.340139,2.093489,1.277710,-1.092067,4.255473
