dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.700463,4.720000,0.000040,0.003968,0.198413,9.920635,3.140146
0.020000,4.700444,4.720000,0.000059,0.000970,-0.149911,-17.416171,3.140206
0.020000,4.700400,4.720000,0.000103,0.002183,0.060644,10.527761,3.140343
0.020000,4.700322,4.720000,0.000180,0.003882,0.084950,1.215270,3.140585
0.020000,4.700201,4.720000,0.000302,0.006068,0.109328,1.218923,3.140965
0.020000,4.700026,4.720000,0.000477,0.008745,0.133826,1.224907,3.141511
0.020000,4.698055,4.719999,0.002448,0.098564,4.490936,217.855490,3.142257
0.020000,4.695203,4.719996,0.005299,0.142563,2.199940,-114.549792,3.143232
0.020000,4.691593,4.719988,0.008909,0.180510,1.897355,-15.129267,3.144470
0.020000,4.687134,4.719972,0.013368,0.222951,2.122055,11.234973,3.146003
0.020000,4.681735,4.719943,0.018767,0.269946,2.349766,11.385585,3.147868
0.020000,4.675307,4.719895,0.025195,0.321408,2.573111,11.167251,3.150099
0.020000,4.667758,4.719821,0.032745,0.377495,2.804344,11.561622,3.152735
0.020000,4.658996,4.719710,0.041509,0.438157,3.033095,11.437548,3.155814
0.020000,4.648928,4.719549,0.051577,0.503442,3.264248,11.557671,3.159380
0.020000,4.637504,4.719322,0.063003,0.571288,3.392300,6.402573,3.163461
0.020000,4.624723,4.719013,0.075789,0.639275,3.399338,0.351942,3.168074
0.020000,4.610577,4.718602,0.089940,0.707568,3.414685,0.767338,3.173236
0.020000,4.595062,4.718067,0.105465,0.776228,3.432977,0.914610,3.178967
0.020000,4.578172,4.717382,0.122369,0.845204,3.448794,0.790832,3.185289
0.020000,4.559900,4.716520,0.140661,0.914625,3.471073,1.113950,3.192229
0.020000,4.540240,4.715449,0.160350,0.984429,3.490169,0.954777,3.199814
0.020000,4.519185,4.714134,0.181446,1.054803,3.518732,1.428197,3.208075
0.020000,4.496728,4.712538,0.203959,1.125664,3.543051,1.215919,3.217045
0.020000,4.472863,4.710618,0.227902,1.197143,3.573950,1.544951,3.226763
0.020000,4.447582,4.708326,0.253286,1.269227,3.604162,1.510620,3.237267
0.020000,4.420877,4.705611,0.280129,1.342115,3.644406,2.012206,3.248604
0.020000,4.392745,4.702416,0.308442,1.415663,3.677425,1.650918,3.260819
0.020000,4.363178,4.698677,0.338244,1.490114,3.722534,2.255488,3.273966
0.020000,4.332174,4.694327,0.369552,1.565394,3.764018,2.074192,3.288098
0.020000,4.299731,4.689288,0.402384,1.641610,3.810787,2.338446,3.303276
0.020000,4.265847,4.683479,0.436762,1.718896,3.864309,2.676092,3.319562
0.020000,4.230527,4.676809,0.472707,1.797217,3.916037,2.586375,3.337022
0.020000,4.193779,4.669178,0.510238,1.876592,3.968761,2.636226,3.355725
0.020000,4.155616,4.660479,0.549381,1.957112,4.026011,2.862480,3.375741
0.020000,4.116056,4.650597,0.590156,2.038783,4.083546,2.876769,3.397140
