dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899061,0.360001,0.000040,0.003968,0.198413,9.920635,6.280252
0.020000,0.899075,0.360001,0.000053,0.000664,-0.165196,-18.180427,6.280294
0.020000,0.899105,0.360001,0.000083,0.001495,0.041530,10.336283,6.280387
0.020000,0.899158,0.360001,0.000136,0.002658,0.058166,0.831820,6.280553
0.020000,0.899241,0.360001,0.000219,0.004155,0.074840,0.833697,6.280813
0.020000,0.899361,0.360001,0.000339,0.005987,0.091576,0.836772,6.281187
0.020000,0.899524,0.360000,0.000502,0.008155,0.108403,0.841348,6.281697
0.020000,0.899737,0.360000,0.000715,0.010662,0.125357,0.847728,6.282363
0.020000,0.900093,0.360000,0.001071,0.017796,0.356698,11.567061,0.000023
0.020000,0.904400,0.360002,0.005379,0.215371,9.878781,476.104124,0.001069
0.020000,0.909606,0.360011,0.010585,0.260307,2.246777,-381.600174,0.002337
0.020000,0.915807,0.360030,0.016785,0.310016,2.485438,11.933009,0.003853
0.020000,0.923082,0.360065,0.024061,0.363788,2.688594,10.157844,0.005640
0.020000,0.931530,0.360121,0.032509,0.422406,2.930946,12.117592,0.007726
0.020000,0.941229,0.360208,0.042208,0.484968,3.128086,9.857006,0.010134
0.020000,0.952227,0.360335,0.053207,0.549927,3.247939,5.992609,0.012884
0.020000,0.964527,0.360512,0.065508,0.615071,3.257213,0.463698,0.015984
0.020000,0.978132,0.360753,0.079115,0.680340,3.263415,0.310113,0.019441
0.020000,0.993042,0.361071,0.094028,0.745670,3.266527,0.155614,0.023266
0.020000,1.009261,0.361483,0.110252,0.811202,3.276622,0.504770,0.027470
0.020000,1.026798,0.362005,0.127798,0.877266,3.303157,1.326722,0.032067
0.020000,1.045647,0.362657,0.146658,0.943011,3.287291,-0.793287,0.037067
0.020000,1.065817,0.363459,0.166844,1.009298,3.314337,1.352298,0.042488
0.020000,1.087315,0.364436,0.188363,1.075972,3.333693,0.967783,0.048347
0.020000,1.110138,0.365613,0.211217,1.142684,3.335574,0.094053,0.054660
0.020000,1.134292,0.367016,0.235412,1.209734,3.352521,0.847380,0.061447
0.020000,1.159780,0.368677,0.260954,1.277121,3.369356,0.841732,0.068730
0.020000,1.186615,0.370629,0.287860,1.345271,3.407500,1.907198,0.076534
0.020000,1.214786,0.372908,0.316123,1.413169,3.394891,-0.630470,0.084880
0.020000,1.244310,0.375552,0.345765,1.482110,3.447070,2.608954,0.093799
0.020000,1.275181,0.378604,0.376786,1.551065,3.447734,0.033236,0.103318
0.020000,1.307405,0.382110,0.409201,1.620713,3.482404,1.733461,0.113469
0.020000,1.340986,0.386120,0.443020,1.690970,3.512838,1.521717,0.124288
0.020000,1.375923,0.390689,0.478255,1.761750,3.538986,1.307387,0.135809
0.020000,1.412214,0.395874,0.514914,1.832966,3.560844,1.092939,0.148072
0.020000,1.449866,0.401740,0.553020,1.905287,3.616005,2.758017,0.161119
0.020000,1.488865,0.408356,0.592576,1.977814,3.626397,0.519604,0.174993
0.020000,1.529211,0.415795,0.633603,2.051340,3.676295,2.494901,0.189740
0.020000,1.570899,0.424139,0.676118,2.125741,3.720023,2.186421,0.205411
0.020000,1.613916,0.433474,0.720136,2.200890,3.757438,1.870715,0.222055
0.020000,1.658241,0.443892,0.765669,2.276659,3.788474,1.551805,0.239722
0.020000,1.703859,0.455495,0.812739,2.353518,3.842933,2.722952,0.258469
0.020000,1.750696,0.468374,0.861315,2.428756,3.761894,-4.051946,0.278327
0.020000,1.798632,0.482615,0.911322,2.500363,3.580357,-9.076830,0.299310
0.020000,1.847540,0.498299,0.962683,2.568061,3.384937,-9.771021,0.321423
0.020000,1.897281,0.515503,1.015315,2.631588,3.176319,-10.430914,0.344660
0.020000,1.947715,0.534301,1.069138,2.691159,2.978550,-9.888407,0.369010
0.020000,1.998684,0.554758,1.124060,2.746079,2.746030,-11.626000,0.394444
0.020000,2.050032,0.576932,1.179991,2.796553,2.523659,-11.118583,0.420923
0.020000,2.101592,0.600867,1.236835,2.842214,2.283066,-12.029657,0.448393
0.020000,2.153188,0.626594,1.294489,2.882722,2.025385,-12.884039,0.476781
0.020000,2.204640,0.654127,1.352845,2.917762,1.752027,-13.667911,0.505997
0.020000,2.255763,0.683461,1.411786,2.947069,1.465364,-14.333137,0.535935
0.020000,2.306379,0.714576,1.471201,2.970733,1.183157,-14.110348,0.566476
0.020000,2.356301,0.747423,1.530960,2.987956,0.861160,-16.099843,0.597478
0.020000,2.405355,0.781937,1.590939,2.998942,0.549301,-15.592938,0.628796
0.020000,2.453373,0.818028,1.651008,3.003480,0.226913,-16.119440,0.660270
0.020000,2.500236,0.855616,1.711083,3.003733,0.012664,-10.712427,0.691761
0.020000,2.545869,0.894639,1.771126,3.002163,-0.078528,-4.559601,0.723155
0.020000,2.590209,0.935025,1.831102,2.998774,-0.169459,-4.546556,0.754337
0.020000,2.633201,0.976695,1.890974,2.993614,-0.257998,-4.426948,0.785196
0.020000,2.674800,1.019565,1.950709,2.986769,-0.342217,-4.210969,0.815627
0.020000,2.714973,1.063546,2.010276,2.978360,-0.420471,-3.912673,0.845532
0.020000,2.753698,1.108549,2.069647,2.968531,-0.491447,-3.548792,0.874822
