dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.150000,5.650000,0.000040,0.003968,0.198413,9.920635,1.569833
0.020000,7.150000,5.650000,0.000198,0.011905,0.396825,9.920635,1.569977
0.020000,7.150000,5.650000,0.000556,0.023810,0.595238,9.920635,1.570302
0.020000,7.150000,5.650091,0.001190,0.039683,0.793651,9.920635,1.570879
0.020000,7.149999,5.651083,0.002183,0.059524,0.992063,9.920635,1.571782
0.020000,7.149997,5.652511,0.003611,0.083333,1.190476,9.920635,1.573087
0.020000,7.149991,5.654456,0.005556,0.111111,1.388889,9.920635,1.574872
0.020000,7.149978,5.656995,0.008095,0.142857,1.587302,9.920635,1.577217
0.020000,7.149952,5.660209,0.011310,0.178571,1.785714,9.920635,1.580209
0.020000,7.149907,5.664177,0.015278,0.218254,1.984127,9.920635,1.583939
0.020000,7.149833,5.668979,0.020079,0.261905,2.182540,9.920635,1.588507
0.020000,7.149716,5.674692,0.025794,0.309524,2.380952,9.920635,1.594024
0.020000,7.149539,5.681395,0.032500,0.361111,2.579365,9.920635,1.600612
0.020000,7.149277,5.689169,0.040278,0.416667,2.777778,9.920635,1.608409
0.020000,7.148900,5.698089,0.049206,0.476190,2.976190,9.920635,1.617573
0.020000,7.148373,5.708195,0.059325,0.535714,2.976190,0.000000,1.628244
0.020000,7.147655,5.719481,0.070635,0.595238,2.976190,-0.000000,1.640541
0.020000,7.146697,5.731945,0.083135,0.654762,2.976190,0.000000,1.654608
0.020000,7.145442,5.745577,0.096825,0.714286,2.976190,-0.000000,1.670612
0.020000,7.143826,5.760370,0.111706,0.773810,2.976190,0.000000,1.688750
0.020000,7.141773,5.776309,0.127778,0.833333,2.976190,-0.000000,1.709254
0.020000,7.139194,5.793377,0.145040,0.892857,2.976190,0.000000,1.732390
0.020000,7.135991,5.811549,0.163492,0.952381,2.976190,0.000000,1.758469
0.020000,7.132046,5.830791,0.183135,1.011905,2.976190,-0.000000,1.787843
0.020000,7.127227,5.851058,0.203968,1.071429,2.976190,0.000000,1.820913
0.020000,7.121384,5.872291,0.225992,1.130952,2.976190,-0.000000,1.858120
0.020000,7.114347,5.894412,0.249206,1.190476,2.976190,0.000000,1.899941
0.020000,7.105926,5.917315,0.273611,1.250000,2.976190,0.000000,1.946862
0.020000,7.095912,5.940867,0.299206,1.309524,2.976190,0.000000,1.999346
0.020000,7.084083,5.964895,0.325992,1.369048,2.976190,-0.000000,2.057766
0.020000,7.070210,5.989183,0.353968,1.428571,2.976190,0.000000,2.122324
0.020000,7.054069,6.013469,0.383135,1.488095,2.976190,0.000000,2.192934
0.020000,7.035460,6.037444,0.413492,1.547619,2.976190,-0.000000,2.269115
0.020000,7.014225,6.060764,0.445040,1.607143,2.976190,-0.000000,2.349902
0.020000,6.990270,6.083065,0.477778,1.666667,2.976190,0.000000,2.433846
0.020000,6.963577,6.103991,0.511706,1.726190,2.976190,0.000000,2.519127
0.020000,6.934206,6.123225,0.546825,1.785714,2.976190,-0.000000,2.603771
0.020000,6.902285,6.140508,0.583135,1.845238,2.976190,0.000000,2.685925
0.020000,6.867992,6.155658,0.620635,1.904762,2.976190,0.000000,2.764080
0.020000,6.831528,6.168569,0.659325,1.964286,2.976190,-0.000000,2.837202
0.020000,6.793100,6.179204,0.699206,2.023810,2.976190,-0.000000,2.904735
0.020000,6.752897,6.187577,0.740278,2.083333,2.976190,0.000000,2.966529
0.020000,6.711132,6.193735,0.782500,2.138889,2.777778,-9.920635,3.022681
0.020000,6.668030,6.197755,0.825794,2.190476,2.579365,-9.920635,3.073452
0.020000,6.623793,6.199737,0.870079,2.238095,2.380952,-9.920635,3.119238
0.020000,6.579696,6.200000,0.915278,2.281746,2.182540,-9.920635,3.141593
0.020000,6.533665,6.200000,0.961310,2.321429,1.984127,-9.920635,3.141593
0.020000,6.486879,6.200000,1.008095,2.357143,1.785714,-9.920635,3.141593
0.020000,6.439419,6.200000,1.055556,2.388889,1.587302,-9.920635,3.141593
0.020000,6.391363,6.200000,1.103611,2.416667,1.388889,-9.920635,3.141593
0.020000,6.342792,6.200000,1.152183,2.440476,1.190476,-9.920635,3.141593
0.020000,6.293784,6.200000,1.201190,2.460317,0.992063,-9.920635,3.141593
0.020000,6.244419,6.200000,1.250556,2.476190,0.793651,-9.920635,3.141593
0.020000,6.194776,6.200000,1.300198,2.488095,0.595238,-9.920635,3.141593
0.020000,6.144934,6.200000,1.350040,2.496032,0.396825,-9.920635,3.141593
0.020000,6.094974,6.200000,1.400000,2.500000,0.198413,-9.920635,3.141593
0.020000,6.044974,6.200000,1.450000,2.500000,0.000000,-9.920635,3.141593
0.020000,5.994974,6.200000,1.500000,2.500000,0.000000,0.000000,3.141593
0.020000,5.944974,6.200000,1.550000,2.500000,0.000000,0.000000,3.141593
0.020000,5.894974,6.200000,1.600000,2.500000,0.000000,0.000000,3.141593
0.020000,5.844974,6.200000,1.650000,2.500000,0.000000,0.000000,3.141593
0.020000,5.794974,6.200000,1.700000,2.500000,0.000000,0.000000,3.141593
0.020000,5.744974,6.200000,1.750000,2.500000,0.000000,0.000000,3.141593
0.020000,5.694974,6.200000,1.800000,2.500000,0.000000,0.000000,3.141593
0.020000,5.644974,6.200000,1.850000,2.500000,0.000000,0.000000,3.141593
0.020000,5.594974,6.200000,1.900000,2.500000,0.000000,0.000000,3.141593
0.020000,5.544974,6.200000,1.950000,2.500000,0.000000,0.000000,3.141593
0.020000,5.500000,6.200000,2.000000,2.500000,0.000000,0.000000,3.139965
0.020000,5.456198,6.199745,2.050000,2.500000,0.000000,0.000000,3.153305
0.020000,5.406203,6.198815,2.100000,2.500000,0.000000,0.000000,3.167170
0.020000,5.356234,6.197178,2.150000,2.500000,0.000000,0.000000,3.181584
0.020000,5.306290,6.194807,2.200000,2.500000,0.000000,0.000000,3.196576
0.020000,5.256387,6.191673,2.250000,2.500000,0.000000,0.000000,3.212171
0.020000,5.206542,6.187745,2.300000,2.500000,0.000000,0.000000,3.228395
0.020000,5.156769,6.182993,2.350000,2.500000,0.000000,0.000000,3.245274
0.020000,5.107086,6.177385,2.400000,2.500000,0.000000,0.000000,3.262837
0.020000,5.057510,6.170887,2.450000,2.500000,0.000000,0.000000,3.281109
0.020000,5.008066,6.163467,2.500000,2.500000,0.000000,0.000000,3.300115
0.020000,4.958776,6.155091,2.550000,2.500000,0.000000,0.000000,3.319880
0.020000,4.909660,6.145721,2.600000,2.500000,0.000000,0.000000,3.340427
0.020000,4.860755,6.135326,2.650000,2.500000,0.000000,0.000000,3.361773
0.020000,4.812085,6.123869,2.700000,2.500000,0.000000,0.000000,3.383937
0.020000,4.763690,6.111317,2.750000,2.500000,0.000000,0.000000,3.406929
0.020000,4.715599,6.097635,2.800000,2.500000,0.000000,0.000000,3.430759
0.020000,4.667854,6.082791,2.850000,2.500000,0.000000,0.000000,3.455426
0.020000,4.620497,6.066754,2.900000,2.500000,0.000000,0.000000,3.480924
0.020000,4.573571,6.049496,2.950000,2.500000,0.000000,0.000000,3.507239
0.020000,4.527124,6.030991,3.000000,2.500000,0.000000,0.000000,3.534348
0.020000,4.481204,6.011217,3.050000,2.500000,0.000000,0.000000,3.562217
0.020000,4.435858,5.990153,3.100000,2.500000,0.000000,0.000000,3.590804
0.020000,4.391141,5.967787,3.150000,2.500000,0.000000,0.000000,3.620053
0.020000,4.347106,5.944110,3.200000,2.500000,0.000000,0.000000,3.649898
0.020000,4.303802,5.919117,3.250000,2.500000,0.000000,0.000000,3.680262
0.020000,4.261284,5.892812,3.300000,2.500000,0.000000,0.000000,3.711057
0.020000,4.219601,5.865203,3.350000,2.500000,0.000000,0.000000,3.742187
0.020000,4.178800,5.836305,3.400000,2.500000,0.000000,0.000000,3.773548
0.020000,4.138928,5.806139,3.450000,2.500000,0.000000,0.000000,3.805029
0.020000,4.100025,5.774733,3.500000,2.500000,0.000000,0.000000,3.836516
0.020000,4.062130,5.742119,3.550000,2.500000,0.000000,0.000000,3.867893
0.020000,4.025272,5.708336,3.600000,2.500000,0.000000,0.000000,3.899048
0.020000,3.989479,5.673427,3.650000,2.500000,0.000000,0.000000,3.929869
0.020000,3.954771,5.637438,3.700000,2.500000,0.000000,0.000000,3.960251
0.020000,3.921163,5.600421,3.750000,2.500000,0.000000,0.000000,3.990098
0.020000,3.888662,5.562427,3.800000,2.500000,0.000000,0.000000,4.019322
0.020000,3.857273,5.523510,3.850000,2.500000,0.000000,0.000000,4.047845
0.020000,3.826991,5.483726,3.900000,2.500000,0.000000,0.000000,4.075601
0.020000,3.797808,5.443128,3.950000,2.500000,0.000000,0.000000,4.102536
0.020000,3.769711,5.401771,4.000000,2.500000,0.000000,0.000000,4.128605
0.020000,3.742683,5.359707,4.050000,2.500000,0.000000,0.000000,4.153775
0.020000,3.716702,5.316988,4.100000,2.500000,0.000000,0.000000,4.178023
0.020000,3.691745,5.273664,4.150000,2.500000,0.000000,0.000000,4.201335
0.020000,3.667783,5.229780,4.200000,2.500000,0.000000,0.000000,4.223705
0.020000,3.644788,5.185383,4.250000,2.500000,0.000000,0.000000,4.245135
0.020000,3.622729,5.140514,4.300000,2.500000,0.000000,0.000000,4.265632
0.020000,3.601573,5.095211,4.350000,2.500000,0.000000,0.000000,4.285209
0.020000,3.581287,5.049511,4.400000,2.500000,0.000000,0.000000,4.303883
0.020000,3.561838,5.003450,4.450000,2.500000,0.000000,0.000000,4.321672
0.020000,3.543191,4.957058,4.500000,2.500000,0.000000,0.000000,4.338600
0.020000,3.525312,4.910364,4.550000,2.500000,0.000000,0.000000,4.354692
0.020000,3.508168,4.863396,4.600000,2.500000,0.000000,0.000000,4.369971
0.020000,3.491724,4.816178,4.650000,2.500000,0.000000,0.000000,4.384466
0.020000,3.475949,4.768732,4.700000,2.500000,0.000000,0.000000,4.398201
0.020000,3.460809,4.721080,4.750000,2.500000,0.000000,0.000000,4.411204
0.020000,3.446273,4.673240,4.800000,2.500000,0.000000,0.000000,4.423501
0.020000,3.432310,4.625229,4.850000,2.500000,0.000000,0.000000,4.435116
0.020000,3.418890,4.577064,4.900000,2.500000,0.000000,0.000000,4.446075
0.020000,3.405983,4.528759,4.950000,2.500000,0.000000,0.000000,4.456401
0.020000,3.393561,4.480327,5.000000,2.500000,0.000000,0.000000,4.466118
0.020000,3.381595,4.431780,5.050000,2.500000,0.000000,0.000000,4.475247
0.020000,3.370059,4.383128,5.100000,2.500000,0.000000,0.000000,4.483809
