dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000040,0.003968,0.198413,9.920635,6.280252
0.020000,0.900000,0.680000,0.000198,0.011905,0.396825,9.920635,6.280294
0.020000,0.900000,0.680000,0.000556,0.023810,0.595238,9.920635,6.280387
0.020000,0.900000,0.680000,0.001190,0.039683,0.793651,9.920635,6.280553
0.020000,0.900000,0.680000,0.002183,0.059524,0.992063,9.920635,6.280813
0.020000,0.900000,0.680000,0.003611,0.083333,1.190476,9.920635,6.281187
0.020000,0.900000,0.680000,0.005556,0.111111,1.388889,9.920635,6.281697
0.020000,0.900000,0.680000,0.008095,0.142857,1.587302,9.920635,6.282363
0.020000,0.900086,0.680000,0.011310,0.178571,1.785714,9.920635,0.000023
0.020000,0.904058,0.680002,0.015278,0.218254,1.984127,9.920635,0.001069
0.020000,0.908859,0.680010,0.020079,0.261905,2.182540,9.920635,0.002337
0.020000,0.914574,0.680028,0.025794,0.309524,2.380952,9.920635,0.003853
0.020000,0.921278,0.680060,0.032500,0.361111,2.579365,9.920635,0.005640
0.020000,0.929058,0.680112,0.040278,0.416667,2.777778,9.920635,0.007726
0.020000,0.937986,0.680192,0.049206,0.476190,2.976190,9.920635,0.010134
0.020000,0.948104,0.680308,0.059325,0.535714,2.976190,0.000000,0.012884
0.020000,0.959413,0.680471,0.070635,0.595238,2.976190,-0.000000,0.015984
0.020000,0.971911,0.680693,0.083135,0.654762,2.976190,0.000000,0.019441
0.020000,0.985597,0.680985,0.096825,0.714286,2.976190,-0.000000,0.023266
0.020000,1.000471,0.681362,0.111706,0.773810,2.976190,0.000000,0.027470
0.020000,1.016539,0.681841,0.127778,0.833333,2.976190,-0.000000,0.032067
0.020000,1.033788,0.682437,0.145040,0.892857,2.976190,0.000000,0.037067
0.020000,1.052225,0.683171,0.163492,0.952381,2.976190,0.000000,0.042488
0.020000,1.071849,0.684062,0.183135,1.011905,2.976190,-0.000000,0.048347
0.020000,1.092655,0.685135,0.203968,1.071429,2.976190,0.000000,0.054660
0.020000,1.114641,0.686412,0.225992,1.130952,2.976190,-0.000000,0.061447
0.020000,1.137804,0.687922,0.249206,1.190476,2.976190,0.000000,0.068730
0.020000,1.162148,0.689693,0.273611,1.250000,2.976190,0.000000,0.076534
0.020000,1.187657,0.691756,0.299206,1.309524,2.976190,0.000000,0.084880
0.020000,1.214339,0.694145,0.325992,1.369048,2.976190,-0.000000,0.093799
0.020000,1.242178,0.696897,0.353968,1.428571,2.976190,0.000000,0.103318
0.020000,1.271173,0.700052,0.383135,1.488095,2.976190,0.000000,0.113469
0.020000,1.301316,0.703652,0.413492,1.547619,2.976190,-0.000000,0.124288
0.020000,1.332598,0.707742,0.445040,1.607143,2.976190,-0.000000,0.135809
0.020000,1.365004,0.712372,0.477778,1.666667,2.976190,0.000000,0.148072
0.020000,1.398530,0.717596,0.511706,1.726190,2.976190,0.000000,0.161119
0.020000,1.433152,0.723469,0.546825,1.785714,2.976190,-0.000000,0.174993
0.020000,1.468858,0.730052,0.583135,1.845238,2.976190,0.000000,0.189740
0.020000,1.505629,0.737412,0.620635,1.904762,2.976190,0.000000,0.205411
0.020000,1.543441,0.745617,0.659325,1.964286,2.976190,-0.000000,0.222055
0.020000,1.582263,0.754742,0.699206,2.023810,2.976190,-0.000000,0.239722
0.020000,1.622067,0.764865,0.740278,2.083333,2.976190,0.000000,0.258469
0.020000,1.662777,0.776059,0.782500,2.138889,2.777778,-9.920635,0.278327
0.020000,1.704277,0.788388,0.825794,2.190476,2.579365,-9.920635,0.299310
0.020000,1.746447,0.801911,0.870079,2.238095,2.380952,-9.920635,0.321423
0.020000,1.789160,0.816684,0.915278,2.281746,2.182540,-9.920635,0.344660
0.020000,1.832293,0.832760,0.961310,2.321429,1.984127,-9.920635,0.369010
0.020000,1.875710,0.850186,1.008095,2.357143,1.785714,-9.920635,0.394444
0.020000,1.919279,0.869000,1.055556,2.388889,1.587302,-9.920635,0.420923
0.020000,1.962866,0.889233,1.103611,2.416667,1.388889,-9.920635,0.448393
0.020000,2.006333,0.910906,1.152183,2.440476,1.190476,-9.920635,0.476781
0.020000,2.049542,0.934028,1.201190,2.460317,0.992063,-9.920635,0.505997
0.020000,2.092356,0.958594,1.250556,2.476190,0.793651,-9.920635,0.535935
0.020000,2.134647,0.984591,1.300198,2.488095,0.595238,-9.920635,0.566476
0.020000,2.176282,1.011985,1.350040,2.496032,0.396825,-9.920635,0.597478
0.020000,2.217140,1.040732,1.400000,2.500000,0.198413,-9.920635,0.628796
0.020000,2.257108,1.070772,1.450000,2.500000,0.000000,-9.920635,0.660270
0.020000,2.296109,1.102055,1.500000,2.500000,0.000000,0.000000,0.691761
0.020000,2.334108,1.134550,1.550000,2.500000,0.000000,0.000000,0.723155
0.020000,2.371071,1.168217,1.600000,2.500000,0.000000,0.000000,0.754337
0.020000,2.406972,1.203015,1.650000,2.500000,0.000000,0.000000,0.785196
0.020000,2.441790,1.238897,1.700000,2.500000,0.000000,0.000000,0.815627
0.020000,2.475509,1.275813,1.750000,2.500000,0.000000,0.000000,0.845532
0.020000,2.508121,1.313711,1.800000,2.500000,0.000000,0.000000,0.874822
0.020000,2.539622,1.352538,1.850000,2.500000,0.000000,0.000000,0.903419
0.020000,2.570015,1.392238,1.900000,2.500000,0.000000,0.000000,0.931255
0.020000,2.599308,1.432756,1.950000,2.500000,0.000000,0.000000,0.958275
0.020000,2.627514,1.474040,2.000000,2.500000,0.000000,0.000000,0.984432
0.020000,2.654648,1.516034,2.050000,2.500000,0.000000,0.000000,1.009693
0.020000,2.680733,1.558689,2.100000,2.500000,0.000000,0.000000,1.034035
0.020000,2.705792,1.601955,2.150000,2.500000,0.000000,0.000000,1.057441
0.020000,2.729852,1.645784,2.200000,2.500000,0.000000,0.000000,1.079906
0.020000,2.752943,1.690132,2.250000,2.500000,0.000000,0.000000,1.101431
0.020000,2.775095,1.734956,2.300000,2.500000,0.000000,0.000000,1.122021
0.020000,2.796340,1.780217,2.350000,2.500000,0.000000,0.000000,1.141690
0.020000,2.816712,1.825878,2.400000,2.500000,0.000000,0.000000,1.160453
0.020000,2.836244,1.871905,2.450000,2.500000,0.000000,0.000000,1.178331
0.020000,2.854970,1.918264,2.500000,2.500000,0.000000,0.000000,1.195344
0.020000,2.872925,1.964929,2.550000,2.500000,0.000000,0.000000,1.211519
0.020000,2.890141,2.011871,2.600000,2.500000,0.000000,0.000000,1.226879
0.020000,2.906653,2.059065,2.650000,2.500000,0.000000,0.000000,1.241451
0.020000,2.922494,2.106489,2.700000,2.500000,0.000000,0.000000,1.255261
0.020000,2.937697,2.154122,2.750000,2.500000,0.000000,0.000000,1.268337
0.020000,2.952292,2.201943,2.800000,2.500000,0.000000,0.000000,1.280703
0.020000,2.966311,2.249938,2.850000,2.500000,0.000000,0.000000,1.292386
0.020000,2.979785,2.298088,2.900000,2.500000,0.000000,0.000000,1.303410
0.020000,2.992742,2.346379,2.950000,2.500000,0.000000,0.000000,1.313799
0.020000,3.005212,2.394800,3.000000,2.500000,0.000000,0.000000,1.323576
0.020000,3.017222,2.443336,3.050000,2.500000,0.000000,0.000000,1.332763
0.020000,3.028800,2.491976,3.100000,2.500000,0.000000,0.000000,1.341381
0.020000,3.039972,2.540712,3.150000,2.500000,0.000000,0.000000,1.349449
0.020000,3.050763,2.589534,3.200000,2.500000,0.000000,0.000000,1.356986
0.020000,3.061198,2.638433,3.250000,2.500000,0.000000,0.000000,1.364009
0.020000,3.071303,2.687401,3.300000,2.500000,0.000000,0.000000,1.370535
0.020000,3.081099,2.736432,3.350000,2.500000,0.000000,0.000000,1.376578
0.020000,3.090610,2.785519,3.400000,2.500000,0.000000,0.000000,1.382153
0.020000,3.099859,2.834656,3.450000,2.500000,0.000000,0.000000,1.387272
0.020000,3.108867,2.883838,3.500000,2.500000,0.000000,0.000000,1.391947
0.020000,3.117655,2.933059,3.550000,2.500000,0.000000,0.000000,1.396190
0.020000,3.126246,2.982316,3.600000,2.500000,0.000000,0.000000,1.400008
0.020000,3.134658,3.031603,3.650000,2.500000,0.000000,0.000000,1.403413
0.020000,3.142913,3.080917,3.700000,2.500000,0.000000,0.000000,1.406410
0.020000,3.151029,3.130254,3.750000,2.500000,0.000000,0.000000,1.409008
0.020000,3.159028,3.179610,3.800000,2.500000,0.000000,0.000000,1.411211
0.020000,3.166927,3.228982,3.850000,2.500000,0.000000,0.000000,1.413026
0.020000,3.174746,3.278367,3.900000,2.500000,0.000000,0.000000,1.414456
0.020000,3.182503,3.327762,3.950000,2.500000,0.000000,0.000000,1.415504
0.020000,3.190219,3.377163,4.000000,2.500000,0.000000,0.000000,1.416173
0.020000,3.197911,3.426568,4.050000,2.500000,0.000000,0.000000,1.416464
0.020000,3.205597,3.475974,4.100000,2.500000,0.000000,0.000000,1.416378
0.020000,3.213297,3.525377,4.150000,2.500000,0.000000,0.000000,1.415914
0.020000,3.221030,3.574776,4.200000,2.500000,0.000000,0.000000,1.415073
0.020000,3.228813,3.624166,4.250000,2.500000,0.000000,0.000000,1.413851
0.020000,3.236666,3.673546,4.300000,2.500000,0.000000,0.000000,1.412246
0.020000,3.244608,3.722911,4.350000,2.500000,0.000000,0.000000,1.410255
0.020000,3.252658,3.772259,4.400000,2.500000,0.000000,0.000000,1.407872
0.020000,3.260835,3.821586,4.450000,2.500000,0.000000,0.000000,1.405093
0.020000,3.269159,3.870888,4.500000,2.500000,0.000000,0.000000,1.401910
0.020000,3.277650,3.920162,4.550000,2.500000,0.000000,0.000000,1.398318
0.020000,3.286329,3.969403,4.600000,2.500000,0.000000,0.000000,1.394307
0.020000,3.295215,4.018607,4.650000,2.500000,0.000000,0.000000,1.389869
0.020000,3.304330,4.067769,4.700000,2.500000,0.000000,0.000000,1.384992
0.020000,3.313696,4.116884,4.750000,2.500000,0.000000,0.000000,1.379667
0.020000,3.323334,4.165946,4.800000,2.500000,0.000000,0.000000,1.373880
0.020000,3.333268,4.214949,4.850000,2.500000,0.000000,0.000000,1.367618
0.020000,3.343520,4.263887,4.900000,2.500000,0.000000,0.000000,1.360868
0.020000,3.354115,4.312751,4.950000,2.500000,0.000000,0.000000,1.353612
0.020000,3.365077,4.361535,5.000000,2.500000,0.000000,0.000000,1.345835
0.020000,3.376431,4.410229,5.050000,2.500000,0.000000,0.000000,1.337518
0.020000,3.388202,4.458823,5.100000,2.500000,0.000000,0.000000,1.328643
0.020000,3.400419,4.507307,5.150000,2.500000,0.000000,0.000000,1.319189
0.020000,3.413108,4.555670,5.200000,2.500000,0.000000,0.000000,1.309136
0.020000,3.426297,4.603899,5.250000,2.500000,0.000000,0.000000,1.298460
0.020000,3.440016,4.651980,5.300000,2.500000,0.000000,0.000000,1.287139
0.020000,3.454294,4.699898,5.350000,2.500000,0.000000,0.000000,1.275147
0.020000,3.469162,4.747636,5.400000,2.500000,0.000000,0.000000,1.262461
0.020000,3.484652,4.795176,5.450000,2.500000,0.000000,0.000000,1.249053
0.020000,3.500795,4.842497,5.500000,2.500000,0.000000,0.000000,1.234898
0.020000,3.517625,4.889579,5.550000,2.500000,0.000000,0.000000,1.219970
0.020000,3.535174,4.936398,5.600000,2.500000,0.000000,0.000000,1.204241
0.020000,3.553476,4.982927,5.650000,2.500000,0.000000,0.000000,1.187687
0.020000,3.572566,5.029139,5.700000,2.500000,0.000000,0.000000,1.170282
0.020000,3.592477,5.075003,5.750000,2.500000,0.000000,0.000000,1.152003
0.020000,3.613243,5.120486,5.800000,2.500000,0.000000,0.000000,1.132829
0.020000,3.634897,5.165552,5.850000,2.500000,0.000000,0.000000,1.112742
0.020000,3.657474,5.210163,5.900000,2.500000,0.000000,0.000000,1.091727
0.020000,3.681003,5.254280,5.950000,2.500000,0.000000,0.000000,1.069774
0.020000,3.705516,5.297858,6.000000,2.500000,0.000000,0.000000,1.046879
0.020000,3.731040,5.340851,6.050000,2.500000,0.000000,0.000000,1.023044
0.020000,3.757601,5.383211,6.100000,2.500000,0.000000,0.000000,0.998281
0.020000,3.785221,5.424888,6.150000,2.500000,0.000000,0.000000,0.972607
0.020000,3.813921,5.465829,6.200000,2.500000,0.000000,0.000000,0.946051
0.020000,3.843715,5.505981,6.250000,2.500000,0.000000,0.000000,0.918653
0.020000,3.874613,5.545289,6.300000,2.500000,0.000000,0.000000,0.890462
0.020000,3.906621,5.583698,6.350000,2.500000,0.000000,0.000000,0.861540
0.020000,3.939739,5.621155,6.400000,2.500000,0.000000,0.000000,0.831959
0.020000,3.973961,5.657606,6.450000,2.500000,0.000000,0.000000,0.801802
0.020000,4.009275,5.692999,6.500000,2.500000,0.000000,0.000000,0.771163
0.020000,4.045663,5.727287,6.550000,2.500000,0.000000,0.000000,0.740143
0.020000,4.083103,5.760424,6.600000,2.500000,0.000000,0.000000,0.708851
0.020000,4.121563,5.792370,6.650000,2.500000,0.000000,0.000000,0.677398
0.020000,4.161010,5.823090,6.700000,2.500000,0.000000,0.000000,0.645901
0.020000,4.201405,5.852553,6.750000,2.500000,0.000000,0.000000,0.614473
0.020000,4.242703,5.880735,6.800000,2.500000,0.000000,0.000000,0.583227
0.020000,4.284857,5.907619,6.850000,2.500000,0.000000,0.000000,0.552271
0.020000,4.327820,5.933195,6.900000,2.500000,0.000000,0.000000,0.521704
0.020000,4.371536,5.957454,6.950000,2.500000,0.000000,0.000000,0.491620
0.020000,4.415959,5.980401,7.000000,2.500000,0.000000,0.000000,0.462097
0.020000,4.461031,6.002040,7.050000,2.500000,0.000000,0.000000,0.433210
0.020000,4.506702,6.022384,7.100000,2.500000,0.000000,0.000000,0.405016
0.020000,4.552923,6.041449,7.150000,2.500000,0.000000,0.000000,0.377565
0.020000,4.599643,6.059257,7.200000,2.500000,0.000000,0.000000,0.350895
0.020000,4.646814,6.075832,7.250000,2.500000,0.000000,0.000000,0.325033
0.020000,4.694391,6.091201,7.300000,2.500000,0.000000,0.000000,0.299997
0.020000,4.742333,6.105394,7.350000,2.500000,0.000000,0.000000,0.275796
0.020000,4.790601,6.118443,7.400000,2.500000,0.000000,0.000000,0.252432
0.020000,4.839151,6.130381,7.450000,2.500000,0.000000,0.000000,0.229903
0.020000,4.887957,6.141243,7.500000,2.500000,0.000000,0.000000,0.208195
0.020000,4.936981,6.151062,7.550000,2.500000,0.000000,0.000000,0.187297
0.020000,4.986200,6.159875,7.600000,2.500000,0.000000,0.000000,0.167187
0.020000,5.035579,6.167715,7.650000,2.500000,0.000000,0.000000,0.147848
0.020000,5.085099,6.174617,7.700000,2.500000,0.000000,0.000000,0.129254
0.020000,5.134736,6.180615,7.750000,2.500000,0.000000,0.000000,0.111380
0.020000,5.184472,6.185743,7.800000,2.500000,0.000000,0.000000,0.094201
0.020000,5.234288,6.190032,7.850000,2.500000,0.000000,0.000000,0.077689
0.020000,5.284168,6.193514,7.900000,2.500000,0.000000,0.000000,0.061819
0.020000,5.334092,6.196220,7.950000,2.500000,0.000000,0.000000,0.046564
0.020000,5.384051,6.198178,8.000000,2.500000,0.000000,0.000000,0.031897
0.020000,5.434039,6.199418,8.050000,2.500000,0.000000,0.000000,0.017791
0.020000,5.484032,6.199966,8.100000,2.500000,0.000000,0.000000,0.004224
0.020000,5.532937,6.200000,8.150000,2.500000,0.000000,0.000000,0.000000
0.020000,5.582937,6.200000,8.200000,2.500000,0.000000,0.000000,0.000000
0.020000,5.632937,6.200000,8.250000,2.500000,0.000000,0.000000,0.000000
0.020000,5.682937,6.200000,8.300000,2.500000,0.000000,0.000000,0.000000
0.020000,5.732937,6.200000,8.350000,2.500000,0.000000,0.000000,0.000000
0.020000,5.782937,6.200000,8.400000,2.500000,0.000000,0.000000,0.000000
0.020000,5.832937,6.200000,8.450000,2.500000,0.000000,0.000000,0.000000
0.020000,5.882937,6.200000,8.500000,2.500000,0.000000,0.000000,0.000000
0.020000,5.932937,6.200000,8.550000,2.500000,0.000000,0.000000,0.000000
0.020000,5.982937,6.200000,8.600000,2.500000,0.000000,0.000000,0.000000
0.020000,6.032937,6.200000,8.650000,2.500000,0.000000,0.000000,0.000000
0.020000,6.082937,6.200000,8.700000,2.500000,0.000000,0.000000,0.000000
0.020000,6.132906,6.200000,8.749969,2.496900,-0.155011,-7.750545,0.000000
0.020000,6.182773,6.200000,8.799836,2.489831,-0.353424,-9.920635,0.000000
0.020000,6.232459,6.200000,8.849523,2.478795,-0.551836,-9.920635,0.000000
0.020000,6.281885,6.200000,8.898948,2.463790,-0.750249,-9.920635,0.000000
0.020000,6.330971,6.200000,8.948034,2.444816,-0.948662,-9.920635,0.000000
0.020000,6.379638,6.200000,8.996701,2.421875,-1.147074,-9.920635,0.000000
0.020000,6.427807,6.200000,9.044870,2.394965,-1.345487,-9.920635,0.000000
0.020000,6.475397,6.200000,9.092460,2.364087,-1.543900,-9.920635,0.000000
0.020000,6.522330,6.200000,9.139394,2.329241,-1.742312,-9.920635,0.000000
0.020000,6.568527,6.200000,9.185590,2.290426,-1.940725,-9.920635,0.000000
0.020000,6.612808,6.199925,9.230971,2.247644,-2.139138,-9.920635,6.271335
0.020000,6.657264,6.198426,9.275456,2.200893,-2.337551,-9.920635,6.226734
0.020000,6.700629,6.194921,9.318967,2.150173,-2.535963,-9.920635,6.177268
0.020000,6.742707,6.189303,9.361424,2.095486,-2.734376,-9.920635,6.122524
0.020000,6.783278,6.181492,9.402747,2.036830,-2.932789,-9.920635,6.062201
0.020000,6.822131,6.171432,9.442888,1.977306,-2.976190,-2.170090,5.996153
0.020000,6.859069,6.159099,9.481839,1.917782,-2.976190,-0.000000,5.924459
0.020000,6.893891,6.144517,9.519599,1.858259,-2.976190,0.000000,5.847564
0.020000,6.926392,6.127775,9.556169,1.798735,-2.976190,-0.000000,5.766379
0.020000,6.956387,6.109034,9.591549,1.739211,-2.976190,0.000000,5.682295
0.020000,6.983736,6.088534,9.625738,1.679687,-2.976190,0.000000,5.597093
0.020000,7.008358,6.066580,9.658736,1.620163,-2.976190,-0.000000,5.512735
0.020000,7.030254,6.043520,9.690544,1.560640,-2.976190,0.000000,5.431097
0.020000,7.049498,6.019716,9.721162,1.501116,-2.976190,-0.000000,5.353734
0.020000,7.066234,5.995519,9.750589,1.441592,-2.976190,0.000000,5.281732
0.020000,7.080653,5.971247,9.778826,1.382068,-2.976190,-0.000000,5.215689
0.020000,7.092973,5.947175,9.805872,1.322544,-2.976190,0.000000,5.155780
0.020000,7.103424,5.923529,9.831727,1.263021,-2.976190,-0.000000,5.101868
0.020000,7.112229,5.900492,9.856392,1.203497,-2.976190,0.000000,5.053616
0.020000,7.119602,5.878207,9.879867,1.143973,-2.976190,-0.000000,5.010578
0.020000,7.125735,5.856784,9.902151,1.084449,-2.976190,0.000000,4.972271
0.020000,7.130803,5.836310,9.923245,1.024925,-2.976190,-0.000000,4.938216
0.020000,7.134963,5.816847,9.943148,0.965401,-2.976190,-0.000000,4.907962
0.020000,7.138350,5.798444,9.961861,0.905878,-2.976190,0.000000,4.881099
0.020000,7.141084,5.781136,9.979384,0.846354,-2.976190,-0.000000,4.857262
0.020000,7.143270,5.764952,9.995715,0.786830,-2.976190,0.000000,4.836132
0.020000,7.144997,5.749910,10.010857,0.727306,-2.976190,-0.000000,4.817431
0.020000,7.146344,5.736024,10.024808,0.667782,-2.976190,-0.000000,4.800921
0.020000,7.147380,5.723306,10.037568,0.608259,-2.976190,0.000000,4.786395
0.020000,7.148161,5.711762,10.049138,0.548735,-2.976190,-0.000000,4.773679
0.020000,7.148740,5.701399,10.059517,0.489211,-2.976190,0.000000,4.762626
0.020000,7.149157,5.692220,10.068706,0.429687,-2.976190,0.000000,4.753109
0.020000,7.149451,5.684196,10.076736,0.373264,-2.821180,7.750545,4.744993
0.020000,7.149654,5.677258,10.083677,0.320808,-2.622767,9.920635,4.738124
0.020000,7.149789,5.671328,10.089608,0.272321,-2.424354,9.920635,4.732358
0.020000,7.149877,5.666328,10.094609,0.227802,-2.225941,9.920635,4.727570
0.020000,7.149932,5.662177,10.098760,0.187252,-2.027529,9.920635,4.723646
0.020000,7.149965,5.658798,10.102139,0.150669,-1.829116,9.920635,4.720484
0.020000,7.149983,5.656111,10.104826,0.118055,-1.630703,9.920635,4.717991
0.020000,7.149993,5.654037,10.106901,0.089410,-1.432291,9.920635,4.716079
0.020000,7.149997,5.652495,10.108442,0.064732,-1.233878,9.920635,4.714665
0.020000,7.149999,5.651408,10.109530,0.044023,-1.035465,9.920635,4.713671
0.020000,7.150000,5.650695,10.110243,0.027282,-0.837053,9.920635,4.713021
0.020000,7.150000,5.650277,10.110661,0.014509,-0.638640,9.920635,4.712641
0.020000,7.150000,5.650074,10.110863,0.005704,-0.440227,9.920635,4.712457
0.020000,7.150000,5.650009,10.110929,0.000868,-0.241814,9.920635,4.712397
0.020000,7.150000,5.650000,10.110937,0.000000,-0.043402,9.920635,4.712389
0.020000,7.150000,5.650000,10.110937,0.000000,0.000000,2.170090,4.712389
