dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000040,0.003968,0.198413,9.920635,6.281624
0.020000,0.900000,0.680000,0.000198,0.011905,0.396825,9.920635,6.281692
0.020000,0.900000,0.680000,0.000556,0.023810,0.595238,9.920635,6.281844
0.020000,0.900000,0.680000,0.001190,0.039683,0.793651,9.920635,6.282113
0.020000,0.900000,0.680000,0.002183,0.059524,0.992063,9.920635,6.282534
0.020000,0.900000,0.680000,0.003611,0.083333,1.190476,9.920635,6.283140
0.020000,0.901837,0.680001,0.005556,0.111111,1.388889,9.920635,0.000778
0.020000,0.904377,0.680004,0.008095,0.142857,1.587302,9.920635,0.001852
0.020000,0.907591,0.680012,0.011310,0.178571,1.785714,9.920635,0.003209
0.020000,0.911559,0.680028,0.015278,0.218254,1.984127,9.920635,0.004881
0.020000,0.916361,0.680057,0.020079,0.261905,2.182540,9.920635,0.006897
0.020000,0.922075,0.680103,0.025794,0.309524,2.380952,9.920635,0.009288
0.020000,0.928781,0.680174,0.032500,0.361111,2.579365,9.920635,0.012083
0.020000,0.936558,0.680281,0.040278,0.416667,2.777778,9.920635,0.015308
0.020000,0.945485,0.680434,0.049206,0.476190,2.976190,9.920635,0.018990
0.020000,0.955602,0.680647,0.059325,0.535714,2.976190,0.000000,0.023134
0.020000,0.966908,0.680935,0.070635,0.595238,2.976190,-0.000000,0.027731
0.020000,0.979402,0.681313,0.083135,0.654762,2.976190,0.000000,0.032769
0.020000,0.993084,0.681799,0.096825,0.714286,2.976190,-0.000000,0.038233
0.020000,1.007952,0.682412,0.111706,0.773810,2.976190,0.000000,0.044109
0.020000,1.024006,0.683171,0.127778,0.833333,2.976190,-0.000000,0.050379
0.020000,1.041243,0.684097,0.145040,0.892857,2.976190,0.000000,0.057026
0.020000,1.059661,0.685214,0.163492,0.952381,2.976190,0.000000,0.064030
0.020000,1.079259,0.686543,0.183135,1.011905,2.976190,-0.000000,0.071369
0.020000,1.100034,0.688108,0.203968,1.071429,2.976190,0.000000,0.079019
0.020000,1.121981,0.689934,0.225992,1.130952,2.976190,-0.000000,0.086957
0.020000,1.145099,0.692045,0.249206,1.190476,2.976190,0.000000,0.095155
0.020000,1.169384,0.694467,0.273611,1.250000,2.976190,0.000000,0.103586
0.020000,1.194830,0.697223,0.299206,1.309524,2.976190,0.000000,0.112220
0.020000,1.221434,0.700341,0.325992,1.369048,2.976190,-0.000000,0.121025
0.020000,1.249190,0.703843,0.353968,1.428571,2.976190,0.000000,0.129970
0.020000,1.278093,0.707755,0.383135,1.488095,2.976190,0.000000,0.139020
0.020000,1.308137,0.712099,0.413492,1.547619,2.976190,-0.000000,0.148141
0.020000,1.339317,0.716899,0.445040,1.607143,2.976190,-0.000000,0.157295
0.020000,1.371627,0.722176,0.477778,1.666667,2.976190,0.000000,0.166447
0.020000,1.405061,0.727951,0.511706,1.726190,2.976190,0.000000,0.175557
0.020000,1.439612,0.734242,0.546825,1.785714,2.976190,-0.000000,0.184588
0.020000,1.475274,0.741067,0.583135,1.845238,2.976190,0.000000,0.193499
0.020000,1.512042,0.748440,0.620635,1.904762,2.976190,0.000000,0.202250
0.020000,1.549910,0.756375,0.659325,1.964286,2.976190,-0.000000,0.210801
0.020000,1.588872,0.764884,0.699206,2.023810,2.976190,-0.000000,0.219110
0.020000,1.628925,0.773974,0.740278,2.083333,2.976190,0.000000,0.227137
0.020000,1.670025,0.783642,0.782500,2.138889,2.777778,-9.920635,0.234833
0.020000,1.712093,0.793871,0.825794,2.190476,2.579365,-9.920635,0.242143
0.020000,1.755049,0.804640,0.870079,2.238095,2.380952,-9.920635,0.249020
0.020000,1.798817,0.815922,0.915278,2.281746,2.182540,-9.920635,0.255417
0.020000,1.843320,0.827685,0.961310,2.321429,1.984127,-9.920635,0.261295
0.020000,1.888485,0.839894,1.008095,2.357143,1.785714,-9.920635,0.266615
0.020000,1.934238,0.852509,1.055556,2.388889,1.587302,-9.920635,0.271346
0.020000,1.980508,0.865487,1.103611,2.416667,1.388889,-9.920635,0.275459
0.020000,2.027224,0.878781,1.152183,2.440476,1.190476,-9.920635,0.278928
0.020000,2.074319,0.892343,1.201190,2.460317,0.992063,-9.920635,0.281733
0.020000,2.121722,0.906121,1.250556,2.476190,0.793651,-9.920635,0.283856
0.020000,2.169368,0.920061,1.300198,2.488095,0.595238,-9.920635,0.285283
0.020000,2.217188,0.934108,1.350040,2.496032,0.396825,-9.920635,0.286005
0.020000,2.265118,0.948205,1.400000,2.500000,0.198413,-9.920635,0.286014
0.020000,2.313091,0.962298,1.450000,2.500000,0.000000,-9.920635,0.285307
0.020000,2.361079,0.976339,1.500000,2.500000,0.000000,0.000000,0.283883
0.020000,2.409092,0.990295,1.550000,2.500000,0.000000,0.000000,0.281739
0.020000,2.457140,1.004130,1.600000,2.500000,0.000000,0.000000,0.278872
0.020000,2.505232,1.017810,1.650000,2.500000,0.000000,0.000000,0.275278
0.020000,2.553378,1.031300,1.700000,2.500000,0.000000,0.000000,0.270951
0.020000,2.601587,1.044563,1.750000,2.500000,0.000000,0.000000,0.265886
0.020000,2.649867,1.057564,1.800000,2.500000,0.000000,0.000000,0.260074
0.020000,2.698226,1.070266,1.850000,2.500000,0.000000,0.000000,0.253509
0.020000,2.746673,1.082632,1.900000,2.500000,0.000000,0.000000,0.246181
0.020000,2.795213,1.094624,1.950000,2.500000,0.000000,0.000000,0.238083
0.020000,2.843854,1.106203,2.000000,2.500000,0.000000,0.000000,0.229205
0.020000,2.892600,1.117331,2.050000,2.500000,0.000000,0.000000,0.219537
0.020000,2.941455,1.127967,2.100000,2.500000,0.000000,0.000000,0.209072
0.020000,2.990423,1.138073,2.150000,2.500000,0.000000,0.000000,0.197800
0.020000,3.039506,1.147605,2.200000,2.500000,0.000000,0.000000,0.185715
0.020000,3.088703,1.156524,2.250000,2.500000,0.000000,0.000000,0.172810
0.020000,3.138016,1.164786,2.300000,2.500000,0.000000,0.000000,0.159079
0.020000,3.187440,1.172350,2.350000,2.500000,0.000000,0.000000,0.144521
0.020000,3.236971,1.179174,2.400000,2.500000,0.000000,0.000000,0.129135
0.020000,3.286573,1.185210,2.449968,2.496768,-0.161586,-8.079289,0.112935
0.020000,3.336163,1.190412,2.499831,2.489568,-0.359998,-9.920635,0.095953
0.020000,3.385654,1.194736,2.549511,2.478400,-0.558411,-9.920635,0.078234
0.020000,3.434952,1.198148,2.598927,2.463264,-0.756824,-9.920635,0.059831
0.020000,3.483963,1.200619,2.648002,2.444159,-0.955237,-9.920635,0.040806
0.020000,3.532591,1.202131,2.696654,2.421086,-1.153649,-9.920635,0.021231
0.020000,3.580739,1.202673,2.744805,2.394045,-1.352062,-9.920635,0.001185
0.020000,3.628307,1.202246,2.792376,2.363035,-1.550475,-9.920635,6.263942
0.020000,3.675196,1.200860,2.839287,2.328057,-1.748887,-9.920635,6.243223
0.020000,3.721308,1.198535,2.885459,2.289111,-1.947300,-9.920635,6.222315
0.020000,3.766545,1.195303,2.930812,2.246197,-2.145713,-9.920635,6.201318
0.020000,3.810810,1.191204,2.975267,2.199315,-2.344125,-9.920635,6.180337
0.020000,3.854009,1.186291,3.018745,2.148464,-2.542538,-9.920635,6.159479
0.020000,3.896049,1.180624,3.061166,2.093645,-2.740951,-9.920635,6.138846
0.020000,3.936841,1.174272,3.102451,2.034858,-2.939364,-9.920635,6.118541
0.020000,3.976333,1.167306,3.142553,1.975334,-2.976190,-1.841346,6.098644
0.020000,4.014512,1.159795,3.181464,1.915810,-2.976190,0.000000,6.079210
0.020000,4.051376,1.151805,3.219185,1.856286,-2.976190,0.000000,6.060286
0.020000,4.086927,1.143403,3.255716,1.796762,-2.976190,0.000000,6.041910
0.020000,4.121167,1.134654,3.291056,1.737239,-2.976190,-0.000000,6.024116
0.020000,4.154099,1.125623,3.325205,1.677715,-2.976190,0.000000,6.006929
0.020000,4.185733,1.116371,3.358164,1.618191,-2.976190,0.000000,5.990372
0.020000,4.216075,1.106959,3.389933,1.558667,-2.976190,-0.000000,5.974461
0.020000,4.245135,1.097446,3.420511,1.499143,-2.976190,-0.000000,5.959206
0.020000,4.272925,1.087888,3.449899,1.439620,-2.976190,0.000000,5.944616
0.020000,4.299455,1.078337,3.478096,1.380096,-2.976190,0.000000,5.930694
0.020000,4.324739,1.068846,3.505102,1.320572,-2.976190,-0.000000,5.917442
0.020000,4.348788,1.059461,3.530919,1.261048,-2.976190,0.000000,5.904856
0.020000,4.371618,1.050229,3.555544,1.201524,-2.976190,-0.000000,5.892934
0.020000,4.393240,1.041192,3.578980,1.142000,-2.976190,0.000000,5.881668
0.020000,4.413669,1.032389,3.601224,1.082477,-2.976190,0.000000,5.871052
0.020000,4.432918,1.023860,3.622279,1.022953,-2.976190,-0.000000,5.861078
0.020000,4.451000,1.015637,3.642142,0.963429,-2.976190,0.000000,5.851737
0.020000,4.467928,1.007754,3.660816,0.903905,-2.976190,0.000000,5.843018
0.020000,4.483714,1.000241,3.678299,0.844381,-2.976190,-0.000000,5.834912
0.020000,4.498370,0.993124,3.694591,0.784858,-2.976190,0.000000,5.827409
0.020000,4.511907,0.986430,3.709693,0.725334,-2.976190,-0.000000,5.820500
0.020000,4.524336,0.980182,3.723604,0.665810,-2.976190,0.000000,5.814175
0.020000,4.535667,0.974399,3.736325,0.606286,-2.976190,-0.000000,5.808424
0.020000,4.545909,0.969101,3.747856,0.546762,-2.976190,0.000000,5.803240
0.020000,4.555069,0.964306,3.758196,0.487239,-2.976190,0.000000,5.798614
0.020000,4.563156,0.960028,3.767345,0.427715,-2.976190,-0.000000,5.794539
0.020000,4.570206,0.956264,3.775337,0.371423,-2.814605,8.079289,5.790994
