dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.790000,1.600000,0.000040,0.003968,0.198413,9.920635,1.569653
0.020000,5.790000,1.600000,0.000198,0.011905,0.396825,9.920635,1.569746
0.020000,5.790000,1.600000,0.000556,0.023810,0.595238,9.920635,1.569955
0.020000,5.790000,1.600000,0.001190,0.039683,0.793651,9.920635,1.570328
0.020000,5.790000,1.600194,0.002183,0.059524,0.992063,9.920635,1.570910
0.020000,5.789999,1.601622,0.003611,0.083333,1.190476,9.920635,1.571751
0.020000,5.789996,1.603567,0.005556,0.111111,1.388889,9.920635,1.572898
0.020000,5.789989,1.606106,0.008095,0.142857,1.587302,9.920635,1.574402
0.020000,5.789974,1.609321,0.011310,0.178571,1.785714,9.920635,1.576315
0.020000,5.789948,1.613289,0.015278,0.218254,1.984127,9.920635,1.578692
0.020000,5.789903,1.618090,0.020079,0.261905,2.182540,9.920635,1.581589
0.020000,5.789831,1.623804,0.025794,0.309524,2.380952,9.920635,1.585069
0.020000,5.789722,1.630510,0.032500,0.361111,2.579365,9.920635,1.589197
0.020000,5.789560,1.638286,0.040278,0.416667,2.777778,9.920635,1.594045
0.020000,5.789327,1.647211,0.049206,0.476190,2.976190,9.920635,1.599693
0.020000,5.789002,1.657325,0.059325,0.535714,2.976190,0.000000,1.606201
0.020000,5.788560,1.668626,0.070635,0.595238,2.976190,-0.000000,1.613613
0.020000,5.787973,1.681112,0.083135,0.654762,2.976190,0.000000,1.621980
0.020000,5.787209,1.694781,0.096825,0.714286,2.976190,-0.000000,1.631360
0.020000,5.786231,1.709630,0.111706,0.773810,2.976190,0.000000,1.641819
0.020000,5.784997,1.725654,0.127778,0.833333,2.976190,-0.000000,1.653432
0.020000,5.783463,1.742847,0.145040,0.892857,2.976190,0.000000,1.666285
0.020000,5.781574,1.761202,0.163492,0.952381,2.976190,0.000000,1.680475
0.020000,5.779272,1.780710,0.183135,1.011905,2.976190,-0.000000,1.696112
0.020000,5.776492,1.801356,0.203968,1.071429,2.976190,0.000000,1.713318
0.020000,5.773159,1.823126,0.225992,1.130952,2.976190,-0.000000,1.732229
0.020000,5.769192,1.845999,0.249206,1.190476,2.976190,0.000000,1.752997
0.020000,5.764498,1.869947,0.273611,1.250000,2.976190,0.000000,1.775789
0.020000,5.758978,1.894939,0.299206,1.309524,2.976190,0.000000,1.800787
0.020000,5.752518,1.920933,0.325992,1.369048,2.976190,-0.000000,1.828188
0.020000,5.744995,1.947878,0.353968,1.428571,2.976190,0.000000,1.858199
0.020000,5.736273,1.975709,0.383135,1.488095,2.976190,0.000000,1.891033
0.020000,5.726206,2.004347,0.413492,1.547619,2.976190,-0.000000,1.926900
0.020000,5.714637,2.033694,0.445040,1.607143,2.976190,-0.000000,1.965997
0.020000,5.701400,2.063634,0.477778,1.666667,2.976190,0.000000,2.008489
0.020000,5.686323,2.094025,0.511706,1.726190,2.976190,0.000000,2.054487
0.020000,5.669232,2.124701,0.546825,1.785714,2.976190,-0.000000,2.104023
0.020000,5.649960,2.155469,0.583135,1.845238,2.976190,0.000000,2.157015
0.020000,5.628351,2.186110,0.620635,1.904762,2.976190,0.000000,2.213243
0.020000,5.604270,2.216386,0.659325,1.964286,2.976190,-0.000000,2.272327
0.020000,5.577613,2.246041,0.699206,2.023810,2.976190,-0.000000,2.333717
0.020000,5.548314,2.274813,0.740278,2.083333,2.976190,0.000000,2.396710
0.020000,5.516379,2.302423,0.782500,2.138889,2.777778,-9.920635,2.460429
0.020000,5.481900,2.328594,0.825794,2.190476,2.579365,-9.920635,2.523893
0.020000,5.445017,2.353093,0.870079,2.238095,2.380952,-9.920635,2.586164
0.020000,5.405912,2.375744,0.915278,2.281746,2.182540,-9.920635,2.646418
0.020000,5.364795,2.396426,0.961310,2.321429,1.984127,-9.920635,2.703996
0.020000,5.321893,2.415074,1.008095,2.357143,1.785714,-9.920635,2.758433
0.020000,5.277435,2.431672,1.055556,2.388889,1.587302,-9.920635,2.809447
0.020000,5.231646,2.446241,1.103611,2.416667,1.388889,-9.920635,2.856920
0.020000,5.184741,2.458839,1.152183,2.440476,1.190476,-9.920635,2.900861
0.020000,5.136919,2.469541,1.201190,2.460317,0.992063,-9.920635,2.941376
0.020000,5.088366,2.478442,1.250556,2.476190,0.793651,-9.920635,2.978633
0.020000,5.039251,2.485644,1.300198,2.488095,0.595238,-9.920635,3.012837
0.020000,4.989728,2.491255,1.350040,2.496032,0.396825,-9.920635,3.044210
0.020000,4.939941,2.495387,1.400000,2.500000,0.198413,-9.920635,3.072979
0.020000,4.890018,2.498147,1.450000,2.500000,0.000000,-9.920635,3.099364
0.020000,4.840042,2.499644,1.500000,2.500000,0.000000,0.000000,3.123592
0.020000,4.794793,2.499993,1.550000,2.500000,0.000000,0.000000,3.144115
0.020000,4.744800,2.499259,1.600000,2.500000,0.000000,0.000000,3.168497
0.020000,4.694839,2.497299,1.650000,2.500000,0.000000,0.000000,3.193126
0.020000,4.644943,2.494105,1.700000,2.500000,0.000000,0.000000,3.217941
0.020000,4.595141,2.489671,1.750000,2.500000,0.000000,0.000000,3.242876
0.020000,4.545466,2.483995,1.800000,2.500000,0.000000,0.000000,3.267862
0.020000,4.495948,2.477079,1.850000,2.500000,0.000000,0.000000,3.292827
0.020000,4.446617,2.468932,1.900000,2.500000,0.000000,0.000000,3.317698
0.020000,4.397504,2.459564,1.950000,2.500000,0.000000,0.000000,3.342403
0.020000,4.348636,2.448991,2.000000,2.500000,0.000000,0.000000,3.366868
0.020000,4.300039,2.437234,2.050000,2.500000,0.000000,0.000000,3.391023
0.020000,4.251739,2.424315,2.100000,2.500000,0.000000,0.000000,3.414801
0.020000,4.203755,2.410261,2.150000,2.500000,0.000000,0.000000,3.438138
0.020000,4.156110,2.395103,2.200000,2.500000,0.000000,0.000000,3.460975
0.020000,4.108818,2.378875,2.250000,2.500000,0.000000,0.000000,3.483256
0.020000,4.061894,2.361610,2.300000,2.500000,0.000000,0.000000,3.504934
0.020000,4.015350,2.343348,2.350000,2.500000,0.000000,0.000000,3.525964
0.020000,3.969193,2.324126,2.400000,2.500000,0.000000,0.000000,3.546311
0.020000,3.923430,2.303985,2.450000,2.500000,0.000000,0.000000,3.565943
0.020000,3.878063,2.282967,2.500000,2.500000,0.000000,0.000000,3.584832
0.020000,3.833093,2.261112,2.550000,2.500000,0.000000,0.000000,3.602960
0.020000,3.788517,2.238463,2.600000,2.500000,0.000000,0.000000,3.620310
0.020000,3.744332,2.215062,2.650000,2.500000,0.000000,0.000000,3.636870
0.020000,3.700531,2.190950,2.700000,2.500000,0.000000,0.000000,3.652635
0.020000,3.657106,2.166167,2.750000,2.500000,0.000000,0.000000,3.667599
0.020000,3.614046,2.140755,2.800000,2.500000,0.000000,0.000000,3.681762
0.020000,3.571339,2.114752,2.850000,2.500000,0.000000,0.000000,3.695127
0.020000,3.528974,2.088198,2.900000,2.500000,0.000000,0.000000,3.707697
0.020000,3.486935,2.061129,2.950000,2.500000,0.000000,0.000000,3.719479
0.020000,3.445207,2.033584,3.000000,2.500000,0.000000,0.000000,3.730479
0.020000,3.403773,2.005598,3.050000,2.500000,0.000000,0.000000,3.740706
0.020000,3.362617,1.977205,3.100000,2.500000,0.000000,0.000000,3.750169
0.020000,3.321721,1.948439,3.150000,2.500000,0.000000,0.000000,3.758876
0.020000,3.281066,1.919333,3.200000,2.500000,0.000000,0.000000,3.766838
0.020000,3.240633,1.889920,3.250000,2.500000,0.000000,0.000000,3.774063
0.020000,3.200402,1.860230,3.300000,2.500000,0.000000,0.000000,3.780560
0.020000,3.160355,1.830293,3.350000,2.500000,0.000000,0.000000,3.786338
0.020000,3.120470,1.800140,3.400000,2.500000,0.000000,0.000000,3.791404
0.020000,3.080728,1.769799,3.450000,2.500000,0.000000,0.000000,3.795766
0.020000,3.041108,1.739299,3.500000,2.500000,0.000000,0.000000,3.799431
0.020000,3.001590,1.708667,3.550000,2.500000,0.000000,0.000000,3.802403
0.020000,2.962152,1.677932,3.600000,2.500000,0.000000,0.000000,3.804687
0.020000,2.922773,1.647121,3.650000,2.500000,0.000000,0.000000,3.806288
0.020000,2.883434,1.616259,3.700000,2.500000,0.000000,0.000000,3.807206
0.020000,2.844113,1.585375,3.750000,2.500000,0.000000,0.000000,3.807444
0.020000,2.804788,1.554495,3.800000,2.500000,0.000000,0.000000,3.807002
0.020000,2.765439,1.523646,3.850000,2.500000,0.000000,0.000000,3.805880
0.020000,2.726045,1.492854,3.900000,2.500000,0.000000,0.000000,3.804075
0.020000,2.686586,1.462147,3.950000,2.500000,0.000000,0.000000,3.801585
0.020000,2.647039,1.431552,4.000000,2.500000,0.000000,0.000000,3.798406
0.020000,2.607384,1.401097,4.050000,2.500000,0.000000,0.000000,3.794533
0.020000,2.567602,1.370809,4.100000,2.500000,0.000000,0.000000,3.789961
0.020000,2.527671,1.340718,4.150000,2.500000,0.000000,0.000000,3.784682
0.020000,2.487570,1.310852,4.200000,2.500000,0.000000,0.000000,3.778690
0.020000,2.447281,1.281242,4.250000,2.500000,0.000000,0.000000,3.771976
0.020000,2.406784,1.251917,4.300000,2.500000,0.000000,0.000000,3.764531
0.020000,2.366058,1.222910,4.350000,2.500000,0.000000,0.000000,3.756347
0.020000,2.325086,1.194252,4.400000,2.500000,0.000000,0.000000,3.747415
0.020000,2.283849,1.165977,4.450000,2.500000,0.000000,0.000000,3.737724
0.020000,2.242329,1.138119,4.500000,2.500000,0.000000,0.000000,3.727267
0.020000,2.200516,1.110717,4.549992,2.499225,-0.038756,-1.937807,3.716035
0.020000,2.158434,1.083832,4.599929,2.494482,-0.237169,-9.920635,3.704034
0.020000,2.116137,1.057542,4.649732,2.485770,-0.435582,-9.920635,3.691279
0.020000,2.073681,1.031919,4.699320,2.473090,-0.633994,-9.920635,3.677795
0.020000,2.031129,1.007034,4.748616,2.456442,-0.832407,-9.920635,3.663611
0.020000,1.988544,0.982952,4.797538,2.435825,-1.030820,-9.920635,3.648765
0.020000,1.945996,0.959736,4.846009,2.411241,-1.229232,-9.920635,3.633301
0.020000,1.903558,0.937439,4.893948,2.382688,-1.427645,-9.920635,3.617272
0.020000,1.861308,0.916112,4.941277,2.350167,-1.626058,-9.920635,3.600736
0.020000,1.819327,0.895796,4.987915,2.313677,-1.824470,-9.920635,3.583762
0.020000,1.777702,0.876527,5.033784,2.273220,-2.022883,-9.920635,3.566421
0.020000,1.736524,0.858331,5.078804,2.228794,-2.221296,-9.920635,3.548794
0.020000,1.695884,0.841229,5.122896,2.180400,-2.419709,-9.920635,3.530965
0.020000,1.655881,0.825231,5.165981,2.128037,-2.618121,-9.920635,3.513023
0.020000,1.616613,0.810339,5.207978,2.071706,-2.816534,-9.920635,3.495061
0.020000,1.578175,0.796544,5.248817,2.012183,-2.976190,-7.982828,3.477169
0.020000,1.540625,0.783819,5.288466,1.952659,-2.976190,-0.000000,3.459421
0.020000,1.503990,0.772121,5.326923,1.893135,-2.976190,0.000000,3.441875
0.020000,1.468297,0.761406,5.364191,1.833611,-2.976190,0.000000,3.424584
0.020000,1.433571,0.751626,5.400268,1.774087,-2.976190,0.000000,3.407597
0.020000,1.399837,0.742735,5.435154,1.714564,-2.976190,-0.000000,3.390962
0.020000,1.367117,0.734684,5.468850,1.655040,-2.976190,0.000000,3.374720
0.020000,1.335433,0.727424,5.501356,1.595516,-2.976190,0.000000,3.358909
0.020000,1.304804,0.720907,5.532671,1.535992,-2.976190,-0.000000,3.343561
0.020000,1.275248,0.715083,5.562796,1.476468,-2.976190,0.000000,3.328708
0.020000,1.246781,0.709905,5.591730,1.416945,-2.976190,-0.000000,3.314372
0.020000,1.219419,0.705324,5.619473,1.357421,-2.976190,0.000000,3.300577
0.020000,1.193173,0.701293,5.646027,1.297897,-2.976190,-0.000000,3.287340
0.020000,1.168057,0.697769,5.671389,1.238373,-2.976190,0.000000,3.274676
0.020000,1.144080,0.694706,5.695562,1.178849,-2.976190,0.000000,3.262597
0.020000,1.121251,0.692063,5.718543,1.119326,-2.976190,0.000000,3.251111
0.020000,1.099577,0.689799,5.740335,1.059802,-2.976190,-0.000000,3.240225
0.020000,1.079067,0.687876,5.760935,1.000278,-2.976190,0.000000,3.229945
0.020000,1.059724,0.686257,5.780346,0.940754,-2.976190,0.000000,3.220271
0.020000,1.041555,0.684907,5.798566,0.881230,-2.976190,-0.000000,3.211207
0.020000,1.024562,0.683795,5.815595,0.821706,-2.976190,0.000000,3.202751
0.020000,1.008749,0.682889,5.831434,0.762183,-2.976190,-0.000000,3.194904
0.020000,0.994118,0.682161,5.846082,0.702659,-2.976190,0.000000,3.187662
0.020000,0.980673,0.681586,5.859540,0.643135,-2.976190,-0.000000,3.181024
0.020000,0.968414,0.681140,5.871808,0.583611,-2.976190,0.000000,3.174987
0.020000,0.957342,0.680800,5.882885,0.524087,-2.976190,0.000000,3.169547
0.020000,0.947458,0.680547,5.892771,0.464564,-2.976190,-0.000000,3.164702
0.020000,0.938757,0.680365,5.901475,0.405815,-2.937434,1.937807,3.160446
0.020000,0.931189,0.680236,5.909043,0.351035,-2.739022,9.920635,3.156751
0.020000,0.924677,0.680148,5.915556,0.300222,-2.540609,9.920635,3.153577
0.020000,0.919141,0.680089,5.921092,0.253378,-2.342196,9.920635,3.150882
0.020000,0.914503,0.680051,5.925731,0.210503,-2.143784,9.920635,3.148627
0.020000,0.910682,0.680028,5.929552,0.171595,-1.945371,9.920635,3.146771
0.020000,0.907600,0.680014,5.932634,0.136656,-1.746958,9.920635,3.145275
0.020000,0.905176,0.680006,5.935058,0.105685,-1.548545,9.920635,3.144100
0.020000,0.903333,0.680003,5.936901,0.078683,-1.350133,9.920635,3.143207
0.020000,0.901989,0.680001,5.938245,0.055648,-1.151720,9.920635,3.142556
0.020000,0.901067,0.680000,5.939167,0.036582,-0.953307,9.920635,3.142109
0.020000,0.900486,0.680000,5.939748,0.021484,-0.754895,9.920635,3.141828
0.020000,0.900167,0.680000,5.940066,0.010355,-0.556482,9.920635,3.141674
0.020000,0.900032,0.680000,5.940202,0.003193,-0.358069,9.920635,3.141608
0.020000,0.900000,0.680000,5.940233,0.000000,-0.159657,9.920635,3.141593
0.020000,0.900000,0.680000,5.940233,0.000000,0.000000,7.982828,3.141593
