dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.844832,1.219862,0.000040,0.003968,0.198413,9.920635,0.506249
0.020000,6.844795,1.219842,0.000082,0.002118,-0.092527,-14.546967,0.506382
0.020000,6.844711,1.219795,0.000177,0.004767,0.132461,11.249394,0.506680
0.020000,6.844679,1.219778,0.000214,0.001828,-0.146927,-13.969399,0.507210
0.020000,6.845314,1.220131,0.000940,0.036326,1.724876,93.590159,0.508039
0.020000,6.846227,1.220640,0.001986,0.052258,0.796597,-46.413950,0.509238
0.020000,6.847467,1.221333,0.003406,0.071020,0.938094,7.074818,0.510875
0.020000,6.849081,1.222240,0.005258,0.092579,1.077948,6.992688,0.513026
0.020000,6.851116,1.223390,0.007595,0.116869,1.214537,6.829472,0.515766
0.020000,6.853616,1.224813,0.010471,0.143818,1.347431,6.644716,0.519178
0.020000,6.856622,1.226539,0.013938,0.173320,1.475080,6.382454,0.523351
0.020000,6.860172,1.228600,0.018043,0.205260,1.597009,6.096452,0.528379
0.020000,6.864301,1.231027,0.022832,0.239467,1.710368,5.667911,0.534370
0.020000,6.869038,1.233852,0.028348,0.275767,1.814990,5.231098,0.541440
0.020000,6.874405,1.237110,0.034626,0.313906,1.906933,4.597191,0.549722
0.020000,6.880394,1.240819,0.041670,0.352231,1.916273,0.467001,0.559330
0.020000,6.886967,1.244985,0.049452,0.389103,1.843580,-3.634653,0.570353
0.020000,6.894081,1.249610,0.057938,0.424264,1.758038,-4.277125,0.582899
0.020000,6.901683,1.254700,0.067087,0.457442,1.658918,-4.955995,0.597091
0.020000,6.909716,1.260255,0.076853,0.488314,1.543609,-5.765449,0.613074
0.020000,6.918112,1.266274,0.087184,0.516542,1.411389,-6.611014,0.631013
0.020000,6.926797,1.272752,0.098018,0.541738,1.259799,-7.579478,0.651097
0.020000,6.935685,1.279681,0.109288,0.563492,1.087695,-8.605194,0.673542
0.020000,6.944682,1.287046,0.120916,0.581367,0.893753,-9.697112,0.698590
0.020000,6.953688,1.294823,0.132814,0.594920,0.677671,-10.804126,0.726510
0.020000,6.962590,1.302981,0.144889,0.603734,0.440687,-11.849188,0.757600
0.020000,6.971273,1.311478,0.157038,0.607466,0.186605,-12.704089,0.792176
0.020000,6.979620,1.320264,0.169157,0.605927,-0.076952,-13.177855,0.830568
0.020000,6.987516,1.329278,0.181140,0.599196,-0.336567,-12.980749,0.873100
0.020000,6.994859,1.338458,0.192896,0.587765,-0.571524,-11.747856,0.920067
0.020000,7.001565,1.347745,0.204351,0.572742,-0.751170,-8.982281,0.971692
0.020000,7.007580,1.357098,0.215471,0.556027,-0.835740,-4.228507,1.028082
0.020000,7.012882,1.366518,0.226281,0.540482,-0.777252,2.924372,1.089162
0.020000,7.017486,1.376065,0.236879,0.529933,-0.527452,12.490004,1.154622
0.020000,7.021427,1.385882,0.247458,0.528938,-0.049739,23.885680,1.223863
0.020000,7.024744,1.396207,0.258303,0.542240,0.665103,35.742076,1.295993
0.020000,7.027444,1.407364,0.269782,0.573935,1.584717,45.980700,1.369860
0.020000,7.029480,1.419729,0.282313,0.626586,2.632593,52.393806,1.444157
0.020000,7.030726,1.433685,0.296325,0.700595,3.700433,53.392011,1.517547
0.020000,7.030990,1.449565,0.312207,0.794109,4.675710,48.763835,1.588813
0.020000,7.030031,1.467610,0.330278,0.903505,5.469795,39.704260,1.656961
0.020000,7.027593,1.487949,0.350762,1.024217,6.035590,28.289750,1.721284
0.020000,7.023441,1.510581,0.373772,1.150482,6.313247,13.882873,1.781313
0.020000,7.017394,1.535388,0.399305,1.276690,6.310425,-0.141122,1.836802
0.020000,7.009333,1.562183,0.427287,1.399069,6.118945,-9.573990,1.887743
0.020000,6.999568,1.589777,0.456557,1.463530,3.223025,-144.796033,1.934236
0.020000,6.989345,1.614458,0.483272,1.335753,-6.388859,-480.594190,1.994588
0.020000,6.978326,1.636879,0.508254,1.249102,-4.332533,102.816324,2.062709
0.020000,6.966679,1.656813,0.531342,1.154365,-4.736853,-20.216021,2.138858
0.020000,6.954543,1.674222,0.552563,1.061064,-4.665046,3.590350,2.222695
0.020000,6.941940,1.689304,0.572217,0.982705,-3.917948,37.354929,2.313041
0.020000,6.928673,1.702473,0.590910,0.934661,-2.402222,75.786302,2.407752
0.020000,6.914280,1.714246,0.609505,0.929758,-0.245149,107.853605,2.503886
0.020000,6.898101,1.725072,0.628972,0.973329,2.178591,121.187044,2.598164
0.020000,6.879456,1.735196,0.650189,1.060837,4.375386,109.839736,2.687594
0.020000,6.857828,1.744633,0.673786,1.179847,5.950503,78.755863,2.769958
0.020000,6.832977,1.753235,0.700084,1.314888,6.752053,40.077494,2.844009
0.020000,6.804916,1.760810,0.729149,1.453259,6.918544,8.324535,2.909414
0.020000,6.773831,1.767195,0.760883,1.586705,6.672316,-12.311399,2.966482
0.020000,6.740011,1.772290,0.795085,1.710102,6.169841,-25.123725,3.015839
0.020000,6.703780,1.776064,0.831512,1.821364,5.563067,-30.338728,3.058246
0.020000,6.665453,1.778544,0.869919,1.920330,4.948315,-30.737576,3.094468
0.020000,6.625315,1.779797,0.910076,2.007889,4.377963,-28.517621,3.125220
0.020000,6.587604,1.779981,0.947788,1.885573,-6.115797,-524.688015,3.144703
0.020000,6.541302,1.779569,0.994091,2.315169,21.479808,1379.780241,3.156254
0.020000,6.494976,1.778624,1.040427,2.316794,0.081255,-1069.927650,3.167703
0.020000,6.448628,1.777150,1.086798,2.318563,0.088433,0.358940,3.179042
0.020000,6.402262,1.775152,1.133208,2.320470,0.095352,0.345919,3.190262
0.020000,6.355880,1.772634,1.179658,2.322487,0.100816,0.273213,3.201356
0.020000,6.309487,1.769602,1.226150,2.324637,0.107540,0.336217,3.212315
0.020000,6.263083,1.766062,1.272688,2.326905,0.113382,0.292073,3.223133
0.020000,6.216674,1.762020,1.319274,2.329273,0.118391,0.250465,3.233802
0.020000,6.170260,1.757481,1.365909,2.331768,0.124785,0.319712,3.244316
0.020000,6.123844,1.752452,1.412596,2.334345,0.128829,0.202179,3.254669
0.020000,6.077430,1.746941,1.459337,2.337029,0.134217,0.269387,3.264854
0.020000,6.031018,1.740954,1.506133,2.339798,0.138445,0.211401,3.274866
0.020000,5.984612,1.734500,1.552986,2.342653,0.142712,0.213391,3.284699
0.020000,5.938213,1.727584,1.599898,2.345587,0.146735,0.201130,3.294350
0.020000,5.891822,1.720217,1.646869,2.348591,0.150193,0.172898,3.303812
0.020000,5.845442,1.712405,1.693903,2.351667,0.153783,0.179477,3.313082
0.020000,5.799074,1.704156,1.740999,2.354799,0.156626,0.142152,3.322157
0.020000,5.752719,1.695481,1.788159,2.357993,0.159672,0.152339,3.331032
0.020000,5.706379,1.686386,1.835383,2.361233,0.162018,0.117259,3.339704
0.020000,5.660053,1.676881,1.882674,2.364523,0.164493,0.123786,3.348171
0.020000,5.613744,1.666976,1.930031,2.367851,0.166409,0.095773,3.356430
0.020000,5.567451,1.656678,1.977455,2.371218,0.168337,0.096436,3.364478
0.020000,5.521175,1.645998,2.024947,2.374615,0.169864,0.076325,3.372315
0.020000,5.474917,1.634944,2.072508,2.378041,0.171300,0.071784,3.379937
0.020000,5.428675,1.623527,2.120138,2.381490,0.172466,0.058314,3.387343
0.020000,5.382452,1.611755,2.167837,2.384960,0.173476,0.050498,3.394533
0.020000,5.336245,1.599639,2.215606,2.388446,0.174309,0.041639,3.401505
0.020000,5.290055,1.587188,2.263445,2.391945,0.174962,0.032675,3.408258
0.020000,5.243881,1.574411,2.311354,2.395455,0.175492,0.026492,3.414791
0.020000,5.197722,1.561319,2.359334,2.398972,0.175853,0.018054,3.421105
0.020000,5.151578,1.547921,2.407383,2.402495,0.176117,0.013194,3.427199
0.020000,5.105447,1.534227,2.455504,2.406019,0.176241,0.006179,3.433073
0.020000,5.059328,1.520247,2.503695,2.409545,0.176282,0.002074,3.438726
0.020000,5.013221,1.505991,2.551956,2.413069,0.176213,-0.003465,3.444159
0.020000,4.967122,1.491469,2.600288,2.416591,0.176080,-0.006614,3.449372
0.020000,4.921032,1.476690,2.648690,2.420108,0.175853,-0.011361,3.454365
0.020000,4.874947,1.461664,2.697163,2.423620,0.175598,-0.012745,3.459139
0.020000,4.828866,1.446401,2.745705,2.427125,0.175240,-0.017898,3.463693
0.020000,4.782788,1.430912,2.794317,2.430623,0.174913,-0.016342,3.468029
0.020000,4.736709,1.415205,2.843000,2.434112,0.174447,-0.023340,3.472147
0.020000,4.690627,1.399291,2.891752,2.437594,0.174095,-0.017585,3.476047
0.020000,4.644541,1.383179,2.940573,2.441065,0.173539,-0.027810,3.479731
0.020000,4.598448,1.366880,2.989463,2.444529,0.173203,-0.016797,3.483198
0.020000,4.552344,1.350403,3.038423,2.447980,0.172577,-0.031299,3.486449
0.020000,4.506228,1.333757,3.087452,2.451426,0.172289,-0.014418,3.489485
0.020000,4.460096,1.316953,3.136549,2.454858,0.171615,-0.033689,3.492306
