dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.155168,0.660138,0.000040,0.003968,0.198413,9.920635,0.506249
0.020000,7.155205,0.660158,0.000082,0.002118,-0.092527,-14.546967,0.506382
0.020000,7.155289,0.660205,0.000177,0.004767,0.132461,11.249394,0.506680
0.020000,7.155553,0.660352,0.000480,0.015136,0.518463,19.300090,0.507210
0.020000,7.156652,0.660963,0.001738,0.062878,2.387114,93.432560,0.508039
0.020000,7.158235,0.661845,0.003550,0.090606,1.386387,-50.036346,0.509238
0.020000,7.160389,0.663051,0.006018,0.123423,1.640823,12.721793,0.510875
0.020000,7.163203,0.664632,0.009246,0.161391,1.898391,12.878409,0.513026
0.020000,7.166765,0.666645,0.013337,0.204558,2.158378,12.999346,0.515766
0.020000,7.171163,0.669148,0.018397,0.253009,2.422549,13.208523,0.519178
0.020000,7.176484,0.672204,0.024534,0.306833,2.691186,13.431881,0.523351
0.020000,7.182818,0.675880,0.031858,0.366174,2.967037,13.792507,0.528379
0.020000,7.190252,0.680249,0.040481,0.431160,3.249307,14.113526,0.534370
0.020000,7.198875,0.685393,0.050521,0.502016,3.542813,14.675282,0.541440
0.020000,7.208773,0.691402,0.062100,0.578948,3.846588,15.188742,0.549722
0.020000,7.219989,0.698348,0.075293,0.659668,4.036036,9.472434,0.559330
0.020000,7.232522,0.706290,0.090130,0.741846,4.108883,3.642352,0.570353
0.020000,7.246366,0.715293,0.106645,0.825723,4.193850,4.248336,0.582899
0.020000,7.261516,0.725436,0.124877,0.911598,4.293761,4.995535,0.597091
0.020000,7.277962,0.736810,0.144872,0.999763,4.408230,5.723486,0.613074
0.020000,7.295689,0.749518,0.166684,1.090581,4.540921,6.634552,0.631013
0.020000,7.314675,0.763684,0.190372,1.184423,4.692079,7.557890,0.651097
0.020000,7.334890,0.779447,0.216006,1.281706,4.864178,8.604958,0.673542
0.020000,7.356291,0.796966,0.243664,1.382867,5.058039,9.693013,0.698590
0.020000,7.378817,0.816425,0.273430,1.488346,5.273937,10.794903,0.726510
0.020000,7.402385,0.838029,0.305402,1.598558,5.510616,11.833966,0.757600
0.020000,7.426878,0.862007,0.339679,1.713846,5.764398,12.689112,0.792176
0.020000,7.452141,0.888612,0.376366,1.834396,6.027507,13.155446,0.830568
0.020000,7.477964,0.918108,0.415569,1.960135,6.286947,12.971993,0.873100
0.020000,7.504070,0.950767,0.457380,2.090556,6.521023,11.703782,0.920067
0.020000,7.530103,0.986847,0.501872,2.224568,6.700608,8.979250,0.971692
0.020000,7.555618,1.026563,0.549077,2.360252,6.784206,4.179924,1.028082
0.020000,7.580075,1.070052,0.598972,2.494758,6.725290,-2.945811,1.089162
0.020000,7.602857,1.117336,0.651457,2.624265,6.475372,-12.495881,1.154622
0.020000,7.623296,1.168272,0.706341,2.744215,5.997491,-23.894086,1.223863
0.020000,7.640730,1.222538,0.763339,2.849881,5.283275,-35.710773,1.295993
0.020000,7.654568,1.279628,0.822082,2.937168,4.364349,-45.946328,1.369860
0.020000,7.664355,1.338896,0.882153,3.003533,3.318248,-52.305025,1.444157
0.020000,7.669819,1.399622,0.943124,3.048562,2.251464,-53.339227,1.517547
0.020000,7.670887,1.461095,1.004607,3.074113,1.277544,-48.695984,1.588813
0.020000,7.667657,1.522687,1.066283,3.083818,0.485254,-39.614502,1.656961
0.020000,7.660359,1.583898,1.127927,3.082223,-0.079752,-28.250281,1.721284
0.020000,7.649312,1.644318,1.189349,3.071101,-0.556097,-23.817269,1.781313
0.020000,7.634884,1.703631,1.250392,3.052120,-0.949044,-19.647345,1.836802
0.020000,7.617456,1.761650,1.310972,3.029016,-1.155179,-10.306743,1.887743
0.020000,7.597763,1.817291,1.369995,2.951165,-3.892546,-136.868340,1.934236
0.020000,7.572728,1.877639,1.435330,3.266719,15.777653,983.509958,1.994588
0.020000,7.542442,1.939160,1.503901,3.428561,8.092126,-384.276357,2.062709
0.020000,7.506164,2.001133,1.575711,3.590518,8.097842,0.285763,2.138858
0.020000,7.463300,2.062508,1.650573,3.743084,7.628299,-23.477127,2.222695
0.020000,7.413590,2.121908,1.728029,3.872780,6.484831,-57.173380,2.313041
0.020000,7.357298,2.177742,1.807315,3.964297,4.575845,-95.449334,2.407752
0.020000,7.295307,2.228462,1.887412,4.004846,2.027424,-127.421014,2.503886
0.020000,7.229028,2.272874,1.967194,3.989114,-0.786577,-140.700054,2.598164
0.020000,7.160136,2.310365,2.045626,3.921626,-3.374416,-129.391972,2.687594
0.020000,7.090237,2.340943,2.121922,3.814772,-5.342691,-98.413759,2.769958
0.020000,7.020632,2.365105,2.195601,3.683968,-6.540193,-59.875098,2.844009
0.020000,6.952179,2.383637,2.266518,3.545849,-6.905945,-18.287605,2.909414
0.020000,6.885330,2.397407,2.334770,3.412615,-6.661706,12.211983,2.966482
0.020000,6.820281,2.407236,2.400558,3.289389,-6.161323,25.019115,3.015839
0.020000,6.757060,2.413843,2.464123,3.178261,-5.556373,30.247523,3.058246
0.020000,6.695601,2.417833,2.525711,3.079399,-4.943142,30.661553,3.094468
0.020000,6.635793,2.419711,2.585550,2.991915,-4.374166,28.448768,3.125220
0.020000,6.585613,2.419978,2.635730,2.508992,-24.146169,-988.600124,3.144703
0.020000,6.531919,2.419500,2.689426,2.684809,8.790842,1646.850560,3.156254
0.020000,6.478267,2.418406,2.743089,2.683168,-0.082039,-443.644049,3.167703
0.020000,6.424666,2.416701,2.796717,2.681402,-0.088287,-0.312419,3.179042
0.020000,6.371126,2.414394,2.850307,2.679514,-0.094416,-0.306434,3.190262
0.020000,6.317655,2.411492,2.903857,2.677479,-0.101760,-0.367237,3.201356
0.020000,6.264262,2.408003,2.957364,2.675336,-0.107153,-0.269639,3.212315
0.020000,6.210955,2.403936,3.010825,2.673075,-0.113038,-0.294245,3.223133
0.020000,6.157743,2.399301,3.064239,2.670688,-0.119325,-0.314324,3.233802
0.020000,6.104632,2.394107,3.117603,2.668219,-0.123450,-0.206279,3.244316
0.020000,6.051630,2.388365,3.170916,2.665626,-0.129679,-0.311425,3.254669
0.020000,5.998742,2.382085,3.224175,2.662950,-0.133767,-0.204432,3.264854
0.020000,5.945976,2.375279,3.277378,2.660179,-0.138572,-0.240221,3.274866
0.020000,5.893336,2.367957,3.330525,2.657325,-0.142718,-0.207314,3.284699
0.020000,5.840828,2.360132,3.383613,2.654394,-0.146533,-0.190738,3.294350
0.020000,5.788457,2.351814,3.436641,2.651386,-0.150381,-0.192396,3.303812
0.020000,5.736226,2.343017,3.489607,2.648317,-0.153482,-0.155078,3.313082
0.020000,5.684140,2.333752,3.542510,2.645180,-0.156839,-0.167834,3.322157
0.020000,5.632202,2.324031,3.595350,2.641992,-0.159394,-0.127760,3.331032
0.020000,5.580415,2.313867,3.648125,2.638748,-0.162181,-0.139346,3.339704
0.020000,5.528781,2.303274,3.700835,2.635463,-0.164285,-0.105207,3.348171
0.020000,5.477303,2.292263,3.753477,2.632133,-0.166499,-0.110700,3.356430
