dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900448,1.000000,0.000040,0.003968,0.198413,9.920635,6.281786
0.020000,0.900436,1.000000,0.000052,0.000591,-0.168854,-18.363317,6.281823
0.020000,0.900409,1.000000,0.000078,0.001330,0.036945,10.289940,6.281906
0.020000,0.900362,1.000000,0.000125,0.002364,0.051713,0.738392,6.282054
0.020000,0.900288,1.000000,0.000199,0.003694,0.066465,0.737606,6.282285
0.020000,0.900182,1.000000,0.000306,0.005317,0.081191,0.736318,6.282617
0.020000,0.900037,1.000000,0.000450,0.007235,0.095879,0.734397,6.283069
0.020000,0.901890,1.000000,0.002303,0.092639,4.270213,208.716667,0.000475
0.020000,0.904865,1.000003,0.005278,0.148760,2.806010,-73.210138,0.001221
0.020000,0.908539,1.000009,0.008952,0.183675,1.745786,-53.011183,0.002143
0.020000,0.912984,1.000021,0.013397,0.222250,1.928737,9.147534,0.003257
0.020000,0.918274,1.000042,0.018687,0.264515,2.113232,9.224738,0.004582
0.020000,0.924483,1.000075,0.024896,0.310466,2.297554,9.216125,0.006135
0.020000,0.931685,1.000126,0.032098,0.360099,2.481645,9.204545,0.007935
0.020000,0.939953,1.000200,0.040367,0.413420,2.666086,9.222024,0.009997
0.020000,0.949325,1.000305,0.049739,0.468611,2.759539,4.672688,0.012331
0.020000,0.959800,1.000447,0.060215,0.523821,2.760480,0.047022,0.014935
0.020000,0.971379,1.000637,0.071796,0.579052,2.761589,0.055478,0.017807
0.020000,0.984063,1.000883,0.084483,0.634315,2.763133,0.077193,0.020944
0.020000,0.997853,1.001195,0.098275,0.689635,2.765986,0.142615,0.024345
0.020000,1.012747,1.001585,0.113175,0.744965,2.766495,0.025458,0.028008
0.020000,1.028747,1.002065,0.129182,0.800354,2.769469,0.148707,0.031929
0.020000,1.045853,1.002647,0.146298,0.855800,2.772283,0.140716,0.036105
0.020000,1.064065,1.003345,0.164524,0.911297,2.774869,0.129316,0.040533
0.020000,1.083384,1.004174,0.183861,0.966843,2.777304,0.121744,0.045210
0.020000,1.103811,1.005148,0.204310,1.022476,2.781658,0.217680,0.050129
0.020000,1.125344,1.006285,0.225874,1.078169,2.784626,0.148416,0.055288
0.020000,1.147985,1.007599,0.248553,1.133948,2.788949,0.216126,0.060681
0.020000,1.171733,1.009109,0.272349,1.189812,2.793194,0.212249,0.066303
0.020000,1.196589,1.010832,0.297264,1.245779,2.798340,0.257331,0.072147
0.020000,1.222552,1.012788,0.323301,1.301839,2.802996,0.232782,0.078207
0.020000,1.249623,1.014995,0.350462,1.358025,2.809338,0.317119,0.084477
0.020000,1.277801,1.017473,0.378748,1.414320,2.814720,0.269056,0.090947
0.020000,1.307085,1.020242,0.408163,1.470756,2.821819,0.354951,0.097611
0.020000,1.337476,1.023324,0.438709,1.527317,2.828069,0.312520,0.104460
0.020000,1.368972,1.026738,0.470390,1.584037,2.835959,0.394511,0.111485
0.020000,1.401573,1.030506,0.503208,1.640908,2.843551,0.379612,0.118675
0.020000,1.435278,1.034651,0.537167,1.697948,2.852017,0.423292,0.126020
0.020000,1.470086,1.039194,0.572271,1.755162,2.860709,0.434595,0.133509
0.020000,1.505996,1.044157,0.608522,1.812573,2.870528,0.490952,0.141131
0.020000,1.543007,1.049561,0.645925,1.870168,2.879781,0.462650,0.148873
0.020000,1.581117,1.055431,0.684485,1.927975,2.890332,0.527563,0.156723
0.020000,1.620289,1.061781,0.724168,1.984131,2.807817,-4.125791,0.164659
0.020000,1.660446,1.068619,0.764903,2.036767,2.631796,-8.801032,0.172653
0.020000,1.701514,1.075951,0.806620,2.085877,2.455488,-8.815396,0.180678
0.020000,1.743418,1.083780,0.849249,2.131447,2.278495,-8.849643,0.188707
0.020000,1.786082,1.092106,0.892719,2.173466,2.100977,-8.875934,0.196714
0.020000,1.829433,1.100926,0.936957,2.211915,1.922437,-8.926973,0.204675
0.020000,1.873394,1.110233,0.981893,2.246779,1.743190,-8.962365,0.212564
0.020000,1.917891,1.120019,1.027453,2.278038,1.562974,-9.010812,0.220360
0.020000,1.962850,1.130272,1.073567,2.305674,1.381787,-9.059307,0.228041
0.020000,2.008197,1.140978,1.120160,2.329663,1.199414,-9.118692,0.235586
0.020000,2.053857,1.152118,1.167160,2.349982,1.015967,-9.172349,0.242978
0.020000,2.099757,1.163672,1.214492,2.366609,0.831347,-9.230964,0.250198
0.020000,2.145824,1.175618,1.262082,2.379519,0.645511,-9.291810,0.257232
0.020000,2.191984,1.187931,1.309856,2.388687,0.458399,-9.355600,0.264065
0.020000,2.238164,1.200582,1.357738,2.394090,0.270131,-9.413409,0.270684
0.020000,2.284329,1.213553,1.405690,2.397603,0.175683,-4.722419,0.277083
0.020000,2.330478,1.226833,1.453712,2.401125,0.176087,0.020216,0.283263
0.020000,2.376614,1.240413,1.501805,2.404648,0.176135,0.002426,0.289222
0.020000,2.422738,1.254282,1.549969,2.408175,0.176357,0.011066,0.294961
0.020000,2.468849,1.268432,1.598203,2.411698,0.176163,-0.009710,0.300480
0.020000,2.514951,1.282852,1.646507,2.415223,0.176233,0.003503,0.305778
0.020000,2.561045,1.297533,1.694882,2.418740,0.175855,-0.018886,0.310857
0.020000,2.607131,1.312464,1.743327,2.422256,0.175797,-0.002902,0.315716
0.020000,2.653213,1.327636,1.791842,2.425762,0.175296,-0.025052,0.320355
0.020000,2.699293,1.343038,1.840428,2.429264,0.175126,-0.008469,0.324776
0.020000,2.745371,1.358661,1.889083,2.432755,0.174560,-0.028313,0.328979
0.020000,2.791451,1.374496,1.937808,2.436241,0.174292,-0.013386,0.332964
0.020000,2.837535,1.390532,1.986602,2.439716,0.173714,-0.028929,0.336731
0.020000,2.883626,1.406759,2.035466,2.443183,0.173360,-0.017702,0.340282
0.020000,2.929725,1.423169,2.084398,2.446639,0.172814,-0.027295,0.343617
0.020000,2.975836,1.439750,2.133400,2.450087,0.172387,-0.021337,0.346737
0.020000,3.021962,1.456493,2.182471,2.453525,0.171909,-0.023915,0.349642
0.020000,3.068105,1.473389,2.231610,2.456953,0.171427,-0.024111,0.352332
0.020000,3.114268,1.490428,2.280817,2.460374,0.171039,-0.019367,0.354808
0.020000,3.160455,1.507600,2.330093,2.463785,0.170524,-0.025767,0.357072
0.020000,3.206668,1.524896,2.379437,2.467190,0.170239,-0.014267,0.359123
0.020000,3.252911,1.542305,2.428848,2.470584,0.169718,-0.026017,0.360961
0.020000,3.299188,1.559818,2.478328,2.473974,0.169520,-0.009905,0.362588
0.020000,3.345501,1.577426,2.527875,2.477356,0.169069,-0.022544,0.364003
0.020000,3.391853,1.595118,2.577490,2.480734,0.168899,-0.008497,0.365207
0.020000,3.438250,1.612886,2.627172,2.484105,0.168588,-0.015589,0.366200
0.020000,3.484693,1.630719,2.676921,2.487474,0.168422,-0.008253,0.366983
0.020000,3.531188,1.648607,2.726738,2.490839,0.168248,-0.008741,0.367556
0.020000,3.577736,1.666541,2.776622,2.494201,0.168126,-0.006090,0.367918
0.020000,3.624343,1.684512,2.826573,2.497562,0.168058,-0.003388,0.368071
0.020000,3.671012,1.702509,2.876592,2.500923,0.168020,-0.001899,0.368013
0.020000,3.717746,1.720522,2.926677,2.504283,0.168024,0.000206,0.367745
0.020000,3.764550,1.738543,2.976830,2.507646,0.168108,0.004164,0.367267
0.020000,3.811427,1.756560,3.027050,2.511009,0.168165,0.002876,0.366579
0.020000,3.858381,1.774564,3.077338,2.514376,0.168351,0.009284,0.365681
0.020000,3.905416,1.792545,3.127693,2.517746,0.168494,0.007174,0.364572
0.020000,3.952536,1.810492,3.178115,2.521121,0.168742,0.012375,0.363252
0.020000,3.999745,1.828397,3.228605,2.524501,0.169001,0.012973,0.361721
0.020000,4.047046,1.846248,3.279163,2.527886,0.169270,0.013466,0.359978
0.020000,4.094444,1.864036,3.329789,2.531279,0.169668,0.019854,0.358023
0.020000,4.141942,1.881749,3.380482,2.534678,0.169923,0.012754,0.355855
0.020000,4.189544,1.899378,3.431244,2.538087,0.170468,0.027285,0.353475
