dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899552,0.360000,0.000040,0.003968,0.198413,9.920635,6.281786
0.020000,0.899564,0.360000,0.000052,0.000591,-0.168854,-18.363317,6.281823
0.020000,0.899591,0.360000,0.000078,0.001330,0.036945,10.289940,6.281906
0.020000,0.899638,0.360000,0.000125,0.002364,0.051713,0.738392,6.282054
0.020000,0.899712,0.360000,0.000199,0.003694,0.066465,0.737606,6.282285
0.020000,0.899818,0.360000,0.000306,0.005317,0.081191,0.736318,6.282617
0.020000,0.899963,0.360000,0.000450,0.007235,0.095879,0.734397,6.283069
0.020000,0.902194,0.360001,0.002681,0.111533,5.214879,255.949981,0.000475
0.020000,0.905647,0.360003,0.006134,0.172657,3.056238,-107.932045,0.001221
0.020000,0.909910,0.360011,0.010397,0.213164,2.025337,-51.545080,0.002143
0.020000,0.915068,0.360025,0.015556,0.257905,2.237045,10.585401,0.003257
0.020000,0.921206,0.360049,0.021694,0.306911,2.450309,10.663246,0.004582
0.020000,0.928410,0.360087,0.028897,0.360173,2.663086,10.638811,0.006135
0.020000,0.936763,0.360146,0.037251,0.417678,2.875243,10.607855,0.007935
0.020000,0.946351,0.360232,0.046839,0.479425,3.087384,10.607063,0.009997
0.020000,0.957216,0.360353,0.057705,0.543296,3.193548,5.308211,0.012331
0.020000,0.969358,0.360519,0.069848,0.607137,3.192029,-0.075942,0.014935
0.020000,0.982775,0.360738,0.083267,0.670943,3.190315,-0.085710,0.017807
0.020000,0.997467,0.361023,0.097961,0.734717,3.188686,-0.081482,0.020944
0.020000,1.013432,0.361385,0.113931,0.798479,3.188122,-0.028169,0.024345
0.020000,1.030670,0.361836,0.131174,0.862167,3.184365,-0.187851,0.028008
0.020000,1.049178,0.362391,0.149691,0.925826,3.182948,-0.070860,0.031929
0.020000,1.068955,0.363064,0.169479,0.989442,3.180795,-0.107658,0.036105
0.020000,1.090000,0.363871,0.190539,1.052997,3.177791,-0.150198,0.040533
