dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.600000,7.300000,0.000040,0.003968,0.198413,9.920635,3.644340
0.020000,4.600000,7.300000,0.000198,0.011905,0.396825,9.920635,3.644417
0.020000,4.600000,7.300000,0.000556,0.023810,0.595238,9.920635,3.644592
0.020000,4.600000,7.300000,0.001190,0.039683,0.793651,9.920635,3.644903
0.020000,4.600000,7.300000,0.002183,0.059524,0.992063,9.920635,3.645389
0.020000,4.600000,7.300000,0.003611,0.083333,1.190476,9.920635,3.646089
0.020000,4.600000,7.300000,0.005556,0.111111,1.388889,9.920635,3.647042
0.020000,4.600000,7.300000,0.008095,0.142857,1.587302,9.920635,3.648287
0.020000,4.597908,7.298836,0.011310,0.178571,1.785714,9.920635,3.649867
0.020000,4.594443,7.296901,0.015278,0.218254,1.984127,9.920635,3.651821
0.020000,4.590256,7.294552,0.020079,0.261905,2.182540,9.920635,3.654191
0.020000,4.585281,7.291743,0.025794,0.309524,2.380952,9.920635,3.657020
0.020000,4.579450,7.288427,0.032500,0.361111,2.579365,9.920635,3.660356
0.020000,4.572703,7.284557,0.040278,0.416667,2.777778,9.920635,3.664241
0.020000,4.564977,7.280083,0.049206,0.476190,2.976190,9.920635,3.668724
0.020000,4.556245,7.274970,0.059325,0.535714,2.976190,0.000000,3.673835
0.020000,4.546518,7.269204,0.070635,0.595238,2.976190,-0.000000,3.679584
0.020000,4.535802,7.262764,0.083135,0.654762,2.976190,0.000000,3.685987
0.020000,4.524118,7.255633,0.096825,0.714286,2.976190,-0.000000,3.693051
0.020000,4.511472,7.247787,0.111706,0.773810,2.976190,0.000000,3.700798
0.020000,4.497884,7.239203,0.127778,0.833333,2.976190,-0.000000,3.709237
0.020000,4.483372,7.229856,0.145040,0.892857,2.976190,0.000000,3.718388
0.020000,4.467955,7.219718,0.163492,0.952381,2.976190,0.000000,3.728266
0.020000,4.451656,7.208758,0.183135,1.011905,2.976190,-0.000000,3.738888
0.020000,4.434495,7.196942,0.203968,1.071429,2.976190,0.000000,3.750276
0.020000,4.416505,7.184241,0.225992,1.130952,2.976190,-0.000000,3.762443
0.020000,4.397711,7.170615,0.249206,1.190476,2.976190,0.000000,3.775408
0.020000,4.378146,7.156027,0.273611,1.250000,2.976190,0.000000,3.789189
0.020000,4.357847,7.140438,0.299206,1.309524,2.976190,0.000000,3.803799
0.020000,4.336850,7.123806,0.325992,1.369048,2.976190,-0.000000,3.819255
0.020000,4.315199,7.106088,0.353968,1.428571,2.976190,0.000000,3.835568
0.020000,4.292940,7.087242,0.383135,1.488095,2.976190,0.000000,3.852744
0.020000,4.270122,7.067223,0.413492,1.547619,2.976190,-0.000000,3.870791
0.020000,4.246796,7.045983,0.445040,1.607143,2.976190,-0.000000,3.889710
0.020000,4.223022,7.023476,0.477778,1.666667,2.976190,0.000000,3.909497
0.020000,4.198859,6.999658,0.511706,1.726190,2.976190,0.000000,3.930141
0.020000,4.174374,6.974484,0.546825,1.785714,2.976190,-0.000000,3.951625
0.020000,4.149634,6.947907,0.583135,1.845238,2.976190,0.000000,3.973926
0.020000,4.124713,6.919887,0.620635,1.904762,2.976190,0.000000,3.997010
0.020000,4.099687,6.890383,0.659325,1.964286,2.976190,-0.000000,4.020836
0.020000,4.074633,6.859355,0.699206,2.023810,2.976190,-0.000000,4.045354
0.020000,4.049632,6.826771,0.740278,2.083333,2.976190,0.000000,4.070504
0.020000,4.024791,6.792631,0.782500,2.138889,2.777778,-9.920635,4.096194
0.020000,4.000236,6.756977,0.825794,2.190476,2.579365,-9.920635,4.122299
0.020000,3.976083,6.719859,0.870079,2.238095,2.380952,-9.920635,4.148690
0.020000,3.952444,6.681337,0.915278,2.281746,2.182540,-9.920635,4.175235
0.020000,3.929420,6.641479,0.961310,2.321429,1.984127,-9.920635,4.201802
0.020000,3.907101,6.600361,1.008095,2.357143,1.785714,-9.920635,4.228260
0.020000,3.885567,6.558069,1.055556,2.388889,1.587302,-9.920635,4.254486
0.020000,3.864885,6.514693,1.103611,2.416667,1.388889,-9.920635,4.280362
0.020000,3.845113,6.470330,1.152183,2.440476,1.190476,-9.920635,4.305779
0.020000,3.826296,6.425080,1.201190,2.460317,0.992063,-9.920635,4.330640
0.020000,3.808465,6.379049,1.250556,2.476190,0.793651,-9.920635,4.354860
0.020000,3.791643,6.332345,1.300198,2.488095,0.595238,-9.920635,4.378364
0.020000,3.775843,6.285075,1.350040,2.496032,0.396825,-9.920635,4.401093
0.020000,3.761066,6.237352,1.400000,2.500000,0.198413,-9.920635,4.422997
0.020000,3.747306,6.189283,1.450000,2.500000,0.000000,-9.920635,4.444039
0.020000,3.734540,6.140941,1.500000,2.500000,0.000000,0.000000,4.464211
0.020000,3.722730,6.092357,1.550000,2.500000,0.000000,0.000000,4.483523
0.020000,3.711840,6.043558,1.600000,2.500000,0.000000,0.000000,4.501991
0.020000,3.701833,5.994570,1.650000,2.500000,0.000000,0.000000,4.519635
0.020000,3.692671,5.945418,1.700000,2.500000,0.000000,0.000000,4.536474
0.020000,3.684320,5.896121,1.750000,2.500000,0.000000,0.000000,4.552531
0.020000,3.676742,5.846699,1.800000,2.500000,0.000000,0.000000,4.567831
0.020000,3.669903,5.797169,1.850000,2.500000,0.000000,0.000000,4.582397
0.020000,3.663768,5.747547,1.900000,2.500000,0.000000,0.000000,4.596254
0.020000,3.658304,5.697846,1.950000,2.500000,0.000000,0.000000,4.609427
0.020000,3.653479,5.648080,2.000000,2.500000,0.000000,0.000000,4.621940
0.020000,3.649261,5.598258,2.050000,2.500000,0.000000,0.000000,4.633817
0.020000,3.645620,5.548391,2.100000,2.500000,0.000000,0.000000,4.645082
0.020000,3.642526,5.498488,2.150000,2.500000,0.000000,0.000000,4.655757
0.020000,3.639951,5.448554,2.200000,2.500000,0.000000,0.000000,4.665863
0.020000,3.637866,5.398598,2.250000,2.500000,0.000000,0.000000,4.675423
0.020000,3.636246,5.348625,2.300000,2.500000,0.000000,0.000000,4.684455
0.020000,3.635065,5.298639,2.350000,2.500000,0.000000,0.000000,4.692979
0.020000,3.634297,5.248645,2.400000,2.500000,0.000000,0.000000,4.701013
0.020000,3.633919,5.198646,2.450000,2.500000,0.000000,0.000000,4.708574
0.020000,3.633908,5.148646,2.500000,2.500000,0.000000,0.000000,4.715678
0.020000,3.634241,5.098648,2.550000,2.500000,0.000000,0.000000,4.722340
0.020000,3.634896,5.048652,2.600000,2.500000,0.000000,0.000000,4.728574
0.020000,3.635852,4.998661,2.650000,2.500000,0.000000,0.000000,4.734393
0.020000,3.637090,4.948676,2.700000,2.500000,0.000000,0.000000,4.739810
0.020000,3.638588,4.898699,2.750000,2.500000,0.000000,0.000000,4.744836
0.020000,3.640327,4.848729,2.800000,2.500000,0.000000,0.000000,4.749481
0.020000,3.642290,4.798768,2.850000,2.500000,0.000000,0.000000,4.753756
0.020000,3.644457,4.748814,2.900000,2.500000,0.000000,0.000000,4.757669
0.020000,3.646810,4.698870,2.950000,2.500000,0.000000,0.000000,4.761228
0.020000,3.649333,4.648934,3.000000,2.500000,0.000000,0.000000,4.764441
0.020000,3.652008,4.599005,3.050000,2.500000,0.000000,0.000000,4.767314
0.020000,3.654817,4.549084,3.100000,2.500000,0.000000,0.000000,4.769853
0.020000,3.657745,4.499170,3.150000,2.500000,0.000000,0.000000,4.772064
0.020000,3.660776,4.449262,3.200000,2.500000,0.000000,0.000000,4.773951
0.020000,3.663892,4.399359,3.250000,2.500000,0.000000,0.000000,4.775517
0.020000,3.667079,4.349460,3.300000,2.500000,0.000000,0.000000,4.776766
0.020000,3.670320,4.299566,3.350000,2.500000,0.000000,0.000000,4.777700
0.020000,3.673600,4.249673,3.400000,2.500000,0.000000,0.000000,4.778322
0.020000,3.676904,4.199782,3.450000,2.500000,0.000000,0.000000,4.778632
0.020000,3.680215,4.149892,3.500000,2.500000,0.000000,0.000000,4.778632
0.020000,3.683518,4.100001,3.550000,2.500000,0.000000,0.000000,4.778320
0.020000,3.686798,4.050109,3.600000,2.500000,0.000000,0.000000,4.777698
0.020000,3.690039,4.000214,3.650000,2.500000,0.000000,0.000000,4.776762
0.020000,3.693226,3.950316,3.700000,2.500000,0.000000,0.000000,4.775512
0.020000,3.696342,3.900413,3.750000,2.500000,0.000000,0.000000,4.773945
0.020000,3.699372,3.850505,3.800000,2.500000,0.000000,0.000000,4.772057
0.020000,3.702300,3.800590,3.850000,2.500000,0.000000,0.000000,4.769845
0.020000,3.705109,3.750669,3.900000,2.500000,0.000000,0.000000,4.767305
0.020000,3.707783,3.700741,3.950000,2.500000,0.000000,0.000000,4.764431
0.020000,3.710305,3.650804,4.000000,2.500000,0.000000,0.000000,4.761217
0.020000,3.712658,3.600860,4.050000,2.500000,0.000000,0.000000,4.757656
0.020000,3.714824,3.550907,4.100000,2.500000,0.000000,0.000000,4.753742
0.020000,3.716786,3.500945,4.150000,2.500000,0.000000,0.000000,4.749466
0.020000,3.718525,3.450975,4.200000,2.500000,0.000000,0.000000,4.744819
0.020000,3.720022,3.400998,4.250000,2.500000,0.000000,0.000000,4.739792
0.020000,3.721259,3.351013,4.300000,2.500000,0.000000,0.000000,4.734374
0.020000,3.722214,3.301022,4.350000,2.500000,0.000000,0.000000,4.728553
