dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.445813,7.580404,0.000040,0.003968,0.198413,9.920635,3.644340
0.020000,4.445791,7.580392,0.000065,0.001243,-0.136267,-16.733987,3.644417
0.020000,4.445742,7.580365,0.000120,0.002797,0.077694,10.698076,3.644592
0.020000,4.445655,7.580317,0.000220,0.004973,0.108807,1.555625,3.644903
0.020000,4.445519,7.580242,0.000375,0.007772,0.139973,1.558284,3.645389
0.020000,4.445323,7.580134,0.000599,0.011197,0.171225,1.562628,3.646089
0.020000,4.445056,7.579986,0.000904,0.015249,0.202606,1.569063,3.647042
0.020000,4.444707,7.579793,0.001303,0.019932,0.234166,1.577981,3.648287
0.020000,4.442173,7.578384,0.004202,0.144977,6.252242,300.903777,3.649867
0.020000,4.438163,7.576144,0.008796,0.229672,4.234720,-100.876087,3.651821
0.020000,4.433314,7.573423,0.014356,0.277991,2.415985,-90.936754,3.654191
0.020000,4.427551,7.570169,0.020974,0.330930,2.646939,11.547685,3.657020
0.020000,4.420792,7.566325,0.028750,0.388763,2.891630,12.234550,3.660356
0.020000,4.412967,7.561837,0.037771,0.451064,3.115050,11.171005,3.664241
0.020000,4.403999,7.556644,0.048134,0.518158,3.354700,11.982538,3.668724
0.020000,4.393855,7.550705,0.059888,0.587703,3.477254,6.127669,3.673835
0.020000,4.382546,7.544001,0.073035,0.657344,3.482042,0.239408,3.679584
0.020000,4.370074,7.536505,0.087586,0.727565,3.511075,1.451661,3.685987
0.020000,4.356460,7.528197,0.103535,0.797426,3.493023,-0.902623,3.693051
0.020000,4.341708,7.519044,0.120897,0.868087,3.533098,2.003766,3.700798
0.020000,4.325837,7.509018,0.139669,0.938621,3.526678,-0.320985,3.709237
0.020000,4.308863,7.498085,0.159859,1.009493,3.543598,0.846007,3.718388
0.020000,4.290805,7.486209,0.181471,1.080632,3.556963,0.668216,3.728266
0.020000,4.271686,7.473353,0.204512,1.152022,3.569467,0.625214,3.738888
0.020000,4.251523,7.459471,0.228991,1.223957,3.596776,1.365459,3.750276
0.020000,4.230353,7.444524,0.254907,1.295778,3.591042,-0.286721,3.762443
0.020000,4.208200,7.428462,0.282269,1.368135,3.617833,1.339577,3.775408
0.020000,4.185100,7.411238,0.311084,1.440734,3.629946,0.605635,3.789189
0.020000,4.161092,7.392802,0.341354,1.513481,3.637384,0.371900,3.803799
0.020000,4.136218,7.373099,0.373086,1.586607,3.656284,0.944981,3.819255
0.020000,4.110528,7.352076,0.406282,1.659803,3.659808,0.176234,3.835568
0.020000,4.084074,7.329678,0.440944,1.733116,3.665665,0.292838,3.852744
0.020000,4.056914,7.305850,0.477074,1.806519,3.670133,0.223374,3.870791
0.020000,4.029113,7.280533,0.514676,1.880063,3.677192,0.352949,3.889710
