dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900000,0.680000,0.000040,0.003968,0.198413,9.920635,6.281198
0.020000,0.900000,0.680000,0.000198,0.011905,0.396825,9.920635,6.281218
0.020000,0.900000,0.680000,0.000556,0.023810,0.595238,9.920635,6.281264
0.020000,0.900000,0.680000,0.001190,0.039683,0.793651,9.920635,6.281345
0.020000,0.900000,0.680000,0.002183,0.059524,0.992063,9.920635,6.281472
0.020000,0.900000,0.680000,0.003611,0.083333,1.190476,9.920635,6.281655
0.020000,0.900000,0.680000,0.005556,0.111111,1.388889,9.920635,6.281904
0.020000,0.900000,0.680000,0.008095,0.142857,1.587302,9.920635,6.282229
0.020000,0.900000,0.680000,0.011310,0.178571,1.785714,9.920635,6.282641
0.020000,0.900000,0.680000,0.015278,0.218254,1.984127,9.920635,6.283151
0.020000,0.904541,0.680001,0.020079,0.261905,2.182540,9.920635,0.000584
0.020000,0.910255,0.680007,0.025794,0.309524,2.380952,9.920635,0.001322
0.020000,0.916958,0.680019,0.032500,0.361111,2.579365,9.920635,0.002190
0.020000,0.924740,0.680040,0.040278,0.416667,2.777778,9.920635,0.003203
0.020000,0.933666,0.680073,0.049206,0.476190,2.976190,9.920635,0.004370
0.020000,0.943785,0.680124,0.059325,0.535714,2.976190,0.000000,0.005700
0.020000,0.955097,0.680197,0.070635,0.595238,2.976190,-0.000000,0.007197
0.020000,0.967596,0.680298,0.083135,0.654762,2.976190,0.000000,0.008862
0.020000,0.981285,0.680431,0.096825,0.714286,2.976190,-0.000000,0.010700
0.020000,0.996164,0.680606,0.111706,0.773810,2.976190,0.000000,0.012715
0.020000,1.012235,0.680828,0.127778,0.833333,2.976190,-0.000000,0.014911
0.020000,1.029496,0.681106,0.145040,0.892857,2.976190,0.000000,0.017294
0.020000,1.047944,0.681448,0.163492,0.952381,2.976190,0.000000,0.019868
0.020000,1.067577,0.681866,0.183135,1.011905,2.976190,-0.000000,0.022639
0.020000,1.088410,0.682368,0.203968,1.071429,2.976190,0.000000,0.025616
0.020000,1.110422,0.682967,0.225992,1.130952,2.976190,-0.000000,0.028802
0.020000,1.133629,0.683675,0.249206,1.190476,2.976190,0.000000,0.032210
0.020000,1.158016,0.684505,0.273611,1.250000,2.976190,0.000000,0.035843
0.020000,1.183593,0.685472,0.299206,1.309524,2.976190,0.000000,0.039715
0.020000,1.210358,0.686590,0.325992,1.369048,2.976190,-0.000000,0.043833
0.020000,1.238305,0.687877,0.353968,1.428571,2.976190,0.000000,0.048209
0.020000,1.267434,0.689350,0.383135,1.488095,2.976190,0.000000,0.052854
0.020000,1.297742,0.691028,0.413492,1.547619,2.976190,-0.000000,0.057781
0.020000,1.329232,0.692932,0.445040,1.607143,2.976190,-0.000000,0.063005
0.020000,1.361903,0.695084,0.477778,1.666667,2.976190,0.000000,0.068541
0.020000,1.395740,0.697506,0.511706,1.726190,2.976190,0.000000,0.074404
0.020000,1.430758,0.700225,0.546825,1.785714,2.976190,-0.000000,0.080614
0.020000,1.466937,0.703267,0.583135,1.845238,2.976190,0.000000,0.087187
0.020000,1.504281,0.706662,0.620635,1.904762,2.976190,0.000000,0.094147
