dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.109999,6.650626,0.000040,0.003968,0.198413,9.920635,4.714347
0.020000,6.109999,6.650598,0.000068,0.001402,-0.128312,-16.336241,4.714259
0.020000,6.110000,6.650535,0.000131,0.003155,0.087652,10.798230,4.714062
0.020000,6.110000,6.650423,0.000243,0.005611,0.122788,1.756791,4.713711
0.020000,6.110000,6.650248,0.000418,0.008772,0.158039,1.762529,4.713163
0.020000,6.110000,6.649966,0.000700,0.014101,0.266472,5.421645,4.712373
0.020000,6.109999,6.647676,0.002991,0.114505,5.020184,237.685619,4.711295
0.020000,6.109993,6.644685,0.005981,0.149543,1.751926,-163.412914,4.709885
0.020000,6.109980,6.640897,0.009769,0.189366,1.991133,11.960369,4.708093
0.020000,6.109955,6.636218,0.014448,0.233964,2.229882,11.937435,4.705872
0.020000,6.109911,6.630552,0.020114,0.283312,2.467409,11.876372,4.703170
0.020000,6.109837,6.623803,0.026864,0.337467,2.707787,12.018867,4.699935
0.020000,6.109724,6.615874,0.034794,0.396504,2.951813,12.201310,4.696110
0.020000,6.109553,6.606666,0.044004,0.460497,3.199640,12.391350,4.691636
0.020000,6.109306,6.596081,0.054592,0.529394,3.444885,12.262230,4.686449
0.020000,6.108958,6.584064,0.066613,0.601081,3.584341,6.972819,4.680504
0.020000,6.108484,6.570610,0.080075,0.673104,3.601137,0.839795,4.673776
0.020000,6.107852,6.555710,0.094989,0.745671,3.628370,1.361664,4.666236
0.020000,6.107029,6.539357,0.111362,0.818675,3.650183,1.090663,4.657851
0.020000,6.105973,6.521544,0.129207,0.892256,3.679046,1.443131,4.648587
0.020000,6.104643,6.502259,0.148538,0.966527,3.713586,1.726996,4.638402
0.020000,6.102988,6.481496,0.169366,1.041422,3.744703,1.555834,4.627255
0.020000,6.100953,6.459246,0.191709,1.117139,3.785854,2.057575,4.615099
0.020000,6.098478,6.435504,0.215580,1.193557,3.820933,1.753928,4.601885
0.020000,6.095495,6.410263,0.240997,1.270825,3.863365,2.121615,4.587560
0.020000,6.091929,6.383519,0.267977,1.349040,3.910753,2.369386,4.572069
0.020000,6.087699,6.355271,0.296540,1.428153,3.955662,2.245445,4.555354
0.020000,6.082715,6.325523,0.326703,1.508136,3.999167,2.175259,4.537358
0.020000,6.076879,6.294281,0.358486,1.589128,4.049574,2.520355,4.518022
0.020000,6.070086,6.261560,0.391904,1.670934,4.090306,2.036623,4.497292
0.020000,6.062221,6.227380,0.426977,1.753637,4.135159,2.242613,4.475113
0.020000,6.053164,6.191773,0.463718,1.837017,4.168981,1.691121,4.451443
0.020000,6.042787,6.154782,0.502137,1.920991,4.198706,1.486227,4.426243
0.020000,6.030954,6.116461,0.542244,2.005313,4.216106,0.869999,4.399494
0.020000,6.017530,6.076882,0.584037,2.089684,4.218577,0.123552,4.371190
0.020000,6.002373,6.036133,0.627513,2.173804,4.205984,-0.629630,4.341349
0.020000,5.985349,5.994323,0.672657,2.257173,4.168453,-1.876540,4.310017
0.020000,5.966326,5.951578,0.719443,2.339313,4.107019,-3.071735,4.277270
0.020000,5.945183,5.908048,0.767836,2.419665,4.017588,-4.471550,4.243221
0.020000,5.921817,5.863898,0.817789,2.497614,3.897444,-6.007180,4.208020
0.020000,5.896143,5.819311,0.869239,2.572514,3.745010,-7.621708,4.171857
0.020000,5.868100,5.774484,0.922115,2.643789,3.563721,-9.064431,4.134959
