dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900643,0.999999,0.000040,0.003968,0.198413,9.920635,6.281175
0.020000,0.900631,0.999999,0.000052,0.000597,-0.168556,-18.348454,6.281212
0.020000,0.900605,0.999999,0.000078,0.001344,0.037328,10.294224,6.281296
0.020000,0.900557,1.000000,0.000126,0.002389,0.052281,0.747638,6.281445
0.020000,0.900482,1.000000,0.000201,0.003735,0.067267,0.749290,6.281679
0.020000,0.900375,1.000000,0.000309,0.005381,0.082307,0.751996,6.282015
0.020000,0.900228,1.000000,0.000455,0.007329,0.097427,0.756022,6.282473
0.020000,0.900036,1.000000,0.000647,0.009583,0.112660,0.761638,6.283072
0.020000,0.902530,1.000001,0.003140,0.124663,5.754043,282.069141,0.000646
0.020000,0.906197,1.000005,0.006807,0.183349,2.934304,-140.986944,0.001586
0.020000,0.910634,1.000014,0.011244,0.221852,1.925122,-50.459086,0.002727
0.020000,0.915909,1.000032,0.016520,0.263788,2.096787,8.583234,0.004090
0.020000,0.922103,1.000063,0.022713,0.309673,2.294255,9.873431,0.005698
0.020000,0.929281,1.000110,0.029892,0.358915,2.462123,8.393389,0.007573
0.020000,0.937516,1.000182,0.038127,0.411760,2.642239,9.005817,0.009739
0.020000,0.946841,1.000284,0.047453,0.466314,2.727724,4.274240,0.012211
0.020000,0.957260,1.000426,0.057873,0.520989,2.733724,0.300010,0.014998
0.020000,0.968764,1.000616,0.069378,0.575248,2.712933,-1.039560,0.018105
0.020000,0.981352,1.000866,0.081969,0.629555,2.715353,0.120993,0.021544
0.020000,0.995020,1.001186,0.095640,0.683553,2.699897,-0.772782,0.025322
0.020000,1.009763,1.001590,0.110389,0.737473,2.696013,-0.194240,0.029452
0.020000,1.025580,1.002091,0.126214,0.791225,2.687597,-0.420756,0.033946
0.020000,1.042463,1.002706,0.143108,0.844716,2.674541,-0.652833,0.038816
0.020000,1.060405,1.003450,0.161065,0.897851,2.656745,-0.889791,0.044078
0.020000,1.079404,1.004341,0.180086,0.951029,2.658946,0.110040,0.049749
0.020000,1.099449,1.005400,0.200158,1.003622,2.629610,-1.466805,0.055845
0.020000,1.120533,1.006648,0.221279,1.056032,2.620516,-0.454676,0.062386
0.020000,1.142648,1.008107,0.243442,1.108148,2.605803,-0.735665,0.069393
0.020000,1.165783,1.009802,0.266639,1.159854,2.585313,-1.024472,0.076889
0.020000,1.189924,1.011759,0.290860,1.211033,2.558923,-1.319536,0.084897
0.020000,1.215066,1.014006,0.316102,1.262109,2.553834,-0.254452,0.093447
0.020000,1.241189,1.016574,0.342350,1.312430,2.516021,-1.890645,0.102566
0.020000,1.268279,1.019495,0.369597,1.362340,2.495485,-1.026806,0.112285
0.020000,1.296318,1.022803,0.397831,1.411695,2.467798,-1.384333,0.122639
0.020000,1.325288,1.026535,0.427040,1.460453,2.437861,-1.496833,0.133663
0.020000,1.355168,1.030731,0.457214,1.508692,2.411967,-1.294721,0.145398
0.020000,1.385935,1.035431,0.488338,1.556177,2.374261,-1.885315,0.157885
0.020000,1.417561,1.040681,0.520396,1.602921,2.337194,-1.853318,0.171168
0.020000,1.450017,1.046526,0.553374,1.648908,2.299366,-1.891403,0.185294
0.020000,1.483274,1.053017,0.587259,1.694233,2.266232,-1.656694,0.200315
0.020000,1.517293,1.060206,0.622030,1.738552,2.215961,-2.513547,0.216282
0.020000,1.552038,1.068148,0.657671,1.782034,2.174088,-2.093680,0.233252
0.020000,1.587431,1.076892,0.694128,1.822851,2.040870,-6.660884,0.251262
0.020000,1.623364,1.086479,0.731318,1.859527,1.833773,-10.354872,0.270336
0.020000,1.659723,1.096948,0.769154,1.891801,1.613711,-11.003094,0.290489
0.020000,1.696396,1.108335,0.807554,1.920004,1.410166,-10.177225,0.311731
0.020000,1.733271,1.120670,0.846437,1.944145,1.207031,-10.156751,0.334066
0.020000,1.770236,1.133984,0.885727,1.964515,1.018489,-9.427090,0.357489
0.020000,1.807182,1.148299,0.925349,1.981084,0.828445,-9.502236,0.381980
0.020000,1.844000,1.163635,0.965234,1.994227,0.657185,-8.562962,0.407511
0.020000,1.880587,1.180005,1.005316,2.004102,0.493727,-8.172919,0.434037
0.020000,1.916842,1.197415,1.045534,2.010917,0.340756,-7.648540,0.461496
0.020000,1.952672,1.215868,1.085837,2.015138,0.211055,-6.485076,0.489815
0.020000,1.987986,1.235358,1.126172,2.016778,0.082012,-6.452154,0.518895
0.020000,2.022703,1.255873,1.166498,2.016279,-0.024966,-5.348868,0.548626
0.020000,2.056749,1.277394,1.206775,2.013864,-0.120737,-4.788558,0.578881
0.020000,2.090055,1.299896,1.246970,2.009746,-0.205940,-4.260148,0.609516
0.020000,2.122587,1.323365,1.287084,2.005693,-0.202640,0.164977,0.640404
0.020000,2.154342,1.347802,1.327153,2.003448,-0.112237,4.520151,0.671433
0.020000,2.185316,1.373208,1.367214,2.003073,-0.018753,4.674224,0.702487
