dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899357,0.360001,0.000040,0.003968,0.198413,9.920635,6.281175
0.020000,0.899369,0.360001,0.000052,0.000597,-0.168556,-18.348454,6.281212
0.020000,0.899395,0.360001,0.000078,0.001344,0.037328,10.294224,6.281296
0.020000,0.899443,0.360000,0.000126,0.002389,0.052281,0.747638,6.281445
0.020000,0.899518,0.360000,0.000201,0.003735,0.067267,0.749290,6.281679
0.020000,0.899625,0.360000,0.000309,0.005381,0.082307,0.751996,6.282015
0.020000,0.899772,0.360000,0.000455,0.007329,0.097427,0.756022,6.282473
0.020000,0.899964,0.360000,0.000647,0.009583,0.112660,0.761638,6.283072
0.020000,0.902943,0.360001,0.003626,0.148978,6.969767,342.855354,0.000646
0.020000,0.907212,0.360006,0.007895,0.213421,3.222170,-187.379835,0.001586
0.020000,0.912379,0.360017,0.013062,0.258370,2.247427,-48.737147,0.002727
0.020000,0.918527,0.360038,0.019210,0.307396,2.451327,10.194999,0.004090
0.020000,0.925749,0.360073,0.026433,0.361129,2.686652,11.766238,0.005698
0.020000,0.934128,0.360129,0.034811,0.418911,2.889103,10.122529,0.007573
0.020000,0.943748,0.360212,0.044432,0.481066,3.107750,10.932395,0.009739
0.020000,0.954656,0.360332,0.055341,0.545425,3.217922,5.508566,0.012211
0.020000,0.966858,0.360498,0.067544,0.610165,3.236997,0.953756,0.014998
0.020000,0.980350,0.360721,0.081038,0.674692,3.226355,-0.532110,0.018105
0.020000,0.995139,0.361014,0.095830,0.739584,3.244630,0.913747,0.021544
0.020000,1.011224,0.361391,0.111919,0.804459,3.243749,-0.044036,0.025322
0.020000,1.028610,0.361867,0.129311,0.869627,3.258387,0.731883,0.029452
0.020000,1.047301,0.362460,0.148012,0.935022,3.269756,0.568455,0.033946
0.020000,1.067299,0.363188,0.168023,1.000578,3.277809,0.402661,0.038816
0.020000,1.088606,0.364071,0.189348,1.066229,3.282514,0.235256,0.044078
0.020000,1.111231,0.365133,0.211998,1.132498,3.313451,1.546857,0.049749
0.020000,1.135171,0.366398,0.235972,1.198688,3.309512,-0.196952,0.055845
0.020000,1.160434,0.367893,0.261278,1.265337,3.332459,1.147348,0.062386
0.020000,1.187023,0.369647,0.287926,1.332372,3.351748,0.964439,0.069393
0.020000,1.214943,0.371693,0.315920,1.399718,3.367314,0.778293,0.076889
0.020000,1.244193,0.374064,0.345266,1.467301,3.379119,0.590252,0.084897
0.020000,1.274785,0.376798,0.375980,1.535710,3.420436,2.065840,0.093447
0.020000,1.306716,0.379937,0.408065,1.604228,3.425935,0.274970,0.102566
0.020000,1.339990,0.383525,0.441532,1.673359,3.456531,1.529803,0.112285
0.020000,1.374610,0.387610,0.476392,1.743014,3.482781,1.312480,0.122639
0.020000,1.410578,0.392244,0.512657,1.813231,3.510836,1.402779,0.133663
0.020000,1.447896,0.397484,0.550341,1.884206,3.548759,1.896147,0.145398
0.020000,1.486562,0.403391,0.589456,1.955745,3.576955,1.409803,0.157885
0.020000,1.526574,0.410033,0.630015,2.027964,3.610932,1.698837,0.171168
0.020000,1.567927,0.417482,0.672034,2.100944,3.649005,1.903678,0.185294
0.020000,1.610620,0.425815,0.715532,2.174907,3.698147,2.457067,0.200315
0.020000,1.654638,0.435117,0.760523,2.249508,3.730063,1.595815,0.216282
0.020000,1.699969,0.445479,0.807024,2.325046,3.776904,2.342034,0.233252
0.020000,1.746552,0.456988,0.855007,2.399178,3.706551,-3.517643,0.251262
0.020000,1.794280,0.469724,0.904405,2.469889,3.535588,-8.548168,0.270336
0.020000,1.843033,0.483762,0.955138,2.536674,3.339230,-9.817860,0.290489
0.020000,1.892689,0.499180,1.007133,2.599749,3.153772,-9.272910,0.311731
0.020000,1.943118,0.516051,1.060310,2.658845,2.954780,-9.949610,0.334066
0.020000,1.994187,0.534446,1.114590,2.714010,2.758253,-9.826370,0.357489
0.020000,2.045747,0.554425,1.169886,2.764783,2.538660,-10.979616,0.381980
0.020000,2.097648,0.576045,1.226110,2.811195,2.320574,-10.904317,0.407511
0.020000,2.149730,0.599348,1.283168,2.852908,2.085653,-11.746068,0.434037
0.020000,2.201826,0.624367,1.340960,2.889603,1.834771,-12.544100,0.461496
0.020000,2.253768,0.651119,1.399386,2.921292,1.584435,-12.516775,0.489815
0.020000,2.305375,0.679603,1.458332,2.947315,1.301173,-14.163081,0.518895
0.020000,2.356473,0.709798,1.517685,2.967642,1.016354,-14.240957,0.548626
0.020000,2.406885,0.741666,1.577325,2.981970,0.716371,-14.999146,0.578881
0.020000,2.456436,0.775144,1.637126,2.990049,0.403975,-15.619799,0.609516
0.020000,2.505000,0.810178,1.697007,2.994071,0.201069,-10.145324,0.640404
0.020000,2.552491,0.846726,1.756934,2.996333,0.113125,-4.397215,0.671433
0.020000,2.598831,0.884736,1.816868,2.996740,0.020338,-4.639311,0.702487
0.020000,2.643947,0.924145,1.876772,2.995192,-0.077373,-4.885569,0.733445
0.020000,2.687776,0.964881,1.936609,2.991821,-0.168583,-4.560510,0.764191
0.020000,2.730264,1.006864,1.996339,2.986537,-0.264214,-4.781520,0.794607
0.020000,2.771367,1.050009,2.055930,2.979512,-0.351231,-4.350862,0.824584
0.020000,2.811055,1.094227,2.115346,2.970833,-0.433938,-4.135383,0.854017
0.020000,2.849306,1.139426,2.174559,2.960634,-0.509962,-3.801189,0.882814
0.020000,2.886113,1.185515,2.233541,2.949102,-0.576588,-3.331311,0.910889
0.020000,2.921477,1.232402,2.292269,2.936402,-0.634987,-2.919928,0.938170
0.020000,2.955410,1.279998,2.350724,2.922724,-0.683901,-2.445721,0.964596
0.020000,2.987934,1.328221,2.408889,2.908256,-0.723421,-1.975958,0.990117
0.020000,3.019077,1.376988,2.466752,2.893162,-0.754710,-1.564463,1.014694
0.020000,3.048875,1.426226,2.524305,2.877637,-0.776241,-1.076544,1.038301
0.020000,3.077370,1.475865,2.581541,2.861818,-0.790969,-0.736430,1.060918
0.020000,3.104607,1.525842,2.638458,2.845833,-0.799241,-0.413563,1.082537
0.020000,3.130636,1.576098,2.695055,2.829847,-0.799273,-0.001603,1.103155
0.020000,3.155507,1.626582,2.751332,2.813893,-0.797719,0.077680,1.122777
0.020000,3.179274,1.677247,2.807295,2.798146,-0.787335,0.519194,1.141413
0.020000,3.201991,1.728051,2.862947,2.782582,-0.778193,0.457126,1.159077
0.020000,3.223712,1.778958,2.918294,2.767353,-0.761474,0.835954,1.175788
0.020000,3.244490,1.829934,2.973342,2.752407,-0.747285,0.709417,1.191566
0.020000,3.264380,1.880951,3.028099,2.737849,-0.727930,0.967780,1.206433
0.020000,3.283432,1.931984,3.082573,2.723673,-0.708772,0.957902,1.220413
0.020000,3.301698,1.983011,3.136770,2.709857,-0.690806,0.898256,1.233531
0.020000,3.319227,2.034011,3.190699,2.696453,-0.670225,1.029069,1.245811
0.020000,3.336068,2.084969,3.244368,2.683443,-0.650478,0.987380,1.257277
0.020000,3.352268,2.135870,3.297784,2.670813,-0.631494,0.949174,1.267953
0.020000,3.367871,2.186700,3.350955,2.658552,-0.613067,0.921338,1.277863
0.020000,3.382920,2.237448,3.403888,2.646645,-0.595361,0.885290,1.287029
0.020000,3.397459,2.288105,3.456589,2.635072,-0.578618,0.837196,1.295471
0.020000,3.411527,2.338660,3.509066,2.623820,-0.562627,0.799508,1.303210
0.020000,3.425163,2.389107,3.561323,2.612867,-0.547612,0.750746,1.310265
0.020000,3.438406,2.439438,3.613367,2.602190,-0.533880,0.686609,1.316652
0.020000,3.451292,2.489646,3.665202,2.591763,-0.521345,0.626770,1.322387
0.020000,3.463856,2.539725,3.716833,2.581563,-0.510015,0.566509,1.327485
0.020000,3.476133,2.589670,3.768265,2.571570,-0.499630,0.519248,1.331958
0.020000,3.488155,2.639475,3.819500,2.561759,-0.490565,0.453217,1.335818
0.020000,3.499955,2.689134,3.870542,2.552104,-0.482709,0.392811,1.339075
0.020000,3.511565,2.738643,3.921394,2.542583,-0.476062,0.332349,1.341736
0.020000,3.523016,2.787995,3.972057,2.533171,-0.470622,0.271991,1.343809
0.020000,3.534336,2.837186,4.022534,2.523843,-0.466386,0.211835,1.345299
0.020000,3.545556,2.886210,4.072826,2.514576,-0.463347,0.151931,1.346210
0.020000,3.556704,2.935061,4.122932,2.505346,-0.461503,0.092182,1.346544
0.020000,3.567810,2.983733,4.172855,2.496131,-0.460755,0.037403,1.346302
0.020000,3.578900,3.032219,4.222593,2.486906,-0.461251,-0.024760,1.345484
0.020000,3.590002,3.080512,4.272146,2.477647,-0.462968,-0.085852,1.344087
0.020000,3.601143,3.128605,4.321513,2.468329,-0.465870,-0.145123,1.342107
0.020000,3.612351,3.176489,4.370691,2.458930,-0.469958,-0.204401,1.339540
0.020000,3.623652,3.224157,4.419680,2.449425,-0.475233,-0.263743,1.336380
0.020000,3.635073,3.271597,4.468476,2.439791,-0.481697,-0.323186,1.332617
0.020000,3.646640,3.318801,4.517076,2.430009,-0.489138,-0.372075,1.328242
0.020000,3.658380,3.365756,4.565477,2.420046,-0.498158,-0.450969,1.323245
0.020000,3.670319,3.412452,4.613674,2.409880,-0.508268,-0.505527,1.317613
0.020000,3.682483,3.458874,4.661664,2.399490,-0.519523,-0.562763,1.311331
0.020000,3.694898,3.505010,4.709441,2.388851,-0.531955,-0.621581,1.304384
0.020000,3.707591,3.550844,4.757000,2.377940,-0.545543,-0.679415,1.296756
0.020000,3.720588,3.596359,4.804335,2.366735,-0.560257,-0.735690,1.288427
0.020000,3.733914,3.641539,4.851439,2.355214,-0.576050,-0.789646,1.279379
0.020000,3.747596,3.686365,4.898306,2.343362,-0.592571,-0.826035,1.269590
0.020000,3.761660,3.730816,4.944929,2.331160,-0.610094,-0.876155,1.259037
0.020000,3.776131,3.774872,4.991301,2.318582,-0.628901,-0.940336,1.247699
0.020000,3.791034,3.818510,5.037413,2.305621,-0.648075,-0.958723,1.235551
0.020000,3.806394,3.861705,5.083259,2.292267,-0.667700,-0.981252,1.222569
0.020000,3.822237,3.904434,5.128829,2.278532,-0.686717,-0.950825,1.208729
0.020000,3.838586,3.946668,5.174118,2.264407,-0.706262,-0.977287,1.194005
0.020000,3.855465,3.988379,5.219115,2.249881,-0.726308,-1.002303,1.178375
0.020000,3.872898,4.029540,5.263815,2.235015,-0.743306,-0.849866,1.161814
0.020000,3.890905,4.070120,5.308211,2.219802,-0.760655,-0.867474,1.144304
0.020000,3.909509,4.110089,5.352297,2.204294,-0.775414,-0.737963,1.125824
0.020000,3.928730,4.149414,5.396068,2.188552,-0.787068,-0.582659,1.106361
0.020000,3.948585,4.188065,5.439521,2.172630,-0.796094,-0.451329,1.085903
0.020000,3.969095,4.226009,5.482653,2.156620,-0.800531,-0.221819,1.064444
0.020000,3.990274,4.263216,5.525466,2.140631,-0.799451,0.053960,1.041986
0.020000,4.012138,4.299655,5.567961,2.124757,-0.793669,0.289121,1.018537
0.020000,4.034701,4.335297,5.610144,2.109165,-0.779624,0.702251,0.994113
0.020000,4.057977,4.370113,5.652024,2.093986,-0.758956,1.033395,0.968741
