dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,4.000000,0.000039,0.003889,0.194446,9.722315,0.000000
0.020000,0.000000,4.000000,0.000194,0.011667,0.388893,9.722315,0.000000
0.020000,0.000000,4.000000,0.000544,0.023334,0.583339,9.722315,0.000000
0.020000,0.000000,4.000000,0.001167,0.038889,0.777785,9.722315,0.000000
0.020000,0.000139,4.000000,0.002139,0.058334,0.972232,9.722315,0.000000
0.020000,0.001539,4.000000,0.003539,0.081667,1.166678,9.722315,0.000000
0.020000,0.003444,4.000000,0.005444,0.108890,1.361124,9.722315,0.000000
0.020000,0.005933,4.000000,0.007933,0.140001,1.555570,9.722315,0.000000
0.020000,0.009083,4.000000,0.011083,0.175002,1.750017,9.722315,0.000000
0.020000,0.012972,4.000000,0.014972,0.213891,1.944463,9.722315,0.000000
0.020000,0.017678,4.000000,0.019678,0.256669,2.138909,9.722315,0.000000
0.020000,0.023278,4.000000,0.025278,0.303336,2.333356,9.722315,0.000000
0.020000,0.029850,4.000000,0.031850,0.353892,2.527802,9.722315,0.000000
0.020000,0.037473,4.000000,0.039473,0.408337,2.722248,9.722315,0.000000
0.020000,0.046223,4.000000,0.048223,0.466671,2.916695,9.722315,0.000000
0.020000,0.056139,4.000000,0.058139,0.525005,2.916695,0.000000,0.000000
0.020000,0.067223,4.000000,0.069223,0.583339,2.916695,-0.000000,0.000000
0.020000,0.079473,4.000000,0.081473,0.641673,2.916695,0.000000,0.000000
0.020000,0.092890,4.000000,0.094890,0.700007,2.916695,0.000000,0.000000
0.020000,0.107473,4.000000,0.109473,0.758341,2.916695,-0.000000,0.000000
0.020000,0.123223,4.000000,0.125223,0.816674,2.916695,0.000000,0.000000
0.020000,0.140140,4.000000,0.142140,0.875008,2.916695,-0.000000,0.000000
0.020000,0.158224,4.000000,0.160224,0.933342,2.916695,-0.000000,0.000000
0.020000,0.177474,4.000000,0.179474,0.991676,2.916695,0.000000,0.000000
0.020000,0.197891,4.000000,0.199891,1.050010,2.916695,0.000000,0.000000
0.020000,0.219474,4.000000,0.221474,1.108344,2.916695,-0.000000,0.000000
0.020000,0.242225,4.000000,0.244225,1.166678,2.916695,0.000000,0.000000
0.020000,0.266141,4.000000,0.268141,1.225012,2.916695,-0.000000,0.000000
0.020000,0.291225,4.000000,0.293225,1.283346,2.916695,0.000000,0.000000
0.020000,0.317475,4.000000,0.319475,1.341679,2.916695,-0.000000,0.000000
0.020000,0.344892,4.000000,0.346892,1.400013,2.916695,0.000000,0.000000
0.020000,0.373476,4.000000,0.375476,1.458347,2.916695,-0.000000,0.000000
0.020000,0.403226,4.000000,0.405226,1.516681,2.916695,0.000000,0.000000
0.020000,0.434143,4.000000,0.436143,1.575015,2.916695,0.000000,0.000000
0.020000,0.466227,4.000000,0.468227,1.633349,2.916695,0.000000,0.000000
0.020000,0.499438,4.000000,0.501438,1.687794,2.722248,-9.722315,0.000000
0.020000,0.533700,4.000000,0.535700,1.738350,2.527802,-9.722315,0.000000
0.020000,0.568933,4.000000,0.570933,1.785017,2.333356,-9.722315,0.000000
0.020000,0.605061,4.000000,0.607061,1.827795,2.138909,-9.722315,0.000000
0.020000,0.642006,4.000000,0.644006,1.866685,1.944463,-9.722315,0.000000
0.020000,0.679690,4.000000,0.681690,1.901685,1.750017,-9.722315,0.000000
0.020000,0.718035,4.000000,0.720035,1.932796,1.555570,-9.722315,0.000000
0.020000,0.756963,4.000000,0.758963,1.960019,1.361124,-9.722315,0.000000
0.020000,0.796397,4.000000,0.798397,1.983352,1.166678,-9.722315,0.000000
0.020000,0.836258,4.000000,0.838258,2.002797,0.972232,-9.722315,0.000000
0.020000,0.876470,4.000000,0.878470,2.018353,0.777785,-9.722315,0.000000
0.020000,0.916953,4.000000,0.918953,2.030019,0.583339,-9.722315,0.000000
0.020000,0.957631,4.000000,0.959631,2.037797,0.388893,-9.722315,0.000000
0.020000,0.998426,4.000000,1.000426,2.041686,0.194446,-9.722315,0.000000
0.020000,1.039222,4.000000,1.041222,2.037907,-0.188982,-19.171405,0.000000
0.020000,1.079904,4.000000,1.081904,2.030238,-0.383428,-9.722315,0.000000
0.020000,1.120393,4.000000,1.122393,2.018680,-0.577874,-9.722315,0.000000
0.020000,1.160612,4.000000,1.162612,2.003234,-0.772321,-9.722315,0.000000
0.020000,1.200483,4.000000,1.202483,1.983899,-0.966767,-9.722315,0.000000
0.020000,1.239929,4.000000,1.241929,1.960674,-1.161213,-9.722315,0.000000
0.020000,1.278871,4.000000,1.280871,1.933561,-1.355660,-9.722315,0.000000
0.020000,1.317233,4.000000,1.319233,1.902559,-1.550106,-9.722315,0.000000
0.020000,1.354935,4.000000,1.356935,1.867668,-1.744552,-9.722315,0.000000
0.020000,1.391900,4.000000,1.393900,1.828888,-1.938999,-9.722315,0.000000
0.020000,1.428051,4.000000,1.430051,1.786219,-2.133445,-9.722315,0.000000
0.020000,1.463310,4.000000,1.465310,1.739661,-2.327891,-9.722315,0.000000
0.020000,1.497599,4.000000,1.499599,1.689215,-2.522337,-9.722315,0.000000
0.020000,1.530840,4.000000,1.532840,1.634879,-2.716784,-9.722315,0.000000
0.020000,1.562955,4.000000,1.564955,1.576654,-2.911230,-9.722315,0.000000
0.020000,1.593905,4.000000,1.595905,1.518321,-2.916695,-0.273226,0.000000
0.020000,1.623688,4.000000,1.625688,1.459987,-2.916695,-0.000000,0.000000
0.020000,1.652305,4.000000,1.654305,1.401653,-2.916695,0.000000,0.000000
0.020000,1.679754,4.000000,1.681754,1.343319,-2.916695,-0.000000,0.000000
0.020000,1.706037,4.000000,1.708037,1.284985,-2.916695,0.000000,0.000000
0.020000,1.731154,4.000000,1.733154,1.226651,-2.916695,-0.000000,0.000000
0.020000,1.755103,4.000000,1.757103,1.168317,-2.916695,0.000000,0.000000
0.020000,1.777886,4.000000,1.779886,1.109983,-2.916695,-0.000000,0.000000
0.020000,1.799503,4.000000,1.801503,1.051649,-2.916695,0.000000,0.000000
0.020000,1.819952,4.000000,1.821952,0.993315,-2.916695,0.000000,0.000000
0.020000,1.839235,4.000000,1.841235,0.934982,-2.916695,-0.000000,0.000000
0.020000,1.857352,4.000000,1.859352,0.876648,-2.916695,0.000000,0.000000
0.020000,1.874301,4.000000,1.876301,0.818314,-2.916695,0.000000,0.000000
0.020000,1.890084,4.000000,1.892084,0.759980,-2.916695,-0.000000,0.000000
0.020000,1.904700,4.000000,1.906700,0.701646,-2.916695,-0.000000,0.000000
0.020000,1.918150,4.000000,1.920150,0.643312,-2.916695,0.000000,0.000000
0.020000,1.930433,4.000000,1.932433,0.584978,-2.916695,0.000000,0.000000
0.020000,1.941549,4.000000,1.943549,0.526644,-2.916695,-0.000000,0.000000
0.020000,1.951499,4.000000,1.953499,0.468310,-2.916695,-0.000000,0.000000
0.020000,1.960281,4.000000,1.962281,0.409977,-2.916695,0.000000,0.000000
0.020000,1.967935,4.000000,1.969935,0.355422,-2.727713,9.449090,0.000000
0.020000,1.974537,4.000000,1.976537,0.304757,-2.533266,9.722315,0.000000
0.020000,1.980165,4.000000,1.982165,0.257981,-2.338820,9.722315,0.000000
0.020000,1.984895,4.000000,1.986895,0.215093,-2.144374,9.722315,0.000000
0.020000,1.988807,4.000000,1.990807,0.176095,-1.949928,9.722315,0.000000
0.020000,1.991978,4.000000,1.993978,0.140985,-1.755481,9.722315,0.000000
0.020000,1.994486,4.000000,1.996486,0.109764,-1.561035,9.722315,0.000000
0.020000,1.996408,4.000000,1.998408,0.082432,-1.366589,9.722315,0.000000
0.020000,1.997822,4.000000,1.999822,0.058990,-1.172142,9.722315,0.000000
0.020000,1.998806,4.000000,2.000806,0.039436,-0.977696,9.722315,0.000000
0.020000,1.999438,4.000000,2.001438,0.023771,-0.783250,9.722315,0.000000
0.020000,1.999796,4.000000,2.001796,0.011995,-0.588803,9.722315,0.000000
0.020000,1.999957,4.000000,2.001957,0.004108,-0.394357,9.722315,0.000000
0.020000,1.999999,4.000000,2.001999,0.000109,-0.199911,9.722315,0.000000
0.020000,2.000000,4.000000,2.002000,0.000000,-0.005465,9.722315,0.000000
0.020000,2.000000,4.000000,2.002000,0.000000,0.000000,0.273226,0.000000
