dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,3.680000,0.000039,0.003889,0.194446,9.722315,0.000000
0.020000,0.000000,3.680000,0.000039,0.000000,-0.194446,-19.444630,0.000000
0.020000,0.000000,3.680000,0.000039,0.000000,0.000000,9.722315,0.000000
0.020000,0.000000,3.680000,0.000039,0.000000,0.000000,0.000000,0.000000
0.020000,0.000139,3.680000,0.000178,0.006945,0.347273,17.363666,0.000000
0.020000,0.001539,3.680000,0.001578,0.070001,3.152760,140.274340,0.000000
0.020000,0.003444,3.680000,0.003483,0.095279,1.263901,-94.442958,0.000000
0.020000,0.005933,3.680000,0.005972,0.124446,1.458347,9.722315,0.000000
0.020000,0.009083,3.680000,0.009122,0.157502,1.652794,9.722315,0.000000
0.020000,0.012972,3.680000,0.013011,0.194446,1.847240,9.722315,0.000000
0.020000,0.017678,3.680000,0.017717,0.235280,2.041686,9.722315,0.000000
0.020000,0.023278,3.680000,0.023317,0.280003,2.236132,9.722315,0.000000
0.020000,0.029850,3.680000,0.029889,0.328614,2.430579,9.722315,0.000000
0.020000,0.037473,3.680000,0.037511,0.381115,2.625025,9.722315,0.000000
0.020000,0.046223,3.680000,0.046262,0.437504,2.819471,9.722315,0.000000
0.020000,0.056139,3.680000,0.056178,0.495838,2.916695,4.861158,0.000000
0.020000,0.067223,3.680000,0.067262,0.554172,2.916695,0.000000,0.000000
0.020000,0.079473,3.680000,0.079512,0.612506,2.916695,-0.000000,0.000000
0.020000,0.092890,3.680000,0.092929,0.670840,2.916695,0.000000,0.000000
0.020000,0.107473,3.680000,0.107512,0.729174,2.916695,0.000000,0.000000
0.020000,0.123223,3.680000,0.123262,0.787508,2.916695,0.000000,0.000000
0.020000,0.140140,3.680000,0.140179,0.845841,2.916695,-0.000000,0.000000
0.020000,0.158224,3.680000,0.158263,0.904175,2.916695,0.000000,0.000000
0.020000,0.177474,3.680000,0.177513,0.962509,2.916695,-0.000000,0.000000
0.020000,0.197891,3.680000,0.197930,1.020843,2.916695,0.000000,0.000000
0.020000,0.219474,3.680000,0.219513,1.079177,2.916695,-0.000000,0.000000
0.020000,0.242225,3.680000,0.242263,1.137511,2.916695,0.000000,0.000000
0.020000,0.266141,3.680000,0.266180,1.195845,2.916695,0.000000,0.000000
0.020000,0.291225,3.680000,0.291264,1.254179,2.916695,-0.000000,0.000000
0.020000,0.317475,3.680000,0.317514,1.312513,2.916695,0.000000,0.000000
0.020000,0.344892,3.680000,0.344931,1.370846,2.916695,-0.000000,0.000000
0.020000,0.373476,3.680000,0.373515,1.429180,2.916695,0.000000,0.000000
0.020000,0.403226,3.680000,0.403265,1.487514,2.916695,-0.000000,0.000000
0.020000,0.434143,3.680000,0.434182,1.545848,2.916695,-0.000000,0.000000
0.020000,0.466227,3.680000,0.466266,1.604182,2.916695,0.000000,0.000000
0.020000,0.499438,3.680000,0.499477,1.660571,2.819471,-4.861158,0.000000
0.020000,0.533700,3.680000,0.533738,1.713072,2.625025,-9.722315,0.000000
0.020000,0.568933,3.680000,0.568972,1.761684,2.430579,-9.722315,0.000000
0.020000,0.605061,3.680000,0.605100,1.806406,2.236132,-9.722315,0.000000
0.020000,0.642006,3.680000,0.642045,1.847240,2.041686,-9.722315,0.000000
0.020000,0.679690,3.680000,0.679729,1.884185,1.847240,-9.722315,0.000000
0.020000,0.718035,3.680000,0.718074,1.917241,1.652794,-9.722315,0.000000
0.020000,0.756963,3.680000,0.757002,1.946407,1.458347,-9.722315,0.000000
0.020000,0.796397,3.680000,0.796435,1.971686,1.263901,-9.722315,0.000000
0.020000,0.836258,3.680000,0.836297,1.993075,1.069455,-9.722315,0.000000
0.020000,0.876470,3.680000,0.876508,2.010575,0.875008,-9.722315,0.000000
0.020000,0.916953,3.680000,0.916992,2.024186,0.680562,-9.722315,0.000000
0.020000,0.957631,3.680000,0.957670,2.033908,0.486116,-9.722315,0.000000
