dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000444,0.320000,0.000040,0.003968,0.198413,9.920635,6.281799
0.020000,0.000410,0.320000,0.000073,0.001689,-0.113947,-15.617973,6.281905
0.020000,0.000334,0.320000,0.000149,0.003800,0.105553,10.974976,6.282142
0.020000,0.000199,0.320000,0.000285,0.006754,0.147691,2.106901,6.282564
0.020000,0.000045,0.320000,0.000438,0.007671,0.045833,-5.092914,0.000038
0.020000,0.001170,0.320001,0.001563,0.056251,2.429013,119.159017,0.000987
0.020000,0.002702,0.320003,0.003095,0.076576,1.016258,-70.637736,0.002277
0.020000,0.004703,0.320009,0.005095,0.100044,1.173367,7.855451,0.003961
0.020000,0.007236,0.320022,0.007629,0.126665,1.331079,7.885617,0.006089
0.020000,0.010365,0.320045,0.010758,0.156445,1.489007,7.896366,0.008712
0.020000,0.014153,0.320084,0.014546,0.189408,1.648116,7.955464,0.011879
0.020000,0.018664,0.320146,0.019057,0.225563,1.807785,7.983439,0.015639
0.020000,0.023962,0.320241,0.024356,0.264949,1.969261,8.073791,0.020037
0.020000,0.030112,0.320380,0.030508,0.307583,2.131734,8.123657,0.025118
0.020000,0.037180,0.320578,0.037578,0.353523,2.296989,8.262739,0.030925
0.020000,0.045199,0.320852,0.045603,0.401225,2.385107,4.405929,0.037470
0.020000,0.054175,0.321221,0.054586,0.449179,2.397688,0.629052,0.044739
0.020000,0.064112,0.321706,0.064535,0.497415,2.411794,0.705298,0.052713
0.020000,0.075014,0.322329,0.075454,0.545991,2.428820,0.851299,0.061371
0.020000,0.086887,0.323114,0.087354,0.594963,2.448614,0.989674,0.070688
0.020000,0.099738,0.324088,0.100241,0.644392,2.471442,1.141416,0.080637
0.020000,0.113574,0.325280,0.114128,0.694334,2.497089,1.282357,0.091184
0.020000,0.128401,0.326719,0.129026,0.744869,2.526770,1.484022,0.102293
0.020000,0.144230,0.328437,0.144947,0.796062,2.559650,1.644012,0.113923
0.020000,0.161067,0.330468,0.161907,0.847993,2.596502,1.842609,0.126027
0.020000,0.178925,0.332844,0.179921,0.900736,2.637156,2.032690,0.138555
0.020000,0.197812,0.335603,0.199009,0.954371,2.681779,2.231165,0.151451
0.020000,0.217740,0.338780,0.219188,1.008976,2.730253,2.423709,0.164655
0.020000,0.238720,0.342412,0.240481,1.064626,2.782485,2.611605,0.178100
0.020000,0.260765,0.346537,0.262909,1.121393,2.838349,2.793162,0.191718
