dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000040,0.003968,0.198413,9.920635,6.281799
0.020000,0.000000,0.000000,0.000198,0.011905,0.396825,9.920635,6.281905
0.020000,0.000000,0.000000,0.000556,0.023810,0.595238,9.920635,6.282142
0.020000,0.000000,0.000000,0.001190,0.039683,0.793651,9.920635,6.282564
0.020000,0.000058,0.000000,0.002183,0.059524,0.992063,9.920635,0.000038
0.020000,0.001486,0.000001,0.003611,0.083333,1.190476,9.920635,0.000987
0.020000,0.003431,0.000004,0.005556,0.111111,1.388889,9.920635,0.002277
0.020000,0.005970,0.000012,0.008095,0.142857,1.587302,9.920635,0.003961
0.020000,0.009185,0.000028,0.011310,0.178571,1.785714,9.920635,0.006089
0.020000,0.013153,0.000057,0.015278,0.218254,1.984127,9.920635,0.008712
0.020000,0.017954,0.000107,0.020079,0.261905,2.182540,9.920635,0.011879
0.020000,0.023668,0.000185,0.025794,0.309524,2.380952,9.920635,0.015639
0.020000,0.030373,0.000305,0.032500,0.361111,2.579365,9.920635,0.020037
0.020000,0.038149,0.000481,0.040278,0.416667,2.777778,9.920635,0.025118
0.020000,0.047074,0.000731,0.049206,0.476190,2.976190,9.920635,0.030925
0.020000,0.057187,0.001077,0.059325,0.535714,2.976190,0.000000,0.037470
0.020000,0.068487,0.001542,0.070635,0.595238,2.976190,-0.000000,0.044739
0.020000,0.080972,0.002151,0.083135,0.654762,2.976190,0.000000,0.052713
0.020000,0.094640,0.002931,0.096825,0.714286,2.976190,-0.000000,0.061371
0.020000,0.109489,0.003913,0.111706,0.773810,2.976190,0.000000,0.070688
0.020000,0.125514,0.005128,0.127778,0.833333,2.976190,-0.000000,0.080637
0.020000,0.142712,0.006609,0.145040,0.892857,2.976190,0.000000,0.091184
0.020000,0.161078,0.008392,0.163492,0.952381,2.976190,0.000000,0.102293
0.020000,0.180606,0.010512,0.183135,1.011905,2.976190,-0.000000,0.113923
0.020000,0.201290,0.013006,0.203968,1.071429,2.976190,0.000000,0.126027
0.020000,0.223121,0.015911,0.225992,1.130952,2.976190,-0.000000,0.138555
0.020000,0.246091,0.019266,0.249206,1.190476,2.976190,0.000000,0.151451
0.020000,0.270191,0.023108,0.273611,1.250000,2.976190,0.000000,0.164655
0.020000,0.295411,0.027474,0.299206,1.309524,2.976190,0.000000,0.178100
0.020000,0.321740,0.032400,0.325992,1.369048,2.976190,-0.000000,0.191718
0.020000,0.349166,0.037920,0.353968,1.428571,2.976190,0.000000,0.205434
0.020000,0.377677,0.044067,0.383135,1.488095,2.976190,0.000000,0.219170
0.020000,0.407262,0.050871,0.413492,1.547619,2.976190,-0.000000,0.232845
0.020000,0.437907,0.058360,0.445040,1.607143,2.976190,-0.000000,0.246373
0.020000,0.469602,0.066557,0.477778,1.666667,2.976190,0.000000,0.259669
0.020000,0.502335,0.075483,0.511706,1.726190,2.976190,0.000000,0.272643
0.020000,0.536096,0.085155,0.546825,1.785714,2.976190,-0.000000,0.285204
0.020000,0.570876,0.095583,0.583135,1.845238,2.976190,0.000000,0.297260
0.020000,0.606667,0.106775,0.620635,1.904762,2.976190,0.000000,0.308718
0.020000,0.643463,0.118732,0.659325,1.964286,2.976190,-0.000000,0.319483
0.020000,0.681261,0.131450,0.699206,2.023810,2.976190,-0.000000,0.329462
0.020000,0.720062,0.144918,0.740278,2.083333,2.976190,0.000000,0.338558
0.020000,0.759828,0.159107,0.782500,2.138889,2.777778,-9.920635,0.346668
