dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000444,-0.320000,0.000040,0.003968,0.198413,9.920635,6.281799
0.020000,-0.000410,-0.320000,0.000073,0.001689,-0.113947,-15.617973,6.281905
0.020000,-0.000334,-0.320000,0.000149,0.003800,0.105553,10.974976,6.282142
0.020000,-0.000199,-0.320000,0.000285,0.006754,0.147691,2.106901,6.282564
0.020000,0.000070,-0.320000,0.000553,0.013426,0.333580,9.294467,0.000038
0.020000,0.001802,-0.319999,0.002285,0.086613,3.659354,166.288695,0.000987
0.020000,0.004159,-0.319995,0.004643,0.117869,1.562809,-104.827243,0.002277
0.020000,0.007238,-0.319986,0.007721,0.153921,1.802618,11.990466,0.003961
0.020000,0.011133,-0.319966,0.011616,0.194766,2.042207,11.979431,0.006089
0.020000,0.015941,-0.319931,0.016424,0.240378,2.280599,11.919581,0.008712
0.020000,0.021755,-0.319871,0.022239,0.290754,2.518816,11.910885,0.011879
0.020000,0.028672,-0.319775,0.029156,0.345861,2.755338,11.826104,0.015639
0.020000,0.036784,-0.319631,0.037270,0.405688,2.991391,11.802635,0.020037
0.020000,0.046186,-0.319418,0.046674,0.470186,3.224899,11.675367,0.025118
0.020000,0.056968,-0.319116,0.057461,0.539338,3.457583,11.634224,0.030925
0.020000,0.069174,-0.318699,0.069674,0.610673,3.566746,5.458130,0.037470
0.020000,0.082799,-0.318138,0.083310,0.681777,3.555179,-0.578307,0.044739
0.020000,0.097832,-0.317405,0.098361,0.752581,3.540217,-0.748109,0.052713
0.020000,0.114266,-0.316466,0.114822,0.823048,3.523368,-0.842458,0.061371
0.020000,0.132090,-0.315288,0.132685,0.893124,3.503773,-0.979736,0.070688
0.020000,0.151290,-0.313832,0.151940,0.962748,3.481221,-1.127633,0.080637
0.020000,0.171851,-0.312061,0.172576,1.031844,3.454808,-1.320621,0.091184
0.020000,0.193755,-0.309935,0.194584,1.100361,3.425816,-1.449597,0.102293
0.020000,0.216983,-0.307414,0.217948,1.168212,3.392549,-1.663364,0.113923
0.020000,0.241512,-0.304456,0.242654,1.235328,3.355799,-1.837529,0.126027
0.020000,0.267317,-0.301022,0.268687,1.301629,3.315080,-2.035904,0.138555
0.020000,0.294370,-0.297071,0.296028,1.367040,3.270549,-2.226563,0.151451
0.020000,0.322643,-0.292564,0.324657,1.431482,3.222097,-2.422616,0.164655
