dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900712,1.002999,0.000196,0.019608,0.980392,49.019608,6.280981
0.020000,0.900589,1.002999,0.000319,0.006131,-0.673821,-82.710655,6.281361
0.020000,0.900313,1.003000,0.000595,0.013796,0.383243,52.853209,6.282215
0.020000,0.900791,1.003000,0.001072,0.023868,0.503571,6.016373,0.000454
0.020000,0.904264,1.003005,0.004545,0.173653,7.489255,349.284192,0.002449
0.020000,0.908729,1.003022,0.009010,0.223242,2.479439,-250.490783,0.005017
0.020000,0.914184,1.003058,0.014465,0.272776,2.476733,-0.135317,0.008160
0.020000,0.920629,1.003122,0.020910,0.322246,2.473505,-0.161384,0.011881
0.020000,0.928062,1.003227,0.028344,0.371692,2.472299,-0.060279,0.016183
0.020000,0.936482,1.003384,0.036766,0.421107,2.470748,-0.077559,0.021068
0.020000,0.945889,1.003607,0.046175,0.470449,2.467097,-0.182548,0.026541
0.020000,0.956278,1.003915,0.056570,0.519714,2.463229,-0.193389,0.032604
0.020000,0.967650,1.004324,0.067949,0.568950,2.461800,-0.071486,0.039261
0.020000,0.980002,1.004854,0.080312,0.618151,2.460059,-0.087031,0.046515
0.020000,0.993330,1.005527,0.093657,0.667285,2.456698,-0.168037,0.054369
0.020000,1.007634,1.006366,0.107985,0.716383,2.454899,-0.089954,0.062824
0.020000,1.022908,1.007396,0.123294,0.765463,2.454012,-0.044383,0.071883
0.020000,1.038987,1.008631,0.139421,0.806316,2.042631,-20.569006,0.081448
0.020000,1.055540,1.010064,0.156035,0.830724,1.220408,-41.111150,0.091321
0.020000,1.072237,1.011678,0.172810,0.838749,0.401265,-40.957192,0.101305
0.020000,1.088915,1.013457,0.189583,0.838629,-0.006008,-20.363642,0.111298
0.020000,1.105572,1.015403,0.206354,0.838547,-0.004083,0.096257,0.121293
0.020000,1.122211,1.017516,0.223125,0.838593,0.002275,0.317916,0.131288
0.020000,1.138828,1.019794,0.239899,0.838664,0.003534,0.062937,0.141277
0.020000,1.155426,1.022240,0.256675,0.838840,0.008839,0.265254,0.151256
0.020000,1.172003,1.024851,0.273457,0.839078,0.011882,0.152153,0.161220
0.020000,1.188560,1.027628,0.290245,0.839396,0.015906,0.201212,0.171164
0.020000,1.205096,1.030571,0.307041,0.839792,0.019816,0.195468,0.181084
0.020000,1.221611,1.033679,0.323846,0.840258,0.023301,0.174257,0.190975
0.020000,1.238106,1.036953,0.340662,0.840806,0.027377,0.203832,0.200832
0.020000,1.254579,1.040391,0.357491,0.841423,0.030858,0.174029,0.210651
0.020000,1.271032,1.043993,0.374333,0.842115,0.034596,0.186893,0.220426
0.020000,1.287463,1.047759,0.391191,0.842884,0.038427,0.191558,0.230155
0.020000,1.303874,1.051688,0.408065,0.843713,0.041488,0.153032,0.239831
0.020000,1.320263,1.055780,0.424957,0.844631,0.045872,0.219215,0.249452
0.020000,1.336632,1.060033,0.441869,0.845593,0.048119,0.112355,0.259012
0.020000,1.352979,1.064448,0.458802,0.846652,0.052955,0.241818,0.268507
0.020000,1.369305,1.069023,0.475757,0.847751,0.054919,0.098186,0.277934
0.020000,1.385610,1.073758,0.492736,0.848927,0.058835,0.195797,0.287288
0.020000,1.401894,1.078651,0.509739,0.850163,0.061766,0.146563,0.296566
0.020000,1.418156,1.083703,0.526768,0.851451,0.064400,0.131684,0.305764
0.020000,1.434398,1.088911,0.543824,0.852813,0.068137,0.186834,0.314877
0.020000,1.450618,1.094276,0.560909,0.854215,0.070052,0.095769,0.323904
0.020000,1.466817,1.099795,0.578022,0.855678,0.073151,0.154966,0.332840
0.020000,1.482995,1.105468,0.595166,0.857192,0.075716,0.128247,0.341683
0.020000,1.499152,1.111294,0.612341,0.858748,0.077831,0.105715,0.350428
0.020000,1.515288,1.117271,0.629548,0.860361,0.080621,0.139493,0.359075
0.020000,1.531402,1.123399,0.646788,0.862010,0.082472,0.092575,0.367619
0.020000,1.547496,1.129675,0.664063,0.863701,0.084536,0.103203,0.376058
0.020000,1.563568,1.136099,0.681371,0.865437,0.086813,0.113842,0.384390
0.020000,1.579620,1.142669,0.698715,0.867204,0.088312,0.074966,0.392613
0.020000,1.595650,1.149384,0.716095,0.869006,0.090146,0.091709,0.400723
0.020000,1.611660,1.156242,0.733512,0.870843,0.091824,0.083858,0.408721
0.020000,1.627649,1.163242,0.750966,0.872706,0.093173,0.067479,0.416602
0.020000,1.643617,1.170383,0.768458,0.874599,0.094622,0.072442,0.424367
0.020000,1.659565,1.177662,0.785989,0.876516,0.095862,0.062013,0.432013
0.020000,1.675492,1.185078,0.803558,0.878456,0.096995,0.056626,0.439539
0.020000,1.691398,1.192630,0.821166,0.880417,0.098043,0.052394,0.446943
0.020000,1.707285,1.200316,0.838814,0.882396,0.098968,0.046260,0.454225
0.020000,1.723151,1.208134,0.856502,0.884393,0.099851,0.044158,0.461383
0.020000,1.738998,1.216082,0.874230,0.886403,0.100498,0.032327,0.468417
0.020000,1.754824,1.224159,0.891999,0.888427,0.101214,0.035821,0.475325
0.020000,1.770632,1.232363,0.909808,0.890464,0.101833,0.030969,0.482108
0.020000,1.786419,1.240692,0.927658,0.892506,0.102083,0.012490,0.488763
0.020000,1.802188,1.249144,0.945549,0.894560,0.102697,0.030684,0.495292
0.020000,1.817938,1.257718,0.963482,0.896619,0.102978,0.014059,0.501693
0.020000,1.833670,1.266411,0.981455,0.898680,0.103033,0.002767,0.507967
0.020000,1.849383,1.275222,0.999470,0.900749,0.103458,0.021255,0.514112
0.020000,1.865078,1.284149,1.017526,0.902817,0.103408,-0.002535,0.520130
0.020000,1.880756,1.293190,1.035624,0.904886,0.103421,0.000680,0.526019
0.020000,1.896416,1.302343,1.053763,0.906958,0.103625,0.010204,0.531780
0.020000,1.912060,1.311606,1.071944,0.909023,0.103230,-0.019783,0.537413
0.020000,1.927687,1.320977,1.090166,0.911090,0.103351,0.006086,0.542918
0.020000,1.943299,1.330454,1.108429,0.913155,0.103240,-0.005552,0.548296
0.020000,1.958895,1.340036,1.126733,0.915208,0.102677,-0.028153,0.553546
0.020000,1.974476,1.349721,1.145078,0.917265,0.102861,0.009162,0.558669
0.020000,1.990042,1.359506,1.163464,0.919312,0.102312,-0.027446,0.563665
0.020000,2.005594,1.369389,1.181891,0.921352,0.102034,-0.013881,0.568535
0.020000,2.021133,1.379369,1.200359,0.923391,0.101948,-0.004296,0.573278
0.020000,2.036659,1.389444,1.218868,0.925412,0.101034,-0.045694,0.577896
0.020000,2.052173,1.399611,1.237416,0.927436,0.101190,0.007786,0.582390
0.020000,2.067675,1.409870,1.256005,0.929446,0.100511,-0.033927,0.586758
0.020000,2.083166,1.420217,1.274634,0.931447,0.100070,-0.022059,0.591003
0.020000,2.098647,1.430651,1.293303,0.933446,0.099909,-0.008068,0.595124
0.020000,2.114118,1.441171,1.312012,0.935424,0.098904,-0.050224,0.599122
0.020000,2.129580,1.451773,1.330760,0.937404,0.099014,0.005462,0.602998
0.020000,2.145034,1.462457,1.349547,0.939367,0.098171,-0.042110,0.606753
0.020000,2.160480,1.473220,1.368373,0.941324,0.097842,-0.016485,0.610386
0.020000,2.175920,1.484061,1.387239,0.943273,0.097436,-0.020284,0.613898
0.020000,2.191353,1.494977,1.406143,0.945206,0.096659,-0.038852,0.617291
0.020000,2.206782,1.505967,1.425086,0.947139,0.096621,-0.001924,0.620564
0.020000,2.222207,1.517029,1.444067,0.949051,0.095604,-0.050832,0.623719
0.020000,2.237628,1.528161,1.463086,0.950963,0.095614,0.000529,0.626755
0.020000,2.253047,1.539361,1.482143,0.952860,0.094837,-0.038892,0.629674
0.020000,2.268464,1.550627,1.501238,0.954750,0.094507,-0.016495,0.632476
0.020000,2.283880,1.561958,1.520371,0.956631,0.094071,-0.021804,0.635161
0.020000,2.299297,1.573352,1.539541,0.958500,0.093459,-0.030608,0.637731
0.020000,2.314715,1.584807,1.558748,0.960367,0.093316,-0.007143,0.640185
0.020000,2.330135,1.596320,1.577993,0.962216,0.092480,-0.041766,0.642525
0.020000,2.345558,1.607891,1.597274,0.964067,0.092525,0.002240,0.644750
0.020000,2.360986,1.619518,1.616592,0.965901,0.091692,-0.041659,0.646861
0.020000,2.376418,1.631198,1.635947,0.967734,0.091680,-0.000619,0.648859
0.020000,2.391858,1.642931,1.655338,0.969555,0.091045,-0.031721,0.650744
0.020000,2.407304,1.654713,1.674765,0.971372,0.090866,-0.008951,0.652517
0.020000,2.422759,1.666544,1.694229,0.973181,0.090442,-0.021215,0.654177
0.020000,2.438224,1.678422,1.713728,0.974984,0.090143,-0.014965,0.655726
0.020000,2.453699,1.690345,1.733264,0.976782,0.089889,-0.012696,0.657164
0.020000,2.469187,1.702311,1.752835,0.978572,0.089513,-0.018797,0.658491
0.020000,2.484687,1.714319,1.772443,0.980360,0.089391,-0.006063,0.659707
0.020000,2.500201,1.726366,1.792085,0.982140,0.088979,-0.020597,0.660813
0.020000,2.515731,1.738452,1.811764,0.983919,0.088955,-0.001201,0.661809
0.020000,2.531277,1.750574,1.831478,0.985690,0.088545,-0.020520,0.662695
0.020000,2.546842,1.762731,1.851227,0.987461,0.088577,0.001611,0.663471
0.020000,2.562425,1.774920,1.871011,0.989226,0.088227,-0.017525,0.664138
0.020000,2.578028,1.787141,1.890831,0.990991,0.088255,0.001426,0.664696
0.020000,2.593653,1.799392,1.910686,0.992751,0.088020,-0.011750,0.665145
0.020000,2.609301,1.811670,1.930576,0.994511,0.088014,-0.000318,0.665485
0.020000,2.624974,1.823975,1.950502,0.996269,0.087889,-0.006270,0.665716
0.020000,2.640671,1.836304,1.970462,0.998027,0.087874,-0.000747,0.665838
0.020000,2.656396,1.848656,1.990458,0.999783,0.087833,-0.002039,0.665851
0.020000,2.672148,1.861029,2.010489,1.001540,0.087835,0.000096,0.665756
0.020000,2.687930,1.873422,2.030555,1.003297,0.087854,0.000945,0.665552
0.020000,2.703743,1.885832,2.050656,1.005055,0.087898,0.002197,0.665239
0.020000,2.719588,1.898257,2.070792,1.006814,0.087951,0.002654,0.664817
0.020000,2.735467,1.910697,2.090964,1.008575,0.088062,0.005573,0.664286
0.020000,2.751381,1.923150,2.111170,1.010338,0.088123,0.003026,0.663646
0.020000,2.767331,1.935613,2.131412,1.012104,0.088328,0.010272,0.662896
0.020000,2.783319,1.948085,2.151690,1.013872,0.088368,0.001972,0.662038
0.020000,2.799347,1.960564,2.172003,1.015646,0.088695,0.016370,0.661069
0.020000,2.815415,1.973049,2.192351,1.017419,0.088682,-0.000628,0.659990
0.020000,2.831526,1.985537,2.212735,1.019202,0.089162,0.023968,0.658801
0.020000,2.847680,1.998027,2.233155,1.020984,0.089098,-0.003166,0.657502
0.020000,2.863880,2.010517,2.253610,1.022778,0.089657,0.027935,0.656092
0.020000,2.880126,2.023005,2.274102,1.024570,0.089643,-0.000695,0.654570
0.020000,2.896421,2.035490,2.294629,1.026374,0.090185,0.027084,0.652937
0.020000,2.912766,2.047968,2.315193,1.028180,0.090298,0.005649,0.651192
0.020000,2.929161,2.060439,2.335793,1.029995,0.090764,0.023292,0.649335
0.020000,2.945610,2.072901,2.356429,1.031816,0.091047,0.014178,0.647365
0.020000,2.962113,2.085352,2.377102,1.033644,0.091387,0.016971,0.645282
0.020000,2.978672,2.097789,2.397812,1.035482,0.091888,0.025054,0.643085
0.020000,2.995289,2.110211,2.418558,1.037323,0.092046,0.007923,0.640773
0.020000,3.011965,2.122616,2.439342,1.039179,0.092815,0.038414,0.638348
0.020000,3.028701,2.135001,2.460162,1.041034,0.092771,-0.002184,0.635807
0.020000,3.045500,2.147365,2.481021,1.042909,0.093748,0.048847,0.633150
0.020000,3.062362,2.159705,2.501916,1.044783,0.093678,-0.003486,0.630377
0.020000,3.079290,2.172020,2.522850,1.046673,0.094500,0.041114,0.627487
0.020000,3.096285,2.184308,2.543821,1.048568,0.094753,0.012609,0.624480
0.020000,3.113348,2.196565,2.564831,1.050473,0.095254,0.025059,0.621354
0.020000,3.130482,2.208790,2.585878,1.052391,0.095888,0.031713,0.618110
0.020000,3.147687,2.220980,2.606965,1.054311,0.095997,0.005474,0.614747
0.020000,3.164965,2.233134,2.628090,1.056252,0.097072,0.053705,0.611264
0.020000,3.182319,2.245249,2.649253,1.058191,0.096928,-0.007172,0.607661
0.020000,3.199748,2.257323,2.670456,1.060148,0.097873,0.047257,0.603937
0.020000,3.217256,2.269353,2.691699,1.062110,0.098099,0.011297,0.600091
0.020000,3.234843,2.281336,2.712980,1.064081,0.098560,0.023050,0.596123
0.020000,3.252511,2.293271,2.734302,1.066068,0.099316,0.037786,0.592032
0.020000,3.270262,2.305154,2.755663,1.068054,0.099296,-0.000972,0.587818
0.020000,3.288096,2.316984,2.777064,1.070060,0.100312,0.050762,0.583480
0.020000,3.306016,2.328756,2.798505,1.072066,0.100286,-0.001297,0.579018
0.020000,3.324023,2.340470,2.819987,1.074082,0.100837,0.027580,0.574430
