dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.790000,1.600000,0.000196,0.019608,0.980392,49.019608,1.569744
0.020000,5.790000,1.600000,0.000980,0.058824,1.960784,49.019608,1.570204
0.020000,5.790000,1.600756,0.002745,0.117647,2.941176,49.019608,1.571241
0.020000,5.789996,1.603697,0.005686,0.176471,2.941176,-0.000000,1.572975
0.020000,5.789982,1.607815,0.009804,0.235294,2.941176,0.000000,1.575417
0.020000,5.789949,1.613109,0.015098,0.294118,2.941176,-0.000000,1.578584
0.020000,5.789886,1.619579,0.021569,0.352941,2.941176,0.000000,1.582492
0.020000,5.789779,1.627226,0.029216,0.411765,2.941176,0.000000,1.587169
0.020000,5.789610,1.636048,0.038039,0.470588,2.941176,0.000000,1.592643
0.020000,5.789360,1.646045,0.048039,0.529412,2.941176,-0.000000,1.598949
0.020000,5.789006,1.657215,0.059216,0.588235,2.941176,0.000000,1.606130
0.020000,5.788520,1.669559,0.071569,0.647059,2.941176,0.000000,1.614232
0.020000,5.787871,1.683072,0.085098,0.705882,2.941176,0.000000,1.623311
0.020000,5.787025,1.697754,0.099804,0.764706,2.941176,-0.000000,1.633431
0.020000,5.785942,1.713599,0.115686,0.823529,2.941176,0.000000,1.644663
0.020000,5.784578,1.730603,0.132745,0.882353,2.941176,-0.000000,1.657089
0.020000,5.782883,1.748759,0.150980,0.941176,2.941176,0.000000,1.670802
0.020000,5.780822,1.767864,0.170196,0.980392,1.960784,-49.019608,1.685750
0.020000,5.778395,1.787519,0.190000,1.000000,0.980392,-49.019608,1.701710
0.020000,5.775620,1.807325,0.210000,1.000000,0.000000,-49.019608,1.718422
0.020000,5.772508,1.827081,0.230000,1.000000,0.000000,0.000000,1.735752
0.020000,5.769047,1.846779,0.250000,1.000000,0.000000,0.000000,1.753722
0.020000,5.765227,1.866411,0.270000,1.000000,0.000000,0.000000,1.772353
0.020000,5.761036,1.885966,0.290000,1.000000,0.000000,0.000000,1.791664
0.020000,5.756460,1.905435,0.310000,1.000000,0.000000,0.000000,1.811674
0.020000,5.751489,1.924807,0.330000,1.000000,0.000000,0.000000,1.832400
0.020000,5.746111,1.944070,0.350000,1.000000,0.000000,0.000000,1.853855
0.020000,5.740314,1.963211,0.370000,1.000000,0.000000,0.000000,1.876050
0.020000,5.734086,1.982216,0.390000,1.000000,0.000000,0.000000,1.898993
0.020000,5.727417,2.001071,0.410000,1.000000,0.000000,0.000000,1.922686
0.020000,5.720296,2.019760,0.430000,1.000000,0.000000,0.000000,1.947128
0.020000,5.712713,2.038266,0.450000,1.000000,0.000000,0.000000,1.972311
