dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899560,0.357000,0.000196,0.019608,0.980392,49.019608,6.281823
0.020000,0.899619,0.357000,0.000255,0.002948,-0.832981,-90.668664,6.282005
0.020000,0.899751,0.357000,0.000388,0.006632,0.184174,50.857737,6.282416
0.020000,0.899972,0.357000,0.000609,0.011047,0.220778,1.830243,6.283100
0.020000,0.904032,0.357002,0.004668,0.202978,9.596521,468.787132,0.000872
0.020000,0.909723,0.357010,0.010359,0.284564,4.079301,-275.861009,0.002101
0.020000,0.916679,0.357030,0.017315,0.347776,3.160619,-45.934108,0.003603
0.020000,0.924898,0.357067,0.025534,0.410970,3.159690,-0.046426,0.005375
0.020000,0.934381,0.357128,0.035018,0.474161,3.159579,-0.005571,0.007417
0.020000,0.945127,0.357220,0.045764,0.537312,3.157529,-0.102512,0.009728
0.020000,0.957135,0.357352,0.057773,0.600465,3.157653,0.006201,0.012306
0.020000,0.970406,0.357534,0.071045,0.663570,3.155222,-0.121514,0.015150
0.020000,0.984937,0.357777,0.085578,0.726650,3.154005,-0.060854,0.018257
0.020000,1.000728,0.358092,0.101372,0.789708,3.152903,-0.055088,0.021626
0.020000,1.017777,0.358492,0.118426,0.852701,3.149663,-0.162036,0.025254
0.020000,1.036083,0.358990,0.136739,0.915664,3.148147,-0.075806,0.029138
0.020000,1.055646,0.359600,0.156311,0.978587,3.146176,-0.098529,0.033275
0.020000,1.076251,0.360331,0.176929,1.030936,2.617407,-26.438428,0.037619
0.020000,1.097478,0.361177,0.198173,1.062194,1.562933,-52.723747,0.042077
0.020000,1.118905,0.362128,0.219621,1.072388,0.509701,-52.661562,0.046559
0.020000,1.140321,0.363173,0.241063,1.072073,-0.015739,-26.272015,0.051022
0.020000,1.161726,0.364314,0.262497,1.071743,-0.016528,-0.039444,0.055464
0.020000,1.183118,0.365549,0.283925,1.071394,-0.017439,-0.045538,0.059885
0.020000,1.204498,0.366878,0.305346,1.071057,-0.016843,0.029800,0.064285
0.020000,1.225864,0.368301,0.326760,1.070701,-0.017833,-0.049497,0.068663
0.020000,1.247217,0.369816,0.348167,1.070329,-0.018563,-0.036525,0.073018
0.020000,1.268556,0.371424,0.369566,1.069973,-0.017823,0.036981,0.077350
0.020000,1.289881,0.373123,0.390958,1.069590,-0.019140,-0.065807,0.081660
0.020000,1.311189,0.374913,0.412342,1.069200,-0.019523,-0.019169,0.085945
0.020000,1.332483,0.376793,0.433719,1.068821,-0.018909,0.030701,0.090206
0.020000,1.353760,0.378763,0.455087,1.068415,-0.020315,-0.070328,0.094442
0.020000,1.375021,0.380822,0.476447,1.068010,-0.020248,0.003394,0.098654
0.020000,1.396265,0.382970,0.497799,1.067605,-0.020259,-0.000552,0.102839
0.020000,1.417491,0.385205,0.519143,1.067180,-0.021265,-0.050301,0.107000
0.020000,1.438700,0.387527,0.540478,1.066761,-0.020916,0.017434,0.111133
0.020000,1.459890,0.389936,0.561805,1.066331,-0.021530,-0.030717,0.115240
0.020000,1.481061,0.392431,0.583123,1.065888,-0.022146,-0.030786,0.119321
0.020000,1.502213,0.395010,0.604432,1.065457,-0.021544,0.030125,0.123373
0.020000,1.523346,0.397674,0.625732,1.065003,-0.022706,-0.058138,0.127398
0.020000,1.544459,0.400421,0.647023,1.064549,-0.022670,0.001824,0.131396
0.020000,1.565552,0.403251,0.668305,1.064095,-0.022722,-0.002604,0.135364
0.020000,1.586624,0.406164,0.689577,1.063625,-0.023484,-0.038107,0.139304
0.020000,1.607676,0.409157,0.710840,1.063162,-0.023167,0.015871,0.143215
0.020000,1.628706,0.412232,0.732094,1.062686,-0.023800,-0.031671,0.147096
0.020000,1.649715,0.415386,0.753338,1.062205,-0.024067,-0.013351,0.150948
0.020000,1.670702,0.418619,0.774573,1.061727,-0.023890,0.008871,0.154770
0.020000,1.691666,0.421931,0.795797,1.061234,-0.024634,-0.037228,0.158562
0.020000,1.712609,0.425320,0.817012,1.060745,-0.024471,0.008154,0.162323
0.020000,1.733528,0.428786,0.838217,1.060248,-0.024835,-0.018197,0.166054
0.020000,1.754425,0.432328,0.859412,1.059744,-0.025182,-0.017369,0.169753
0.020000,1.775299,0.435946,0.880597,1.059245,-0.024965,0.010857,0.173422
0.020000,1.796149,0.439637,0.901772,1.058733,-0.025603,-0.031893,0.177059
